perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_DEVICE_POWER,perm_android_permission_PROCESS_OUTGOING_CALLS,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_CLEAR_APP_CACHE,perm_com_android_launcher2_permission_READ_SETTINGS,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_READ_LOGS,n_urls,perm_android_permission_AUTHENTICATE_ACCOUNTS,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_android_permission_USE_CREDENTIALS,perm_android_permission_MANAGE_ACCOUNTS,n_api_calls,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_DELETE_PACKAGES,perm_android_permission_BATTERY_STATS,perm_android_permission_WRITE_MEDIA_STORAGE,perm_android_permission_WRITE_APN_SETTINGS,perm_com_lenovo_launcher_permission_READ_SETTINGS,perm_android_permission_ACCESS_CACHE_FILESYSTEM,perm_android_permission_WRITE_SMS,perm_android_permission_READ_PHONE_STATE,n_providers,perm_android_permission_SEND_SMS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_used_permissions,label
1,1,1,1,1,1,1,1,227,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,226,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,226,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,226,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,227,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,230,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,230,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
1,1,1,1,1,1,1,1,197,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,101,1,1,0,1
1,1,1,1,1,1,1,1,230,1,1,108,1,1,1,1,29,1,1,1,1,1,1,1,1,1,107,1,1,12,1
1,1,1,1,1,1,1,1,230,1,1,108,1,1,1,1,29,1,1,1,1,1,1,1,1,1,107,1,1,12,1
1,1,1,1,1,1,1,1,231,1,1,118,1,1,1,1,29,1,1,1,1,1,1,1,1,1,108,1,1,12,1
1,1,1,1,1,1,1,1,195,1,1,118,1,1,1,1,41,1,1,1,1,1,1,1,1,1,105,1,1,14,1
1,1,1,1,1,1,1,1,165,1,1,8,1,1,1,1,18,1,1,1,1,1,0,1,1,1,108,1,1,6,1
1,1,1,1,1,1,1,1,195,1,1,118,1,1,1,1,41,1,1,1,1,1,1,1,1,1,105,1,1,14,1
1,1,1,1,1,1,1,1,231,1,1,123,1,1,1,1,27,1,1,1,1,1,1,1,1,1,109,1,1,12,1
1,1,1,1,1,1,1,1,231,1,1,130,1,1,1,1,27,1,1,1,1,1,1,1,1,1,109,1,1,12,1
1,1,1,1,1,1,1,1,231,1,1,130,1,1,1,1,27,1,1,1,1,1,1,1,1,1,109,1,1,12,1
1,1,1,1,1,1,1,1,189,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,54,1,1,0,1
1,1,1,1,1,1,1,1,165,1,1,65,1,1,1,1,60,1,1,1,1,1,0,1,1,1,107,1,1,19,1
1,1,1,1,1,1,1,1,165,1,1,65,1,1,1,1,60,1,1,1,1,1,0,1,1,1,107,1,1,19,1
1,1,1,1,1,1,1,1,198,1,1,91,1,1,1,1,11,1,1,1,1,1,1,1,1,1,53,1,1,8,1
1,1,1,1,1,1,1,1,235,1,1,150,1,1,1,1,28,1,1,1,1,1,1,1,1,1,113,1,1,12,1
1,1,1,1,1,1,1,1,157,1,1,99,1,1,1,1,34,1,1,1,1,1,1,1,0,1,106,1,1,12,1
1,1,1,1,1,1,1,1,169,1,1,60,1,1,1,1,38,1,1,1,1,1,1,1,1,1,105,1,1,12,1
1,1,1,1,1,1,1,1,187,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,52,1,1,0,1
1,1,1,1,1,1,1,1,187,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,52,1,1,0,1
1,0,1,1,1,1,1,0,145,1,1,49,1,1,1,1,44,1,0,1,0,0,0,0,1,1,12,1,1,12,1
1,1,1,1,1,1,1,1,149,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,54,1,1,0,1
1,0,1,1,1,1,1,0,145,1,1,54,1,1,1,1,44,1,0,1,0,0,0,0,1,1,12,1,1,12,1
1,1,1,1,1,1,1,1,190,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,53,1,1,0,1
1,1,1,1,1,1,1,1,173,1,1,98,1,1,1,1,39,1,1,1,1,1,1,1,1,1,107,1,1,12,1
1,1,1,1,1,1,1,1,192,1,1,38,1,1,1,1,21,1,1,1,1,1,1,1,1,1,57,1,1,12,1
1,1,1,1,1,1,1,1,190,1,1,38,1,1,1,1,18,1,1,1,1,1,1,1,1,1,55,1,1,10,1
1,1,1,1,1,1,1,1,190,1,1,38,1,1,1,1,18,1,1,1,1,1,1,1,1,1,55,1,1,10,1
1,0,1,1,1,1,1,0,146,1,1,41,1,1,1,1,15,1,0,1,0,0,0,0,1,1,10,1,1,6,1
1,1,1,1,1,1,1,1,184,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,52,1,1,0,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,40,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,40,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,185,1,1,124,1,1,1,1,39,1,1,1,1,1,1,1,1,1,51,1,1,18,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,226,1,1,29,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,190,1,1,127,1,1,1,1,55,1,1,1,1,1,1,1,1,1,27,1,1,17,1
1,1,1,1,1,1,1,1,188,1,1,125,1,1,1,1,56,1,1,1,1,1,1,1,1,1,27,1,1,17,1
1,1,1,1,1,1,1,1,188,1,1,129,1,1,1,1,59,1,1,1,1,1,1,1,1,1,27,1,1,18,1
1,0,1,1,1,1,1,0,147,1,1,69,1,1,1,1,68,1,0,1,0,0,0,0,1,1,9,1,1,16,1
1,1,1,1,1,1,1,1,188,1,1,130,1,1,1,1,59,1,1,1,1,1,1,1,1,1,27,1,1,18,1
1,1,0,1,1,1,1,1,167,1,1,48,1,1,1,1,30,1,1,1,1,1,1,1,0,1,51,0,1,12,1
1,0,1,1,1,1,1,0,151,1,1,92,1,1,1,1,55,1,1,1,1,0,0,0,1,1,9,1,1,13,1
1,0,1,1,1,1,1,0,142,1,1,79,1,1,1,1,20,1,0,1,0,0,0,0,1,1,10,1,1,8,1
1,1,1,1,1,1,1,1,376,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,66,1,1,0,1
1,0,1,1,1,1,1,0,145,1,1,101,1,1,1,1,30,1,0,1,0,0,0,0,1,1,10,1,1,11,1
1,0,1,0,1,1,0,1,86,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,5,1,1,0,1
1,1,1,1,1,1,1,1,197,1,1,98,1,1,1,1,105,1,1,1,1,1,1,1,1,1,57,1,1,29,1
1,1,1,1,1,1,1,1,187,1,1,121,1,1,1,1,72,1,1,1,1,1,1,1,1,1,27,1,1,19,1
1,1,1,1,1,1,1,1,190,1,1,38,1,1,1,1,18,1,1,1,1,1,1,1,1,1,55,1,1,10,1
1,1,1,1,1,1,1,1,190,1,1,30,1,1,1,1,28,1,1,1,1,1,1,1,1,1,55,1,1,12,1
1,0,1,1,1,1,1,0,152,1,1,120,1,1,1,1,55,1,0,1,0,0,0,0,1,1,11,1,1,14,1
1,0,1,1,1,1,1,0,150,1,1,115,1,1,1,1,52,1,0,1,0,0,0,0,1,1,11,1,1,12,1
1,0,1,1,1,1,1,0,150,1,1,115,1,1,1,1,52,1,0,1,0,0,0,0,1,1,11,1,1,12,1
1,1,1,1,1,1,1,1,218,1,1,7,1,1,1,1,8,1,0,1,1,1,1,1,1,1,52,1,1,6,1
1,1,1,1,1,1,1,1,218,1,1,7,1,1,1,1,8,1,0,1,1,1,1,1,1,1,52,1,1,6,1
1,1,1,1,1,1,1,1,218,1,1,7,1,1,1,1,8,1,0,1,1,1,1,1,1,1,52,1,1,6,1
1,1,1,1,1,1,1,1,218,1,1,7,1,1,1,1,8,1,0,1,1,1,1,1,1,1,52,1,1,6,1
1,0,0,1,1,1,1,1,192,1,1,39,1,1,1,1,52,1,0,1,0,0,1,1,0,1,5,0,1,19,1
1,0,0,1,1,1,1,0,54,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,13,0,1,0,1
1,0,0,1,1,1,1,1,192,1,1,37,1,1,1,1,52,1,0,1,0,0,1,1,0,1,5,0,1,19,1
1,1,1,1,1,1,1,1,189,1,1,21,1,1,1,1,27,1,1,1,1,1,1,1,1,1,55,1,1,10,1
1,1,1,1,1,1,1,1,186,1,1,21,1,1,1,1,27,1,1,1,1,1,1,1,1,1,52,1,1,10,1
1,1,1,1,1,1,1,1,175,1,1,175,1,1,1,1,55,1,1,1,1,1,1,1,0,1,114,0,1,13,1
0,0,0,1,0,0,1,0,44,1,1,3,1,1,1,1,4,0,0,0,0,0,0,0,1,1,26,1,1,3,1
1,0,1,1,1,1,1,0,145,1,1,124,1,1,1,1,59,1,0,1,0,0,0,0,1,1,9,1,1,13,1
1,1,1,1,1,1,1,1,198,1,1,69,1,1,1,1,20,1,1,1,1,1,1,1,1,1,52,1,1,8,1
1,0,0,1,1,1,1,1,82,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,56,1,1,0,1
1,1,1,1,1,1,1,1,161,1,1,28,1,1,1,1,20,1,1,1,1,1,1,1,1,1,52,1,1,9,1
1,1,1,1,1,1,1,1,185,1,1,76,1,1,1,1,35,1,1,1,1,1,1,1,1,1,52,1,1,13,1
1,1,1,1,1,1,1,1,186,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,51,1,1,7,1
1,1,1,1,1,1,1,1,186,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,51,1,1,7,1
1,1,1,1,1,1,1,1,186,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,51,1,1,7,1
1,1,1,1,1,1,1,1,183,1,1,48,1,1,1,1,37,1,1,1,1,1,1,1,1,1,53,1,1,12,1
1,1,1,1,1,1,1,1,189,1,1,93,1,1,1,1,48,1,1,1,1,1,1,1,1,1,51,1,1,15,1
1,1,1,1,1,1,1,1,186,1,1,76,1,1,1,1,38,1,1,1,1,1,1,1,1,1,51,1,1,14,1
1,1,1,1,1,1,1,1,186,1,1,76,1,1,1,1,38,1,1,1,1,1,1,1,1,1,51,1,1,14,1
0,0,0,1,1,0,0,0,42,1,1,1,1,1,0,1,4,0,0,1,0,0,0,0,0,1,3,0,1,2,1
1,1,1,1,1,1,1,1,188,1,1,60,1,1,1,1,42,1,1,1,1,1,1,1,1,1,51,1,1,14,1
1,1,1,1,1,1,1,1,202,1,1,181,1,1,1,1,55,1,1,1,1,1,1,1,1,1,33,1,1,19,1
1,0,1,1,1,1,1,0,143,1,1,134,1,1,1,1,61,1,0,1,0,0,0,0,1,1,9,1,1,17,1
1,1,1,1,1,1,1,1,188,1,1,68,1,1,1,1,25,1,1,1,1,1,1,1,1,1,51,1,1,11,1
1,1,1,1,1,1,1,1,186,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,51,1,1,2,1
1,0,0,1,1,1,1,0,99,0,0,141,1,1,0,1,42,1,0,1,0,0,0,0,0,1,41,0,1,19,0
1,1,1,1,1,1,1,1,187,1,1,22,1,1,1,1,44,1,1,1,1,1,1,1,1,1,53,1,1,13,1
1,1,1,1,1,1,1,1,187,1,1,22,1,1,1,1,44,1,1,1,1,1,1,1,1,1,53,1,1,13,1
1,1,1,1,1,1,1,1,186,1,1,21,1,1,1,1,35,1,1,1,1,1,1,1,1,1,51,1,1,13,1
1,1,1,1,1,1,1,1,186,1,1,21,1,1,1,1,36,1,1,1,1,1,1,1,1,1,51,1,1,14,1
1,1,1,1,1,1,1,1,186,1,1,21,1,1,1,1,36,1,1,1,1,1,1,1,1,1,51,1,1,14,1
1,0,1,1,1,1,0,1,153,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,6,1,1,0,1
1,1,1,1,1,1,1,1,186,1,1,59,1,1,1,1,37,1,1,1,1,1,1,1,1,1,53,1,1,14,1
0,1,1,0,1,1,0,0,48,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,5,1,1,0,1
0,0,0,0,1,1,0,0,48,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,19,0,1,0,1
0,0,0,0,0,0,0,0,66,1,1,21,1,0,0,0,7,0,0,0,0,0,0,0,0,1,5,0,1,5,0
1,1,1,1,1,1,1,1,186,1,1,52,1,1,1,1,44,1,1,1,1,1,1,1,1,1,51,1,1,15,1
0,0,0,1,0,0,0,0,35,1,1,3,0,1,1,1,5,0,0,1,0,0,0,0,0,1,9,0,1,3,1
0,0,0,0,1,1,0,0,66,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,7,1,1,0,1
0,1,0,1,1,1,0,0,42,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,42,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,42,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,42,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,42,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
1,0,1,1,1,1,1,1,174,1,1,174,1,1,1,1,26,1,0,1,0,0,0,0,1,1,12,1,1,11,1
0,1,0,1,1,1,0,0,42,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,20,0,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,0,0,1,1,1,0,0,52,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1
0,0,0,1,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1
1,1,1,1,1,1,1,1,154,1,1,75,1,1,1,1,35,1,1,1,1,1,1,1,1,1,51,1,1,14,1
1,1,1,1,1,1,1,1,184,1,1,161,1,1,1,1,77,1,1,1,1,1,1,1,1,1,53,1,1,19,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
1,1,1,1,1,1,1,1,321,1,1,95,1,1,1,1,42,1,1,1,1,1,1,1,1,1,23,1,1,16,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
1,1,1,1,1,1,1,1,199,1,1,177,1,1,1,1,48,1,1,1,1,1,1,1,1,1,57,1,1,21,1
0,1,0,1,1,1,0,0,35,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,24,0,1,0,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
0,0,1,0,1,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,1
1,0,0,1,1,1,0,0,42,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,13,0,1,0,1
1,0,0,1,1,1,0,0,42,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,13,0,1,0,1
0,0,0,0,1,0,0,0,40,1,1,38,0,1,0,0,30,0,0,1,0,0,0,0,0,1,2,1,0,12,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
0,0,1,1,1,0,0,0,47,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,5,1,1,0,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,23,0,1,0,1
0,1,0,1,1,1,0,0,38,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,1
0,1,0,1,1,1,0,0,34,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,23,0,1,0,1
0,1,0,1,1,1,0,0,38,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,23,0,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,19,0,1,0,1
0,0,0,0,1,0,0,0,39,1,1,34,0,1,0,0,31,0,0,1,0,0,0,0,0,1,1,1,0,12,1
0,0,0,0,0,0,0,0,37,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1
1,0,1,1,1,1,1,0,149,1,1,160,1,1,1,1,69,1,0,1,0,0,0,0,1,1,9,1,1,21,1
0,1,0,1,1,1,0,0,35,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,0,1,0,1
0,1,0,1,1,1,0,0,35,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,0,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,19,0,1,0,1
1,1,1,1,1,1,1,1,180,1,1,71,1,1,1,1,53,1,1,1,1,1,1,1,1,1,51,1,1,16,1
0,1,0,1,1,1,0,0,36,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,18,0,1,0,1
1,1,1,1,1,1,1,1,235,1,1,238,1,1,1,1,37,1,1,1,1,1,1,1,1,1,109,1,1,12,1
1,0,0,0,1,1,0,0,35,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,1,1,0,0,35,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,18,0,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,36,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,0,0,0,0,0,0,0,50,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,8,0,1,0,1
1,0,1,0,1,1,0,0,45,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,2,1,1,0,1
0,0,0,1,0,0,0,0,52,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,1
0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
0,1,0,1,1,1,0,0,34,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,34,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,34,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,1,0,1,1,1,0,0,34,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1
0,0,0,0,0,0,0,0,32,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
0,0,0,1,0,0,0,0,27,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,0,1,3,0
0,0,0,0,0,0,0,0,46,1,1,44,1,0,1,1,66,0,0,0,0,0,0,0,1,1,0,1,1,16,0
0,0,0,0,1,0,0,0,57,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1
0,0,0,1,0,1,0,0,45,1,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,8,0,1,3,0
0,0,0,0,0,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,0,1,0,1
0,0,0,0,0,0,0,0,46,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,11,0,1,3,0
0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0
0,0,0,0,0,0,0,0,29,1,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,1,4,0
1,1,1,1,1,1,1,1,193,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,51,1,1,8,1
1,0,0,1,1,1,1,1,188,1,1,37,0,1,0,0,47,1,0,1,0,0,1,1,1,1,4,0,1,16,1
1,0,0,1,1,1,1,1,188,1,1,37,0,1,0,0,47,1,0,1,0,0,1,1,1,1,4,0,1,16,1
1,1,1,1,1,1,1,1,122,1,1,97,1,1,1,1,44,1,1,1,1,1,0,1,1,1,18,1,1,16,1
1,1,1,1,1,1,1,1,122,1,1,97,1,1,1,1,44,1,1,1,1,1,0,1,1,1,18,1,1,16,1
1,1,1,1,1,1,1,1,122,1,1,97,1,1,1,1,44,1,1,1,1,1,0,1,1,1,18,1,1,16,1
0,0,0,1,0,1,0,0,47,1,1,39,0,1,1,1,14,0,0,0,0,0,0,0,1,1,0,1,1,4,1
0,0,0,0,0,0,0,0,38,0,0,64,0,0,1,1,32,0,0,0,0,0,0,0,0,1,7,0,0,12,0
0,0,0,0,0,0,0,0,20,0,0,65,0,0,0,0,24,0,0,0,0,0,0,0,0,1,8,0,0,11,0
0,0,0,0,0,0,0,0,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,1
0,0,0,1,0,1,0,0,44,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,0,0,33,1,0,55,0,0,1,0,28,0,0,1,0,0,0,0,0,1,3,0,1,9,0
0,0,0,0,0,0,0,0,46,1,1,74,0,1,0,0,38,0,0,0,0,0,0,0,0,1,5,0,1,12,0
0,0,0,0,0,0,0,0,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
0,0,0,0,1,1,0,0,73,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0
1,0,0,1,1,1,0,0,40,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,18,1,1,0,1
0,0,0,0,0,0,0,0,30,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,1,1,1,0,0,41,1,1,89,0,1,0,0,70,1,0,0,0,0,0,0,0,1,11,1,1,20,1
0,0,0,0,0,0,0,0,33,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,35,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,2,0
0,0,0,0,0,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1
1,1,1,1,1,1,1,1,235,1,1,257,1,1,1,1,39,1,1,1,1,1,1,1,1,1,110,1,1,12,1
1,0,0,0,1,1,0,0,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
