perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_android_intent_action_SCREEN_ON,intent_android_intent_action_PACKAGE_FULLY_REMOVED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,intent_android_intent_action_ACTION_POWER_CONNECTED,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_ACTION_POWER_DISCONNECTED,suspicious_Base64,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_CHANGE_CONFIGURATION,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_android_intent_action_SCREEN_OFF,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,n_activities,intent_android_intent_action_QUICKBOOT_POWERON,suspicious_Cipher,n_urls,label
0,0,0,1,26,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,1,1,1,11,17,0,1,52,0
0,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,8,6,0,1,2,0
1,0,0,0,32,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,1,0,1,9,13,0,1,30,0
0,0,0,1,20,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,7,3,0,1,11,0
0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,14,3,0,1,29,0
0,0,0,0,27,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,1,15,7,0,1,56,0
0,0,0,0,35,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,8,33,0,1,89,0
0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,3,0
0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,1,0
0,0,0,0,13,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,5,7,0,1,42,0
1,1,0,1,12,1,0,0,0,0,0,1,17,0,1,1,0,1,0,1,0,0,0,1,1,4,4,0,0,0,1
0,0,0,1,5,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,0,0,0,1,1,5,6,0,1,10,0
0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,1,19,0
0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,7,0,1,27,0
0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,12,0,1,19,0
0,0,0,1,51,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,9,18,0,1,40,0
0,0,1,1,24,1,0,0,0,0,0,0,30,1,1,1,1,1,0,0,0,0,1,1,1,14,20,0,1,28,0
0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,1,5,5,0,1,19,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0
0,0,0,1,19,0,0,0,0,0,0,0,11,0,1,0,0,1,0,0,0,0,1,0,0,9,22,0,1,23,0
0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,5,17,0,1,38,0
0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,9,2,0,1,23,0
0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,1,1,1,8,9,0,1,30,0
0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,1,4,0
0,0,0,0,36,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,1,1,0,8,5,0,1,7,0
0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,13,2,0,1,27,0
0,0,0,0,13,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,5,5,0,1,24,0
0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,1,13,17,0,1,95,0
0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,9,38,0,1,28,0
0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,6,6,0,1,53,0
0,0,0,0,22,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,1,1,0,9,5,0,1,18,0
0,0,0,0,13,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,0,7,27,0,1,25,0
0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0
0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,7,39,0,1,30,0
0,0,1,1,38,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,1,9,4,0,1,51,0
0,0,0,0,19,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,1,0,0,8,3,0,1,8,0
0,0,0,0,21,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,1,1,1,9,7,0,1,27,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,1,21,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,1,0,1,8,32,0,1,29,1
0,0,0,0,19,0,0,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,1,1,1,7,33,0,1,91,0
0,0,0,0,25,0,0,0,0,0,0,0,27,0,1,0,0,1,0,0,0,0,1,0,0,11,15,1,1,35,0
0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,1,115,0
0,0,0,0,31,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,0,0,0,1,1,10,10,0,1,37,0
0,0,0,1,17,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,1,0,0,8,12,0,1,25,0
0,0,0,1,15,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,0,0,0,1,1,7,6,0,1,14,1
0,0,0,0,29,0,0,0,0,0,0,0,21,0,1,0,0,1,0,0,0,0,1,0,1,12,4,1,1,78,0
0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,8,8,0,1,56,0
1,0,0,0,24,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,1,1,0,10,6,0,1,37,0
1,0,1,1,28,1,0,1,0,0,0,1,29,0,1,1,0,1,0,0,0,0,0,1,1,10,38,0,1,65,0
0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,5,10,0,1,24,0
0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,7,6,0,1,21,0
0,0,0,0,21,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,8,15,0,1,17,0
1,1,0,1,13,1,0,0,0,0,0,1,14,0,1,1,0,1,0,1,0,0,0,1,1,5,3,0,1,2,1
0,0,1,1,21,1,0,0,0,0,0,0,20,0,1,1,0,1,0,0,0,0,1,1,1,11,42,0,1,45,0
0,0,0,0,19,0,0,0,0,0,0,0,18,0,0,1,0,1,0,0,0,0,1,1,1,5,6,0,1,8,0
0,0,1,1,15,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,6,6,0,1,13,1
0,0,0,0,56,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,1,17,4,0,1,6,0
0,1,0,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,8,0
0,0,1,1,35,0,1,0,0,0,0,0,25,0,1,1,0,0,0,0,0,0,0,1,1,12,2,0,1,25,0
0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,8,7,0,1,47,0
0,0,0,0,40,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,11,40,0,1,121,0
1,1,0,1,25,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,7,8,0,0,5,0
1,0,1,1,18,0,0,0,0,0,0,0,11,0,1,1,0,1,0,0,0,0,0,1,1,7,40,0,1,8,0
0,0,0,1,46,1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,1,13,21,0,1,102,0
0,0,0,0,34,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,11,24,0,1,66,1
0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,32,0
0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,1,10,13,0,1,31,0
0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,9,22,1,1,33,0
0,0,1,1,19,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,8,3,0,1,12,0
0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,0,1,1,7,4,0,1,7,0
0,0,0,0,14,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,1,1,6,70,0,1,118,0
0,0,0,0,29,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,1,15,11,0,1,49,0
0,0,0,1,16,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,1,1,7,15,0,1,30,0
0,0,0,1,20,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,1,10,0
0,0,0,0,32,0,0,0,0,0,0,0,11,0,1,0,1,1,0,0,0,0,1,0,1,11,64,0,1,202,0
0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,6,4,0,1,21,0
0,0,1,0,34,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,1,0,1,12,59,0,1,127,0
1,0,0,0,32,1,0,0,0,1,0,0,19,0,1,1,0,1,0,0,1,1,0,1,1,7,20,0,1,57,0
1,0,0,1,6,1,0,1,0,1,0,0,19,0,0,0,0,1,0,0,0,0,1,1,0,4,25,1,0,4,0
0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,6,4,0,1,20,0
0,0,0,1,14,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,5,2,0,1,22,0
0,0,0,0,18,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,9,13,0,1,17,0
1,1,1,1,59,1,0,1,1,0,0,1,145,0,1,1,0,1,1,1,1,0,0,1,1,13,331,0,1,124,0
1,0,0,0,34,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,11,5,0,1,50,0
0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,1,23,0
0,0,0,0,34,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,11,17,1,1,97,0
0,0,0,0,31,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,1,0,0,10,6,0,1,15,0
0,0,1,1,33,0,0,0,0,0,0,1,7,0,1,0,0,1,0,0,0,0,0,0,1,11,35,0,1,129,1
0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,9,17,0,1,50,0
0,0,0,1,27,0,0,0,0,0,0,0,16,0,1,1,0,1,0,0,0,0,1,1,0,15,4,0,1,85,0
0,0,0,1,24,0,0,0,0,0,0,0,26,0,1,1,0,1,0,0,0,0,1,1,0,9,3,0,1,8,0
0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,5,2,0,1,34,1
1,1,1,1,31,1,0,1,0,1,0,1,38,1,1,1,1,1,0,1,0,0,0,1,1,10,11,0,1,90,0
0,0,0,0,45,0,0,1,0,0,0,0,31,1,1,1,1,1,0,0,0,0,1,1,1,16,80,1,1,152,0
0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,0
0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,1,3,0
0,0,0,0,18,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,7,17,0,1,15,0
0,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,1,10,8,1,1,37,1
0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,7,4,0,1,16,0
1,0,0,1,31,0,0,0,0,0,0,0,17,0,1,1,0,1,0,0,0,0,1,1,1,13,47,0,1,44,0
0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,9,7,0,1,26,0
0,0,0,0,10,1,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,4,6,0,0,3,0
0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,11,0,1,16,0
0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,1,0,5,11,0,0,18,0
1,0,1,1,16,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,1,8,0
1,0,0,1,0,1,0,0,0,0,0,1,17,0,0,1,0,0,0,0,0,0,0,1,1,0,32,0,0,0,0
0,0,0,1,32,0,0,0,0,0,0,0,37,0,1,1,0,1,0,0,0,0,1,1,1,15,67,0,1,152,0
1,0,1,1,63,1,0,1,0,0,0,0,11,0,1,0,0,1,0,0,0,0,1,0,1,16,13,0,1,100,0
0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,0,11,4,0,1,19,0
1,0,1,1,10,1,0,0,0,0,0,0,16,0,1,1,0,1,0,0,1,0,0,1,1,4,3,0,0,2,0
1,1,0,1,0,1,0,1,0,0,0,1,43,0,0,1,0,0,0,1,0,0,0,1,1,0,9,0,0,0,0
0,0,0,0,27,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,1,11,19,0,1,19,0
1,0,0,1,58,1,0,1,0,0,0,0,21,0,1,0,0,1,0,0,0,0,0,1,1,15,71,1,1,168,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,0,1,0,6,27,0,1,17,0
0,0,1,1,34,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,10,17,0,1,26,0
0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,13,0,1,19,0
0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,22,0
0,0,1,1,41,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,1,1,13,3,0,1,19,0
0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,12,4,0,1,21,0
0,0,0,0,45,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,1,0,1,18,2,0,1,88,0
0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,1,8,26,0,1,49,1
0,0,0,1,25,0,0,0,0,0,0,0,24,0,1,0,0,1,0,0,0,0,1,0,1,11,13,0,1,37,0
0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,6,4,0,1,17,0
0,0,1,1,27,0,0,1,0,0,0,0,11,0,1,0,0,1,0,0,0,0,1,1,1,10,24,1,1,41,0
0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,13,2,0,1,26,0
1,0,1,1,61,1,0,1,0,0,0,1,26,0,1,1,0,1,0,1,0,0,0,1,1,15,132,0,1,88,0
0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,7,26,0,1,47,0
0,0,1,1,28,0,1,0,0,0,0,0,17,0,1,1,0,1,0,0,0,0,1,1,1,9,51,0,1,133,0
0,0,0,0,24,0,0,0,0,0,0,0,17,0,1,1,0,1,0,0,0,0,1,1,1,12,37,0,1,18,0
0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,7,4,0,1,14,0
0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,4,5,0,1,20,0
0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0,1,9,1
1,1,1,1,16,1,0,0,0,0,0,1,17,0,1,1,0,1,0,1,0,0,0,1,1,6,5,0,0,11,0
0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,1,12,0
0,0,0,0,20,0,0,0,0,0,0,0,27,0,1,0,0,1,0,0,0,0,1,0,1,8,11,1,1,28,0
0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,5,5,0,1,23,0
0,0,0,1,17,1,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,1,0,0,9,21,0,1,53,0
0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,6,3,0,1,3,0
0,0,0,1,28,1,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,1,0,0,10,4,1,1,22,0
0,0,0,0,24,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,1,0,0,10,4,0,1,27,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,40,0,0,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,1,0,1,16,31,0,1,119,1
0,0,0,1,19,0,0,0,0,0,0,0,26,0,1,0,0,1,0,0,0,0,0,0,1,8,30,1,1,81,0
0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,7,4,0,1,18,0
0,0,0,0,11,0,0,1,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,1,4,3,0,1,37,0
0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,11,6,0,1,23,0
0,0,0,0,18,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,1,0,7,23,0,1,15,0
0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,6,10,0,1,19,0
0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,8,0
1,0,0,1,16,0,0,0,0,0,0,0,32,0,0,1,0,1,0,0,0,0,0,1,1,7,27,0,1,83,0
0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,11,6,0,1,40,0
1,1,1,1,69,1,1,1,0,0,0,1,124,0,1,1,0,1,1,1,1,0,1,1,1,21,419,0,1,202,0
0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,4,4,0,1,17,0
1,0,0,1,79,0,0,0,0,0,0,0,39,0,1,1,0,1,0,0,1,0,1,1,1,24,142,0,1,141,0
0,0,0,0,50,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,1,0,1,13,19,0,1,84,0
0,0,0,1,21,0,0,0,0,0,0,0,11,0,1,1,0,1,0,0,0,0,1,1,0,10,43,0,1,53,0
0,0,0,0,23,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,11,20,0,1,176,0
0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,4,13,0,0,19,0
0,0,0,0,41,0,0,0,0,0,0,0,25,0,1,1,0,1,0,0,0,0,0,1,1,12,7,0,1,17,0
0,0,0,1,20,1,0,1,0,0,0,0,12,0,0,1,0,1,0,0,0,0,1,1,0,10,11,0,1,24,0
0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,7,21,0,1,16,0
1,0,0,0,44,0,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,1,12,2,0,1,36,0
0,0,0,0,53,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,17,1,0,1,5,0
0,0,0,0,25,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,1,1,1,10,9,0,1,51,0
0,0,0,0,29,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,1,11,12,0,1,101,0
0,0,1,1,30,0,0,0,0,0,0,0,11,1,0,0,1,1,0,0,0,0,0,0,1,11,22,0,1,44,0
1,0,1,1,33,1,0,0,0,0,0,1,23,0,0,1,0,1,0,0,0,0,1,1,1,9,7,0,1,53,0
0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,1,22,0
0,0,0,1,32,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,12,9,0,1,28,0
0,0,0,1,5,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,10,0
0,0,0,1,30,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,11,6,0,1,39,0
0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,1,10,0
0,0,0,1,20,0,0,0,0,0,0,0,28,0,1,1,0,1,0,0,0,0,1,1,0,7,18,1,1,66,0
0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,8,0,1,11,0
1,0,0,1,0,1,0,0,0,0,0,1,19,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,9,16,0,1,46,1
0,0,0,0,28,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,10,5,0,1,41,0
0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,4,3,0,1,35,0
0,0,1,0,51,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,1,1,1,17,24,0,1,98,0
0,0,0,1,15,1,0,1,0,0,0,0,14,0,0,1,0,1,0,0,0,0,0,1,0,7,10,0,1,7,0
1,0,1,1,106,1,0,1,0,0,0,1,30,0,1,1,0,1,0,1,0,0,1,1,1,20,77,0,1,172,0
0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,11,27,0,1,63,0
0,0,0,1,28,0,0,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,1,10,13,0,1,10,0
0,0,0,0,42,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,0,1,1,12,11,0,1,67,0
0,0,0,0,24,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,1,7,8,1,1,27,0
0,0,0,0,24,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,0,0,1,1,1,10,7,0,1,45,0
0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,7,7,0,1,20,0
0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,1,3,3,0,1,32,0
1,0,1,1,40,1,0,1,0,0,0,0,29,1,1,1,1,1,0,0,0,0,0,1,1,16,19,0,1,113,0
1,1,0,1,0,1,0,1,0,0,0,1,31,1,1,1,1,0,0,0,0,0,0,1,1,0,50,0,0,0,1
