n_permissions,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_activities,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,n_urls,n_api_calls,n_used_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSystemService,suspicious_getPackageInfo,suspicious_Base64,n_receivers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_accessibilityservice_AccessibilityService,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getDeviceId,label
12,0,0,0,16,0,10,0,2,2,1,1,1,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3,0,0,0,3,0,0,21,14,6,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33,0,1,0,6,0,9,13,19,8,1,1,1,1,7,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
6,0,0,0,9,0,0,3,6,4,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
7,0,0,0,10,0,5,43,40,12,0,1,1,1,4,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0
4,0,0,0,1,0,0,25,18,7,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5,0,0,0,27,0,26,17,19,7,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,0,0,0,4,0,4,48,21,10,0,1,1,1,5,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
13,0,1,0,3,0,2,22,44,12,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0,0,5,0,0,39,23,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,0,0,0,14,0,5,17,12,5,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
5,0,0,0,6,0,1,34,29,11,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
17,0,0,0,51,0,12,96,28,11,1,1,1,1,14,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0
12,0,0,0,34,0,3,50,33,10,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
2,0,0,0,6,0,0,25,23,13,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
17,0,1,0,14,0,6,49,43,10,1,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,0,0,0,5,0,3,3,19,9,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
6,0,0,0,1,0,0,0,5,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
11,0,1,0,19,0,3,40,34,9,1,1,1,1,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
4,0,0,0,4,0,1,8,23,13,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
21,1,1,1,17,0,6,40,27,9,1,1,1,1,5,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0
11,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,1,4,0,3,20,16,6,0,1,1,1,5,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,7,0,0,1,12,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,0,0,0,5,0,2,15,18,7,0,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,0,23,0,0,15,29,10,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
57,0,1,1,142,1,36,209,50,21,1,1,1,1,21,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0
6,0,0,0,9,0,5,23,22,9,1,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
15,0,1,0,6,0,16,20,27,9,1,1,1,1,14,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
8,0,0,0,20,0,2,5,6,4,0,1,1,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2,0,0,0,21,0,4,49,17,7,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
4,0,0,0,5,0,5,24,35,14,0,1,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0
8,0,0,0,3,0,0,11,12,8,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
13,0,1,0,2,0,1,6,17,8,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
18,1,1,0,17,0,3,42,19,9,1,1,1,1,3,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0
23,1,1,1,3,1,3,6,25,8,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0
12,0,1,0,5,0,5,13,26,10,1,1,1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
40,1,1,1,24,1,13,111,59,15,1,1,1,1,9,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
17,1,1,1,32,0,7,97,24,10,1,1,1,1,3,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0
8,0,0,1,20,0,5,176,23,11,1,1,1,1,6,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
9,0,0,0,46,0,6,68,33,14,1,1,1,1,6,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
26,1,1,1,78,0,0,85,32,13,1,1,1,1,2,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0
27,0,0,0,10,0,10,29,24,10,1,1,1,1,5,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0
15,0,1,1,7,0,1,29,23,7,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
3,0,0,0,8,0,0,23,6,5,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
9,0,1,0,3,0,1,30,11,4,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,0,0,0,12,0,2,21,21,9,1,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
5,0,0,0,22,0,3,60,38,10,0,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4,0,0,0,16,0,0,40,14,6,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,0,0,0,11,0,5,43,42,11,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
2,0,0,0,3,0,1,40,36,13,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
24,1,0,1,10,1,7,36,20,11,1,1,1,1,3,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0
10,0,0,0,37,0,3,67,29,13,1,1,1,1,9,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
13,1,1,0,12,0,9,9,18,6,1,1,1,1,2,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
2,0,0,0,5,0,0,11,16,7,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10,0,0,0,65,0,23,168,57,22,0,1,1,1,15,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
17,0,1,0,53,0,13,162,26,10,1,1,1,1,9,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0
17,0,1,0,54,0,13,58,29,13,1,1,1,1,13,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0
9,0,1,0,15,0,2,46,21,7,1,1,1,1,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
25,1,1,1,18,1,8,34,27,11,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1
3,0,0,0,4,0,0,2,20,7,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,0,8,0,1,24,19,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
19,1,1,0,84,0,14,34,21,9,1,1,1,1,10,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0
7,0,0,0,17,0,5,49,35,14,0,1,1,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,0,42,0,8,46,14,5,1,1,1,1,7,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0
7,0,0,0,44,0,8,23,20,7,1,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
3,0,0,0,9,0,1,45,8,5,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,16,0,9,33,21,8,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
2,0,0,0,13,0,0,33,18,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10,0,0,0,9,0,0,17,16,7,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
5,0,0,0,14,0,1,33,23,7,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,0,0,0,10,0,2,34,29,11,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
5,0,0,0,7,0,0,0,12,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,1,0,1,7,1,0,41,26,9,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
46,1,1,1,58,1,34,3,5,3,1,1,1,1,13,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
9,0,0,0,14,0,3,40,19,9,1,1,1,1,3,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
5,0,0,0,22,0,0,9,6,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,1,0,38,0,10,33,24,9,1,1,1,1,7,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
24,1,1,1,36,0,10,83,39,14,1,1,1,1,13,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0
7,0,0,0,12,0,2,14,2,2,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
7,1,1,0,2,0,2,16,20,8,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
13,0,0,0,5,0,0,23,18,7,1,1,1,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
19,0,1,1,29,1,17,46,65,11,1,1,1,1,9,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0
2,0,0,0,11,0,0,19,18,7,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4,0,0,0,8,0,0,19,19,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
5,0,0,0,10,0,0,34,15,8,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
28,0,0,0,35,0,17,36,23,12,0,1,1,1,10,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0
17,0,1,0,12,0,4,3,9,3,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
13,0,0,0,22,0,14,117,12,6,1,1,1,1,6,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
4,0,0,0,6,0,0,28,20,10,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
18,0,0,0,10,0,6,43,14,6,1,1,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
6,0,0,0,3,0,1,12,25,8,0,1,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
27,1,1,1,43,0,14,141,70,18,1,1,1,1,6,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0
22,0,1,0,57,0,1,19,22,8,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
12,0,1,0,7,0,1,24,39,15,1,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
4,0,0,0,5,0,0,19,14,7,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
8,0,1,0,29,0,4,105,44,13,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8,0,0,0,18,0,3,32,25,12,1,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
28,1,1,1,4,1,3,3,26,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0
2,0,0,0,2,0,0,33,5,4,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
20,0,1,1,3,0,8,17,35,11,1,1,1,1,5,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0
14,0,0,0,12,0,10,118,33,11,1,1,1,1,5,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
27,0,0,0,12,0,8,20,18,8,1,1,1,1,4,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
2,0,0,0,2,0,0,28,20,11,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10,0,1,0,20,0,10,22,12,5,1,1,1,1,15,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0,0,5,0,3,26,33,15,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0
7,0,0,0,4,0,3,20,12,5,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
21,0,0,0,62,0,12,80,32,13,1,1,1,1,16,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0
3,0,1,0,6,0,1,39,30,11,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8,0,0,0,12,0,7,38,11,7,0,1,1,1,8,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0
7,0,0,0,5,0,0,21,23,10,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
8,0,0,0,29,0,2,28,14,7,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
8,0,0,0,12,0,3,32,27,9,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
11,0,1,0,20,0,4,37,34,10,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
3,0,0,0,5,0,0,32,20,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,0,0,0,9,0,3,91,58,22,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0
3,0,0,0,11,0,0,33,19,10,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0,0,14,0,0,20,17,8,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,5,0,0,3,20,7,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,16,0,4,38,22,9,0,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,5,0,0,15,22,8,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
23,0,0,0,5,0,2,8,25,10,1,1,1,1,8,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
26,0,0,0,32,0,13,144,48,18,1,1,1,1,8,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0
7,0,0,0,19,0,0,19,10,6,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
9,0,0,0,36,0,3,43,22,10,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
33,1,1,0,17,0,4,49,35,11,1,1,1,1,5,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
7,0,0,0,9,0,3,25,20,8,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
7,0,0,0,6,0,9,64,16,6,0,1,1,1,9,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0
10,0,1,0,27,0,5,24,6,5,1,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
6,0,1,0,6,0,1,8,19,9,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
124,1,1,1,419,1,56,202,69,21,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
7,0,0,0,9,0,0,2,6,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
10,0,0,0,17,0,3,15,19,6,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
4,0,0,0,12,0,0,23,17,8,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,0,9,0,7,12,17,8,1,1,1,1,9,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
16,0,1,0,10,0,14,54,23,9,1,1,1,1,4,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
10,0,1,0,15,0,14,28,34,10,1,1,1,1,10,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
27,0,0,0,15,0,5,24,19,8,1,1,1,1,4,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0
24,0,0,0,17,0,5,24,15,6,1,1,1,1,5,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
11,0,1,0,54,0,5,29,30,11,1,1,1,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
31,0,0,0,9,0,9,40,25,12,1,1,1,1,12,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0
3,0,0,0,3,0,0,3,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60,1,1,1,24,1,9,62,39,12,1,1,1,1,9,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
4,0,0,0,11,0,0,12,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,8,0,8,62,23,10,1,1,1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
6,0,0,0,19,0,3,83,27,12,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4,0,0,0,6,0,0,26,22,9,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
3,0,0,0,1,0,0,2,20,7,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
9,0,0,0,27,0,2,93,34,14,1,1,1,1,3,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
6,0,0,0,2,0,1,28,45,14,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
4,0,0,0,7,0,0,22,12,4,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,0,0,0,6,0,0,29,16,8,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
24,0,1,0,68,0,32,167,24,9,1,1,1,1,17,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2,0,0,0,2,0,0,18,18,7,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,0,3,0,8,6,17,9,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
10,0,0,0,23,0,7,88,29,10,0,1,1,1,6,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
2,0,0,0,1,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,39,20,10,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
21,1,1,1,2,0,0,4,10,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,0,0,0,2,0,0,23,20,11,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8,0,0,0,3,0,0,7,19,7,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,0,16,0,1,36,27,8,1,1,1,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
24,0,0,0,19,0,13,53,19,8,0,1,1,1,8,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0
