perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,suspicious_Ljava_lang_System___load,suspicious_getPackageInfo,suspicious_Base64,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getExternalStorageDirectory,suspicious_getSystemService,suspicious_Cipher,suspicious_getDeviceId,n_services,suspicious_Ljava_lang_Runtime___exec,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_WRITE_SETTINGS,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,n_activities,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_SEARCH,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_system_bin_su,label
0,2,0,0,0,0,76,12,5,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0
1,8,1,0,0,0,29,18,7,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,12,0,0,0,0,0,0
0,2,0,0,0,0,6,6,3,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,10,0,0,0,0,19,10,5,0,1,1,1,1,1,1,1,3,1,0,1,0,1,0,37,0,0,1,1,0,0
1,3,0,0,0,0,31,29,13,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,66,0,0,0,0,0,0
0,25,0,0,0,0,47,35,12,0,1,1,0,1,1,1,1,6,1,0,1,0,1,0,18,0,0,1,1,0,1
1,28,1,0,0,0,3,22,11,0,1,1,1,1,1,0,0,5,0,1,0,0,0,0,19,0,0,0,0,0,0
0,5,0,0,0,0,27,22,9,0,1,1,0,1,1,1,1,3,0,0,1,0,1,0,5,0,0,1,1,0,0
0,7,0,0,0,0,37,8,6,0,1,1,1,1,1,1,1,8,0,0,1,0,1,0,7,1,0,1,1,0,0
1,10,1,1,1,0,11,13,6,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
1,16,0,0,0,0,50,44,17,0,1,1,1,1,1,1,1,3,1,0,1,0,1,0,9,0,0,0,0,1,0
0,9,1,0,1,0,38,30,9,1,1,1,0,1,1,1,1,2,0,0,1,0,1,0,13,0,0,0,0,1,0
1,15,1,0,0,0,3,4,3,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,7,0,0,0,0,1,0
0,5,0,0,0,0,11,12,5,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,10,0,0,0,0,0,0
1,19,1,1,0,1,22,38,12,1,1,1,1,1,1,1,1,7,1,1,1,1,0,1,11,0,0,0,0,1,0
0,1,0,0,0,0,4,13,6,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1,12,0,0,0,0,36,8,6,0,1,1,1,1,1,1,0,5,0,0,1,0,1,0,14,1,0,1,1,0,0
1,49,1,1,1,1,200,68,17,1,1,1,1,1,1,1,1,9,1,1,1,1,0,1,21,0,0,0,0,0,1
0,3,0,0,0,0,17,5,4,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,4,0,0,0,0,0,1
0,4,0,0,0,0,22,13,5,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,5,0,0,1,0,0,0
0,5,0,0,0,0,51,7,6,0,1,1,0,1,1,1,0,7,0,0,1,0,1,0,9,1,0,1,1,0,0
1,16,1,0,0,0,61,12,7,0,1,1,1,1,1,1,1,10,1,0,1,1,0,0,21,1,0,1,1,0,0
0,5,0,0,0,0,17,18,7,0,1,1,0,1,1,1,1,3,0,0,1,0,0,0,5,1,0,1,1,0,0
1,224,1,1,1,1,0,4,4,0,1,1,1,1,1,0,1,114,1,1,1,1,0,1,305,0,0,1,0,0,1
0,7,1,0,0,0,9,17,7,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,6,0,0,0,0,22,26,8,0,1,1,0,1,1,1,1,2,1,0,1,0,1,0,5,0,0,1,1,0,0
1,18,1,0,0,0,118,30,10,1,1,1,1,1,1,1,1,13,1,0,1,0,1,0,48,0,0,1,1,0,0
0,30,0,0,0,0,7,19,7,0,1,1,1,1,1,1,0,6,1,0,1,0,1,0,2,1,0,1,1,0,0
1,7,1,1,0,0,16,20,8,0,1,0,1,1,1,1,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0
0,6,0,0,0,0,23,7,6,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,12,0,0,1,1,0,0
0,23,0,0,0,0,37,27,9,1,1,1,0,1,1,1,1,6,0,0,1,0,1,0,14,1,0,1,1,0,0
1,11,0,1,0,0,45,39,9,1,1,1,0,1,1,1,1,5,1,0,1,0,1,0,27,0,0,1,1,0,0
0,2,0,0,0,0,20,18,7,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0
0,20,0,0,0,0,12,17,5,0,1,1,0,1,1,1,0,4,1,0,1,0,1,0,4,0,0,1,1,0,0
0,5,0,0,0,0,36,21,9,1,1,1,1,1,1,1,0,3,0,0,1,0,1,0,33,0,0,0,0,0,0
0,2,0,0,0,0,18,19,9,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0
1,33,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,11,1,0,1,1,0,0,3,0,0,0,0,0,1
0,5,0,0,0,0,1,17,8,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,4,0,0,0,0,11,14,6,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
0,2,0,0,0,0,10,3,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
0,29,1,0,1,0,94,27,11,0,1,1,1,1,1,1,1,27,0,0,1,0,1,0,56,1,0,1,1,0,0
1,3,0,0,0,0,31,33,13,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1,13,0,0,0,0,57,19,9,0,1,1,1,1,1,1,1,5,1,0,1,0,1,0,17,0,1,1,1,1,0
0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,19,1,1,0,0,23,35,12,0,1,1,1,1,1,1,1,10,0,0,1,0,1,0,4,1,0,1,1,0,0
1,12,0,0,0,0,155,27,10,1,1,1,1,1,1,1,1,10,0,0,1,0,1,0,72,0,0,1,1,0,0
1,6,0,0,0,0,32,20,8,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
1,6,0,0,0,0,4,11,6,0,1,0,0,0,1,0,1,3,0,0,1,0,0,0,8,0,0,0,0,0,0
0,10,1,0,0,0,74,18,7,0,1,1,1,1,1,1,1,8,0,0,1,0,1,0,17,1,0,1,1,0,0
0,9,1,0,0,0,15,13,7,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,14,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,25,0,0,0,0,34,46,15,1,1,1,1,1,1,1,1,5,1,0,1,0,0,0,11,0,0,1,1,0,0
0,12,0,0,1,0,227,35,13,1,1,1,1,1,1,1,1,6,1,0,1,0,1,0,18,1,0,1,1,0,0
0,2,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,10,1,0,0,0,40,13,5,0,1,1,1,1,1,1,1,2,0,0,1,0,1,0,10,0,0,1,1,0,0
1,7,0,0,0,0,18,32,13,1,1,1,0,1,1,1,1,5,0,0,1,0,0,0,5,0,0,0,0,0,0
1,7,0,0,0,0,29,26,10,0,1,1,0,1,1,1,1,3,0,0,1,0,1,0,8,0,0,0,0,0,0
0,0,0,0,0,0,1,17,8,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7,0,0,0,0,50,11,9,0,1,1,0,1,1,1,1,4,0,0,1,0,1,0,17,0,0,0,0,0,0
1,19,1,0,1,1,75,23,9,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,37,0,0,0,0,0,0
0,12,1,0,0,0,3,9,3,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,13,0,0,0,0,0,1
1,33,1,0,0,0,54,27,13,1,1,1,1,1,1,1,1,13,1,0,1,0,1,0,19,1,0,1,1,0,0
0,9,1,0,0,0,48,22,8,0,1,1,1,1,1,1,1,3,0,0,1,0,1,0,16,0,0,1,1,1,0
0,2,0,0,0,0,16,22,6,0,1,1,0,1,1,1,0,3,0,0,1,0,0,0,4,0,1,0,0,0,0
1,17,0,0,0,0,84,35,17,1,1,1,1,1,1,1,1,11,1,0,1,1,1,0,28,1,0,1,1,0,0
0,8,0,0,0,0,1,13,6,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
0,27,0,0,0,0,35,22,12,1,1,1,1,1,1,1,1,13,1,0,1,0,1,0,15,1,0,1,1,0,0
0,7,0,0,0,0,16,23,11,1,1,1,1,1,1,1,1,2,0,0,1,0,1,0,15,0,0,0,0,0,0
0,9,1,0,0,0,33,9,6,1,1,1,1,1,1,1,1,7,0,0,1,0,1,0,19,1,0,1,1,0,0
0,24,1,0,0,0,26,30,9,1,1,1,0,1,1,1,1,4,1,0,1,0,0,0,11,0,0,1,1,0,0
1,18,1,1,0,0,18,12,4,0,1,1,1,1,1,1,0,5,0,0,1,0,0,0,14,1,0,1,1,0,0
0,4,0,0,0,0,22,4,3,0,1,1,1,1,1,1,1,2,0,0,1,0,1,0,9,0,1,0,0,0,0
0,9,0,0,0,0,24,21,8,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,17,0,0,0,0,0,0
1,17,0,0,0,0,106,36,12,1,1,1,1,1,1,1,1,11,0,0,1,0,1,0,186,1,0,1,1,0,0
0,4,0,0,0,0,14,14,6,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0
1,37,0,0,1,0,123,41,17,1,1,1,1,1,1,1,1,11,1,0,1,0,1,0,12,1,0,1,1,1,0
1,9,0,0,0,0,52,22,10,0,1,1,1,1,1,1,1,7,0,0,1,0,0,0,11,1,0,1,1,0,0
1,9,1,0,0,0,21,8,4,1,1,1,1,1,1,1,1,10,0,0,1,0,0,0,23,0,0,0,0,0,0
1,4,0,0,0,0,15,20,8,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,7,0,0,0,0,1,0
1,11,0,0,0,0,24,27,9,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,9,0,0,1,0,0,0
0,3,0,0,0,0,15,17,8,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,5,0,0,0,0,42,18,8,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,9,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,2,0,0,0,0,0,13,5,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,9,0,0,0,0,9,8,5,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
0,4,0,0,0,0,31,17,9,0,1,1,0,1,1,1,0,2,0,0,1,0,1,0,11,0,0,0,0,0,0
1,13,1,1,0,0,158,30,10,1,1,1,1,1,1,1,1,9,1,0,1,1,0,0,26,0,0,0,0,0,1
0,7,0,0,0,0,49,11,5,1,1,1,0,1,1,1,1,6,0,0,1,0,1,0,35,0,0,1,1,0,0
0,4,0,0,0,0,35,33,10,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,13,0,0,0,0,0,0
1,15,0,0,1,0,119,34,13,1,1,1,1,1,1,1,1,11,1,0,1,0,1,0,26,0,0,1,1,1,0
1,7,1,0,0,0,3,11,6,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,9,0,0,0,0,0,0
1,10,0,0,0,0,113,37,15,1,1,1,0,1,1,1,1,16,1,0,1,0,1,0,29,0,0,1,1,1,0
0,5,0,0,0,0,21,18,7,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,6,0,0,1,1,0,0
0,9,0,1,1,0,20,16,6,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,1,1,1,0
0,4,0,0,0,0,29,25,13,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,4,0,0,0,0,0,0
0,2,0,0,0,0,20,13,5,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0
0,5,0,0,0,0,39,10,9,0,1,1,0,1,1,1,1,4,0,0,1,0,1,0,3,0,0,1,1,0,0
0,2,0,0,0,0,8,5,4,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
1,21,1,0,0,0,70,15,8,1,1,1,1,1,1,1,1,14,1,0,1,0,0,0,44,0,0,1,1,1,0
1,7,1,0,0,0,18,19,10,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,6,0,0,0,0,1,0
1,13,0,1,0,0,15,39,9,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,23,0,0,0,0,0,0
0,30,1,0,0,0,3,20,7,0,1,1,1,1,1,1,0,3,1,0,1,0,1,0,5,0,0,1,1,0,0
0,5,0,0,0,0,20,24,12,1,1,1,0,1,1,1,1,5,1,0,1,0,1,0,5,0,0,1,1,0,0
0,2,0,0,0,0,2,20,7,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0
1,24,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,1,0,1,9,0,0,0,0,0,0
1,26,0,0,0,0,77,53,13,1,1,1,1,1,1,1,1,13,0,0,1,0,0,0,16,1,0,1,1,0,1
1,8,0,0,0,0,16,18,7,0,1,1,0,1,1,1,1,2,0,0,1,0,0,0,7,0,0,1,1,0,0
0,4,0,0,1,0,15,18,7,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,10,0,0,0,0,0,0
0,23,0,0,0,0,31,20,11,0,1,1,0,1,1,1,1,11,1,0,1,0,1,0,21,1,0,1,1,0,0
0,19,0,0,0,0,25,21,11,0,1,1,1,1,1,1,1,7,0,0,1,0,1,0,66,0,0,1,1,0,0
0,2,0,0,0,0,2,6,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1,8,0,1,1,0,20,22,6,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
0,2,0,0,0,0,18,25,8,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1
1,8,0,0,0,0,36,10,9,0,1,1,0,1,1,1,1,7,0,0,1,0,1,0,9,1,0,1,1,0,0
1,30,0,0,0,0,44,34,14,1,1,1,1,1,1,1,1,11,1,0,1,0,1,0,18,0,0,1,1,0,0
0,3,0,0,0,0,1,6,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,18,17,7,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0
0,6,0,0,0,0,63,29,10,1,1,1,0,1,1,1,1,3,0,0,1,0,1,0,16,0,0,0,0,0,0
0,10,1,0,0,0,28,6,6,1,1,1,0,0,1,1,1,6,0,0,1,0,1,0,28,0,0,1,1,0,0
1,3,0,0,0,0,12,29,13,0,1,1,0,1,1,1,1,3,0,0,1,0,0,0,6,0,0,0,0,0,0
1,10,0,1,0,0,41,42,10,1,1,1,0,1,1,1,1,5,1,0,1,0,0,0,27,0,0,1,1,0,0
0,4,0,0,0,0,68,34,12,0,1,1,0,1,1,1,1,7,0,0,1,0,1,0,13,0,0,0,0,0,0
0,20,1,0,1,0,123,30,12,1,1,1,1,1,1,1,1,20,0,0,1,1,1,0,31,1,0,1,1,0,0
0,3,0,0,0,0,37,20,11,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,11,0,0,0,0,0,0
0,26,1,0,1,0,23,28,11,1,1,1,1,1,1,1,1,7,0,0,1,0,1,0,3,1,0,1,1,0,0
0,12,0,0,0,0,82,33,8,0,1,1,1,1,1,1,1,8,1,0,1,0,0,0,11,0,0,1,1,0,0
1,35,1,1,1,1,156,85,17,1,1,1,1,1,1,1,1,16,1,0,1,0,0,1,159,0,0,0,0,0,0
0,2,0,0,0,0,24,20,11,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0
1,5,0,0,0,0,30,14,6,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,7,0,0,0,0,0,0
1,6,0,0,0,0,21,19,7,0,1,1,1,1,1,1,0,10,0,0,1,1,0,0,13,0,0,0,0,0,0
1,20,1,0,1,1,32,18,7,1,1,1,1,1,1,1,1,4,0,0,1,1,1,0,9,0,0,1,1,0,0
1,31,1,1,1,1,37,32,10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,10,0,0,0,0,0,0
0,3,0,0,0,0,16,8,5,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,11,1,0,0,0,66,43,14,0,1,1,0,1,1,1,1,12,1,0,1,0,1,0,13,0,0,1,1,0,0
1,17,1,0,0,0,21,22,9,0,1,1,1,1,1,1,1,8,0,0,1,0,1,0,6,1,0,1,1,0,0
0,3,0,0,0,0,24,23,11,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,5,0,0,0,0,0,0
0,2,0,0,0,0,25,19,9,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0
0,6,0,0,0,0,25,16,7,0,1,1,0,1,1,1,1,2,0,0,1,0,0,0,5,0,0,1,1,0,0
0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0
0,24,0,0,0,0,77,21,7,0,1,1,0,1,1,1,1,11,0,0,1,0,1,0,10,1,0,1,1,0,0
1,33,1,1,1,1,184,37,13,1,1,1,1,1,1,1,1,12,1,0,1,1,0,0,72,0,0,0,0,1,0
0,22,1,0,0,0,3,13,6,0,1,1,1,1,1,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,0
0,2,0,0,0,0,23,17,7,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,4,0,0,0,0,1,0
0,6,1,0,0,0,12,26,10,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0
