n_api_calls,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_providers,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_SEND_SMS,suspicious_Ldalvik_system_PathClassLoader_,perm_com_sec_android_provider_badge_permission_WRITE,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_DISCONNECTED,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,perm_com_sec_android_provider_badge_permission_READ,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_USER_PRESENT,n_permissions,n_services,n_receivers,perm_android_permission_RECEIVE_SMS,label
25,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,35,15,14,0,1
34,0,1,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,10,13,5,0,0
43,0,0,0,1,0,1,0,1,1,1,1,3,0,0,1,1,1,0,0,1,1,1,1,1,0,39,12,7,0,0
38,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,1,0,13,10,6,0,0
24,0,0,0,1,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,1,0,18,10,5,1,0
45,0,1,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,1,14,14,10,0,1
43,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,7,3,0,1
46,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27,8,8,0,1
32,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,9,6,1,1
32,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,9,6,1,1
32,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,9,6,1,1
31,1,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,22,13,9,0,0
42,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,31,9,6,0,1
23,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,1,18,17,12,0,0
30,0,0,1,1,0,1,0,1,1,1,0,3,1,0,1,0,0,0,1,1,1,0,0,0,1,33,11,8,0,1
30,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,1,1,0,0,1,1,1,1,0,0,28,6,8,0,0
46,0,1,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,11,14,10,0,1
32,1,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,15,8,4,0,0
25,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,21,12,10,0,0
37,0,1,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,12,10,8,0,0
38,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14,5,7,1,0
35,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,15,6,2,0,1
32,0,0,1,1,1,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,21,6,5,0,0
44,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,12,6,0,0
40,0,1,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,14,5,3,0,0
34,0,0,0,0,0,1,0,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,1,0,0,27,13,10,0,0
37,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,16,14,7,0,0
33,1,0,0,0,0,0,0,1,1,1,1,7,0,0,1,1,1,0,0,1,1,1,1,0,0,29,8,4,0,0
54,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,20,17,10,0,1
20,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,19,14,9,0,1
26,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,25,8,5,0,0
34,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,13,5,5,0,0
24,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,1,0,11,13,8,0,0
36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25,10,2,0,1
40,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,9,8,0,1
47,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,28,4,5,1,1
32,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,9,11,6,0,0
45,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,20,6,5,0,1
22,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,20,12,6,0,0
33,0,0,0,0,0,0,0,1,1,1,1,7,0,0,1,0,0,0,0,0,1,0,0,1,0,14,9,6,0,0
31,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,12,18,11,0,0
36,1,0,1,0,1,1,0,1,1,1,0,6,0,0,1,0,0,0,0,1,1,0,0,0,1,18,25,12,0,0
44,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,17,9,5,0,0
37,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,23,12,5,0,0
31,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,24,7,5,0,0
22,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,18,12,6,0,0
27,0,0,0,0,0,0,0,1,1,1,1,8,0,0,1,1,1,0,0,0,1,1,1,0,0,28,14,9,0,0
28,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,16,4,10,0,1
42,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,13,3,5,0,0
29,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,12,9,4,0,0
37,1,1,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,15,8,6,0,0
23,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,24,8,10,0,0
36,0,1,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,18,14,4,0,1
49,0,1,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,14,8,0,1
49,0,1,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,14,8,0,1
49,0,1,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,14,8,0,1
49,0,1,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,14,8,0,1
49,0,1,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,10,14,8,0,1
36,0,0,0,1,0,1,0,1,1,1,0,4,1,0,0,0,0,0,1,1,1,0,0,1,0,18,17,20,0,0
41,1,1,1,1,1,1,0,1,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,1,1,22,3,6,0,0
36,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,45,22,9,1,1
45,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,30,8,8,0,1
44,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,27,4,3,1,1
46,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,13,4,4,0,0
39,1,1,1,1,0,0,0,1,1,1,1,3,0,0,1,0,0,1,0,1,1,0,0,1,0,22,9,5,1,1
25,1,0,0,0,0,0,0,1,1,1,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,12,10,9,0,0
42,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,30,5,3,1,1
34,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,5,4,0,0
24,0,0,0,0,0,1,0,1,1,0,0,6,1,0,1,0,0,0,1,0,1,0,0,0,0,10,9,14,0,0
39,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,18,6,2,0,1
35,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,1,0,1,1,0,0,1,0,17,11,7,0,0
36,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,25,22,10,0,1
27,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,1,0,14,7,5,0,0
40,1,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,1,1,1,1,0,32,8,5,0,0
24,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,26,7,3,0,0
31,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,38,9,5,1,1
28,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,20,9,4,0,0
38,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,17,5,1,0,1
30,1,1,1,0,0,1,0,1,1,0,1,3,0,1,1,1,1,0,0,1,0,1,1,1,0,33,4,6,0,0
28,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,17,3,0,0,1
35,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,35,8,3,1,1
43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,10,7,2,0,1
23,0,0,0,0,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,16,12,10,0,0
23,0,0,0,0,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,16,12,10,0,0
33,1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,12,10,9,0,0
34,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,1,2,0,0
47,0,0,0,0,0,1,0,1,1,0,1,7,0,0,1,0,0,0,0,1,1,0,0,1,0,20,12,12,0,0
42,1,0,0,0,0,0,0,1,1,1,1,4,0,0,1,1,1,0,0,0,1,1,1,1,0,30,15,9,1,0
25,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,31,14,5,0,1
40,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,12,4,0,0,1
34,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,24,2,1,1,1
45,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,25,9,7,0,1
29,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,33,10,7,1,1
37,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,16,6,6,0,1
50,0,0,0,0,0,0,1,1,1,0,1,5,1,0,1,0,0,0,1,1,1,0,0,1,0,19,20,14,0,0
53,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,28,11,7,0,1
35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,2,0,0,1
22,1,1,1,0,0,1,0,1,1,1,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,22,5,6,1,0
32,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,18,6,7,0,0
40,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,32,5,3,0,1
46,1,1,1,0,0,0,0,1,1,1,0,9,0,0,1,0,0,0,0,1,1,0,0,1,0,17,9,5,0,0
18,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0,0,25,13,7,0,0
24,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,5,3,0,0
49,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,22,3,4,0,1
37,1,1,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,33,4,5,0,1
17,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,34,10,11,0,0
17,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,34,10,11,0,0
20,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,1,1,0,0,0,1,1,1,0,0,26,15,8,0,0
23,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,12,8,3,0,0
23,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,9,12,7,0,0
32,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,13,5,1,0,0
37,0,1,0,0,0,0,0,1,1,1,1,7,0,0,1,0,0,0,0,0,1,0,0,1,0,21,11,7,0,0
49,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,20,2,0,0,1
54,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,35,13,7,1,1
20,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,10,12,6,0,0
33,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12,4,2,0,1
17,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,34,10,11,0,0
36,0,0,0,0,0,1,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,10,8,11,0,0
57,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,13,15,10,0,1
29,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,7,7,6,0,0
29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,0,0,1,1
40,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18,6,5,1,1
26,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,7,6,7,0,1
21,0,1,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,1,0,14,18,10,0,0
32,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,10,7,0,0
45,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,3,1,0,1
27,1,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,10,9,5,0,0
24,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,12,5,10,0,0
37,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,15,18,0,0
29,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,10,7,6,0,0
29,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,10,7,6,0,0
28,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,7,7,6,0,0
43,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,13,24,22,0,1
22,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,17,12,5,0,0
23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,21,3,2,0,0
40,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,25,6,7,1,1
34,1,1,1,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,12,18,3,0,0
31,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,22,10,6,0,0
29,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,10,14,11,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,20,5,4,0,0
48,0,1,1,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,10,19,11,0,0
53,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,25,6,5,0,1
29,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,17,6,10,0,0
33,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3,1,0,1
45,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,8,6,0,1
31,0,1,1,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,18,6,8,0,0
41,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,45,21,9,1,1
25,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,8,8,5,0,0
46,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21,10,6,0,1
34,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,15,12,8,0,0
49,0,0,0,0,0,0,0,1,1,1,1,5,0,0,1,1,1,0,0,1,1,1,1,0,0,38,10,6,0,0
59,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,19,10,6,0,0
16,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,36,11,13,0,0
16,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,36,11,13,0,0
40,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,12,5,8,0,0
22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,27,10,6,0,0
23,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,16,1,6,0,0
42,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9,4,1,0,1
23,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,0,0,0,0,1,1,0,0,1,0,21,10,7,0,0
