n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getSubscriberId,intent_com_google_firebase_MESSAGING_EVENT,n_providers,perm_android_permission_WRITE_SMS,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_BLUETOOTH,perm_android_permission_RESTART_PACKAGES,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_WRITE_SETTINGS,n_services,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_RECEIVE_SMS,n_urls,perm_android_permission_READ_SETTINGS,label
64,1,1,1,1,1,1,1,1,0,0,1,0,2,0,1,1,50,0,0,1,1,0,0,1,14,0,0,67,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,29,0,0
25,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,24,0,0,0,0,0,0,1,2,0,1,22,0,0
6,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,1,1,0,0,0,0,0,4,0,0,24,0,0
26,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,12,0,1,0,0,0,0,0,2,0,0,87,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,1,0,1,0,0,0,1,0,0,25,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,24,0,0
27,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,8,1,1,0,0,0,0,0,5,0,0,35,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0
18,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,6,1,1,0,0,0,0,0,4,0,0,6,0,0
14,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,10,1,0,0,0,0,0,0,6,0,0,44,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,38,0,0
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,8,0,0,6,0,1
50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,1,0,0,9,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,4,0,0,10,0,0
19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,27,1,1,0,0,0,0,0,7,0,0,8,0,0
26,0,1,0,0,0,1,0,0,1,1,0,0,4,0,0,1,23,1,1,0,1,0,0,0,5,0,0,54,0,0
29,0,0,0,0,0,0,0,0,1,1,0,1,7,0,1,0,36,1,1,0,1,0,0,0,17,0,0,44,0,0
15,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,10,1,1,0,0,0,0,0,4,0,0,7,0,0
40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,9,0,0,121,0,0
18,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,11,1,0,0,0,0,0,0,5,0,0,12,0,0
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,1,1,0,0,0,0,0,7,0,0,23,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0,12,1,1,1,120,1,0,1,1,1,0,1,21,0,1,0,0,0
0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,27,0,0,0,0,1,0,1,6,0,1,0,0,0
29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,0,50,0,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,48,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,0,1,0,0,0,0,0,2,0,0,127,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,1,0,0,31,0,0
6,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7,1,1,0,0,0,0,0,2,0,0,23,0,0
12,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,8,1,1,0,0,0,0,0,5,0,0,14,0,0
31,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,10,1,1,0,1,0,0,0,7,0,0,46,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,31,0,0
18,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,16,1,0,0,0,0,0,0,4,0,0,8,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,7,1,0,0,0,0,0,0,7,0,0,49,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,0,0,0,0,3,0,0,149,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,35,0,0
12,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,15,1,0,0,0,0,0,0,7,0,0,46,0,0
53,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,24,0,0,1,0,0,0,1,3,0,0,48,0,0
34,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,18,1,1,0,0,0,0,0,8,0,0,81,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,0,0,0,1,0,0,0,1,0,0,3,0,0
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,15,0,0,1,0,0,0,1,1,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,2,0,0,70,0,0
22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,1,0,0,0,0,0,0,0,0,4,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,40,0,0
12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,2,0,0,4,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,4,0,0,73,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0
15,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,1,0,0,0,0,0,0,5,0,0,12,0,0
23,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,27,1,1,0,0,0,0,0,11,0,0,33,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,7,1,0,0,0,0,0,0,7,0,0,49,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,9,0,1,0,0,0,0,0,7,0,0,63,0,0
23,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,9,1,1,0,0,0,0,0,11,0,0,42,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,3,0,0,45,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0
26,1,1,0,0,0,0,0,0,1,1,1,1,2,0,1,1,17,1,1,0,0,0,0,0,13,0,0,174,0,0
22,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,13,0,0,0,0,0,0,0,1,0,0,3,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,12,0,1
