n_permissions,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,n_activities,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,intent_android_intent_action_BOOT_COMPLETED,n_api_calls,n_used_permissions,n_urls,suspicious_getSystemService,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Base64,intent_android_intent_action_PACKAGE_ADDED,suspicious_getExternalStorageDirectory,n_receivers,intent_android_intent_action_USER_PRESENT,perm_android_permission_RECEIVE_BOOT_COMPLETED,suspicious_getPackageInfo,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_MODIFY_AUDIO_SETTINGS,intent_com_google_vr_vrcore_ACTION_NONE,suspicious_Cipher,suspicious_getDeviceId,perm_com_android_launcher_permission_READ_SETTINGS,label
46,1,1,58,1,1,34,1,5,3,3,1,1,1,0,1,13,1,1,1,1,1,0,1,1,1,0,1,1,0,0
12,0,1,18,0,0,10,0,12,6,43,1,1,1,0,1,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0
13,0,1,11,0,0,5,0,31,9,67,1,1,1,1,1,7,0,0,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,11,0,0,0,0,34,10,26,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
11,0,1,54,0,0,5,0,30,11,29,1,1,1,0,1,6,0,0,1,0,1,1,0,0,0,0,1,1,0,0
10,0,0,8,0,0,6,0,22,11,31,1,1,1,0,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0
5,0,0,8,0,0,0,0,28,12,61,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
9,0,1,15,0,0,2,1,21,7,46,1,1,1,0,1,4,1,1,1,0,1,0,0,0,0,0,1,1,0,0
8,0,1,2,0,0,0,0,19,8,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
13,0,1,42,0,0,13,0,29,12,148,1,1,1,0,1,7,0,0,1,0,1,1,1,0,0,0,1,1,0,0
4,0,0,7,0,0,0,0,20,8,15,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
6,0,0,3,0,0,1,1,25,8,12,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2,0,0,7,0,0,1,0,13,6,30,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
10,0,1,9,0,0,4,0,25,8,25,1,1,1,0,1,5,0,0,1,0,1,0,0,0,1,0,1,1,0,0
0,0,0,7,0,0,0,0,12,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,0,1,1265,0,0,489,0,3,3,7,1,1,1,1,1,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0
28,0,0,12,1,0,15,1,6,5,52,1,1,1,0,1,8,0,1,1,0,1,0,1,0,0,0,1,1,0,0
32,0,1,9,0,0,4,1,17,7,31,1,1,1,0,1,7,0,1,1,0,1,0,1,0,1,0,1,0,0,0
7,0,0,26,0,0,11,1,21,10,36,1,1,1,0,1,6,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2,0,0,5,0,0,0,0,7,5,8,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
9,0,1,22,0,0,2,0,42,11,56,1,1,1,1,1,2,0,0,1,0,1,1,0,0,0,0,1,1,0,0
10,0,0,17,1,0,7,1,30,11,54,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
124,1,1,419,1,1,56,1,69,21,202,1,1,1,1,1,18,1,1,1,1,1,0,1,1,1,0,1,1,1,0
1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,3,0,0,0,0,10,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
60,1,1,24,1,1,9,1,39,12,62,1,1,1,1,1,9,1,0,1,1,1,0,1,1,0,0,1,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,6,0,0,0,0,24,7,32,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
7,0,0,57,0,0,13,1,48,20,132,1,1,1,1,1,7,0,0,1,0,1,0,1,0,0,0,1,1,0,0
8,0,1,7,0,0,5,0,8,5,13,1,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,0,1,3,0,0,0,0,12,5,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2,0,0,5,0,0,0,0,16,7,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
12,0,0,62,0,0,9,0,21,9,28,1,1,1,0,1,5,0,0,1,0,1,0,1,0,0,0,1,1,0,0
5,0,0,12,0,0,0,0,32,12,34,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
6,0,0,9,0,0,6,0,18,7,32,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
7,0,1,15,0,0,0,0,23,9,54,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
47,1,1,43,1,0,34,1,21,10,61,1,1,1,0,1,16,0,1,1,0,1,0,1,0,0,0,1,1,0,0
10,0,0,6,0,0,10,1,8,6,49,1,1,1,0,1,5,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2,0,0,4,0,0,0,0,13,6,17,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,1,1,11,0,0,8,0,23,10,28,1,1,1,0,1,5,0,0,1,0,1,0,0,0,1,0,1,1,0,0
4,0,0,6,0,0,0,0,29,12,39,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,22,0,0,0,0,6,4,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,12,0,0,0,0,17,8,23,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
10,0,0,5,0,0,3,0,19,9,3,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1
9,0,0,36,0,0,3,1,22,10,43,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
5,0,1,2,0,0,0,0,12,6,3,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
14,0,0,12,0,0,10,0,33,11,118,1,1,1,0,1,5,0,0,1,0,1,0,1,0,0,0,1,1,0,0
13,0,0,22,0,0,14,0,12,6,117,1,1,1,0,1,6,0,0,1,0,1,0,1,1,0,0,1,1,0,0
8,0,1,29,0,0,4,0,44,13,105,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0
8,0,0,18,0,0,3,0,25,12,32,1,1,1,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0
20,0,1,3,1,0,8,1,35,11,17,1,1,1,0,1,5,0,1,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,19,0,0,0,0,10,6,19,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
7,0,0,8,0,0,3,0,8,5,39,1,1,1,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2,0,0,3,0,0,1,0,36,13,40,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,0,0,9,0,0,3,1,58,22,91,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
2,0,0,2,0,0,0,0,20,11,28,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
17,1,1,32,1,0,7,1,24,10,97,1,1,1,0,1,3,1,0,1,0,1,1,0,1,0,0,1,1,0,0
2,0,0,13,0,0,0,0,18,8,33,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,0,0,3,0,0,0,0,17,6,6,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
24,1,1,36,1,0,10,0,39,14,83,1,1,1,1,1,13,1,0,1,0,1,0,1,1,0,0,1,1,0,0
7,0,0,44,0,0,8,0,20,7,23,1,1,1,0,1,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0
23,1,1,3,1,1,3,0,25,8,6,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0
3,0,0,5,0,0,3,1,33,15,26,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2,0,0,1,0,0,0,0,2,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,0,0,9,0,0,5,0,21,8,22,1,1,1,0,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0
12,0,0,16,0,0,2,1,34,10,62,1,1,1,0,1,3,0,1,1,0,1,0,1,0,0,0,1,1,0,0
6,0,0,19,0,0,3,0,27,12,83,1,1,1,0,1,2,0,0,1,0,1,1,0,0,0,0,1,1,0,0
27,0,0,10,0,0,10,1,24,10,29,1,1,1,0,1,5,0,1,1,0,1,0,1,0,0,0,1,1,0,0
2,0,0,7,0,0,0,0,16,7,27,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5,0,1,7,0,0,0,0,25,7,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
7,0,0,17,0,0,5,1,35,14,49,1,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0
7,0,0,10,0,0,0,0,9,6,26,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
50,1,1,176,1,0,33,1,0,0,0,0,1,0,1,0,13,1,1,0,0,1,0,0,1,1,0,0,0,0,0
3,0,1,6,0,0,1,0,30,11,39,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5,0,0,23,0,0,2,0,38,11,22,1,1,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0
19,0,1,29,1,1,17,1,65,11,46,1,1,1,0,1,9,0,0,1,0,1,0,1,0,0,0,1,1,0,0
24,0,0,17,0,0,5,1,15,6,24,1,1,1,0,1,5,0,1,1,0,1,0,1,0,0,0,1,1,0,0
22,0,0,18,0,0,4,1,12,5,34,1,1,1,0,1,5,0,1,1,0,1,0,1,0,0,0,1,1,0,0
3,0,0,4,0,0,0,0,7,6,21,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12,0,1,15,0,0,3,1,42,12,53,1,1,1,0,1,2,0,1,1,0,1,0,1,0,0,0,1,1,0,0
3,0,0,5,0,0,0,0,20,8,34,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
10,0,0,19,0,0,8,1,22,8,47,1,1,1,0,1,6,0,1,1,0,0,0,1,0,0,0,1,1,0,0
22,0,0,3,0,0,3,0,17,6,4,1,1,1,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0
19,1,1,60,0,0,0,0,55,14,79,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
15,0,1,6,0,0,16,1,27,9,20,1,1,1,1,1,14,0,1,1,0,1,0,0,0,0,0,1,1,0,0
17,0,1,12,0,0,4,1,9,3,3,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
7,0,0,4,1,0,3,1,16,6,20,1,1,1,0,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3,0,0,11,0,0,0,0,19,10,33,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
24,0,1,68,0,0,32,0,24,9,167,1,1,1,0,1,17,0,0,1,0,1,0,1,0,0,0,1,1,0,0
23,0,0,3,0,0,5,0,16,6,8,1,1,1,0,1,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0
2,0,0,6,0,0,0,0,18,9,13,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,0,0,17,0,0,3,0,4,4,24,1,1,1,0,1,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0
8,0,0,5,0,0,8,1,25,9,35,1,1,1,0,1,10,0,1,1,0,1,0,0,0,0,0,1,1,0,0
9,1,0,6,1,0,4,0,20,9,31,1,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0
30,0,1,22,1,0,21,1,19,11,58,1,1,1,0,1,12,1,1,1,0,1,0,1,0,0,0,1,1,0,0
6,0,0,16,0,0,4,0,22,9,38,1,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0
6,0,0,9,0,0,0,0,6,4,3,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
6,0,1,6,0,0,1,1,19,9,8,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
7,0,0,5,0,0,0,0,23,10,21,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
3,0,0,1,0,0,0,0,20,7,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,0,0,2,0,0,1,0,45,14,28,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
10,0,0,17,0,0,3,0,19,6,15,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1
8,0,0,29,0,0,2,0,14,7,28,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1
2,0,0,8,0,0,1,0,19,8,24,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
8,0,0,108,0,0,8,0,8,7,22,1,1,1,0,0,6,0,0,1,0,0,0,1,0,0,0,1,1,0,0
3,0,0,2,0,0,0,0,20,11,23,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
7,0,1,1,0,0,0,0,12,5,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
21,0,0,62,0,0,12,1,32,13,80,1,1,1,0,1,16,0,1,1,0,1,1,1,0,1,0,1,1,0,0
9,0,0,19,0,0,6,1,22,8,47,1,1,1,0,1,5,0,1,1,0,0,0,0,0,0,0,1,1,0,0
7,0,0,3,0,0,8,0,17,9,6,1,1,1,0,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0
12,0,1,34,0,0,7,1,14,6,72,1,1,1,0,1,8,0,1,1,0,1,0,1,0,0,0,1,1,0,0
3,0,0,5,0,0,0,0,22,8,15,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
22,0,1,57,0,0,1,0,22,8,19,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
35,1,1,5,0,0,7,1,32,9,26,1,1,1,0,1,2,1,0,1,1,1,0,1,1,0,0,1,1,0,0
8,0,0,12,0,0,7,1,11,7,38,1,1,1,0,1,8,0,1,1,0,0,1,0,0,0,0,1,1,0,0
6,0,0,304,0,0,5,0,19,10,29,1,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0
10,0,1,20,0,0,10,1,12,5,22,1,1,1,0,1,15,1,1,1,0,1,0,0,0,0,0,1,1,0,0
31,0,0,44,0,1,11,0,18,8,26,1,1,1,0,1,10,0,0,1,1,1,0,1,0,0,0,1,1,1,0
5,0,0,7,0,0,8,0,19,9,63,1,1,1,0,1,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0
7,0,0,4,0,0,3,0,12,5,20,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0
14,0,1,53,0,0,12,1,29,11,87,1,1,1,0,1,6,0,1,1,0,1,1,1,0,0,0,1,1,0,1
4,0,0,6,0,0,0,0,22,9,26,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
27,0,0,12,0,0,8,1,18,8,20,1,1,1,0,1,4,0,1,1,0,1,0,1,0,0,0,1,1,0,0
4,0,0,7,0,0,0,0,12,4,22,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
7,0,0,42,0,0,8,1,14,5,46,1,1,1,0,1,7,0,0,1,0,1,0,1,0,0,0,1,1,0,0
7,0,0,9,0,0,7,0,17,8,12,1,1,1,0,1,9,0,0,1,0,1,0,0,0,0,0,1,1,0,1
28,1,1,4,1,1,3,0,26,8,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
5,0,0,4,0,0,2,1,21,8,8,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
4,0,0,5,0,0,2,1,6,5,21,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
2,0,0,2,0,0,0,0,21,9,20,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
4,0,0,8,0,0,0,0,19,8,19,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5,0,0,10,0,0,2,0,29,11,34,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0,15,0,0,5,0,19,8,24,1,1,1,0,1,4,0,0,1,0,1,1,1,0,0,0,1,1,0,0
10,0,0,23,0,0,7,0,29,10,88,1,1,1,0,1,6,0,0,1,0,0,0,1,0,0,0,1,1,0,0
12,1,1,16,0,0,2,1,6,6,19,1,1,1,0,1,6,0,1,1,0,1,0,0,0,0,0,1,1,0,0
5,0,0,7,0,0,8,0,22,9,38,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0
11,0,1,7,0,0,1,0,15,6,19,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
16,0,1,36,0,0,16,1,43,15,75,1,1,1,0,1,10,0,1,1,0,1,0,0,0,0,0,1,1,0,0
10,0,1,15,0,0,14,1,34,10,28,1,1,1,1,1,10,0,1,1,0,1,0,0,0,0,0,1,1,0,0
7,0,0,9,0,0,0,0,6,4,2,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0
12,0,0,5,0,0,0,0,16,8,17,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
1,0,0,5,0,0,0,0,20,7,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
27,0,0,19,0,0,5,1,7,6,48,1,1,1,0,1,6,0,1,1,0,1,1,0,0,0,0,1,1,0,0
4,0,0,11,0,0,0,0,2,2,12,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
9,0,0,14,0,0,3,1,19,9,40,1,1,1,0,1,3,0,1,1,0,1,0,1,0,1,0,1,1,0,0
7,0,0,46,0,0,1,0,21,9,113,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,9,0,0,0,0,15,6,32,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
14,0,0,23,0,0,10,0,37,13,63,1,1,1,0,1,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0
6,0,0,6,0,0,2,0,16,7,19,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0
13,1,1,27,0,0,2,0,29,14,145,1,1,1,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0
7,0,0,12,0,0,2,0,2,2,14,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,0,0,81,0,0,10,0,21,10,57,1,1,1,0,1,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0
20,1,1,18,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
