perm_android_permission_READ_PHONE_STATE,n_permissions,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_SEND_SMS,suspicious_getWifiState,perm_android_permission_READ_LOGS,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PACKAGE_REMOVED,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSimCountryIso,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,suspicious_sendTextMessage,perm_android_permission_CHANGE_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,n_activities,n_urls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_adb_enabled,perm_android_permission_READ_CONTACTS,n_used_permissions,suspicious_Ljava_lang_System___load,label
1,14,0,1,1,1,0,0,0,0,0,0,23,0,0,0,0,0,0,1,14,74,1,1,0,0,0,0,12,0,0
0,5,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,13,58,0,0,1,0,0,0,11,1,0
0,9,0,0,1,1,0,0,0,0,0,0,21,0,0,1,0,0,0,1,37,35,0,1,0,0,0,0,10,0,0
0,7,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,30,0,0,1,0,0,0,5,1,0
0,24,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,10,37,1,0,0,0,0,0,6,0,0
1,8,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,22,5,0,0,1,0,0,0,6,1,0
0,3,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,9,29,0,0,0,0,0,0,7,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,15,0,0,1,0,0,0,7,1,1
0,11,0,0,1,1,0,0,0,0,0,0,21,0,0,0,0,0,0,1,26,48,0,0,1,0,0,0,10,1,0
0,10,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,21,0,0,0,0,0,1,5,0,0
1,32,0,0,1,1,0,0,0,0,0,0,39,0,0,0,0,0,0,1,23,135,1,0,1,0,0,0,19,1,0
0,7,0,0,1,1,0,0,0,0,0,0,31,0,0,0,0,0,0,1,7,17,0,1,1,0,0,0,12,1,0
0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,8,0,0,1,0,1,0,12,1,0
1,8,0,1,1,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,8,16,1,0,1,0,0,0,6,1,0
0,28,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,23,48,1,0,0,0,0,0,11,0,0
0,3,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,32,0,0,1,0,0,0,3,1,0
0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,5,24,0,0,0,0,0,0,7,0,0
1,19,0,1,1,1,0,0,0,0,0,0,48,0,1,0,0,0,1,0,68,195,0,0,1,0,0,0,14,1,0
0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,3,0,0
0,10,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,1,20,31,0,0,0,0,1,0,7,0,0
0,13,0,0,1,1,0,0,0,0,0,0,25,0,1,0,0,0,0,1,4,26,0,1,1,0,0,0,12,1,1
0,4,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,1,22,32,0,0,0,0,0,0,6,0,0
0,5,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,7,0,0
1,25,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,120,0,1,1,1,0,0,0,0,1,0
1,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,2,23,0,0,0,0,0,0,5,0,0
1,27,0,0,1,1,0,0,0,0,0,0,26,0,1,1,0,0,0,1,23,94,1,0,1,0,0,0,12,1,0
1,7,0,0,1,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,18,65,0,0,0,0,0,0,13,0,0
1,15,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,7,26,0,0,0,0,0,1,8,0,0
0,8,0,0,1,0,0,0,0,0,0,0,16,0,1,0,0,0,0,1,19,29,0,0,0,0,0,0,8,0,0
0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,10,30,0,0,1,0,1,0,7,1,0
0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,4,0,1
0,8,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,22,1,0,1,0,0,0,7,1,0
1,6,1,0,1,1,0,0,0,0,0,0,31,0,0,0,1,0,0,0,3,41,0,0,1,0,0,0,10,1,0
0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,2,23,0,0,1,0,0,0,9,1,0
1,21,0,0,1,1,0,1,0,0,0,0,25,0,0,0,0,1,0,0,44,82,1,0,1,0,0,0,10,1,0
1,16,1,1,1,1,0,1,0,0,1,0,43,0,0,0,0,1,0,0,28,62,1,1,1,1,0,0,16,1,0
1,10,0,0,1,0,1,0,0,0,0,0,33,0,0,0,0,0,0,1,8,25,0,0,0,0,0,0,8,0,0
0,9,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,6,1,0
1,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,9,1,1
0,18,0,1,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,1,15,69,0,0,1,0,0,0,11,1,0
0,7,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,9,24,0,0,0,0,0,0,6,0,0
0,16,0,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,1,0,23,76,0,0,0,0,0,0,17,0,1
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,10,0,0,1,0,0,0,0,0,0,0,32,0,1,0,0,0,0,1,17,61,0,0,1,0,0,0,12,1,0
0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,23,0,0,1,0,0,0,6,1,0
0,7,0,0,1,0,0,0,0,0,0,0,48,0,1,1,1,0,0,1,58,192,1,0,1,0,1,0,17,1,0
0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,6,26,0,0,1,0,0,0,6,1,0
0,13,0,0,1,1,1,0,0,0,0,0,9,1,0,0,0,0,0,0,7,2,1,0,1,0,0,0,3,1,0
1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0
1,33,1,1,1,1,1,0,1,0,1,0,44,1,1,1,0,0,1,0,151,286,1,1,1,1,0,0,19,1,0
1,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,7,33,0,0,1,0,0,0,8,1,0
0,25,0,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,46,46,1,0,1,0,0,0,7,1,0
0,7,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,53,109,0,0,1,0,0,0,8,1,0
0,4,0,0,0,1,0,0,0,0,0,0,43,0,0,0,0,1,0,1,4,28,1,0,1,0,1,0,13,1,1
0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,6,19,0,0,1,0,0,0,5,1,0
0,9,0,0,1,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1,30,74,1,0,0,0,0,0,7,0,0
0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,9,26,0,0,0,0,0,0,6,0,0
1,7,1,0,1,0,0,0,1,0,0,0,36,0,0,1,0,0,0,1,14,84,1,0,1,0,0,0,10,1,0
0,11,0,0,0,1,0,0,0,0,0,0,24,0,1,0,0,0,0,1,17,63,1,0,1,0,0,0,10,1,0
1,32,1,0,1,1,1,0,0,1,1,1,29,1,1,1,0,0,1,0,71,130,1,1,1,0,0,1,11,1,0
0,6,0,0,0,0,1,0,0,0,0,0,40,0,1,0,0,0,0,1,25,108,0,0,0,0,0,0,11,0,0
1,8,0,0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,10,0,0,1,0,0,0,3,1,0
0,29,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,1,8,34,1,0,1,0,0,0,7,1,0
1,8,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,8,46,0,0,1,0,0,0,10,1,0
0,6,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,1,8,25,0,0,1,0,0,0,8,1,0
0,7,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,7,0,0
0,10,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,6,0,0
0,7,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,10,16,1,0,1,0,0,0,8,1,1
1,6,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,32,0,0,1,0,0,0,5,1,0
0,10,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,60,72,0,0,1,0,0,1,8,1,0
0,3,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,9,1,0
0,4,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,4,33,0,0,0,0,0,0,8,0,0
0,20,0,0,0,1,0,0,0,0,0,0,63,0,1,0,0,0,0,1,4,51,1,0,0,0,0,0,17,0,0
1,11,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,29,100,1,1,1,0,0,0,7,1,0
1,7,1,0,0,0,0,0,0,0,0,1,15,0,0,1,1,0,0,0,3,0,1,0,0,0,0,1,8,0,0
0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,20,0,0,1,0,0,0,3,1,0
0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0
0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,8,0,0
1,18,1,1,1,1,0,0,0,0,0,1,40,0,0,1,1,0,0,1,49,135,1,1,1,0,0,0,15,1,0
1,10,0,1,1,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,12,1,0
0,5,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,1,2,25,0,0,1,0,0,0,11,1,0
1,31,1,1,1,1,1,1,0,0,0,1,37,1,0,1,0,0,1,0,73,184,1,0,1,1,0,0,12,1,0
1,17,1,1,1,1,0,0,0,0,0,0,21,0,1,0,0,0,0,0,20,44,0,0,0,0,0,0,8,0,0
1,26,1,1,1,1,1,1,0,0,0,1,40,0,0,1,1,0,1,0,55,29,1,1,1,1,0,0,12,1,0
0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,5,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,4,18,0,0,0,0,0,0,7,0,0
0,6,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,15,36,0,0,0,0,0,0,8,0,0
0,12,0,0,1,1,0,0,0,0,0,0,33,0,0,0,1,0,0,1,16,62,1,0,1,0,1,0,11,1,0
0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,15,63,0,0,1,0,0,0,7,1,0
0,13,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,70,118,0,0,0,0,0,0,6,0,0
1,13,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,45,44,0,0,1,0,1,0,5,1,0
1,9,1,1,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1
0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,3,26,0,0,0,0,0,0,10,0,0
0,12,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,70,119,0,0,0,0,0,0,6,0,0
0,11,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,8,29,0,0,1,0,0,0,12,1,0
0,11,0,0,1,1,0,0,0,0,0,0,20,0,0,0,0,0,0,1,4,29,0,0,0,0,0,0,7,0,0
0,11,0,0,1,1,0,0,0,0,0,0,25,0,1,0,0,0,0,1,11,89,1,0,1,0,0,0,9,1,0
0,3,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,6,0,0
0,11,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,49,44,0,0,1,0,0,0,6,1,1
0,10,0,0,1,0,0,0,0,0,0,0,23,0,1,1,0,0,0,0,20,176,0,1,1,0,0,0,11,1,0
1,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,6,0,0
0,5,0,0,1,1,0,0,0,0,0,0,13,0,1,0,1,0,0,0,17,56,0,0,1,0,0,0,6,1,0
0,7,0,0,1,1,0,0,0,0,0,0,19,0,1,1,1,0,0,0,29,47,0,0,1,0,0,0,8,1,0
1,32,1,0,1,1,1,0,0,0,0,0,25,0,1,0,0,1,0,1,19,188,1,0,1,0,0,0,10,1,0
1,29,0,0,1,1,0,0,0,0,0,0,29,0,0,0,0,0,0,1,83,76,1,1,1,0,0,1,13,1,0
1,15,0,1,1,1,0,0,1,0,0,1,64,0,0,1,1,0,1,0,14,208,0,1,0,0,0,0,17,1,0
0,8,1,0,1,1,0,0,0,0,0,0,34,0,0,1,0,0,0,1,59,127,1,0,1,0,1,0,12,1,0
0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,6,24,0,0,1,0,1,0,10,1,0
0,4,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,5,0,0
0,9,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,1,0,0,2,5,1,0,1,0,1,0,17,1,0
0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,5,32,0,0,1,0,0,0,9,1,1
0,9,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0
0,7,1,0,0,1,0,0,0,0,0,0,38,0,0,1,0,0,0,1,12,37,1,0,0,0,1,0,16,0,0
0,29,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,5,28,1,0,0,0,0,0,9,0,0
1,23,0,0,1,1,1,0,0,0,1,1,7,0,1,0,1,0,0,0,9,2,0,0,1,0,0,1,5,1,0
1,11,0,1,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,6,6,0,0,1,0,0,0,7,1,0
0,6,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,1,9,23,0,0,0,0,0,0,7,0,0
0,7,0,0,1,1,0,0,0,0,0,0,41,0,0,0,0,1,0,0,3,9,1,0,1,0,1,0,12,1,0
0,10,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,0
0,8,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,11,1,0
0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,6,0,0
0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,67,0,0,0,0,0,0,5,0,0
0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,8,0,0
0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,4,0,0
0,10,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,7,0,0
0,7,0,0,1,0,0,0,0,0,0,0,26,0,1,0,0,0,0,1,16,56,0,0,1,0,0,0,10,1,0
0,19,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,6,43,1,0,1,0,1,0,11,1,0
0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,12,48,0,0,0,0,0,0,12,0,0
0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,11,23,0,0,0,0,0,0,6,0,0
0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,5,0,1
0,9,1,0,0,0,0,0,0,0,0,0,34,0,0,1,0,0,0,0,32,55,0,0,1,0,0,0,10,1,0
0,5,0,0,1,1,0,0,0,0,0,0,18,0,1,0,0,0,0,1,9,34,0,0,0,0,0,0,8,0,0
1,15,1,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,1,1,1,1,1,0,0,5,1,0
0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,17,0,0,0,0,0,0,4,0,0
1,17,0,0,1,1,0,0,0,0,0,0,24,0,0,0,0,0,1,1,30,79,0,0,0,1,0,1,11,0,0
1,16,0,0,0,1,0,0,0,0,0,0,22,0,1,0,0,0,0,1,53,139,1,0,1,0,0,0,11,1,0
0,26,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,1,11,77,1,0,0,0,0,0,9,0,0
0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,1,0
1,6,0,0,1,1,1,0,0,0,0,1,11,0,0,1,1,0,0,0,11,2,0,0,0,0,0,0,6,0,0
1,13,0,0,1,1,0,0,0,0,0,0,29,0,1,0,0,0,0,1,29,79,1,0,1,0,0,0,16,1,0
0,31,0,0,1,1,0,0,0,0,0,0,25,0,0,0,0,0,0,1,9,40,1,0,0,0,0,0,12,0,0
1,14,0,0,1,1,0,0,0,0,0,0,29,0,1,0,0,0,0,1,20,47,0,0,0,0,0,1,10,0,0
0,3,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0
1,10,0,0,0,1,0,0,0,0,0,0,30,0,1,0,0,0,0,1,13,36,0,1,1,0,0,0,9,1,0
1,6,1,0,1,1,1,0,1,0,0,1,51,0,1,1,1,0,0,1,21,65,1,0,1,0,0,0,13,1,0
0,9,0,0,1,1,0,0,0,0,0,0,29,0,1,0,0,0,0,0,11,41,1,0,1,0,0,0,12,1,0
0,25,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,3,7,1,0,0,0,0,0,8,0,0
0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,7,0,0
0,6,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,1,11,39,0,0,1,0,0,0,9,1,0
1,11,0,0,1,1,0,0,0,0,0,0,34,0,0,0,0,0,1,0,18,57,0,0,0,0,0,0,13,0,0
1,5,0,0,1,1,0,0,0,0,0,0,43,0,1,1,0,0,0,0,2,75,0,0,1,0,0,0,13,1,0
0,5,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,7,0,0
0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,3,20,0,0,0,0,0,0,9,0,0
0,6,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,3,34,0,0,0,0,0,0,12,0,0
0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,4,18,0,0,1,0,0,0,6,1,0
0,11,0,0,1,1,0,0,0,0,1,0,27,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,8,0,1
0,11,0,0,1,0,0,1,0,0,0,0,22,0,0,0,0,0,0,1,148,65,0,0,1,0,0,0,8,1,0
1,5,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,1,11,75,0,0,1,0,0,0,11,1,0
0,18,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,22,14,0,1,1,0,0,1,6,1,0
1,9,0,0,1,0,0,0,0,0,0,0,23,0,1,1,0,0,0,0,20,176,0,1,1,0,0,0,11,1,1
1,5,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0
1,7,0,1,1,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,13,0,1,0,0,0,0,6,0,0
1,31,1,0,1,0,0,0,0,0,0,0,45,0,1,1,0,0,0,1,13,41,0,1,1,0,1,0,16,1,0
0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,49,0,0,0,0,0,0,6,0,0
0,9,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,11,79,0,0,1,0,0,0,11,1,0
1,9,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,19,33,0,0,1,0,0,0,6,1,0
0,9,0,0,1,1,0,0,0,0,0,0,23,0,0,0,0,0,0,1,22,62,0,0,1,0,0,0,8,1,0
1,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,12,6,0,0,1,0,0,0,5,1,0
1,9,0,0,1,0,0,0,0,0,0,0,23,0,1,1,0,0,0,0,20,176,0,1,1,0,0,0,11,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,19,0,0,1,0,0,0,5,1,0
0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0
0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,9,34,1,0,0,0,1,0,12,0,0
0,3,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,34,0,0,0,0,0,0,9,0,0
1,18,1,1,1,1,0,0,1,1,0,0,31,1,0,1,0,0,0,0,10,157,0,1,1,0,0,0,11,1,0
1,26,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,2,31,1,0,1,0,1,0,10,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,5,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,7,0,0,1,0,0,0,6,1,0
1,36,1,1,1,1,1,0,1,1,1,1,68,1,0,1,0,0,1,0,98,252,1,1,1,1,0,0,16,1,0
1,19,0,0,1,1,0,0,0,0,0,0,21,0,0,0,0,0,0,1,45,67,0,0,0,0,0,0,8,0,0
