perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_providers,intent_android_intent_action_SEND,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,n_permissions,intent_android_intent_action_VIEW,perm_com_android_vending_BILLING,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,n_receivers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Cipher,n_api_calls,n_urls,n_services,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getSimCountryIso,perm_android_permission_SET_WALLPAPER,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_READ_EXTERNAL_STORAGE,n_activities,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getDeviceId,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getPackageInfo,label
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,14,32,0,7,1,0,1,0,0,22,0,1,1,1,1,0
0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,11,30,0,5,0,1,0,0,1,20,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,29,0,7,1,1,0,0,0,22,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,30,0,7,1,1,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,34,0,7,1,1,0,0,0,18,0,1,1,1,1,0
0,0,1,0,0,0,4,1,1,1,1,0,0,1,1,15,28,1,6,1,0,0,0,0,18,0,1,1,1,1,0
0,0,1,0,0,0,4,0,1,1,1,1,0,0,1,16,32,0,8,1,0,0,0,0,17,0,0,1,1,1,0
0,0,1,0,0,0,4,0,1,1,1,1,0,0,1,16,32,0,8,1,0,0,0,0,17,0,0,1,1,1,0
0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,13,29,1,5,1,0,0,0,0,16,0,1,1,1,1,0
0,0,1,0,0,0,4,0,1,1,1,1,0,0,1,16,32,0,8,1,0,0,0,0,17,0,0,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,32,0,9,0,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,32,0,7,1,1,0,0,0,22,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,13,27,0,5,0,0,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,27,0,5,1,0,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,16,28,1,7,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,1,1,1,0,0,1,17,31,1,7,0,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,31,2,7,1,1,0,0,0,22,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,34,0,7,1,1,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,1,5,0,0,1,1,0,0,1,1,15,28,1,6,1,1,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,17,29,0,8,1,1,1,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,34,0,7,1,1,0,0,0,21,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,30,0,6,1,1,0,0,0,14,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,16,30,1,6,0,0,0,0,0,16,0,0,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,29,0,7,1,1,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,27,0,7,1,1,0,0,0,21,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,30,0,7,1,1,0,0,0,23,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,32,0,6,1,1,0,0,0,14,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,15,28,0,7,1,0,1,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,18,30,1,7,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,16,27,0,8,1,1,1,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,27,0,6,0,0,0,0,0,20,0,1,0,0,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,17,28,0,8,1,1,1,0,0,21,0,1,1,1,1,0
0,0,1,0,0,0,3,0,1,1,1,0,0,0,1,18,29,1,8,1,0,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,17,29,0,8,1,1,1,0,0,22,0,1,1,1,1,1
0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,13,33,2,6,0,0,0,1,0,16,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,16,32,2,7,1,0,0,0,0,15,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,17,29,0,8,1,1,1,0,0,22,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,27,0,7,1,1,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,16,29,2,7,1,1,0,1,0,17,1,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,27,0,7,1,1,0,0,0,16,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,17,34,0,8,1,1,1,0,0,21,0,1,1,1,1,0
0,0,1,0,0,1,4,0,0,1,1,0,0,1,1,12,27,0,5,0,1,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,1,4,0,0,1,1,0,0,1,1,12,27,0,5,0,1,0,0,0,17,0,1,1,1,1,1
0,0,1,0,0,0,3,0,0,1,1,0,0,1,1,15,27,1,6,1,0,0,0,0,16,0,1,1,1,1,0
0,0,1,0,0,0,7,0,0,0,0,0,1,1,1,12,29,0,5,1,0,0,0,0,20,0,1,1,1,1,0
0,0,1,0,0,0,7,0,0,0,0,0,1,1,1,14,28,0,6,0,0,0,0,0,19,0,1,0,1,0,0
0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,17,32,1,6,1,0,0,0,0,15,0,0,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,13,26,0,7,1,0,1,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,14,35,0,5,0,0,0,0,0,22,0,0,0,1,0,1
0,0,1,0,0,0,5,0,0,1,1,0,0,1,1,13,29,0,7,1,0,0,0,1,23,0,1,1,1,1,0
0,0,1,0,0,0,7,0,0,0,0,1,1,1,1,12,33,2,6,1,1,0,0,0,20,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,1,1,0,1,13,29,2,6,1,1,0,0,0,15,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,24,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,34,0,6,1,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,19,31,0,7,1,0,0,0,1,21,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,14,32,0,7,1,0,1,0,0,24,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,26,0,5,0,0,0,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,34,0,7,1,1,0,0,0,23,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,16,0,1,1,1,1,0
0,0,0,0,1,1,7,0,0,0,0,0,1,0,1,14,29,1,6,0,0,0,0,0,16,0,1,1,1,1,1
0,0,2,0,0,0,5,0,0,0,0,0,0,1,1,17,30,0,8,1,1,1,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,14,32,1,7,1,0,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,26,0,7,1,1,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,1,0,1,1,11,27,1,5,1,0,0,0,1,18,0,1,1,1,1,0
0,0,0,0,0,0,4,1,0,0,0,0,1,1,1,10,29,0,3,0,0,0,0,0,18,0,0,1,1,1,0
0,0,3,0,0,0,5,0,0,1,1,1,0,1,1,15,34,0,8,1,0,1,0,1,19,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,33,0,7,1,1,0,0,0,14,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,30,0,7,1,1,0,0,0,24,0,1,1,1,1,0
0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,13,27,2,9,1,0,0,0,0,18,0,1,1,1,1,1
0,0,2,0,0,0,3,0,0,1,1,0,0,1,1,15,26,0,6,1,0,0,0,0,18,0,0,1,1,1,0
0,0,1,0,0,0,7,0,0,0,0,0,1,1,1,11,30,0,5,1,0,0,0,1,17,0,1,1,1,1,0
0,0,0,0,1,1,7,0,0,0,0,0,1,1,1,16,32,0,7,0,0,0,0,1,16,0,1,1,1,1,0
0,0,1,0,0,0,6,1,1,1,1,2,1,0,1,15,28,1,5,1,0,0,0,1,20,0,1,0,1,1,0
0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,16,34,0,7,0,0,1,0,0,15,0,1,1,0,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,32,0,6,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,15,35,1,6,0,0,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,3,1,0,1,1,1,0,1,1,18,28,1,7,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,3,0,1,1,1,0,0,0,1,19,30,1,8,1,0,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,32,0,6,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,32,0,6,1,0,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,17,34,0,8,1,1,1,0,0,22,0,1,1,1,1,0
0,0,1,0,0,0,3,0,1,1,1,0,0,0,1,19,32,1,8,1,0,0,0,0,20,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,36,0,7,1,1,0,0,0,17,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,36,0,7,1,1,0,0,0,17,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,12,35,0,5,0,0,0,0,0,23,0,1,1,1,1,1
0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,16,26,0,6,1,0,0,0,1,17,0,0,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,12,35,0,5,0,0,0,0,0,23,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,12,35,0,5,0,0,0,0,0,23,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,30,0,7,1,1,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,27,0,5,1,0,0,0,0,23,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,12,29,0,5,1,0,0,0,1,14,0,1,1,1,1,0
0,0,1,0,0,0,6,0,1,1,1,2,1,1,1,17,32,2,8,1,0,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,3,1,0,1,1,1,0,1,1,18,27,1,7,1,0,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,12,27,0,5,1,0,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,14,37,0,6,0,0,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,23,0,1,1,1,1,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,19,32,0,9,1,0,0,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,19,30,1,6,0,0,0,0,0,16,0,0,1,1,1,0
0,0,1,0,0,0,5,1,1,0,0,2,0,1,1,14,27,1,9,1,0,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,15,36,0,7,1,1,1,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,34,0,5,0,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,17,27,0,7,1,0,0,0,1,20,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,25,0,7,1,1,0,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,8,1,0,0,0,0,0,1,1,13,30,1,5,1,0,0,0,1,17,0,1,1,1,1,0
0,0,1,0,0,0,5,1,0,1,1,3,0,1,1,15,27,0,8,1,0,1,0,0,19,0,1,1,1,1,0
0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,11,33,1,5,1,0,0,0,0,14,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,25,0,7,1,1,0,0,0,20,0,1,1,1,1,0
0,0,0,0,0,0,7,1,0,0,0,1,0,0,1,13,31,0,5,0,0,0,1,0,15,1,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,25,0,7,1,1,0,0,0,20,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,16,27,0,8,1,1,1,0,0,23,0,1,1,1,1,0
0,0,0,0,0,0,4,0,1,1,1,0,1,0,1,19,32,0,8,1,1,0,0,0,16,0,0,1,1,1,0
0,0,1,0,0,0,4,1,1,1,1,1,0,0,1,18,31,1,10,1,0,0,0,0,20,0,1,1,1,1,0
0,1,1,0,0,0,6,0,0,1,1,0,0,1,1,11,33,2,5,1,1,0,0,1,22,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,13,31,2,6,1,1,0,1,0,14,1,1,1,1,1,0
0,0,0,0,0,0,4,0,1,1,1,0,1,0,1,19,32,0,8,1,1,0,0,0,16,0,0,1,1,1,0
0,0,1,0,0,0,4,0,0,1,1,0,0,1,1,15,26,1,6,0,0,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,15,33,0,6,0,0,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,16,27,0,8,1,1,1,0,0,15,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,17,36,0,8,1,1,1,0,0,18,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,19,31,0,7,1,0,0,0,1,21,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,25,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,28,0,6,1,0,0,0,0,25,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,33,0,7,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,32,0,7,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,12,34,0,5,0,0,0,1,1,16,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,17,30,0,7,1,1,0,0,0,25,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,29,0,7,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,29,0,7,1,1,0,0,0,25,0,1,1,1,1,0
0,0,1,0,0,0,5,0,1,1,1,1,0,1,1,19,29,1,8,1,0,0,0,0,19,0,1,1,1,1,0
0,0,0,0,0,0,8,0,0,0,0,2,0,1,1,15,28,0,6,1,1,0,0,1,20,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,19,28,1,7,1,0,0,0,0,16,0,1,1,1,1,0
0,0,0,0,0,0,8,0,0,0,0,2,0,1,1,15,28,0,6,1,1,0,0,1,20,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,34,0,6,1,0,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,33,0,5,0,0,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,12,31,0,5,0,0,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,19,1,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,19,1,1,1,1,1,1
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,12,25,0,6,1,0,1,0,0,17,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,19,1,1,1,1,1,0
0,0,2,0,0,1,7,1,0,0,0,1,0,1,1,17,33,0,8,1,0,0,0,1,17,0,1,1,1,1,0
0,0,0,0,0,0,6,0,0,0,0,1,1,1,1,15,30,3,6,1,0,0,0,0,14,0,1,1,1,1,1
0,0,0,0,0,0,5,0,0,1,1,1,0,1,1,13,32,0,5,1,1,0,0,0,13,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,32,0,7,1,1,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,17,27,0,8,1,1,1,0,0,15,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,19,1,1,1,1,1,0
0,0,1,0,0,0,7,0,0,1,1,2,0,1,1,11,34,1,6,1,0,0,0,1,18,0,1,1,1,1,0
0,0,1,0,0,0,5,0,0,0,0,0,1,1,1,15,35,0,7,1,1,1,0,0,14,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,19,1,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,32,0,7,1,1,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,20,1,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,26,0,6,1,0,0,0,0,24,0,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,2,0,1,1,13,34,1,6,0,0,0,0,1,19,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,14,30,0,6,1,0,0,0,0,12,0,1,1,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,15,30,0,6,1,1,0,0,0,12,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,17,35,1,8,0,0,0,0,0,15,0,1,1,1,1,0
0,0,0,0,0,0,7,0,0,1,1,0,1,1,1,13,28,1,5,0,0,0,0,0,15,0,1,1,1,1,1
0,0,1,0,0,0,8,0,0,0,0,1,0,1,1,16,29,2,8,1,1,1,1,0,18,1,1,1,1,1,0
0,0,1,0,0,0,4,0,1,0,0,0,0,1,1,11,31,0,5,1,1,0,0,0,25,0,1,1,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,25,0,7,1,1,0,0,0,16,0,1,1,1,1,0
0,0,1,0,0,0,9,0,0,0,0,1,1,1,1,14,32,2,7,1,0,1,1,0,18,1,1,1,1,1,0
0,0,0,0,0,0,6,0,0,1,1,0,0,0,1,12,31,1,5,0,0,0,0,0,14,0,1,0,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,33,0,8,0,0,0,0,0,13,0,1,1,1,1,1
0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,13,30,0,6,1,0,0,0,0,26,0,1,1,1,1,0
0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,16,29,3,7,1,1,0,0,0,14,0,1,1,1,1,1
0,0,1,0,0,0,9,0,0,0,0,1,1,1,1,14,32,2,7,1,0,1,1,0,18,1,1,1,1,1,0
0,0,1,0,0,0,8,0,0,0,0,2,0,1,1,13,34,1,6,0,0,0,0,1,20,0,1,1,1,1,0
0,0,2,0,0,0,4,0,0,0,0,1,0,0,1,15,31,2,6,0,1,0,0,0,13,0,1,1,1,1,0
0,0,1,0,0,0,9,0,0,0,0,1,1,1,1,14,32,2,7,1,0,1,1,0,18,1,1,1,1,1,0
