perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,suspicious_Base64,suspicious_Cipher,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_getDeviceId,suspicious_Ljava_lang_System___load,suspicious_getSystemService,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,suspicious_system_bin_su,intent_android_intent_action_PACKAGE_REMOVED,intent_android_net_conn_CONNECTIVITY_CHANGE,label
0,0,16,0,166,26,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,10,0,0,1,0
0,0,1,0,8,20,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,5,0,30,14,6,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,35,22,12,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,13,0,0,0,0
0,0,10,0,45,21,8,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
0,0,8,0,45,52,13,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,33,9,6,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7,0,0,0,0
0,0,3,0,41,39,11,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,227,1,3,4,4,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,114,0,1,1,0
0,0,5,0,17,18,7,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0
0,0,0,0,0,14,6,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15,0,64,15,9,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,22,1,0,0,0
0,0,25,0,47,35,12,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,6,0,0,0,1
0,0,1,0,0,15,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,35,9,5,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,11,0,7,12,5,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0
0,0,8,0,29,18,7,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,6,0,35,7,6,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0
0,0,2,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,17,26,10,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,1,0,2,17,6,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,7,18,9,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,4,0,1,46,11,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,15,0,119,34,13,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,11,1,0,1,0
0,0,15,0,72,11,6,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,9,0,0,0,0
0,0,12,0,155,27,10,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0
0,0,3,0,22,13,5,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,17,5,4,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,13,0,7,29,10,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,1,5,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,19,1,22,38,12,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,7,1,1,1,0
0,0,11,0,42,15,8,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,10,0,0,0,0
0,1,23,0,139,24,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,8,0,1,1,0
0,0,4,0,29,25,13,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,1,19,0,23,35,12,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,10,0,0,0,0
1,0,8,0,21,31,10,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,4,0,22,13,5,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,7,17,6,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
1,1,9,0,20,16,6,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,13,0,76,26,12,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,11,0,53,14,5,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0
1,1,9,0,46,36,14,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0
0,0,5,0,86,35,14,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,10,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6,0,30,15,6,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0
0,0,3,0,24,23,11,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,125,30,12,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,10,0,0,0,1
0,0,4,0,31,25,8,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,26,0,32,47,14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,7,0,0,0,0
0,0,8,0,32,19,9,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,40,13,5,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,6,12,5,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,8,0,15,18,7,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,17,0,49,43,10,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1
0,0,2,0,3,12,5,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,111,1,64,35,15,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,18,1,0,1,0
0,0,17,0,106,36,12,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,11,0,0,0,0
1,0,8,0,176,23,11,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0
0,0,10,0,60,18,10,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,11,0,0,0,0
0,0,9,0,15,13,7,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,13,0,6,18,6,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,10,10,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,5,0,22,18,7,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
0,0,14,0,28,17,9,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,8,0,0,0,0
0,0,4,0,31,17,9,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,7,0,37,8,6,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,8,0,0,0,0
1,0,12,0,91,55,15,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,9,0,0,0,0
0,0,8,0,105,47,13,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
1,1,9,1,11,8,6,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,3,0,1,1,1
0,0,2,0,20,13,5,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,24,21,8,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,23,20,6,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18,17,6,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,0,12,29,13,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,36,12,5,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,124,1,202,69,21,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,56,1,1,1,0
1,0,19,0,36,35,11,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,33,0,54,27,13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,13,0,0,0,0
0,0,8,0,10,27,12,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,0,44,33,11,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0
0,0,9,0,52,22,10,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,7,0,0,0,0
0,0,1,0,4,13,6,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,34,46,15,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0
0,0,29,0,34,17,7,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,4,0,11,16,7,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,12,19,8,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
0,0,3,0,10,8,5,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,57,19,9,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,5,1,0,0,0
0,0,5,0,46,28,13,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0
0,0,2,0,8,5,4,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,3,9,3,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
0,0,11,0,99,24,9,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,13,1,0,0,0
0,0,4,0,37,22,12,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,17,0,49,42,12,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1,1,224,1,0,4,4,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,114,0,1,1,1
0,0,7,0,0,5,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,8,0,24,4,4,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,5,0,0,0,0
1,1,38,1,639,46,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,11,1,0,1,0
0,0,11,0,156,27,10,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,13,0,0,0,0
0,0,13,0,21,19,10,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,8,0,0,0,0
1,0,5,0,1,4,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
0,0,8,0,105,47,13,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
0,0,6,0,30,8,6,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,6,0,0,0,0
0,0,2,0,24,5,4,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,24,0,22,35,12,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
0,0,11,0,67,14,8,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,9,0,0,0,0
0,0,0,0,5,17,6,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,24,0,39,8,7,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,13,0,0,0,0
0,0,7,0,25,6,5,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,13,0,190,14,6,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,39,32,12,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7,0,0,0,0
0,0,2,0,15,19,10,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,7,19,6,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,17,8,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,29,0,94,27,11,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,27,0,0,0,0
0,0,21,0,50,27,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,9,0,0,0,0
0,0,24,0,215,44,17,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,19,0,0,1,0
0,0,7,0,28,13,5,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,2,0,1,20,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,5,0,11,12,5,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,19,23,7,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,12,0,44,14,5,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0
0,0,2,0,5,17,6,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,14,5,5,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0
1,1,189,1,55,52,19,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,12,1,1,1,0
1,1,31,1,37,32,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
0,0,3,0,31,33,13,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,13,0,41,8,5,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,29,26,10,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,5,0,1,17,8,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,36,21,9,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
1,1,33,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,11,0,1,1,1
1,1,8,0,53,37,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,15,12,5,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,11,0,61,30,12,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,21,1,0,1,0
0,0,10,0,4,12,4,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,4,0,17,11,5,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,0,70,15,8,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,14,1,0,1,0
0,0,9,0,48,25,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
0,0,4,0,43,15,6,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,5,0,42,34,15,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,47,10,6,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,6,5,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,2,7,5,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,47,22,8,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,8,0,0,0,0
0,0,5,0,26,19,9,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,3,0,0,0,0
0,0,6,0,118,40,11,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0
0,0,1,0,5,19,9,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7,0,3,11,6,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
0,0,11,0,24,27,9,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,38,30,12,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,14,0,0,0,0
0,0,4,0,34,21,8,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,2,0,21,17,6,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,23,0,26,19,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0
0,1,3,0,0,8,4,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,38,22,10,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,6,0,0,0,0
1,1,10,0,26,27,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
0,0,17,0,21,22,9,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,8,0,0,0,0
0,0,7,0,45,8,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,9,16,5,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,44,22,10,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,13,0,0,0,0
0,0,6,0,22,26,8,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
0,0,24,0,55,26,11,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0
0,0,10,0,17,12,5,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
0,0,5,0,22,18,7,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
0,0,5,0,21,18,7,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
0,0,9,0,64,22,8,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
0,0,7,0,28,14,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,7,0,2,15,7,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,45,29,8,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,18,0,18,12,4,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,5,0,0,0,0
