intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_REMOVED,n_api_calls,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_GET_TASKS,intent_cryopiggy_start,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_QUICKBOOT_POWERON,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_COARSE_LOCATION,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_PACKAGE_REPLACED,intent_android_app_action_DEVICE_ADMIN_ENABLED,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,perm_android_permission_CHANGE_NETWORK_STATE,n_urls,n_activities,n_receivers,n_services,n_used_permissions,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_VIEW,label
0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,6,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,43,10,2,3,3,0,0,1,0
0,0,0,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,7,0,0,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,7,0,0,0,0
0,0,0,0,0,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,3,3,5,5,1,1,0,0
0,0,0,0,0,20,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,33,15,5,9,8,1,1,0,0
0,0,0,0,0,21,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,9,3,5,8,1,0,0,1
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1
0,0,0,0,0,22,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,44,16,8,14,11,1,1,1,0
0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,4,0,0,4,0,0,0,0
0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,7,0,0,9,0,0,0,0
0,0,0,0,0,35,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,78,84,4,4,15,1,1,1,0
0,0,0,0,0,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,2,0,0,17,0,0,0,0
0,0,0,0,0,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,11,0,0,6,0,0,0,0
1,0,0,0,0,23,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,118,17,10,12,10,1,1,1,0
0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,6,0,1,5,0,0,0,1
0,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4,3,2,7,1,1,1,0
0,1,0,0,0,35,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,181,6,3,2,11,0,1,0,0
0,0,0,0,0,21,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,33,6,2,1,12,0,0,0,0
0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,10,0,0,14,0,0,0,0
0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0
0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,0,2,0,1,0,0
0,0,0,0,0,32,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,41,18,5,4,10,1,0,0,0
0,0,0,0,0,21,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,39,12,7,3,8,1,1,0,1
0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,11,0,1,6,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,1,10,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,4,0,0,0,0
0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,2,4,8,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,4,0,0,7,0,0,0,0
0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,8,1,1,7,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0
0,0,0,0,0,19,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,72,6,1,6,9,1,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,4,2,2,7,0,1,0,0
1,0,0,0,0,24,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,156,57,7,18,9,1,1,1,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,3,1,6,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,1,2,10,0,1,0,0
0,0,0,0,0,19,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,27,7,4,3,7,1,1,0,0
0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,7,0,0,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,5,0,0,0,0
1,0,0,0,0,46,2,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,98,38,4,6,14,1,1,1,1
0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,33,3,10,5,0,1,1,0
0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,3,0,0,9,0,0,0,0
0,0,0,0,0,17,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,3,4,5,7,1,1,0,0
1,0,0,0,0,24,7,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,25,32,10,9,11,1,1,0,0
0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,0,0,11,0,0,0,0
0,0,0,0,0,32,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,25,7,4,3,8,1,0,0,0
1,1,0,0,1,31,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,73,129,4,7,13,0,0,1,0
0,0,0,0,0,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,3,2,5,6,1,0,0,0
1,0,0,0,0,58,5,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,67,39,16,19,16,1,1,1,0
0,0,0,0,0,23,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32,5,5,5,14,1,1,0,0
1,0,0,0,0,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,20,1,3,6,0,0,1,0
0,0,0,0,0,35,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,25,2,5,3,12,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0
0,0,0,0,0,19,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,4,0,1,11,0,0,0,0
0,0,0,0,0,21,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22,9,3,5,8,1,0,0,0
0,0,0,0,0,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,2,1,2,8,1,0,0,0
0,0,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,5,1,0,0,0
0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,87,0,0,8,0,0,0,0
0,0,0,0,0,19,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,66,8,5,10,9,1,1,1,0
0,0,0,0,0,22,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,27,17,4,5,6,1,0,0,0
0,0,0,0,0,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,12,4,8,8,1,0,0,1
0,0,0,0,0,26,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,35,30,6,9,9,1,1,1,0
1,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1,0,7,0,0,0,1
0,1,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,2,2,8,0,0,0,0
0,0,0,0,0,16,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,136,33,3,4,9,1,0,1,0
0,0,0,0,0,22,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,120,72,5,7,9,1,1,1,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,3,0,1,0,0
0,0,0,0,0,11,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,15,4,6,6,1,1,0,0
1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,7,0,0,0,1,0
0,0,0,0,0,53,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,78,12,1,3,22,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,1,5,0,0,0,0
0,0,0,0,0,20,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,23,5,6,2,10,1,1,0,0
0,0,0,0,0,17,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,10,2,4,5,9,1,1,0,0
0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,5,0,0,9,0,0,0,0
0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,3,0,0,7,0,0,0,0
0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1,1,6,1,0,0,0
1,0,0,0,0,29,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,157,46,8,19,16,1,1,1,0
0,0,0,0,0,26,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,175,138,4,10,10,1,0,1,0
0,0,0,0,0,20,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,24,7,2,0,11,0,0,0,0
0,0,0,0,0,59,2,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,132,41,27,39,20,1,1,1,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,9,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,2,0,0,5,0,0,0,0
1,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,73,4,6,0,0,0,1,0
0,0,0,0,0,6,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24,7,4,2,5,1,1,0,0
0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,3,0,0,10,0,0,0,0
1,0,0,0,0,31,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,122,54,11,12,14,1,1,1,0
0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5,0,0,0,0
0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,14,1,9,6,0,0,0,1
0,0,0,0,0,23,4,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,28,31,17,34,14,1,0,1,0
0,0,0,0,0,17,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7,34,4,4,8,1,0,0,0
0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,3,0,1,10,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,357,9,0,0,7,0,0,0,0
0,0,0,0,0,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,74,2,3,12,1,1,0,0
1,0,0,0,0,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,4,12,0,0,0,0
0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,9,0,0,6,0,0,0,0
0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,7,0,0,0,0
0,0,0,0,0,36,10,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,46,27,14,35,15,1,1,1,0
0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,8,1,0,11,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,1,0
0,0,0,0,0,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,4,1,1,11,1,0,0,0
0,0,0,0,0,19,5,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,108,52,7,18,8,1,1,1,0
0,0,0,0,0,25,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,34,7,7,15,10,1,1,0,1
0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,14,0,0,12,0,0,0,0
0,0,0,0,0,23,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,32,27,9,18,9,1,1,1,0
0,0,0,0,0,18,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,23,35,7,14,9,1,1,0,0
0,0,0,0,0,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,102,0,1,10,0,0,0,0
0,1,0,0,1,43,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,131,69,3,2,14,0,0,1,0
0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,2,0,0,5,0,0,0,0
0,0,0,0,0,19,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,66,11,5,2,7,1,0,1,0
0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,5,1,0,0,0
0,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,5,6,1,10,1,0,0,0
0,0,0,0,0,24,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,30,13,5,7,8,1,1,1,0
0,0,0,0,0,31,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,75,4,5,9,8,1,0,0,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,7,0,0,0,0
0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,5,0,0,9,0,0,0,0
1,0,0,0,0,14,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,8,7,5,6,7,1,1,0,0
0,0,0,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26,7,4,2,5,1,1,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,4,0,0,5,0,0,0,0
0,0,0,0,0,20,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,23,7,12,9,1,1,1,0
0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,9,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,5,0,0,0,0
1,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,11,11,10,0,0,0,0
1,1,0,0,0,44,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,175,59,7,12,17,1,1,0,0
0,0,0,0,0,36,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,21,3,5,6,11,1,1,0,0
0,0,0,0,0,21,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,48,17,7,10,10,1,0,0,0
0,0,0,0,0,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,9,0,0,0,0
0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,11,0,0,0,0
1,1,1,0,1,41,3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,72,55,6,11,15,1,1,1,0
0,0,0,0,0,19,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,15,25,5,12,13,1,1,1,0
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,1,0,7,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,9,0,0,5,0,0,0,0
0,0,0,0,0,21,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,87,28,6,3,8,1,1,1,0
0,0,0,0,0,20,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,21,11,11,11,7,1,1,1,0
1,0,0,0,0,37,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,66,36,10,13,15,1,1,1,0
0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,10,0,0,7,0,0,0,0
0,1,0,1,1,34,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,55,18,30,19,14,1,1,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,7,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,7,0,0,6,0,0,0,1
0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,59,1,0,8,0,0,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,7,1,3,6,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,5,0,0,7,0,0,0,0
0,1,0,0,1,46,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,192,56,6,14,12,0,0,1,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,10,0,0,0,1
0,0,0,0,0,28,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,51,20,7,9,15,1,1,1,1
0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,10,0,1,9,0,0,0,1
0,0,0,0,0,12,9,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,70,35,7,13,6,1,1,1,0
0,0,0,0,0,23,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,34,16,5,7,9,1,1,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,4,0,0,0,0
0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,57,24,0,0,7,0,0,0,0
0,0,0,0,0,17,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,5,6,5,8,1,1,0,0
0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,12,1,0,10,0,0,0,0
0,0,0,0,0,14,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,11,13,4,3,6,1,0,0,0
0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1,1,5,0,0,0,0
0,0,0,0,0,22,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,33,19,4,3,10,1,1,0,0
0,0,0,0,0,22,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,16,0,0,8,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,9,0,0,5,0,0,0,0
0,0,0,0,0,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,3,2,5,6,1,0,0,0
0,0,0,0,0,53,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,77,13,1,3,22,0,0,0,0
0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,15,0,0,0,0
0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,9,0,0,0,0
1,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,2,3,7,1,0,0,0
0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,10,0,0,0,0
0,0,0,0,0,27,3,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,156,72,6,13,10,1,1,1,0
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,6,0,0,0,0
