n_urls,n_api_calls,perm_android_permission_READ_PHONE_STATE,n_activities,suspicious_getDeviceId,suspicious_getExternalStorageDirectory,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getSubscriberId,suspicious_Ldalvik_system_DexClassLoader_,n_providers,suspicious_sendTextMessage,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Ljava_lang_System___loadLibrary,suspicious_getPackageInfo,n_services,perm_com_android_vending_BILLING,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_VIEW,n_receivers,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SET_WALLPAPER,n_permissions,perm_android_permission_SEND_SMS,perm_android_permission_FLASHLIGHT,intent_com_google_android_gms_measurement_UPLOAD,intent_show_lock_set_email,perm_android_permission_READ_CELL_BROADCASTS,label
25,13,0,11,1,1,6,1,0,1,0,0,0,0,1,0,1,6,0,0,0,1,0,0,5,0,0,0,0,0,0
17,18,0,2,0,1,7,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,39,0,11,1,1,12,1,0,0,0,1,1,1,1,1,1,13,0,1,0,11,1,0,14,0,0,0,0,0,0
2,17,0,1,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,21,1,40,1,1,11,1,0,1,5,0,0,1,1,1,1,9,0,1,0,9,1,0,28,0,0,0,0,0,0
41,12,0,4,1,1,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1
29,19,1,10,1,1,9,1,0,0,0,0,0,1,0,1,1,3,0,0,0,4,0,0,9,0,0,0,0,0,0
22,18,0,4,1,1,7,1,0,1,1,0,0,0,1,0,1,2,0,1,0,4,1,0,8,0,0,0,0,0,0
11,22,0,31,1,1,9,1,0,0,3,0,0,1,1,1,1,3,0,0,0,3,0,0,17,0,0,0,0,0,0
3,6,1,14,1,1,4,1,1,0,1,0,0,1,0,1,1,3,0,0,1,0,0,1,39,0,1,0,0,0,0
17,17,1,21,1,1,9,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,10,0,0,0,0,0,0
35,27,0,6,1,1,8,1,0,1,0,0,0,0,1,0,1,3,0,1,0,4,1,0,18,0,0,0,0,0,0
75,55,0,29,1,1,15,1,1,1,0,1,1,0,1,0,1,2,0,0,0,3,0,0,4,0,0,0,0,0,0
7,5,1,5,1,1,2,1,0,1,1,0,0,1,0,1,1,2,0,0,1,0,0,0,7,0,0,0,0,0,0
20,21,0,7,0,1,10,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
33,15,0,13,1,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
34,19,1,9,1,1,9,1,0,1,1,0,0,1,0,1,1,8,0,1,0,4,1,0,14,0,0,1,0,0,0
12,19,0,4,1,1,8,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0
34,28,1,4,1,1,8,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,17,0,2,0,1,5,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,8,0,0,0,0,0,0
18,20,0,6,0,1,8,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
23,18,0,34,0,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1
181,22,1,29,1,1,11,1,1,1,2,0,1,1,1,1,1,13,0,1,1,8,1,0,29,0,0,0,0,0,0
62,29,1,124,1,1,14,1,0,0,6,1,0,1,1,1,1,14,0,1,1,13,1,0,23,0,0,0,0,0,0
240,50,1,147,1,1,14,1,1,0,4,0,0,1,1,1,1,13,0,1,0,7,1,0,22,0,0,0,0,0,0
1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
53,23,0,11,1,1,6,1,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,1,4,0,0,0,0,0,0
14,18,0,11,0,1,6,1,0,1,0,0,0,0,0,0,1,9,0,0,0,1,0,0,4,0,0,0,0,0,0
33,19,0,26,1,1,9,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
56,36,1,18,1,1,16,1,1,1,0,0,1,1,1,1,1,2,0,0,0,2,0,0,5,0,0,0,0,0,1
70,21,0,12,1,1,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0
176,23,1,19,1,1,11,1,0,1,0,0,0,1,0,1,1,5,0,1,0,6,1,0,9,0,0,0,0,0,0
7,15,1,10,1,1,7,1,0,0,1,0,0,1,0,1,1,3,0,1,1,5,1,0,12,0,0,0,0,0,0
14,11,0,17,1,1,8,1,0,1,1,0,0,0,0,0,1,4,1,1,0,4,1,0,15,0,0,1,0,0,0
20,25,0,8,1,1,7,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
106,63,1,36,1,1,17,1,1,1,0,1,0,1,0,1,1,5,0,0,0,5,0,0,8,0,0,0,0,0,0
43,28,0,11,1,1,11,1,0,1,0,0,0,0,1,0,1,8,0,0,0,2,0,0,7,0,0,0,0,0,0
27,22,0,5,1,1,9,1,0,1,1,0,0,0,1,0,1,6,0,1,0,3,1,0,5,0,0,0,0,0,0
35,17,1,14,1,1,8,1,0,1,1,0,0,0,0,0,1,5,0,1,0,6,1,1,27,0,0,0,0,0,0
53,21,0,11,0,1,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,0,0,0,0,0,1
19,20,0,19,1,1,7,1,0,0,1,0,0,1,1,1,1,4,1,1,1,6,1,0,19,0,0,0,0,0,0
81,43,1,45,1,1,12,1,1,1,0,0,1,1,0,1,1,9,0,0,1,3,0,0,25,0,0,0,0,0,0
22,15,0,14,0,1,6,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
973,41,0,56,1,1,20,1,1,1,5,0,0,1,1,1,1,26,0,1,0,11,1,0,17,0,0,0,0,0,0
47,47,0,9,1,1,15,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,0,0,0,0,0,0
3,21,1,5,0,1,9,1,0,0,1,0,0,0,1,0,1,3,0,1,0,7,1,0,28,0,0,0,0,0,0
31,19,0,10,1,1,7,1,0,1,1,0,0,1,1,1,1,2,0,1,0,4,1,0,11,0,0,0,0,0,0
115,20,0,58,1,1,9,1,0,1,3,0,0,1,1,1,1,15,1,1,0,9,1,0,14,0,0,0,0,0,0
3,15,0,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
30,17,0,16,1,1,7,1,0,1,0,0,0,0,1,0,1,13,0,0,0,1,0,0,4,0,0,0,0,0,0
119,21,1,41,1,1,9,1,0,1,2,0,0,0,1,0,1,8,0,1,1,6,1,0,21,0,0,0,0,0,0
16,9,0,8,0,1,6,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,30,0,0,0,0,0,0
101,36,0,30,1,1,15,1,0,1,4,0,1,1,1,1,1,8,1,1,1,9,1,0,12,0,0,0,0,0,0
15,14,0,7,0,1,6,1,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,0,17,0,0,0,0,0,0
24,8,0,4,1,1,7,1,0,1,1,0,0,0,1,0,1,3,0,1,0,5,1,0,7,0,0,0,0,0,0
18,16,0,4,1,1,7,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
36,21,1,13,0,1,10,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0
39,30,0,48,1,1,10,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,7,0,0,0,0,0,0
42,25,0,13,1,1,8,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,6,0,0,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,0,5,1,1,7,1,0,0,0,0,0,0,1,0,1,5,0,1,0,10,1,0,10,0,0,0,0,0,0
105,47,0,42,1,1,13,1,0,1,1,0,0,1,0,1,1,4,0,0,0,8,0,0,8,0,1,0,0,0,0
3,24,0,1,1,1,10,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
12,20,0,6,0,1,8,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
33,30,0,15,1,1,10,1,0,1,1,0,0,0,0,0,1,4,0,0,0,2,0,1,9,0,0,0,0,0,0
17,18,0,4,0,1,6,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4,0,0,0,0,0,0
24,5,0,3,1,1,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
20,13,1,1,1,1,7,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0
27,21,0,18,1,1,8,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
11,14,0,1,0,1,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
202,32,0,64,1,1,11,1,0,1,5,0,0,1,1,1,1,16,0,1,1,12,1,0,11,0,1,0,0,0,0
36,24,0,10,0,1,9,1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,13,0,0,0,0,0,0
21,18,0,3,0,1,8,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
15,19,0,17,1,1,6,1,0,0,1,0,0,0,0,0,1,3,0,1,0,4,1,0,10,0,0,1,0,0,0
156,24,0,73,1,1,9,1,0,1,2,0,0,1,0,1,1,7,0,1,1,6,1,0,13,0,0,0,0,0,0
24,5,0,3,1,1,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
41,22,0,22,1,1,8,1,0,0,6,0,0,0,1,0,1,5,0,1,1,4,1,0,7,0,0,0,0,0,0
24,18,0,4,0,1,10,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0
4,6,1,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1
29,6,0,2,1,1,5,1,0,1,1,0,0,0,1,0,1,6,0,1,0,3,1,0,8,0,0,0,0,0,1
21,18,0,3,1,1,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
12,1,0,3,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
33,28,0,8,1,1,10,1,0,1,0,0,0,0,1,0,1,3,0,0,0,2,0,0,7,0,0,0,0,0,0
41,25,1,10,1,1,13,1,0,1,3,0,0,1,1,1,1,11,1,1,1,3,1,0,13,0,0,0,0,0,0
24,20,0,19,1,1,10,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0
34,33,1,42,1,1,11,1,1,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,18,0,0,0,0,0,0
39,17,0,18,1,1,7,1,0,1,0,0,0,0,0,0,1,2,1,0,1,0,1,0,8,0,0,0,0,0,0
2,17,0,1,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,14,0,3,1,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
29,20,0,4,1,1,7,1,0,1,1,0,0,0,1,0,1,6,0,1,0,5,1,0,11,0,0,0,0,0,0
49,27,1,1,1,1,12,1,0,1,1,0,0,1,0,0,1,2,0,1,0,2,1,0,12,0,0,0,0,0,1
22,18,0,6,1,1,7,1,0,1,1,0,0,0,1,0,1,2,0,1,0,4,1,0,5,0,0,0,0,0,0
19,18,0,8,1,1,7,1,0,1,2,0,0,0,0,0,1,5,0,1,0,3,1,0,8,0,0,1,0,0,0
22,19,0,4,0,1,9,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
33,14,0,14,1,1,7,1,0,1,4,0,0,0,1,0,1,13,0,1,1,7,1,0,30,0,0,0,0,0,0
49,12,1,55,1,1,7,1,0,0,3,0,0,0,1,0,1,7,0,1,1,7,1,0,17,0,0,0,0,0,0
54,70,1,1,1,1,17,1,1,1,0,0,0,1,0,1,1,8,0,0,1,0,0,0,23,0,0,0,0,0,0
22,14,1,2,1,1,5,1,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,6,0,0,0,0,0,1
35,22,0,15,1,1,12,1,0,1,2,0,0,1,1,1,1,13,0,1,0,7,1,1,27,0,0,0,0,0,0
28,15,1,7,1,1,5,1,1,0,1,0,1,1,0,1,1,3,0,0,1,4,0,0,14,0,0,0,0,0,1
9,16,0,2,0,1,6,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,4,0,0,0,0,0,1
54,7,0,4,1,1,5,1,0,1,0,0,1,0,0,0,1,5,0,0,0,3,0,0,5,0,0,0,0,0,0
10,8,0,4,1,1,6,1,0,1,1,0,0,1,0,1,1,1,0,0,0,3,0,0,5,0,0,0,0,0,0
15,16,0,4,1,1,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
71,20,1,12,1,1,8,1,0,1,1,0,0,0,1,0,1,10,0,1,1,6,1,0,11,0,0,0,0,0,1
45,20,0,90,1,1,7,1,0,0,6,0,0,0,1,0,1,30,1,1,1,15,1,0,12,0,0,0,0,0,1
48,6,0,20,1,1,6,1,0,0,1,0,0,0,1,0,1,10,0,1,1,5,1,0,7,0,0,0,0,0,0
22,18,1,7,1,1,7,1,0,1,1,0,0,0,0,0,1,6,0,1,0,3,1,0,11,0,0,1,0,0,0
24,14,0,8,1,1,6,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0
3,18,0,1,1,1,9,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,15,0,4,0,1,6,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17,29,1,6,1,1,8,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,16,0,0,0,0,0,0
11,45,1,6,1,1,13,1,0,1,0,1,0,1,1,1,1,3,1,1,0,1,1,0,21,1,0,0,0,0,0
7,18,0,6,0,1,6,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
9,9,1,8,0,1,4,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0
14,16,1,2,1,0,6,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,9,0,0,0,0,0,0
58,26,0,22,1,1,12,1,0,0,6,0,0,1,1,1,1,14,1,1,1,11,1,0,13,0,0,0,0,0,0
7,4,1,5,1,0,4,1,0,0,1,0,0,1,0,1,1,4,0,1,0,4,1,0,7,0,0,1,0,0,0
23,17,0,2,0,1,9,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1
11,20,0,5,1,1,6,1,0,0,0,0,0,1,0,1,1,1,1,0,0,2,0,0,9,0,0,0,0,0,0
28,8,0,7,1,1,7,1,0,1,2,0,0,1,1,1,1,12,0,1,0,7,1,0,24,0,0,0,0,0,0
19,18,0,4,1,1,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
27,23,0,9,1,1,8,1,0,0,2,0,0,1,1,1,1,12,0,1,0,7,1,0,27,0,0,0,0,0,0
109,14,0,20,1,1,9,1,0,1,1,0,1,0,1,0,1,11,0,1,0,13,1,1,36,0,0,0,0,0,0
42,14,0,27,1,1,7,1,0,1,3,0,0,0,1,0,1,12,1,1,1,8,1,0,9,0,0,0,0,0,0
46,14,0,42,1,1,5,1,0,1,3,0,0,1,0,1,1,8,0,1,1,7,1,0,4,0,0,0,0,0,0
230,71,1,26,1,1,18,1,1,1,0,1,1,1,0,1,1,9,0,0,1,7,0,0,37,1,0,0,0,0,0
26,10,1,26,1,1,8,1,0,1,1,0,0,1,0,1,1,1,0,0,1,6,0,0,18,0,0,0,0,0,0
24,19,0,4,1,1,10,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,32,0,3,1,1,10,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1
28,45,0,2,1,1,14,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,6,0,0,0,0,0,0
25,24,0,7,1,1,11,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,8,0,0,0,0,0,0
37,41,0,11,1,1,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
38,35,1,13,1,1,12,1,0,0,1,0,0,0,1,0,1,6,0,0,0,3,0,0,10,0,0,0,0,0,0
38,30,1,1,1,1,11,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,22,0,0,0,0,0,0
34,12,0,3,1,1,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0
3,3,0,3,1,0,3,1,0,0,1,0,0,0,0,0,1,5,0,1,0,3,1,0,8,0,0,1,0,0,0
34,6,0,5,1,1,5,1,0,1,1,0,0,0,1,0,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0
10,21,0,5,1,1,8,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0
8,4,0,5,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,1,0,0,0,1
102,36,1,110,1,1,14,1,1,1,3,0,1,1,0,1,1,5,0,0,1,3,0,0,28,0,0,0,0,0,0
30,7,0,13,1,1,5,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,8,0,0,0,0,0,0
114,65,1,97,1,1,15,1,1,1,0,1,1,1,0,1,1,8,0,0,1,3,0,0,38,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
13,15,0,2,0,1,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
16,23,0,13,1,1,10,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2,0,0,5,0,0,0,0,0,0
16,4,0,3,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
62,23,0,18,1,1,11,1,0,1,0,0,0,1,1,1,1,2,0,0,0,3,0,0,2,0,0,0,0,0,0
84,22,1,21,1,1,9,1,0,0,3,1,0,0,1,0,1,11,0,1,0,14,1,0,14,0,0,0,0,0,0
11,15,0,8,1,1,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1
118,14,0,70,1,1,6,1,0,1,0,0,0,0,0,0,1,7,0,1,1,5,1,0,12,0,0,0,0,0,0
19,12,1,7,1,1,5,1,0,0,0,0,0,0,1,0,1,3,0,1,0,4,1,0,26,0,0,0,0,0,0
2,17,0,1,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,18,0,3,1,1,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
46,31,0,12,1,1,9,1,0,1,2,0,0,0,0,0,1,7,0,1,0,8,1,0,20,0,0,1,0,0,0
31,13,0,6,1,1,7,1,0,1,2,0,0,1,1,1,1,7,0,1,0,4,1,0,8,0,0,0,0,0,0
99,19,0,79,1,1,8,1,0,1,5,0,0,0,1,0,1,17,0,1,1,15,1,0,12,0,0,0,0,0,0
24,21,0,23,1,1,12,1,0,1,3,0,0,1,1,1,1,2,0,1,0,4,1,0,7,0,0,0,0,0,0
9,2,0,2,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,15,0,18,1,1,6,1,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
46,21,1,15,1,1,7,1,0,1,0,0,0,1,0,1,1,2,0,0,0,4,0,0,9,0,0,0,0,0,0
64,28,0,16,1,1,11,1,0,1,0,0,1,1,1,1,1,0,0,0,0,3,1,0,7,0,0,0,0,0,0
56,23,0,10,1,1,9,1,0,1,0,0,0,0,0,0,1,2,0,1,0,2,1,0,7,0,0,0,0,0,0
141,63,1,316,1,1,16,1,1,1,9,0,0,1,0,1,1,26,0,0,1,9,0,0,31,0,0,0,0,0,0
171,58,1,64,1,1,19,1,1,1,2,0,0,1,1,1,1,30,0,1,1,24,1,0,32,0,0,0,0,0,1
46,25,0,5,1,1,8,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
114,28,1,42,1,1,15,1,0,1,5,0,0,1,1,1,1,11,0,1,1,10,1,0,17,0,0,0,0,0,0
32,8,0,3,1,1,3,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0
16,22,0,8,0,1,7,1,0,1,0,0,0,0,0,0,1,3,0,1,0,2,1,0,22,0,0,0,0,0,0
58,30,0,43,1,1,13,1,0,1,8,0,1,1,1,1,1,13,1,1,0,14,1,0,33,0,0,0,0,0,0
