n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_USER_PRESENT,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_providers,perm_android_permission_CHANGE_WIFI_STATE,suspicious_getSubscriberId,perm_android_permission_WRITE_SMS,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_BLUETOOTH,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_RESTART_PACKAGES,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_SMS,intent_android_intent_action_ACTION_POWER_CONNECTED,n_used_permissions,n_services,n_urls,label
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,26,120,0
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,26,120,0
34,1,1,0,0,0,0,1,1,0,4,0,1,0,1,1,0,0,12,1,1,0,0,0,0,0,0,14,18,120,0
17,1,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,14,1,1,1,0,0,0,0,0,9,17,123,0
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,26,122,0
25,1,0,1,0,0,0,1,1,0,9,0,0,0,1,1,0,1,38,1,1,0,0,0,0,0,0,11,41,130,0
20,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,1,11,19,93,0
36,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,25,1,1,0,0,0,0,0,0,14,20,101,0
31,1,0,0,0,0,0,1,1,0,7,0,0,0,1,1,0,0,39,1,1,1,0,0,0,0,0,11,25,130,0
23,0,1,0,0,0,0,1,1,0,5,0,0,0,1,0,1,0,34,1,1,0,0,0,0,0,0,10,31,78,0
22,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,8,20,115,0
33,1,1,0,0,0,0,1,1,0,4,0,1,0,1,1,0,0,12,1,1,0,0,0,0,0,0,13,18,124,0
23,1,1,0,0,0,0,1,1,0,3,0,1,0,1,0,0,0,15,1,1,0,0,0,0,0,0,11,14,106,0
23,1,0,1,0,0,0,1,1,0,9,0,0,0,1,1,0,1,38,1,1,0,0,0,0,0,0,11,43,130,0
22,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,8,18,109,0
23,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,1,1,17,1,0,0,0,0,0,0,1,8,16,118,0
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,24,122,0
19,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0,8,18,109,0
37,0,0,1,0,0,1,1,1,0,6,0,1,0,1,1,0,0,10,1,1,0,0,0,0,0,0,14,32,88,0
24,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,16,1,1,1,0,0,0,0,0,11,16,126,0
24,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,16,1,1,1,0,0,0,0,0,11,16,126,0
22,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,5,1,1,0,0,0,0,0,0,8,20,115,0
15,0,1,0,0,0,0,1,1,0,6,1,0,0,1,1,0,0,32,1,1,0,0,0,0,0,0,9,24,87,0
23,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,18,1,1,1,0,0,0,0,0,11,17,92,0
29,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,12,1,1,0,0,0,0,0,0,11,15,122,0
29,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,12,1,1,0,0,0,0,0,0,11,15,123,0
27,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,0,0,26,1,1,1,0,0,0,0,0,12,18,90,0
14,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,19,1,1,1,0,0,0,0,0,7,13,113,0
19,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,13,1,1,1,0,0,0,0,0,8,12,107,0
21,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,12,1,1,1,0,0,0,0,0,10,13,117,0
25,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,31,0,0,0,1,0,0,0,0,9,14,115,1
48,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,17,1,0,1,0,0,0,0,0,14,24,94,1
22,0,0,0,0,0,0,1,1,0,4,0,1,0,1,1,0,0,16,1,1,0,0,0,0,0,0,11,20,83,0
29,0,1,0,0,0,0,1,1,0,7,0,0,0,1,0,0,1,19,1,1,0,0,0,0,0,0,14,12,110,0
45,1,1,1,0,0,1,0,0,0,3,0,1,0,0,1,1,0,14,0,1,0,0,1,0,0,0,17,17,112,1
36,0,1,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,18,1,1,1,0,0,0,0,0,12,13,113,0
30,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,18,1,1,1,0,0,0,0,0,10,13,118,0
24,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,0,0,11,1,1,1,0,0,0,0,0,9,13,99,0
16,0,1,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,1,6,22,82,0
39,0,0,0,0,0,0,1,1,0,3,1,0,0,0,1,1,0,20,1,1,1,0,0,0,0,0,12,15,97,0
34,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,6,1,1,0,0,0,0,0,0,12,23,127,0
35,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,7,1,1,0,0,0,0,0,0,13,24,128,0
44,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,13,25,87,1
48,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,10,1,1,0,0,0,0,0,0,16,19,98,0
23,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,0,13,1,1,0,0,0,0,0,0,10,11,101,0
19,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,13,1,1,1,0,0,0,0,0,9,11,116,0
22,0,1,1,0,0,0,1,1,0,4,0,0,0,1,0,0,0,23,1,1,1,0,0,0,0,0,12,17,97,0
20,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,33,0,0,0,0,0,1,0,1,9,21,128,1
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,10,1,1,0,0,0,0,0,0,15,24,131,0
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,24,131,0
18,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,11,1,1,0,0,0,0,0,0,11,11,106,0
39,1,1,1,1,1,0,0,0,0,11,1,1,0,0,1,0,0,28,0,0,0,1,0,1,0,0,15,15,104,0
40,0,1,0,1,0,1,1,1,0,6,1,0,0,1,1,0,0,18,1,1,0,0,0,0,0,0,17,13,113,0
14,0,1,1,1,0,0,1,1,0,5,0,0,0,1,0,0,0,38,1,1,1,0,0,0,1,0,6,17,123,0
25,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,35,0,1,0,1,1,1,0,1,11,15,106,1
23,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,17,1,1,0,0,0,0,0,0,11,24,90,0
20,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,14,1,1,1,0,0,0,0,0,9,15,115,0
20,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,14,1,1,1,0,0,0,0,0,9,15,115,0
22,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,10,1,1,1,0,0,0,0,0,10,10,116,0
17,0,0,1,0,0,1,1,1,0,6,0,1,0,0,1,0,0,10,1,1,0,0,1,0,0,0,8,12,99,0
31,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,22,1,1,1,0,0,0,0,0,11,10,117,0
34,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,15,1,1,0,0,0,0,0,0,13,12,122,0
23,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,20,1,1,1,0,0,1,1,0,10,20,140,0
39,1,1,0,0,0,0,1,1,0,4,1,0,0,1,1,1,0,27,1,1,1,0,0,0,0,0,15,27,114,0
36,0,0,1,1,0,0,1,1,0,4,0,0,0,0,1,1,0,18,1,0,1,0,0,0,0,1,10,17,88,0
18,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,20,1,1,1,0,0,0,0,0,8,9,110,0
57,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,17,1,1,1,0,0,0,0,0,14,25,108,1
33,1,1,0,0,0,0,1,1,0,5,1,1,0,1,1,0,0,18,1,1,1,0,0,0,0,0,15,13,128,0
37,1,1,1,1,1,1,0,0,1,3,1,1,0,0,1,0,0,23,0,0,0,1,0,1,0,0,11,12,99,0
21,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,22,1,1,1,0,0,0,0,0,10,11,95,0
26,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,10,13,107,0
18,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,25,1,1,0,0,0,0,0,0,7,13,92,0
17,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,8,13,105,0
30,1,0,0,0,0,0,1,1,0,2,1,0,0,1,1,0,0,30,1,1,0,0,0,0,0,0,13,18,95,0
18,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,8,13,102,0
28,0,0,1,0,1,1,1,1,0,3,1,0,0,1,1,1,0,26,1,1,0,0,0,0,0,0,10,12,124,0
23,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,10,12,117,0
23,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,16,1,1,1,0,0,0,0,0,10,12,117,0
26,0,1,0,1,1,0,0,0,1,2,1,1,0,0,1,1,0,28,0,1,1,0,0,1,0,0,9,15,102,1
31,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,26,1,1,0,0,0,0,0,0,12,16,88,0
39,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1,0,18,1,1,0,0,1,0,0,1,11,48,63,0
30,0,0,1,1,0,0,1,1,0,5,1,0,0,1,1,0,1,38,1,1,1,0,0,1,0,0,12,16,125,0
20,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,19,1,1,1,0,0,1,0,0,10,14,91,1
18,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,8,13,102,0
32,0,0,0,1,0,0,1,1,0,6,0,0,0,1,1,0,0,19,1,1,1,0,0,1,0,0,16,32,118,0
25,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,34,0,1,0,1,1,1,0,1,11,15,99,1
11,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,14,1,1,0,0,0,0,0,0,6,20,139,0
35,1,1,1,1,1,1,0,0,1,3,1,1,0,0,1,0,1,27,0,0,0,1,0,1,0,0,13,11,112,0
33,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0,1,1,0,0,0,0,1,13,18,81,0
35,0,0,0,1,0,0,1,1,0,5,0,1,0,1,1,0,0,28,1,1,0,0,0,0,0,0,17,18,86,0
25,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,12,1,1,1,0,0,0,0,0,13,9,102,0
37,0,0,1,0,0,0,1,0,0,5,0,0,0,1,1,0,0,27,1,1,0,0,0,0,0,0,19,15,97,0
26,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,20,1,1,1,0,0,0,0,0,11,13,118,0
26,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,19,1,1,0,0,0,0,0,0,9,9,106,0
31,1,1,1,1,1,1,0,0,1,3,1,1,0,0,1,0,0,26,0,0,1,1,0,0,0,0,10,17,117,1
31,0,0,1,0,0,1,1,1,0,7,0,1,0,1,1,0,0,11,1,1,0,0,0,0,0,0,13,22,83,0
31,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,12,1,1,0,0,0,0,0,0,16,18,85,0
15,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,34,1,1,1,0,0,0,0,0,6,12,103,0
21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,10,11,118,0
31,0,1,0,0,0,0,1,1,0,3,1,0,0,1,1,1,0,22,1,1,1,0,0,0,0,0,13,13,118,0
37,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,14,14,89,0
42,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,49,1,0,1,1,0,1,0,1,13,25,124,1
18,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,8,13,95,0
18,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,8,13,95,0
32,0,1,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0,28,1,1,1,0,0,0,0,0,11,13,129,0
8,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,27,1,1,0,0,0,0,0,0,7,19,95,0
36,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,45,0,0,1,1,0,1,1,1,11,22,108,1
45,1,0,0,0,0,1,1,0,0,3,0,1,0,0,1,0,0,14,1,1,1,0,0,0,0,0,15,14,97,1
51,0,1,1,0,0,1,1,1,0,5,0,1,0,1,1,0,0,12,1,1,0,0,0,0,0,0,16,19,102,0
34,0,1,0,0,1,0,1,1,0,2,0,0,0,1,1,0,0,28,1,1,1,0,0,0,0,0,12,11,114,0
24,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,33,0,0,1,1,0,1,0,0,10,13,121,1
14,0,0,1,1,0,1,1,1,0,6,0,0,0,0,1,0,0,12,1,1,0,0,1,0,0,0,7,10,118,0
45,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,10,0,0,1,0,0,0,0,0,10,33,95,1
33,1,1,0,0,0,0,1,1,0,5,1,1,0,1,1,0,0,17,1,1,1,0,0,0,0,0,15,10,124,0
39,0,1,0,0,0,0,1,1,0,4,0,0,0,1,1,0,0,30,1,1,0,0,0,0,0,0,15,19,87,0
38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,11,10,115,0
34,0,0,1,0,0,0,1,1,0,5,0,0,0,1,1,0,0,27,1,1,0,0,0,0,0,0,16,13,91,0
47,1,1,1,0,1,0,1,1,0,2,1,1,0,1,1,1,0,42,1,1,1,0,0,1,0,1,17,21,105,1
38,0,1,1,1,0,1,1,1,1,8,1,1,0,0,1,1,1,38,1,1,1,0,1,1,0,1,14,42,118,0
23,0,0,0,0,0,0,1,1,0,6,0,0,0,1,1,0,0,21,1,1,1,0,0,0,0,0,12,10,93,0
34,1,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,10,1,1,0,0,0,0,0,0,15,13,95,0
25,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,13,10,105,0
24,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,0,15,1,1,1,0,0,0,0,0,11,7,112,0
41,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,33,1,1,1,0,0,1,0,0,15,19,128,0
38,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,0,0,38,0,1,1,1,0,1,0,0,16,20,119,0
14,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,9,1,0,0,0,0,0,0,0,6,9,112,0
41,1,0,1,1,0,0,1,0,0,6,1,0,0,1,1,1,1,27,1,1,0,0,0,0,0,1,17,17,126,0
32,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,38,0,0,1,1,0,1,0,0,10,12,118,1
45,1,1,1,0,0,1,0,0,0,3,0,1,0,0,1,1,0,14,0,1,0,0,1,0,0,0,17,12,111,1
30,0,0,1,1,0,1,1,1,0,3,1,1,0,0,1,0,1,33,1,1,0,0,0,0,0,1,12,11,97,1
35,1,0,1,0,0,0,1,1,0,5,1,0,0,1,1,0,0,13,1,1,0,0,0,0,0,0,13,13,132,0
27,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,10,11,128,0
22,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,35,1,0,0,0,0,0,0,0,11,12,93,0
27,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,30,1,1,1,0,0,0,0,0,14,13,94,0
38,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,0,0,8,1,1,0,0,0,0,0,0,17,13,123,0
23,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,1,0,17,1,1,1,0,0,0,0,0,10,18,77,0
27,1,1,1,1,0,1,0,0,1,2,1,1,0,0,1,0,0,31,0,1,1,0,0,1,1,1,11,13,102,1
21,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,11,1,1,0,0,0,0,0,0,9,8,99,0
54,0,1,1,0,0,0,1,1,0,2,0,0,0,1,1,1,0,35,1,1,1,0,0,1,0,0,21,23,123,0
23,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,17,1,1,0,0,0,1,0,0,9,9,93,0
27,0,0,0,0,0,0,1,1,0,8,0,0,0,1,0,0,0,28,1,1,0,0,0,0,0,0,13,14,86,0
28,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0,11,9,115,0
32,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,17,0,0,1,0,0,1,0,0,12,9,124,1
28,1,0,0,0,0,0,1,1,0,9,0,0,0,1,1,0,0,14,1,1,0,0,0,0,0,0,10,15,138,0
46,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,13,1,1,1,0,0,0,0,0,16,12,111,0
46,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,11,1,1,1,0,0,0,0,0,14,14,97,1
13,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,18,1,1,1,0,0,0,0,0,6,11,92,0
36,0,0,0,1,0,0,1,1,0,4,0,0,0,1,1,0,0,15,1,1,1,0,0,0,0,0,16,10,116,0
20,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,10,1,1,0,0,0,0,0,0,8,12,95,0
52,0,1,0,1,0,0,1,1,1,2,1,0,0,1,1,1,0,25,1,1,1,0,0,0,0,0,13,16,118,0
36,1,0,1,0,0,0,1,0,0,9,0,1,0,1,1,0,0,14,1,1,0,0,0,0,0,1,12,15,108,0
9,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,0,29,1,1,0,0,0,0,1,0,7,13,123,1
45,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,18,0,1,0,0,0,1,0,0,17,13,104,1
20,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,31,0,0,0,0,0,1,0,1,9,21,137,1
34,0,1,1,1,0,1,1,1,1,8,1,1,0,0,1,1,1,38,1,1,1,0,1,1,0,1,14,40,77,0
41,1,1,1,0,1,1,0,0,0,5,1,1,0,0,1,0,0,15,0,0,1,0,0,0,0,1,13,12,99,1
29,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,1,1,0,0,0,0,0,0,12,14,84,0
24,0,0,0,1,0,0,1,1,0,4,0,0,0,1,1,0,0,18,1,1,1,0,0,0,1,0,9,10,103,0
28,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8,0,1,0,0,1,0,0,0,10,17,80,1
16,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,18,0,1,0,0,0,1,0,0,9,7,103,1
40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,11,10,118,0
19,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,14,1,1,1,0,0,0,0,0,10,12,107,0
32,0,1,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,27,1,1,1,0,0,0,0,0,15,29,148,0
13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,15,1,1,0,0,0,1,0,0,7,11,124,0
4,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,33,1,1,1,0,0,0,0,0,4,12,111,0
41,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,45,0,0,1,1,0,1,1,1,11,21,91,1
45,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,20,0,1,0,0,0,1,1,0,17,13,103,1
40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,11,10,118,0
24,0,1,0,1,0,1,1,1,0,2,1,0,0,0,1,0,1,15,1,1,0,0,0,0,0,0,9,19,82,1
42,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,20,0,0,1,0,0,0,0,0,11,10,100,1
17,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,36,1,1,0,0,0,1,0,0,9,11,112,0
29,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,17,1,1,1,0,0,0,0,0,9,12,132,0
29,1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,17,1,1,1,0,0,0,0,0,9,12,132,0
29,0,0,1,0,0,0,1,0,0,6,0,0,0,1,1,0,0,15,1,1,1,0,0,0,0,1,14,13,136,0
15,0,0,0,1,0,0,1,1,0,3,0,0,0,1,1,0,0,28,1,1,1,0,0,1,0,0,8,12,124,0
22,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,17,1,1,0,0,0,1,0,0,9,9,90,0
30,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,20,1,1,1,0,0,0,0,0,11,8,106,1
40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,11,10,120,0
29,1,0,0,0,0,0,1,1,0,4,0,1,0,1,1,1,0,13,1,1,0,0,0,0,0,0,11,11,124,0
36,1,1,1,1,0,1,1,1,0,2,0,0,0,0,1,0,0,16,1,1,1,0,0,0,0,0,17,12,90,1
32,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,14,1,1,1,0,0,0,0,1,13,12,123,0
49,0,1,0,0,0,0,1,1,0,13,0,1,0,1,0,0,0,18,1,1,0,0,0,0,0,0,15,19,124,1
40,1,1,1,1,1,1,0,0,0,5,1,1,0,0,1,0,0,16,0,0,1,0,0,0,0,1,14,12,98,1
51,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,46,0,0,1,1,1,1,1,1,13,24,102,1
25,0,1,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,12,1,1,0,0,0,0,0,0,9,10,91,0
