intent_android_intent_action_PACKAGE_REMOVED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_ACTION_POWER_CONNECTED,n_api_calls,intent_android_intent_action_QUICKBOOT_POWERON,n_providers,n_used_permissions,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_SEND_SMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_permissions,n_services,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_NFC,perm_android_webkit_permission_PLUGIN,intent_android_intent_action_DOWNLOAD_COMPLETE,label
0,0,0,0,0,0,0,22,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,51,7,2,0,0,0,0,1
0,0,0,0,0,1,0,15,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,47,9,2,0,0,0,0,0
0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,46,7,1,0,0,0,0,0
0,0,0,0,0,0,0,17,0,2,10,0,1,0,0,1,0,0,0,1,1,1,0,49,9,6,0,0,0,0,0
0,0,0,0,0,0,0,13,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,50,11,1,0,0,0,0,1
0,0,0,0,1,0,0,19,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,54,12,2,1,0,0,0,1
0,0,0,0,0,0,0,15,0,2,8,0,1,0,0,0,0,0,0,1,0,0,0,54,12,5,0,0,0,0,0
0,0,0,0,0,0,0,9,0,2,6,0,1,0,0,1,0,0,0,1,1,1,0,53,10,4,0,0,0,0,0
0,0,0,0,0,0,0,15,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,46,8,3,0,0,0,0,0
0,0,0,0,1,0,0,16,0,4,9,0,1,0,0,1,0,0,1,1,1,1,0,55,9,8,1,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,0,0,0,0,0
0,0,0,0,0,1,0,10,0,2,6,0,1,0,0,1,0,0,0,1,1,1,0,53,10,4,0,0,0,0,0
0,0,0,0,0,0,0,16,0,3,9,0,1,0,0,1,0,0,0,1,1,1,0,54,11,9,1,0,0,0,0
0,0,0,0,0,0,0,10,0,4,9,0,1,0,0,1,0,0,0,1,1,0,0,49,7,4,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,7,0,1,0,0,1,0,0,1,1,1,1,1,46,8,4,1,0,0,0,0
0,0,0,0,0,0,0,24,0,1,9,0,1,0,0,1,0,0,0,1,1,1,0,53,6,3,0,0,0,0,0
0,0,0,0,0,0,0,21,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,51,5,0,0,0,0,0,0
0,0,0,0,0,0,0,14,0,3,9,0,1,0,0,1,0,0,0,1,1,0,1,46,7,5,0,0,0,0,0
0,0,0,0,0,0,0,23,0,1,9,0,1,0,0,1,0,0,0,1,1,0,0,53,8,1,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0,0,0
0,0,0,0,0,1,0,18,0,1,7,0,1,0,0,1,0,0,0,1,1,1,1,59,8,8,0,0,0,0,0
0,0,0,0,0,0,0,16,0,0,7,0,1,0,0,0,1,0,0,1,0,0,0,59,11,1,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,53,10,3,0,0,0,0,0
0,0,0,0,0,0,0,22,0,0,12,0,1,0,0,1,0,0,0,1,1,0,0,53,7,2,0,0,0,0,0
0,0,0,0,0,0,0,14,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,50,5,9,0,0,0,0,0
0,0,0,0,0,1,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,50,7,2,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,60,3,3,0,0,0,0,0
0,0,0,0,0,0,0,20,0,2,8,0,1,0,0,1,0,0,0,1,1,1,1,55,8,7,0,0,0,0,0
0,0,0,0,0,0,0,20,0,1,7,0,1,0,0,1,0,0,0,1,1,1,1,54,12,7,0,0,0,0,0
0,0,0,0,0,0,0,20,0,1,9,0,0,1,0,1,0,0,0,0,0,0,0,59,6,1,0,0,0,0,1
0,0,0,0,0,0,0,18,0,3,8,0,1,0,0,1,0,0,0,1,1,1,0,45,8,4,0,0,0,0,0
0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,49,11,4,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,55,5,0,0,0,0,0,0
0,0,0,0,0,0,0,20,0,2,9,0,1,0,0,1,0,0,0,1,0,0,0,57,12,3,0,0,0,0,0
0,0,0,0,0,0,0,15,0,3,9,0,1,0,0,1,0,0,0,1,1,1,0,47,9,8,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,49,2,2,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,0,0,0,0
0,0,0,0,0,0,0,21,0,2,12,0,1,0,0,1,0,0,0,1,0,0,1,48,7,2,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,54,8,0,1,0,0,0,0
0,0,0,0,1,0,0,24,0,0,11,0,1,0,0,1,0,0,0,1,0,0,0,54,7,2,0,0,0,0,0
0,0,0,0,0,0,0,19,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,53,3,0,0,0,0,0,0
0,0,0,0,0,0,0,19,0,1,10,0,1,0,0,1,0,0,0,1,1,1,0,50,12,6,1,0,0,0,0
0,0,0,0,0,0,0,19,0,1,6,0,1,0,0,1,0,0,0,1,1,1,0,45,8,2,0,0,0,0,0
0,0,0,0,0,0,0,17,0,1,9,0,1,0,0,1,0,0,0,1,1,1,0,47,5,5,0,0,0,0,0
0,0,0,0,0,0,0,20,0,3,8,0,1,0,0,1,0,0,0,1,1,1,1,47,9,5,0,0,0,0,0
0,0,0,0,0,0,0,9,0,2,8,0,1,0,0,1,0,0,0,1,1,1,0,49,5,6,0,0,0,0,0
0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,57,3,1,0,0,0,0,0
0,0,0,0,0,0,0,15,0,1,7,0,1,0,0,1,0,0,0,1,1,1,1,59,11,7,0,0,0,0,0
0,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,1
0,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,1
0,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,1
0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0,0,0
0,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,1
0,0,0,0,0,0,0,16,0,1,7,0,1,0,0,0,0,0,0,1,1,1,0,45,8,2,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,9,0,1,0,0,1,0,0,0,1,0,0,0,46,8,5,0,0,0,0,0
0,0,0,0,0,0,0,12,0,1,5,0,1,0,0,1,0,0,0,1,1,1,1,59,5,7,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,7,0,1,0,0,0,0,0,0,1,0,1,1,45,5,7,0,0,0,0,0
0,0,0,0,0,0,0,19,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,60,10,0,0,0,0,0,0
0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0
0,0,0,0,0,1,0,19,0,1,8,0,1,0,0,1,0,0,0,1,1,1,1,60,10,7,0,0,0,0,0
0,0,0,0,1,1,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,57,7,1,0,1,0,0,1
0,0,0,0,1,0,0,15,1,1,6,0,0,0,0,1,0,0,1,0,1,0,0,49,5,9,1,0,0,0,0
0,0,0,0,0,0,0,10,0,2,7,0,0,0,0,1,0,0,0,0,1,0,0,46,5,3,0,0,0,0,0
0,0,0,0,0,0,0,16,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,46,3,3,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,7,0,1,0,0,1,0,0,1,1,0,1,1,45,8,6,1,0,0,0,0
0,0,0,0,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,48,5,0,0,0,0,0,0
0,1,0,0,0,1,0,23,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,48,7,0,0,0,0,0,0
0,0,0,0,0,0,0,20,0,2,10,0,0,0,0,0,1,0,0,1,0,0,0,47,12,2,0,0,0,0,0
0,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,1
0,0,0,0,0,0,0,13,0,4,7,0,1,0,0,1,0,0,0,1,1,1,1,56,8,9,0,0,0,0,0
0,0,0,0,0,0,0,21,0,4,11,0,0,0,0,1,0,0,1,0,0,0,0,52,5,4,1,0,0,0,1
0,0,0,0,1,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,0,0,0,0
0,0,0,0,0,0,0,23,0,3,10,0,0,0,0,1,0,0,0,0,0,0,0,50,9,2,1,0,0,0,0
0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,46,2,2,1,0,0,0,0
0,0,0,0,0,0,0,22,0,1,9,0,1,0,0,1,0,0,0,1,1,1,1,46,8,6,0,0,0,0,0
0,0,0,0,0,0,0,10,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,57,9,1,0,0,0,0,0
0,0,0,0,0,0,0,14,0,2,6,0,1,0,0,1,0,0,0,1,1,1,0,54,9,6,0,0,0,0,0
0,0,0,0,0,0,0,20,0,2,12,0,1,0,0,1,0,0,0,1,1,1,0,49,5,5,0,0,0,0,0
0,0,0,0,0,1,0,16,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,49,14,0,0,0,0,0,0
0,0,0,0,0,0,0,12,0,2,5,0,1,0,0,0,0,0,1,1,0,0,0,53,11,2,1,0,0,0,0
0,0,0,0,0,0,0,11,0,2,9,0,1,0,0,1,0,0,1,1,1,1,0,48,10,5,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,44,6,1,0,0,0,0,0
0,0,0,0,0,0,0,16,0,1,7,0,1,0,0,1,0,0,0,1,1,1,1,45,7,5,0,0,0,0,0
0,1,0,0,0,0,0,21,0,0,8,0,1,0,0,1,1,0,0,1,0,0,0,52,15,2,0,0,0,0,0
0,1,0,0,0,0,1,23,0,0,9,1,1,0,0,1,1,0,1,1,1,0,0,59,9,3,1,0,0,0,1
0,1,0,0,0,0,1,23,0,0,9,1,1,0,0,1,1,0,1,1,1,0,0,59,9,3,1,0,0,0,1
0,1,0,0,0,0,0,22,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,50,4,0,0,0,0,0,0
0,0,0,0,0,0,0,17,0,1,9,0,1,0,0,0,0,0,0,1,0,1,1,43,6,5,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,21,0,1,8,0,1,0,0,1,0,0,0,1,1,1,1,61,6,7,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,24,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,56,3,2,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,18,0,2,7,0,1,0,0,0,0,0,0,1,0,1,1,46,7,10,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,19,0,1,10,0,1,0,0,1,0,0,0,1,1,1,0,47,12,6,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,1,0,20,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,0,1,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,1,1,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,62,7,0,0,0,0,0,0
0,0,0,0,0,1,0,12,0,1,5,0,1,0,0,1,0,0,0,1,1,1,1,61,8,7,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,46,9,2,1,0,0,0,0
0,0,0,0,0,0,0,22,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0
0,0,0,0,0,1,0,20,0,3,11,0,0,0,0,1,0,0,0,0,1,0,0,46,5,2,0,0,0,0,0
0,0,0,0,0,0,0,22,0,2,9,0,1,0,0,1,0,0,0,1,1,1,0,47,5,8,0,0,0,0,0
0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0
0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,45,7,5,1,0,0,0,0
0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,45,7,5,1,0,0,0,0
0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,45,7,1,0,0,0,0,0
0,0,0,0,0,1,0,21,0,1,9,0,1,0,0,1,0,0,0,1,1,1,1,49,11,7,0,0,0,0,0
0,0,0,0,0,0,0,21,0,2,11,0,0,0,0,1,0,0,0,0,1,0,0,45,5,2,0,0,0,0,0
0,0,0,0,0,0,0,21,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,47,6,2,0,0,0,0,0
0,0,0,0,0,1,0,23,0,1,9,0,1,0,0,1,0,0,0,1,1,1,0,50,14,3,0,0,0,0,0
0,0,0,0,0,0,0,22,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,49,4,0,0,0,0,0,0
0,0,0,0,0,0,0,21,0,2,12,0,0,0,0,1,0,0,0,0,0,0,0,46,5,1,0,0,0,0,0
0,0,0,0,0,0,0,23,0,1,11,0,1,0,0,1,0,0,0,1,1,0,0,46,7,4,0,0,0,0,0
0,0,0,0,0,0,0,24,0,2,9,0,1,0,0,1,0,0,1,0,1,1,0,52,5,4,1,0,0,0,0
0,0,0,0,0,0,0,15,0,4,9,0,1,0,0,1,0,0,1,1,1,0,1,43,8,5,0,0,0,0,0
0,0,0,0,1,0,0,12,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,44,6,0,0,0,0,0,0
0,0,0,0,0,0,0,17,0,0,9,0,1,0,0,1,1,0,1,1,0,0,0,62,12,3,1,0,0,0,0
0,0,0,0,0,1,0,21,0,2,12,0,1,0,0,1,0,0,1,1,1,1,0,50,13,7,0,0,0,0,0
0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,52,2,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,9,0,1,0,0,0,0,0,0,1,0,1,1,52,9,8,0,0,0,0,0
0,0,0,0,0,0,0,22,0,1,10,0,0,0,1,1,0,0,1,0,0,0,0,56,6,2,1,0,0,0,0
0,0,0,0,0,0,0,17,0,1,8,0,0,0,0,1,0,0,0,0,0,0,1,43,5,3,0,0,0,0,0
0,0,0,0,0,0,0,21,0,3,8,0,1,0,0,1,0,0,0,1,1,1,1,59,11,7,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,5,0,0,0,0,0,0
0,0,0,0,0,1,0,14,0,3,7,0,1,0,1,1,0,0,1,1,1,1,1,52,16,7,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0
0,0,0,0,0,1,0,18,0,1,8,0,1,0,0,1,0,0,1,1,1,1,0,61,11,5,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0
0,0,0,0,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0
0,0,0,0,1,1,0,17,0,1,7,0,1,0,0,1,0,0,0,1,1,1,0,55,12,2,0,0,0,0,0
0,0,0,0,0,0,0,13,0,1,5,0,1,0,0,1,0,0,0,1,1,1,1,44,5,4,0,0,0,0,0
0,0,0,0,0,0,0,23,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,44,2,1,0,0,0,0,0
0,0,0,0,0,0,0,16,0,0,7,0,1,0,0,1,1,0,1,1,0,0,0,62,13,3,1,0,0,0,0
0,0,0,0,0,0,0,20,0,1,9,0,0,0,0,1,0,0,0,0,1,0,0,44,3,2,0,0,0,0,0
0,0,0,0,0,0,0,22,0,1,9,0,1,0,0,1,0,0,0,1,1,1,1,61,6,7,0,0,0,0,0
0,0,0,0,0,0,0,25,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,52,11,1,0,0,0,0,0
0,0,0,0,0,0,0,20,0,1,9,0,0,0,0,1,0,0,0,0,1,0,0,44,3,2,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0
0,1,0,0,0,0,0,14,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,62,6,4,1,0,0,0,0
0,0,0,0,1,0,0,15,1,1,6,0,0,0,0,1,0,0,1,0,1,0,0,47,5,10,1,0,0,0,0
0,0,0,0,0,1,0,20,0,2,9,0,1,0,0,1,0,0,0,1,1,1,0,44,11,4,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,48,3,2,0,0,0,0,0
0,0,0,0,0,0,0,22,0,1,9,0,1,0,0,0,0,0,0,1,0,0,0,45,10,3,0,0,0,0,0
0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,58,8,6,1,0,0,0,0
1,1,1,1,1,1,0,7,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,50,5,4,1,0,0,0,1
1,1,1,1,1,1,0,7,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,50,5,4,1,0,0,0,1
1,1,1,1,1,1,0,7,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,50,5,4,1,0,0,0,1
1,1,1,1,1,1,0,7,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,50,5,4,1,0,0,0,1
0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,59,4,1,0,0,0,0,0
0,0,0,0,0,0,0,17,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,52,2,0,0,0,0,0,0
0,0,0,0,0,0,0,25,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,49,4,4,0,0,0,0,0
0,0,0,0,0,0,0,11,0,2,4,0,1,0,0,0,0,0,1,1,0,1,1,52,10,7,0,0,0,0,0
0,0,0,0,1,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0,0,0,0,0,1
0,0,0,0,0,0,0,11,0,2,4,0,1,0,0,0,0,0,1,1,0,1,1,54,10,7,0,0,0,0,0
