intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_GET_TASKS,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_QUICKBOOT_POWERON,perm_android_permission_SYSTEM_ALERT_WINDOW,n_api_calls,intent_com_android_vending_INSTALL_REFERRER,suspicious_getSubscriberId,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_cryopiggy_start,intent_android_intent_action_VIEW,n_urls,n_services,n_receivers,n_activities,n_used_permissions,intent_android_app_action_DEVICE_ADMIN_ENABLED,label
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,65,2,1,12,5,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,66,4,9,11,7,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,1,0,0,0,0,0,0,0,55,6,6,7,4,0,0
0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,7,1,0,0,0,0,0,0,0,72,8,6,10,6,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,59,8,5,10,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,64,8,5,6,7,0,0
0,0,0,0,0,0,0,3,1,1,1,1,1,1,0,13,1,0,0,0,0,0,0,1,62,15,9,10,5,0,0
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,16,0,0,0,0,0,0,0,1,62,3,2,11,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,59,1,1,12,4,0,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,59,2,5,10,4,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,63,8,5,7,9,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,15,1,0,0,0,0,0,0,0,57,5,3,12,8,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,9,1,0,0,0,0,0,0,1,53,4,3,8,6,0,0
0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,10,1,0,0,0,0,0,0,0,53,4,4,6,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,67,0,1,11,6,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,65,2,1,8,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,63,8,5,13,7,0,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,1,59,1,2,6,7,0,0
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,17,0,0,0,0,0,0,0,1,62,3,2,10,9,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,60,7,5,11,8,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,15,1,0,0,0,0,0,0,1,67,11,9,11,7,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,11,0,0,0,0,0,0,0,1,54,7,2,2,4,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,54,5,3,4,5,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,64,8,5,8,9,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,64,8,5,6,9,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,64,8,5,6,9,0,0
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,63,2,2,18,5,0,0
0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,15,1,0,0,0,0,0,0,1,67,6,4,17,6,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,66,10,5,8,9,0,0
0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,18,1,0,0,0,0,0,0,1,61,5,6,14,8,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,58,6,5,18,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,61,10,5,7,9,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,1,58,2,2,13,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,18,1,0,0,0,0,0,0,0,66,4,9,12,8,0,0
0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,13,1,0,0,0,0,0,0,0,56,9,3,16,7,0,0
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,64,1,2,18,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,57,1,0,5,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,68,0,1,13,5,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,57,1,1,16,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,69,0,1,13,6,0,1
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,67,10,5,8,9,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,19,1,0,0,0,0,0,0,1,67,10,5,12,9,0,0
1,0,0,0,0,0,0,4,1,1,1,1,0,0,1,16,1,0,0,0,0,0,0,0,55,8,7,10,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,65,0,0,1,6,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,71,8,5,10,7,0,0
0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,13,1,0,0,0,0,0,0,0,52,4,4,9,5,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,68,10,5,9,10,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,70,10,5,9,7,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,68,10,5,8,9,0,0
0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,16,1,0,0,0,0,0,0,0,61,5,4,18,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,71,8,5,10,7,0,0
0,0,0,0,0,0,0,3,1,1,1,1,0,0,1,16,1,0,0,0,0,0,0,0,54,9,5,9,9,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,0,0,0,0,0,58,1,0,6,7,0,0
1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,17,1,0,0,0,0,0,0,0,54,9,4,12,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,14,1,0,0,0,0,0,0,1,74,10,6,10,6,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,21,1,0,0,0,0,0,0,1,61,7,5,10,8,0,0
0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,11,0,0,0,0,0,0,0,1,52,7,2,2,4,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,65,1,0,5,9,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,60,3,2,12,7,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,13,1,0,0,0,0,0,0,1,71,6,7,17,7,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,56,0,1,14,5,0,0
0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,54,5,1,5,8,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,60,0,0,8,7,0,0
0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,12,0,0,0,0,0,0,0,1,51,9,4,11,5,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,20,1,0,0,0,0,0,0,0,67,6,4,11,9,0,0
0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,55,6,1,11,10,0,0
1,0,1,0,1,0,0,3,1,1,1,1,0,0,0,19,1,1,0,0,0,0,0,1,59,7,6,11,9,0,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,57,2,2,13,5,0,0
0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,53,2,3,2,5,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,72,8,5,10,7,0,0
0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,13,1,0,0,0,0,0,0,0,60,2,8,18,5,0,0
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,53,3,3,10,7,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,19,1,0,0,1,0,1,0,1,62,8,7,16,7,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,14,1,0,0,0,0,0,0,1,68,7,5,20,6,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,62,0,1,13,8,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,55,0,1,13,7,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,19,0,0,0,0,0,0,0,1,55,6,6,7,9,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,1,65,5,1,16,9,0,0
0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,21,1,0,0,0,0,0,0,1,59,7,6,13,8,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,22,1,0,0,0,0,0,0,1,61,7,5,10,9,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,66,10,5,18,7,0,0
0,0,0,0,0,1,0,3,1,1,1,1,1,0,0,14,1,0,0,0,1,0,0,1,52,7,4,8,7,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,54,1,3,6,7,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,22,1,0,0,0,0,0,0,0,62,9,3,5,9,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,60,1,2,20,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,58,1,1,9,8,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,18,1,0,0,0,0,0,0,1,74,7,5,10,7,0,0
0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,19,1,0,0,0,0,0,0,1,72,10,5,9,9,0,0
0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,21,1,0,0,0,0,0,0,0,62,9,4,14,9,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,1,0,0,0,0,0,0,0,51,4,2,7,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,58,0,0,3,7,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,50,4,3,5,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,50,4,3,5,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,50,4,3,5,5,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,50,4,3,5,5,0,1
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,54,2,2,18,5,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,20,1,0,0,0,0,0,0,0,56,11,9,10,7,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,20,1,0,0,0,0,0,0,0,56,11,9,10,7,0,0
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,20,0,0,0,0,0,0,0,1,63,5,3,14,11,0,0
0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,10,1,0,0,0,0,0,0,0,54,9,3,19,8,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,14,1,0,0,0,0,0,0,0,54,6,5,19,6,0,0
0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,20,0,0,0,0,0,0,0,1,63,5,3,14,11,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,57,0,0,13,7,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,17,6,0,1
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,9,1,0,0,0,0,0,0,0,49,6,3,7,8,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,17,6,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,17,6,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,17,6,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,54,2,7,9,6,0,1
0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,23,1,0,0,0,0,0,0,1,62,8,5,8,10,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,59,1,0,8,9,0,1
0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,22,0,0,0,0,1,0,0,1,60,9,4,12,9,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,50,7,3,2,6,0,1
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,17,1,0,0,0,0,0,0,0,53,2,4,14,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,54,7,4,13,7,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,74,4,3,18,6,0,1
0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,15,1,0,0,0,0,0,0,1,75,5,6,14,6,0,0
0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,20,0,1,0,0,0,0,0,1,57,3,1,13,9,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,17,6,0,1
0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,18,1,0,0,0,0,0,0,0,73,9,3,11,10,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,71,2,3,18,7,0,0
0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,10,1,0,0,0,0,0,0,1,49,4,4,11,9,0,0
0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,19,1,1,0,0,0,0,0,0,69,3,3,12,7,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,50,1,0,6,6,0,1
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,19,1,0,0,0,0,0,0,0,53,3,4,14,7,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,53,3,3,3,7,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,22,1,0,0,0,0,0,0,0,57,2,4,11,9,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,77,0,2,8,5,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,57,1,1,18,7,0,1
0,0,1,1,0,0,0,5,1,1,1,1,1,1,1,16,1,0,0,0,0,0,0,1,54,8,6,17,9,0,0
0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,55,7,4,16,8,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,59,0,2,14,9,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,15,1,0,0,0,0,0,0,0,49,9,8,8,6,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,50,9,1,14,6,0,0
0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,23,1,0,0,1,0,1,0,0,59,3,5,12,9,0,1
0,0,0,0,0,1,1,5,1,1,1,1,1,0,0,12,1,1,0,0,0,0,0,1,52,7,5,19,6,0,0
0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,23,1,0,0,1,0,1,0,0,59,3,5,12,9,0,1
0,0,0,0,0,1,0,2,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,72,11,9,7,10,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,17,0,0,0,0,1,0,0,0,60,4,4,14,9,0,1
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,60,0,0,20,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,68,2,2,15,8,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,20,1,0,0,0,1,0,0,1,68,11,6,16,11,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,8,1,0,0,0,0,0,0,0,47,7,5,6,7,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,22,1,0,0,0,0,0,0,0,62,3,6,16,9,0,0
1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,19,0,1,0,0,0,0,0,1,72,3,3,8,8,0,1
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,11,1,0,0,0,0,0,0,0,48,5,3,4,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,50,1,0,11,5,0,0
0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,22,1,0,0,0,0,0,0,0,69,10,8,13,9,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,73,8,5,15,7,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,20,1,0,0,0,0,0,0,1,73,8,5,15,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,70,4,3,22,5,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,15,1,1,0,0,0,0,0,0,66,3,1,12,7,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,73,0,0,7,7,0,0
1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,17,1,0,0,0,0,0,0,0,55,2,5,19,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,19,1,0,0,0,0,0,0,1,74,4,4,5,11,0,0
0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,22,1,0,0,0,0,0,0,0,58,5,3,6,13,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,22,1,0,0,0,0,0,0,1,72,7,7,10,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,50,2,1,5,4,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0,0,1,1,1,0,0,69,7,9,19,9,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,23,1,0,0,0,0,0,0,0,59,11,9,12,9,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,1,0,0,0,0,0,0,1,50,0,3,11,6,0,0
1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,68,2,3,21,7,0,0
0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,22,1,0,1,0,0,0,0,0,58,3,3,11,11,0,0
0,0,0,0,0,0,0,4,1,1,1,0,0,0,1,16,1,0,0,0,0,0,0,1,54,7,7,14,12,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,19,0,0,0,0,1,0,0,0,51,5,3,7,10,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,52,0,1,11,7,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,52,0,0,17,4,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,49,4,1,15,6,0,0
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17,1,0,0,0,0,0,0,0,50,1,2,9,9,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,17,1,0,0,0,0,0,0,0,49,6,4,6,10,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,50,2,2,17,4,0,0
0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,24,1,0,0,0,0,0,0,0,60,4,4,3,10,0,0
1,0,0,0,0,0,0,6,1,1,1,1,0,0,0,22,1,0,0,0,0,0,0,0,68,10,7,14,10,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,48,0,0,7,5,0,0
0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,15,1,0,0,0,0,0,0,1,57,10,6,21,7,0,0
0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,20,1,0,0,0,0,0,0,1,53,13,9,12,8,0,0
0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,21,1,0,0,0,0,0,0,1,58,5,4,17,10,0,0
0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,23,1,0,0,0,0,0,0,0,65,5,3,8,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,48,0,0,7,6,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,22,1,0,0,0,1,0,0,1,69,11,6,16,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,48,0,0,7,6,0,0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,18,1,0,0,0,0,0,0,0,49,2,4,10,7,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,52,1,1,16,7,0,1
