n_api_calls,intent_android_intent_action_PACKAGE_ADDED,suspicious_getExternalStorageDirectory,n_activities,suspicious_getDeviceId,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_System___load,n_used_permissions,n_providers,intent_android_net_wifi_WIFI_STATE_CHANGED,n_receivers,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,n_services,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_VIBRATE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ljava_lang_System___loadLibrary,perm_com_android_vending_BILLING,n_urls,intent_android_net_wifi_STATE_CHANGE,intent_android_intent_action_MEDIA_UNMOUNTED,intent_com_google_android_c2dm_intent_REGISTRATION,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_ANY_DATA_STATE,label
23,0,1,6,1,9,0,0,0,0,10,1,0,3,0,1,7,1,1,1,1,1,0,0,31,0,0,0,0,0,0
26,0,1,7,1,6,0,0,0,0,9,1,0,5,0,1,4,1,1,0,1,1,0,0,24,0,0,0,0,0,0
27,0,1,3,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
16,0,1,4,0,2,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0
24,0,1,10,1,9,0,0,0,1,8,0,0,2,1,1,3,0,0,0,1,0,0,0,15,0,0,0,0,0,0
19,0,1,5,1,8,0,0,0,1,8,2,0,5,0,1,4,1,1,1,1,1,1,1,29,0,0,0,0,0,1
31,0,1,18,1,3,0,0,0,1,13,2,0,0,0,1,0,0,0,0,0,0,1,1,31,0,0,0,0,0,1
14,0,1,8,1,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
27,0,1,1,1,6,0,1,0,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0
17,0,1,2,1,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1
6,0,1,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0,1,5,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
26,0,1,15,1,5,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
12,0,1,6,1,12,1,0,0,0,6,0,0,2,0,0,2,0,1,0,0,1,0,0,36,0,0,0,0,0,1
18,0,1,3,0,24,0,0,0,0,7,1,0,2,0,1,3,0,1,1,0,1,0,0,3,0,0,0,0,0,0
20,0,1,7,1,11,0,0,0,0,10,1,0,3,0,0,6,1,1,1,0,1,0,0,22,0,0,1,0,0,0
25,0,1,6,1,10,0,0,0,0,11,1,0,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,0,1
17,0,1,14,1,30,0,1,0,1,8,1,0,0,0,0,1,0,0,1,0,0,1,0,38,0,0,0,0,0,0
34,0,1,7,1,11,0,0,0,0,14,1,0,1,0,1,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0
46,0,1,38,1,15,0,0,0,1,14,2,0,4,1,0,6,0,1,0,1,1,1,0,98,0,0,1,0,0,0
12,0,1,7,1,26,0,0,0,0,5,0,0,4,0,1,3,0,1,1,0,1,0,0,19,0,0,0,0,0,0
23,0,1,4,1,5,0,0,0,0,10,0,0,0,0,1,1,0,0,1,0,0,0,0,25,0,0,0,0,0,0
12,0,1,13,1,18,0,0,0,0,8,2,0,14,0,1,8,1,1,0,1,1,0,1,28,0,0,0,0,0,1
24,0,1,6,1,12,1,1,1,1,10,0,0,1,1,1,6,0,0,1,0,0,1,0,460,0,0,0,0,0,0
28,0,1,16,1,8,0,0,0,1,15,3,0,6,0,1,10,1,1,1,1,1,1,0,58,0,0,0,0,0,0
58,0,1,58,1,21,0,0,0,1,17,0,0,6,0,0,10,0,1,0,1,1,1,0,121,0,0,0,0,0,0
20,0,1,2,0,9,0,0,0,1,9,2,0,5,0,1,5,1,1,1,1,1,1,0,8,0,0,0,0,0,0
13,0,1,11,1,5,0,0,0,0,6,0,0,1,0,1,6,0,0,0,0,0,0,0,25,0,0,0,0,0,0
27,0,1,72,1,12,0,0,0,1,10,2,0,6,0,1,10,0,1,1,1,1,1,0,155,0,0,1,0,0,0
30,1,1,22,1,7,0,0,0,1,9,1,0,10,1,1,12,0,1,0,0,1,1,0,29,0,0,1,0,0,0
21,0,1,16,1,13,0,0,0,0,7,1,0,5,0,0,10,1,1,0,0,1,0,0,48,0,0,1,0,0,1
15,1,1,7,1,14,0,1,0,1,5,1,0,4,1,0,3,0,0,1,0,0,1,0,28,0,0,0,0,0,1
20,0,1,10,1,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1
19,0,1,4,1,5,0,0,0,0,9,1,0,4,0,1,6,1,1,0,1,1,0,0,23,0,0,0,0,0,0
18,0,1,2,1,5,0,0,0,0,8,1,0,3,0,1,6,1,1,0,1,1,0,0,8,0,0,0,0,0,0
17,1,1,27,1,26,1,0,0,1,9,2,0,22,1,1,14,1,1,1,1,1,1,0,73,1,0,1,1,0,1
18,0,1,7,1,8,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
22,0,1,13,1,10,0,0,0,1,7,2,0,4,1,1,7,1,1,0,1,1,1,0,33,0,0,0,0,0,0
15,0,1,35,1,13,1,0,0,0,8,3,0,3,0,1,9,1,1,1,0,1,0,0,52,0,0,0,1,0,1
16,0,1,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20,0,1,3,1,6,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
14,0,1,70,1,12,0,0,0,0,6,0,0,5,0,0,7,0,1,1,1,1,0,0,118,0,0,1,0,0,0
23,0,1,18,1,2,0,0,0,1,11,0,0,3,0,1,2,0,0,0,1,0,1,0,62,0,0,0,0,0,0
9,0,1,2,1,4,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
27,0,1,4,1,7,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,1,6,0,5,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,1
2,0,0,3,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
19,0,1,5,0,5,0,0,0,0,7,0,0,1,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0
20,0,1,9,1,13,0,0,0,0,7,1,0,6,0,1,10,1,1,1,1,1,0,0,31,0,0,1,0,0,0
17,0,1,6,1,2,0,0,0,1,6,1,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
15,0,1,8,1,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0
12,0,1,3,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,0,1,7,1,6,0,0,0,0,11,0,0,1,0,0,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0
12,0,0,5,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
21,0,1,10,1,7,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0
20,0,1,11,1,7,0,0,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0
15,0,1,7,0,19,0,0,0,1,6,0,0,4,0,0,3,0,1,1,0,1,1,1,17,0,0,0,0,0,1
40,0,1,12,1,20,0,1,0,1,10,2,0,3,0,0,4,0,1,1,0,1,1,0,48,0,0,1,0,0,0
13,0,1,6,0,2,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,1,0,19,0,0,0,0,0,0
0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,1,6,1,5,0,0,0,0,7,1,0,4,0,1,2,1,1,0,1,1,0,0,22,0,0,0,0,0,0
45,0,1,6,1,21,0,0,0,1,13,0,0,1,0,1,3,0,1,1,0,1,1,1,11,0,0,0,0,0,0
19,0,1,2,1,4,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
9,0,1,8,0,8,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0
15,0,1,4,0,2,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0
18,0,1,6,0,5,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0
4,0,0,5,1,7,0,0,0,1,4,1,0,4,0,0,4,1,1,0,0,1,1,0,7,0,0,1,0,0,0
14,0,1,8,1,5,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,1,1,0,24,0,0,0,0,0,0
23,0,1,9,1,27,0,0,0,1,8,2,0,7,0,1,12,1,1,1,1,1,1,0,27,0,0,0,0,0,0
31,0,1,12,1,20,0,0,0,0,9,2,0,8,0,0,7,1,1,1,1,1,0,0,46,0,0,1,0,0,0
13,0,1,6,1,8,0,0,0,1,7,2,0,4,0,1,7,1,1,0,1,1,1,0,31,0,0,0,0,0,0
16,0,0,2,1,9,0,0,1,0,6,0,0,1,0,0,1,0,1,1,0,1,0,0,14,0,0,1,0,0,0
26,0,1,22,1,13,0,0,0,1,12,6,0,11,0,1,14,1,1,0,1,1,1,1,58,0,0,0,0,0,0
18,0,1,4,1,8,0,0,0,0,7,1,0,4,0,1,2,1,1,0,1,1,0,0,22,0,0,1,0,0,0
27,0,1,1,1,11,0,0,0,0,8,0,0,1,0,0,1,0,0,1,0,0,0,0,39,0,0,0,0,0,0
28,0,1,17,1,28,1,0,0,1,11,5,0,6,0,1,10,1,1,1,1,1,1,0,49,0,0,0,0,0,0
22,0,1,17,0,16,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,25,1,24,1,0,1,1,9,1,0,3,1,0,5,0,0,1,0,0,1,0,76,0,0,0,1,0,0
2,0,0,2,1,6,0,0,0,0,2,2,0,3,0,1,7,1,1,0,1,1,0,0,17,0,0,0,0,0,0
20,0,1,13,1,7,0,0,0,0,7,2,0,3,0,1,8,1,1,0,1,1,0,0,22,0,0,0,0,0,0
31,0,1,4,1,7,0,0,0,0,9,4,0,1,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0
12,0,1,4,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0
27,0,1,29,1,16,0,0,0,0,11,4,0,6,0,0,12,0,0,0,0,0,0,0,41,1,0,0,0,0,0
19,0,1,23,1,7,0,0,0,0,9,2,0,3,0,1,5,1,1,0,1,1,0,0,21,0,0,0,0,0,1
16,0,1,10,1,15,0,0,0,0,7,1,0,14,0,0,13,1,1,1,0,1,0,0,43,0,0,1,0,0,0
14,0,1,7,1,5,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
25,0,1,2,1,2,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0
26,0,1,9,1,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
18,0,1,20,1,6,0,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0
29,0,1,21,1,24,0,0,0,1,14,4,0,11,0,1,16,1,1,1,1,1,1,1,42,0,0,0,0,0,0
17,0,1,8,1,7,0,0,0,0,7,0,0,1,0,1,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0
12,0,1,15,1,7,0,0,0,1,6,4,0,3,0,1,7,1,1,0,1,1,1,0,41,0,0,0,0,0,0
20,0,1,8,1,16,0,0,1,0,8,1,0,7,0,1,8,1,1,1,1,1,0,0,68,0,0,1,0,0,0
16,0,1,31,1,12,1,0,1,0,8,2,0,4,1,0,6,0,1,0,0,1,0,0,48,0,0,1,0,0,0
3,0,1,1,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,1,4,1,14,0,1,0,1,6,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0
25,0,1,10,1,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0
24,0,1,7,1,12,1,0,0,1,11,1,0,4,0,1,6,1,1,1,1,1,1,0,34,0,0,0,0,0,0
44,0,1,80,1,41,1,1,1,1,16,3,0,8,1,0,10,0,0,1,0,0,1,0,69,0,0,0,1,0,0
12,0,1,55,1,17,1,0,0,0,7,3,0,7,0,1,7,1,1,1,1,1,0,0,49,0,0,1,0,0,0
24,0,1,1,1,5,0,1,0,0,11,0,0,3,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,1
20,0,1,4,1,6,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
17,0,1,18,1,8,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,1,39,0,0,0,0,0,0
34,0,1,17,1,7,0,0,0,0,12,0,0,3,0,1,5,0,0,0,0,0,0,0,49,0,0,0,0,0,0
8,0,1,9,1,9,0,0,0,0,6,2,0,3,0,0,3,0,1,0,1,1,0,0,26,0,0,0,0,0,0
12,0,1,11,1,13,1,0,1,0,5,1,0,2,0,0,2,0,0,1,0,1,0,0,33,0,0,0,0,0,0
17,0,1,6,1,5,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0
27,0,1,16,0,8,0,0,0,0,9,0,0,2,0,1,1,0,0,1,0,0,0,0,45,0,0,0,0,0,0
29,0,1,7,1,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
17,0,1,1,0,2,0,0,0,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1
12,1,1,9,1,6,0,0,0,1,6,0,0,1,0,1,0,0,0,1,0,0,1,0,44,0,0,0,0,0,0
7,0,1,15,1,9,0,0,0,0,6,2,0,5,0,1,8,1,1,0,1,1,0,1,27,0,0,0,0,0,0
18,0,1,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,0,1,24,1,44,1,1,1,1,13,1,0,12,1,0,14,0,0,1,0,1,1,0,63,0,1,0,1,0,0
16,0,1,5,1,11,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0
27,0,1,7,1,7,0,0,0,0,14,2,0,5,0,1,5,0,1,0,1,1,0,0,36,0,0,0,0,0,0
13,0,1,3,1,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0
17,0,1,1,1,14,0,0,1,0,6,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0
9,0,1,17,0,4,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,52,0,0,0,0,0,0
45,0,1,13,1,14,0,1,0,1,16,5,0,5,0,1,9,1,1,1,1,1,1,0,124,0,0,0,0,0,0
31,0,1,14,1,9,0,0,0,1,14,6,0,13,1,1,12,1,1,1,1,1,1,0,103,0,0,0,0,0,0
11,0,1,4,0,21,0,0,0,0,4,0,0,4,0,1,3,0,1,1,0,1,0,0,5,0,0,0,0,0,0
70,0,1,1,1,23,1,1,1,1,17,0,0,0,0,0,8,0,0,1,0,0,1,0,54,0,0,0,0,0,0
34,0,1,2,1,6,0,0,0,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
20,0,1,2,1,7,0,1,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0
19,0,1,2,0,2,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1
19,0,1,7,1,2,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
6,0,1,1,1,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
6,0,1,2,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
36,0,1,25,1,11,0,0,0,1,14,1,0,3,0,1,8,1,1,0,1,1,1,0,61,0,0,0,0,0,1
16,0,1,2,0,4,0,0,0,0,6,0,0,2,0,1,2,0,0,0,1,0,0,0,9,0,0,0,0,0,1
23,0,1,3,0,4,0,0,0,1,9,0,0,0,0,1,0,0,0,1,0,0,1,0,22,0,0,0,0,0,0
12,0,1,3,0,13,0,0,0,0,5,1,0,2,0,0,3,0,1,1,0,1,0,0,4,0,0,0,0,0,0
34,0,1,11,0,10,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0
