perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,n_api_calls,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_Runtime___exec,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getCellLocation,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Ljava_lang_System___load,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_REQUEST_INSTALL_PACKAGES,n_services,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_SEND_SMS,perm_android_permission_READ_LOGS,suspicious_getWifiState,perm_android_permission_WRITE_EXTERNAL_STORAGE,label
0,0,30,0,0,13,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,1
1,0,23,0,1,15,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,28,0,0,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,1,29,0,1,15,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,1,29,0,1,15,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1
0,0,27,1,0,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
0,0,27,1,0,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,0,32,0,0,10,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
1,1,30,1,1,18,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,1,1,1
0,0,25,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0,24,0,0,11,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,31,1,1,15,1,1,1,1,1,0,1,0,1,0,1,0,2,0,1,3,0,0,0,1,0,0,0,1,1
0,0,28,0,0,17,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,1,31,1,1,17,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,1
1,0,32,0,0,11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0
0,0,30,0,0,10,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0
1,1,27,1,1,11,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1,0,22,0,1,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1,1,33,1,0,16,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1
1,1,31,0,0,11,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
1,0,22,0,1,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1,0,22,0,1,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1,0,28,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,25,0,0,16,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,5,1,1,1,0,0,0,0,1,0
1,0,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,31,1,0,14,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,0,0,0,0,1,1
1,1,27,1,1,17,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,4,0,0,0,1,0,0,0,1,1
1,1,28,1,1,15,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,1,32,0,1,13,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0
0,0,28,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,31,0,0,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,0,26,1,0,13,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,1
1,0,34,1,0,13,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1,1,22,0,1,13,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,3,1,0,0,1,0,0,0,1,1
1,0,32,1,0,21,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
1,0,29,0,1,16,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,1
1,0,22,0,1,17,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0
0,0,28,0,0,10,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,4,1,1,0,1,0,0,0,0,0
1,0,23,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0
1,1,28,0,1,8,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1
1,0,28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
1,0,27,0,1,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
0,0,26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,33,0,0,12,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,34,1,0,10,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1
1,0,26,0,0,9,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,35,0,0,12,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1
0,0,24,0,0,9,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,4,1,1,1,0,0,0,0,1,0
1,0,24,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,24,0,0,9,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,4,1,1,1,0,0,0,0,1,0
0,0,27,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
1,0,22,0,1,11,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0
0,0,28,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,30,1,0,15,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
0,0,26,0,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0
0,0,27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,26,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0
1,0,23,1,1,14,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,1,27,1,1,12,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1,1,32,0,1,15,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,0,27,0,0,7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,31,1,1,10,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,5,0,0,0,1,0,0,0,1,1
1,0,27,1,1,10,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,25,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0
0,0,25,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,25,0,0,9,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,1,1,1,0,0,0,0,1,0
0,0,25,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,26,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,32,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,0,33,1,0,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,30,1,0,15,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,1,29,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,1
0,0,27,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
0,0,34,0,1,15,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,4,1,0,0,1,0,0,0,1,0
0,0,28,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0
0,0,28,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0
0,0,28,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0
0,0,28,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0
0,0,26,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,26,0,1,14,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,5,0,0,0,1,1,0,0,1,1
1,1,29,0,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
1,0,29,1,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1
0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,31,1,0,11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1
1,0,30,0,0,9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0
1,1,25,1,0,11,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,0,31,0,0,16,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,30,0,1,14,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,6,1,0,0,1,0,0,0,1,0
0,0,29,0,0,9,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0
0,0,21,0,0,16,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,28,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0
0,0,27,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
0,0,27,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
0,0,25,0,0,9,0,0,0,0,0,1,0,0,0,1,0,1,4,0,0,4,1,1,1,0,0,0,0,1,0
0,0,30,1,1,9,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,3,1,1,0,1,0,0,0,1,0
0,0,27,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1,0,24,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0
1,0,26,1,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1
1,1,33,0,0,10,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
1,1,33,0,0,10,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
0,0,32,0,0,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,33,0,0,10,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
0,0,21,1,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,21,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,21,1,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,31,1,1,18,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,1
0,0,25,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0
0,0,31,1,1,9,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,3,1,1,0,1,0,0,0,1,0
1,0,33,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0
1,0,24,1,0,13,0,1,0,0,0,1,1,0,1,1,0,1,2,1,0,5,1,1,0,1,0,0,0,1,1
1,0,30,0,0,10,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0
1,1,26,1,1,18,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,1
1,1,28,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
1,0,30,0,0,10,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0
0,0,25,0,0,10,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,5,1,1,1,0,0,0,0,0,0
1,0,21,1,1,15,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,25,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,25,0,0,10,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,5,1,1,1,0,0,0,0,0,0
0,0,25,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,24,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,24,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0
1,0,24,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,27,0,1,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,0,35,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
1,1,31,1,1,20,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,1
1,0,23,1,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1
0,0,27,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0
0,0,22,1,1,10,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,33,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,1,29,0,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,24,1,1,10,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1,0,27,0,0,10,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,0,31,1,0,8,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,0,29,1,0,10,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1
1,0,33,0,0,16,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,3,1,1,1,1,0,0,0,1,0
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
0,0,29,0,0,7,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,2,1,1,0,1,0,0,0,1,0
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
1,1,31,0,1,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
0,0,23,0,0,20,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,24,0,1,10,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,30,1,0,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
1,1,24,1,0,18,1,1,0,1,1,0,1,1,1,0,1,0,2,0,0,4,0,0,0,1,0,0,0,1,1
0,0,30,1,0,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0
0,0,24,0,0,8,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,1,1,1,0,0,0,0,1,0
0,0,26,0,0,6,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,22,0,0,10,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,6,1,1,0,0,0,0,0,1,0
1,0,20,0,0,18,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0
0,0,26,0,0,8,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0
1,0,31,0,0,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,31,1,1,23,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1
1,1,31,1,1,12,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
1,1,24,1,1,22,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,4,0,0,0,1,1,0,0,1,1
1,1,32,0,1,14,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,0,1,0,1,0,1,1
1,0,26,1,0,8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,1
1,1,33,1,1,14,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
1,1,29,1,1,18,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
0,0,22,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,24,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,24,0,0,8,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,1,1,1,0,0,0,0,1,0
0,0,23,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,24,0,0,8,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,1,1,1,1,0,0,0,0,0
0,0,22,0,1,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
