perm_android_permission_READ_PHONE_STATE,n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSubscriberId,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,n_services,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_receivers,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_permissions,suspicious_getCellSignalStrength,n_used_permissions,label
0,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,2,0,0,1,0,5,0,7,0,12,0
0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,7,0,10,0
0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,4,0,9,0,6,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,1,0,6,0,27,0,10,0
1,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,20,0,6,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,1,0,4,0,5,0,9,0
0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,8,0
0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0
0,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,7,0
0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,9,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0
0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
1,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,12,0,6,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,5,2,0,0,1,0,2,1,9,0,11,1
0,34,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,8,1,14,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,1,0,4,0,5,0,9,0
1,58,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,30,2,1,0,1,1,24,0,32,1,19,0
0,27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,4,0,0,1,0,4,1,7,0,15,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,7,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,2,0,0,1,0,4,0,6,0,8,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,0,0,1,0,5,0,24,0,10,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,9,0,4,0
1,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,6,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,3,0,0,1,0,6,1,7,0,9,1
1,46,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,11,0,12,0
0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,6,0,14,0
0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0
0,30,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11,5,0,0,1,0,9,1,8,1,12,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,1,0,4,0,7,0,9,0
1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,3,0,0,1,0,6,0,10,0,5,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0
1,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,3,1,0,1,0,5,0,12,0,8,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,5,0,6,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,8,0
0,12,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,2,0,1,1,0,0,7,0,27,0,6,0
0,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,8,1,9,0
0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,2,0,9,0,5,0
0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,15,0
1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,3,0
0,27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,11,3,0,0,1,0,9,0,22,0,11,1
0,34,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,23,5,1,0,1,0,8,1,6,1,12,0
0,7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,3,0,0,1,0,5,1,8,0,7,0
0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,0
1,47,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,16,5,1,0,1,0,9,0,19,0,14,0
1,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,14,0,10,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1,36,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,21,1,1,1,0,1,9,0,33,0,10,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,11,0,8,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0
0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,7,0,6,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,10,1
1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,21,1,1,1,0,1,15,0,38,0,0,1
0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0
0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,7,0
0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,12,0
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,2,0,32,0,13,0
1,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,1,1,0,0,0,8,0,9,0,7,1
0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,1,0,5,0,25,0,9,1
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
1,22,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,18,0,7,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
1,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,1,0,0,1,0,5,0,9,0,6,0
0,36,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,7,3,1,0,1,1,7,0,14,0,14,0
1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,19,0,5,0
0,32,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,21,5,0,0,1,1,10,1,12,0,16,0
1,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,4,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,11,0,0,0
1,6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,2,0,7,0,4,0
0,25,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,10,3,1,0,1,1,5,0,28,0,12,1
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,6,0
1,37,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,3,0,1,0,0,0,1,0,17,0,13,0
0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,2,0,0,1,0,3,1,6,0,9,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,10,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,0,4,1
0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0
0,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,0,0,1,0,3,0,11,0,8,0
1,4,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,6,5,1,1,0,1,6,0,37,0,3,0
0,23,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,27,5,1,0,1,0,9,1,16,0,12,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
1,22,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,6,1,0,0,1,1,5,0,8,0,10,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0
1,38,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,12,2,1,0,1,0,6,0,22,0,10,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,9,0
0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0
1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,0
1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,1,0,4,0,27,0,8,0
0,8,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,6,1,0,0,1,0,4,1,10,0,6,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,4,0,6,0,7,0
0,43,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,19,8,0,0,1,0,23,1,12,1,18,0
0,22,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,10,1,0,0,1,0,4,1,7,0,10,0
1,41,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,18,4,0,0,1,1,9,1,34,0,16,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,6,0
1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,9,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0
1,57,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,16,2,1,0,0,1,8,0,35,0,15,1
0,16,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,13,1,1,1,1,1,15,0,18,0,9,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1
0,19,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,3,0,10,0,9,1
0,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,9,0
0,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,11,0,6,0
0,27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,12,5,1,0,1,0,3,0,14,0,15,0
0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,8,0
0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,15,3,1,0,1,0,12,1,17,0,7,0
1,16,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10,0,6,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,9,0,8,0,7,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,6,0,4,0
1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,18,0,0,0
1,24,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,15,2,0,0,1,0,14,0,19,0,10,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
0,45,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,24,4,0,0,1,1,12,1,33,0,17,0
0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,0,1,0,0,0,1,0,6,0,6,1
0,14,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,7,1,0,0,1,0,7,0,7,0,6,0
1,28,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,7,1,1,0,1,0,9,0,20,0,12,0
1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,1,0
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,9,0,9,0
0,31,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,1,1,0,1,0,5,0,10,1,10,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,8,3,0,0,1,0,3,1,9,0,6,0
1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,14,0,1,1,0,1,9,0,35,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,3,0,0,1,0,6,0,7,0,5,0
0,16,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,1,0,9,0,7,0,6,0
1,46,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,6,1,1,0,0,1,2,0,28,0,13,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,8,0
1,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,2,0,0,1,0,4,1,12,0,9,0
0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,3,0,17,0,9,0
0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,2,1,0,1,0,8,0,14,0,8,0
1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,3,0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,0
1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,1,0,0,1,0,4,0,14,0,9,0
0,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,7,0
1,38,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,15,0,12,0
0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,8,0,8,0,13,0
0,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,4,0,0,1,0,4,1,9,0,7,1
1,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,1,0,1,0,7,0,32,0,7,0
0,21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,14,7,1,0,1,0,8,0,13,0,9,0
0,41,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,16,4,1,0,1,0,10,1,11,1,16,0
1,22,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,12,1,1,0,1,0,5,0,19,0,9,0
0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9,5,0,0,1,0,7,1,24,0,13,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,8,0,9,0
0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,8,0,9,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0
0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,1,0,4,0,7,0,5,0
1,26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,4,1,0,1,0,8,1,23,0,13,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0
0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,15,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,1,0,3,1,6,0,9,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,7,0
1,37,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,7,3,1,0,1,1,8,0,19,0,14,0
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,13,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,12,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,2,0,0,1,0,4,0,5,0,8,0
0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,1,0,4,0,23,0,8,0
0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,3,0,0,1,0,3,1,8,0,15,0
1,26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,1,0,0,0,4,1,12,0,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,1,0,2,0,22,0,9,0
0,26,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,8,1,0,0,1,0,6,0,10,0,10,0
0,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,1,0,1,0,3,0,11,0,7,0
0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,5,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,12,0,8,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,12,0,6,1
1,37,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,14,1,1,0,0,0,5,0,23,0,15,0
1,68,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,11,1,1,0,0,1,7,0,36,1,16,1
1,46,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,6,0,1,1,0,1,5,0,38,0,14,0
0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1,43,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,14,0,13,0
0,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,2,0,7,0,12,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,2,0,8,0,13,0
0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,1,0,3,1,6,0,5,0
0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0
0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,7,0,5,0
0,20,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,16,6,0,0,1,0,10,1,11,0,9,0
1,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,3,0,20,0,8,0
0,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,9,0,11,0
