perm_android_permission_WRITE_SETTINGS,n_urls,perm_android_permission_GET_ACCOUNTS,suspicious_getSimCountryIso,n_api_calls,n_permissions,perm_android_permission_VIBRATE,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_READ_PHONE_STATE,n_receivers,n_used_permissions,n_services,intent_com_android_vending_INSTALL_REFERRER,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_vending_BILLING,n_activities,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_DexClassLoader_,label
0,47,0,0,26,8,0,0,0,4,12,4,1,3,1,1,1,1,1,1,1,0,0,0,10,1,0,0,1,1,0
0,47,0,0,26,9,0,0,0,3,13,6,1,4,1,1,0,0,0,0,1,1,0,1,9,1,0,0,0,1,0
0,46,0,0,25,8,0,0,0,3,12,5,1,4,1,1,1,1,1,0,1,1,0,1,9,1,0,0,1,1,0
0,46,0,0,25,8,0,1,0,4,13,4,1,2,1,1,0,0,0,0,1,0,0,0,11,1,0,1,1,1,0
0,47,0,0,26,13,0,1,0,5,14,8,1,4,1,1,1,1,1,1,1,1,0,0,13,1,0,0,0,1,0
0,50,0,0,26,11,1,0,0,3,12,8,1,2,1,1,1,1,1,1,0,1,0,0,12,1,0,0,1,1,0
0,45,0,1,27,12,0,1,0,3,12,7,1,3,1,1,0,0,1,0,1,1,0,1,13,1,0,1,1,1,0
0,47,0,0,28,9,1,1,0,3,12,7,1,2,1,1,1,1,1,0,1,1,0,0,10,1,0,0,1,1,0
0,45,0,0,25,9,1,1,1,4,11,7,1,3,1,1,1,1,1,0,0,1,0,0,14,1,0,0,1,1,0
0,46,0,0,25,13,0,0,0,3,11,4,1,2,1,1,0,0,1,1,1,0,0,0,12,1,0,0,1,1,0
0,48,0,0,26,10,0,0,0,4,11,9,1,3,1,1,1,1,1,0,1,1,0,1,12,1,0,1,1,0,0
0,45,0,0,26,13,0,1,0,4,13,6,1,4,1,1,1,1,0,1,1,1,0,0,9,1,0,1,1,1,0
0,47,0,0,26,14,0,1,0,5,14,8,1,4,1,1,1,1,1,1,1,1,0,0,12,1,0,0,1,1,0
0,46,0,1,27,12,0,1,0,3,12,7,1,3,1,1,0,0,1,0,1,1,0,1,15,1,0,1,1,1,0
0,46,0,0,29,11,0,1,0,4,13,7,1,3,1,1,1,1,1,1,1,1,0,0,12,1,0,1,1,1,0
0,51,0,1,25,7,1,0,0,4,13,6,1,4,1,1,0,0,1,0,1,1,1,0,11,1,0,0,1,1,0
0,49,0,0,28,9,1,1,0,4,12,4,1,7,1,1,0,0,1,0,1,0,0,1,14,1,0,0,1,1,0
0,48,0,1,24,7,0,0,0,4,14,7,1,6,1,1,0,0,1,0,1,0,0,1,11,1,0,0,1,1,0
0,49,0,1,25,10,1,0,0,6,10,8,1,4,1,1,1,1,1,1,0,0,1,0,13,1,1,0,1,1,1
0,49,0,1,25,7,0,1,0,3,13,8,1,3,1,1,1,1,1,0,1,1,0,0,13,1,0,0,1,1,0
0,48,0,1,24,11,0,0,0,6,10,5,1,1,1,1,1,1,1,1,0,0,0,1,12,1,0,0,1,1,0
0,51,0,0,23,8,0,1,0,3,14,6,1,3,1,1,0,0,1,1,1,0,0,0,10,1,0,0,1,1,0
0,44,0,0,26,12,1,1,0,4,14,6,1,2,1,1,1,1,1,1,0,0,1,0,10,1,0,0,1,1,0
0,46,0,0,23,10,0,0,0,5,14,8,1,2,1,1,1,1,1,0,1,1,1,1,11,1,1,1,0,1,0
0,48,0,0,30,10,1,1,0,4,13,4,1,4,1,1,1,1,1,0,0,1,0,0,10,1,0,1,1,1,0
0,50,0,0,26,8,0,0,0,6,14,6,1,4,1,1,1,1,0,1,1,0,1,1,9,1,1,1,0,1,1
0,49,0,0,24,10,1,1,0,3,10,6,1,1,1,1,1,1,1,1,0,1,0,1,15,1,0,1,1,1,0
0,47,0,0,25,8,0,1,0,4,10,6,1,1,1,1,0,0,1,0,0,0,0,0,11,1,0,0,1,1,0
0,46,0,0,28,8,0,1,0,5,15,6,1,5,1,1,1,1,1,1,1,1,0,0,10,1,0,0,1,1,0
0,50,0,0,25,6,0,0,0,3,13,5,1,4,1,1,1,1,0,1,1,1,0,0,10,1,0,0,0,1,0
0,46,0,0,27,11,0,1,1,5,11,3,0,1,0,0,1,1,0,1,0,0,1,1,11,1,1,0,1,1,0
0,43,0,0,26,10,1,1,1,5,11,5,1,4,1,1,1,1,1,0,0,1,0,0,13,1,0,1,1,0,1
0,50,0,1,24,7,0,0,0,4,14,7,1,6,1,1,0,0,1,0,1,0,0,1,13,1,0,0,1,1,0
0,51,0,0,22,8,0,0,0,3,13,5,1,4,1,1,0,0,0,1,1,1,0,0,10,1,0,0,1,1,1
0,46,0,0,28,8,0,1,0,5,15,6,1,5,1,1,1,1,1,1,1,1,0,0,10,1,0,0,1,1,0
0,45,0,0,24,12,0,1,1,3,10,6,1,1,1,1,1,1,1,0,1,1,0,0,14,1,0,0,1,1,0
0,48,1,1,25,9,0,0,1,3,10,4,1,2,1,1,1,1,0,1,0,0,0,0,9,1,0,0,0,1,0
0,46,0,0,27,9,1,0,0,5,16,6,1,2,1,1,0,0,1,0,1,0,0,0,14,1,0,0,0,1,0
0,50,0,0,24,13,0,1,0,4,10,7,1,3,1,1,1,1,1,0,1,1,0,0,15,1,0,1,1,1,0
0,49,0,0,23,6,0,0,0,3,12,5,1,3,1,1,0,0,0,0,1,1,0,1,10,1,0,0,0,1,0
0,48,0,0,22,12,1,1,0,5,9,6,1,4,1,1,0,0,1,1,1,1,0,0,14,1,0,1,1,0,1
0,48,0,0,22,12,1,1,0,5,9,6,1,4,1,1,0,0,1,1,1,1,0,0,14,1,0,1,1,0,0
0,47,0,1,25,7,0,1,0,1,13,5,0,1,1,1,1,1,1,1,0,1,0,0,12,1,0,0,1,1,0
0,49,0,0,22,12,1,1,0,5,9,6,1,4,1,1,0,0,1,1,1,1,0,0,14,1,0,1,1,0,1
0,49,0,0,27,7,0,1,0,4,11,3,1,2,1,1,0,0,1,0,0,0,0,0,13,1,0,0,1,1,0
0,49,0,1,23,9,0,1,0,5,9,5,1,2,1,1,1,1,1,0,0,0,0,0,12,1,0,0,1,1,0
0,50,0,0,21,13,0,0,0,4,12,7,1,2,1,1,0,0,1,0,1,0,0,1,12,1,1,0,1,1,0
0,48,0,0,24,8,0,1,0,5,10,4,1,3,1,1,1,1,1,0,1,0,1,0,8,1,0,0,1,1,0
0,46,0,1,26,7,0,0,0,4,11,6,1,1,1,1,1,1,1,0,1,0,0,1,13,1,0,0,1,0,0
0,50,0,1,29,13,0,1,0,4,11,7,1,4,1,1,1,1,1,1,1,1,0,1,14,1,0,0,1,1,0
0,44,0,0,25,9,0,1,0,6,11,3,1,4,1,1,0,0,0,0,1,0,1,1,14,1,1,0,1,1,0
0,49,0,0,29,7,0,0,0,3,15,4,1,4,1,1,1,1,0,1,1,0,0,1,11,1,0,0,0,1,0
0,47,0,0,29,8,0,0,0,4,13,7,1,2,1,1,0,0,1,1,1,1,1,0,12,1,1,0,1,1,0
0,45,1,0,27,13,1,1,0,2,14,2,1,3,0,0,0,0,0,0,1,0,0,1,10,1,0,1,1,1,0
0,44,0,0,24,12,0,0,0,5,12,7,1,1,1,1,1,1,1,1,1,0,0,1,14,1,0,0,1,1,0
0,45,0,0,25,9,0,1,1,5,11,8,1,3,1,1,0,0,1,0,0,1,0,0,15,1,0,1,1,1,0
0,48,1,0,30,12,0,1,0,3,15,4,1,2,1,1,1,1,1,0,1,0,0,0,13,1,1,0,1,1,0
0,44,0,0,26,8,0,1,0,5,14,4,1,4,1,1,1,1,1,1,1,0,0,0,9,1,0,0,1,1,1
0,44,0,0,23,11,0,1,0,4,14,7,1,2,1,1,1,1,1,1,1,1,1,0,10,1,1,1,0,1,0
0,46,0,1,27,8,0,1,0,2,13,6,1,1,0,0,1,1,0,1,1,0,0,0,14,1,0,0,1,1,0
0,46,0,0,23,8,0,0,0,3,13,7,1,4,1,1,0,0,1,1,1,1,0,0,8,1,0,0,1,1,0
0,44,0,0,25,12,0,1,0,4,16,7,1,4,1,1,0,0,1,1,1,0,1,1,14,1,1,0,1,1,1
0,44,0,1,25,10,1,1,0,3,11,8,0,2,1,1,1,1,1,1,0,1,1,0,13,1,1,0,1,1,0
0,47,0,0,21,8,0,1,0,3,12,6,1,4,1,1,1,1,1,0,1,1,0,1,8,1,0,0,1,1,0
0,47,0,0,23,7,0,0,0,5,14,7,1,3,1,1,0,0,1,0,1,1,1,0,9,1,1,0,0,1,0
0,48,0,0,22,8,1,0,0,4,11,5,1,2,1,1,0,0,1,0,1,0,0,1,8,1,0,0,0,1,0
0,50,0,1,26,8,1,0,0,4,14,5,1,1,1,1,1,1,1,0,1,0,0,1,16,1,0,0,0,1,0
0,43,0,1,26,8,1,0,0,3,14,6,1,4,1,1,1,1,0,1,1,0,0,1,10,1,0,0,0,1,0
0,50,0,1,24,10,1,1,0,4,10,4,1,4,1,1,0,0,1,1,1,0,0,0,17,1,0,0,1,1,0
0,45,0,1,21,10,1,0,0,6,12,8,1,4,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1
0,45,0,0,26,8,0,0,0,7,14,7,1,4,1,1,1,1,1,0,1,0,0,1,9,1,0,1,0,1,0
0,49,0,0,26,5,0,0,0,3,13,6,1,5,1,1,1,1,0,0,1,1,0,0,10,1,0,0,0,1,0
0,50,0,0,24,7,0,0,0,6,12,7,1,1,1,1,1,1,1,0,1,1,1,1,11,1,1,0,0,1,0
0,46,0,0,28,7,1,0,1,6,15,3,1,3,1,1,1,1,0,0,1,0,0,0,13,1,0,0,0,1,0
0,46,1,0,22,12,1,0,0,4,10,7,1,2,1,1,1,1,1,1,0,1,0,0,9,1,1,1,1,1,0
0,50,0,1,24,12,1,0,0,5,11,4,1,0,1,1,1,1,0,1,0,0,0,1,9,1,0,1,1,1,0
0,44,0,0,25,8,0,1,0,2,12,2,1,3,0,0,1,1,0,1,1,0,0,0,11,1,0,1,1,1,0
0,45,0,0,25,13,0,1,0,4,10,9,1,3,1,1,1,1,1,1,1,1,0,0,12,1,0,1,1,0,1
0,51,1,0,24,12,0,1,0,6,11,6,1,4,1,1,0,0,0,0,1,0,1,1,8,1,1,0,0,1,0
0,48,0,1,24,12,1,1,1,1,10,3,0,1,1,0,1,1,0,1,0,0,0,0,11,0,0,0,1,1,0
0,54,0,0,25,10,1,1,0,4,13,5,1,4,1,1,0,0,0,0,1,0,0,1,9,1,0,0,1,1,0
0,48,0,0,27,14,0,1,1,3,11,4,1,1,1,1,1,1,1,1,1,0,0,1,8,1,1,0,1,1,0
0,46,0,1,24,10,0,0,0,3,10,4,1,1,1,1,1,1,1,1,1,0,0,0,16,1,0,1,1,1,0
0,43,0,0,25,13,0,0,0,3,11,4,1,2,1,1,0,0,1,1,1,0,0,0,12,1,0,0,1,1,0
0,50,1,1,23,13,1,0,0,2,11,4,0,0,1,0,1,1,0,1,0,0,1,1,13,1,1,0,1,1,0
0,49,0,1,29,9,0,1,0,5,13,5,1,1,1,1,1,1,1,0,1,0,0,1,16,1,0,0,1,1,0
0,49,0,0,25,9,1,0,0,3,11,10,1,2,1,1,1,1,1,1,1,1,0,0,15,1,0,0,1,1,0
0,43,1,0,25,9,1,1,0,3,10,6,1,2,0,0,1,1,0,0,0,0,0,1,13,1,0,1,1,0,0
0,49,0,1,22,6,0,0,0,4,10,6,1,5,1,1,1,1,1,0,1,1,0,0,12,1,0,1,1,0,0
0,46,1,0,27,9,1,0,0,6,9,4,1,2,1,1,1,1,1,1,0,1,0,0,15,1,1,0,0,1,1
0,43,0,0,23,10,0,1,0,5,14,8,1,4,1,1,1,1,1,1,1,0,0,0,10,1,0,0,1,1,0
0,48,0,0,26,10,1,0,0,4,11,2,0,0,0,0,1,1,0,1,0,0,1,1,15,1,1,0,0,1,0
0,48,0,1,30,11,0,1,0,3,11,7,1,2,1,1,0,0,1,1,1,1,0,0,10,1,0,0,1,1,1
0,45,0,0,23,6,1,0,0,5,13,6,1,2,1,1,0,0,0,0,1,0,0,0,10,1,0,0,0,1,0
0,43,0,0,26,9,1,1,0,4,9,6,1,3,1,1,0,0,1,0,0,1,0,1,11,1,0,1,1,0,0
1,51,1,0,29,15,1,0,0,3,13,4,1,5,1,1,1,1,0,1,1,1,0,0,11,1,1,0,1,1,0
0,45,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,50,0,1,24,8,0,0,0,6,9,5,1,1,1,1,1,1,1,1,0,0,0,1,14,1,0,0,1,1,0
0,54,0,1,27,10,1,1,0,5,13,5,1,2,1,1,1,1,0,1,1,0,0,1,14,1,0,0,1,1,0
0,44,0,0,26,10,0,1,1,4,11,10,1,2,1,1,1,1,1,0,1,1,0,1,11,1,0,0,1,1,0
0,49,0,0,21,12,0,1,1,4,9,6,1,1,1,1,1,1,1,1,1,0,0,1,10,1,0,0,1,1,0
0,45,0,0,24,10,0,1,0,2,12,5,0,2,0,0,1,1,0,1,1,0,1,1,17,1,1,0,1,1,0
0,51,0,0,25,8,0,1,0,6,13,3,1,4,1,1,1,1,0,0,1,0,1,1,7,1,0,1,1,1,0
0,51,0,0,25,8,0,1,0,6,13,3,1,4,1,1,1,1,0,0,1,0,1,1,7,1,0,1,1,1,0
0,43,0,0,25,8,0,1,0,6,12,5,1,5,1,1,0,0,0,0,1,0,0,0,15,1,0,0,1,0,0
0,47,0,0,25,8,0,1,0,4,9,7,1,3,1,1,0,0,1,0,0,1,0,0,16,1,0,1,1,0,0
0,46,0,0,23,5,0,0,0,3,12,5,1,5,1,1,0,0,0,0,1,0,0,0,13,1,0,1,0,1,0
0,49,0,1,25,12,1,0,0,4,11,2,1,0,1,1,1,1,0,1,0,0,0,1,8,1,0,1,1,1,0
0,48,0,0,21,10,0,1,0,5,8,6,1,2,1,1,1,1,1,1,0,0,0,0,14,1,0,0,1,1,1
0,44,0,1,27,9,0,1,0,5,12,3,1,0,0,0,1,1,0,1,0,0,0,1,11,1,0,0,1,1,0
0,49,0,1,25,12,1,0,0,4,11,2,1,0,1,1,1,1,0,1,0,0,0,1,8,1,0,1,1,1,0
0,43,0,0,24,8,0,1,0,3,10,7,1,6,1,1,1,1,1,0,1,1,0,0,13,1,0,0,1,1,0
0,51,0,1,26,6,0,0,0,3,10,4,1,2,1,1,1,1,1,0,1,0,0,0,11,1,0,0,0,1,0
0,45,0,1,21,10,0,1,0,5,9,6,1,2,1,1,1,1,1,1,0,1,0,0,13,1,0,0,1,1,0
0,53,0,0,24,8,0,1,1,4,13,6,1,4,1,1,1,1,1,0,1,0,0,0,16,1,0,0,1,1,0
0,49,1,0,22,12,0,1,1,1,12,2,0,1,1,0,1,1,0,1,0,0,0,0,10,0,0,0,1,1,0
0,48,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,42,0,0,23,11,1,0,0,3,12,7,1,4,1,1,0,0,1,1,1,1,0,0,10,1,1,0,1,1,0
0,48,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
1,45,0,0,30,9,0,0,0,4,12,8,1,4,1,1,1,1,1,0,1,1,0,0,12,1,0,0,0,1,0
0,43,0,0,24,11,0,1,0,3,10,4,1,2,1,1,0,0,1,1,1,0,0,0,9,1,0,0,1,1,0
0,48,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,46,0,0,22,11,0,1,1,1,9,3,0,2,0,0,1,1,0,1,0,0,0,1,13,1,0,0,1,1,0
1,45,0,0,30,9,0,0,0,4,12,8,1,4,1,1,1,1,1,0,1,1,0,0,12,1,0,0,0,1,0
0,48,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,50,0,0,23,16,1,0,0,4,13,6,1,3,1,1,0,0,1,0,1,0,1,1,15,1,1,0,0,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,48,0,0,21,7,0,0,0,1,12,2,0,2,1,1,1,1,0,0,0,1,0,1,12,1,0,0,0,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,50,0,0,23,16,1,0,0,4,13,6,1,3,1,1,0,0,1,0,1,0,1,1,15,1,1,0,0,1,0
0,43,0,0,25,8,0,1,0,4,13,9,1,5,1,1,0,0,0,0,1,1,0,0,14,1,0,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,50,0,0,26,6,0,1,0,2,10,4,1,1,0,0,1,1,0,0,0,0,0,1,12,1,0,0,1,1,0
0,52,0,0,30,12,0,1,0,3,14,7,1,3,1,1,1,1,1,0,1,1,0,0,11,1,0,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,0
0,47,0,0,25,9,1,0,1,4,9,2,1,0,0,0,1,1,0,1,0,0,1,0,12,0,1,0,1,1,1
0,52,0,0,21,10,0,1,0,4,10,5,1,2,1,1,1,1,1,1,0,0,0,0,15,1,0,0,1,1,0
0,51,0,0,28,14,0,0,0,5,12,8,1,4,1,1,1,1,1,0,1,1,0,0,9,1,0,1,0,1,0
0,52,0,0,22,9,0,1,0,6,10,5,1,1,1,1,1,1,1,1,0,0,1,0,13,1,1,0,1,1,0
0,49,0,0,26,8,0,0,0,1,11,4,0,0,0,0,0,0,0,1,0,0,1,0,11,0,1,0,1,1,0
0,43,0,0,24,7,0,0,0,3,10,4,1,4,1,1,0,0,1,0,1,0,0,1,11,1,0,0,0,1,0
0,50,0,0,22,8,0,0,0,3,12,5,1,2,1,1,0,0,1,1,1,0,0,1,7,1,0,0,0,1,0
0,51,0,1,27,10,1,0,0,5,12,9,1,2,1,1,1,1,1,1,1,1,0,1,16,1,0,1,0,1,0
0,52,0,0,26,9,0,0,0,5,11,8,1,0,1,1,1,1,1,1,1,0,0,0,12,1,0,0,0,1,0
0,47,1,0,20,11,0,1,0,3,11,6,1,4,1,1,0,0,1,0,1,0,0,1,8,1,0,0,0,0,0
0,48,0,0,30,10,1,0,0,3,11,7,1,1,1,1,0,0,1,1,1,1,0,0,9,1,1,0,1,1,0
0,46,0,0,23,7,0,0,0,3,11,4,1,1,1,1,1,1,0,0,0,0,0,0,8,1,0,0,1,1,0
0,50,0,0,26,14,1,1,0,2,14,2,1,2,1,0,0,0,0,0,0,0,0,0,16,1,0,1,1,1,1
0,52,0,0,30,11,1,0,0,3,14,7,1,4,1,1,1,1,0,1,1,1,0,1,9,1,0,1,1,1,0
0,48,0,0,28,10,0,0,0,5,10,5,1,1,1,1,0,0,1,1,0,0,1,0,8,1,1,0,0,1,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,1
0,44,0,1,27,8,1,0,0,4,14,7,1,2,1,1,0,0,0,0,1,1,1,0,8,1,1,0,0,1,0
0,44,0,0,25,7,0,0,0,7,13,8,1,2,1,1,0,0,0,0,1,1,1,0,11,1,1,0,1,1,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,1
0,46,0,0,22,8,0,1,0,3,9,6,1,1,1,1,1,1,1,1,0,1,0,0,9,1,0,0,1,1,1
0,53,0,0,30,10,0,1,0,3,12,7,1,5,1,1,0,0,1,0,1,1,0,1,12,1,0,0,1,1,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,44,1,0,27,11,0,0,1,7,11,5,1,1,1,1,0,0,1,0,0,0,0,0,12,1,0,1,1,0,0
0,52,0,0,25,7,1,0,0,6,10,7,1,2,1,1,1,1,1,1,1,1,0,0,10,1,0,0,0,0,1
0,51,0,0,20,8,0,1,1,3,11,6,1,4,1,1,0,0,1,0,1,1,0,0,15,1,0,0,1,1,0
0,50,0,0,23,10,0,1,0,4,12,11,1,1,1,1,0,0,1,1,1,1,0,0,11,1,0,0,1,1,0
0,51,0,0,31,14,1,0,0,4,13,5,1,4,1,1,1,1,1,1,0,1,1,1,11,1,0,0,0,1,0
0,42,0,0,25,12,0,1,0,4,9,4,1,5,1,1,1,1,1,1,1,0,0,0,12,1,0,1,1,0,0
0,47,0,1,29,7,0,0,0,5,12,6,1,1,1,1,0,0,1,0,1,0,1,0,10,1,0,0,1,1,0
0,45,0,0,22,12,0,0,0,3,10,3,1,1,1,1,0,0,1,1,0,0,0,0,9,1,0,0,1,1,0
0,47,0,1,22,11,1,0,0,2,12,3,0,1,0,0,1,1,0,1,0,0,0,1,17,1,0,1,1,1,0
0,45,0,0,19,9,0,1,0,3,10,6,1,6,1,1,1,1,1,0,1,1,0,1,12,1,0,0,1,1,1
0,49,0,0,24,14,0,1,0,7,12,5,1,3,1,1,1,1,1,1,1,0,0,1,6,1,0,0,1,0,0
