perm_android_permission_ACCESS_NETWORK_STATE,n_permissions,n_used_permissions,n_api_calls,suspicious_getSystemService,suspicious_Base64,n_urls,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,suspicious_Cipher,n_services,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_getDeviceId,perm_android_permission_ACCESS_COARSE_LOCATION,n_activities,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_VIEW,perm_android_permission_RECORD_AUDIO,perm_com_android_vending_BILLING,suspicious_sendTextMessage,perm_android_permission_MODIFY_AUDIO_SETTINGS,perm_android_permission_BROADCAST_SMS,intent_com_tencent_android_tpush_action_SDK,intent_cn_ngds_android_intent_alarm,perm_com_google_android_googleapps_permission_GOOGLE_AUTH_blogger,intent_com_kingroot_kinguser_action_update,perm_com_android_launcher_permission_INSTALL_SHORTCUT,label
1,3,11,27,1,1,36,1,1,1,1,1,1,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,13,43,1,1,28,1,1,1,1,1,10,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,5,1,1,35,1,1,1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,186,16,47,1,1,55,1,1,1,1,1,10,1,0,1,0,74,1,0,0,0,0,0,0,0,0,0,1,1,0
1,5,7,17,1,1,15,1,1,1,1,1,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,25,1,1,15,1,1,1,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,22,1,1,44,1,1,1,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,16,37,1,1,173,1,1,1,1,1,5,1,1,1,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0
1,31,16,65,1,1,155,1,1,1,1,1,26,1,1,1,1,329,1,1,0,0,0,1,0,0,0,0,0,1,0
0,9,7,19,1,1,10,1,1,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,14,6,8,1,1,25,1,1,0,0,1,6,1,0,1,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,5,12,1,1,15,1,1,1,1,1,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0
1,46,15,39,1,1,65,1,1,1,1,1,15,0,1,1,1,32,1,0,1,0,1,0,0,0,0,0,0,0,1
1,7,13,24,1,1,39,1,1,1,1,1,3,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
1,56,8,18,1,1,34,1,1,0,0,1,4,1,1,1,0,19,1,1,0,0,0,0,0,0,0,0,0,1,0
1,9,7,18,1,0,14,1,1,0,0,1,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10,11,25,1,1,28,1,1,1,1,1,5,0,0,1,1,39,0,1,1,0,0,0,0,0,0,0,0,0,0
1,18,14,15,1,1,60,1,1,0,0,1,9,1,1,1,0,25,1,1,0,1,0,0,0,0,0,0,0,0,0
1,14,7,18,1,1,88,1,1,1,1,1,18,1,1,1,0,13,1,1,0,1,0,1,0,0,0,0,0,0,0
1,12,7,19,1,1,20,1,1,1,1,1,2,0,0,1,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0
1,9,13,34,1,1,130,1,1,1,1,1,1,1,1,1,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0
1,7,6,8,1,1,18,1,1,0,0,1,1,0,0,1,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0
1,20,12,40,1,1,35,1,1,0,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
1,9,6,14,1,1,54,1,1,0,0,1,1,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,15,43,1,1,45,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,8,9,23,1,1,24,1,1,1,1,1,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0
1,6,7,19,1,1,130,1,1,0,0,1,4,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
1,11,9,31,1,1,49,1,1,0,0,1,3,1,1,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
1,8,8,14,1,1,25,1,1,0,0,1,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,9,30,1,1,49,1,1,0,0,1,1,0,1,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7,19,1,1,23,1,1,1,1,1,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0
1,14,8,29,1,1,11,1,1,0,0,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,14,1,0,4,0,1,1,1,1,1,1,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,7,18,1,1,22,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,18,1,1,21,1,1,1,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18,14,38,1,1,115,1,1,1,1,1,0,0,1,1,1,23,1,1,1,0,0,0,0,0,0,0,0,0,0
1,37,15,61,1,1,146,1,1,1,1,1,24,1,1,1,1,162,1,1,1,0,0,1,0,0,0,0,0,1,0
1,3,13,22,1,1,26,1,1,1,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,11,32,1,1,50,1,1,1,1,1,5,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,10,25,1,0,22,1,1,1,1,1,2,1,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
1,24,12,22,1,1,33,1,1,0,0,1,12,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,10,25,1,1,100,1,1,1,1,1,13,0,1,1,0,54,1,1,0,1,0,0,0,0,0,0,0,0,0
1,12,10,26,1,1,60,1,1,1,1,1,12,0,1,1,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0
1,27,3,4,1,1,3,1,1,1,1,1,18,1,1,0,1,256,1,1,1,0,0,1,0,0,0,0,0,0,0
1,15,14,45,1,1,89,1,1,1,1,1,3,0,1,1,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0
1,12,12,28,1,1,62,1,1,1,1,1,3,1,1,1,0,34,1,1,0,1,0,0,0,0,0,0,0,0,0
1,11,14,36,1,1,51,1,1,0,0,1,4,1,1,1,1,19,1,0,1,0,0,0,0,0,0,0,0,0,0
1,3,11,20,1,1,22,1,1,0,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4,5,1,1,37,1,1,1,1,1,0,0,1,1,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0
1,15,14,33,1,1,56,1,1,1,1,1,9,0,1,1,0,9,1,1,1,1,0,1,0,0,0,0,0,0,0
1,3,5,12,1,1,30,1,1,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,11,21,1,1,37,1,1,0,0,1,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
1,13,7,18,1,1,55,1,1,1,1,1,6,0,1,1,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0
1,9,8,26,1,1,23,1,1,0,0,1,2,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,7,20,1,1,56,1,1,1,1,1,12,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,9,37,1,1,23,1,1,1,1,1,5,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0
1,11,10,25,1,1,4,1,1,1,1,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,17,1,1,20,1,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,13,24,1,1,59,1,1,1,1,1,7,0,0,1,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0
1,13,12,23,1,1,35,1,1,1,1,1,8,0,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0
1,8,7,18,1,1,24,1,1,0,0,1,2,0,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
1,8,11,24,1,1,40,1,1,0,0,1,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6,20,1,1,22,1,1,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,8,18,1,1,2,1,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,14,33,1,1,180,1,1,1,1,1,47,1,1,1,0,88,1,1,0,1,0,1,0,0,0,0,0,1,1
1,2,8,23,1,1,49,1,1,1,1,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,10,23,1,1,162,1,1,1,1,1,16,1,1,1,1,67,0,1,1,0,0,0,0,0,0,0,0,0,0
1,2,9,20,1,1,18,1,1,1,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,7,24,1,1,33,1,1,0,0,1,1,0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,19,38,1,1,90,1,1,1,1,1,9,1,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
1,11,10,30,1,1,147,1,1,1,1,1,16,1,0,1,0,63,1,1,0,0,0,0,0,0,0,0,0,0,0
1,50,16,79,1,1,167,1,1,1,1,1,44,1,1,1,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0
1,11,8,10,1,1,30,1,1,1,1,1,9,1,1,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
1,8,5,12,1,1,18,1,1,1,1,1,7,1,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16,15,43,1,1,83,1,1,0,0,1,14,1,0,1,1,35,1,1,0,0,0,0,0,0,0,0,0,0,0
1,9,11,25,1,1,138,1,1,1,1,1,2,0,1,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0
1,5,5,12,1,1,6,1,1,1,1,1,0,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0
1,32,18,56,1,1,173,1,1,1,1,1,30,1,1,1,1,64,1,1,0,0,0,0,0,0,0,0,0,1,0
1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,5,12,1,1,3,1,1,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12,35,1,1,78,1,1,1,1,1,3,0,0,1,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0
1,9,13,28,1,1,48,1,1,0,0,1,10,1,0,1,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,9,27,1,1,35,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,15,39,1,1,49,1,1,1,1,1,10,0,1,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0
1,7,6,7,1,1,29,1,1,0,0,1,4,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,6,24,1,1,30,1,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,19,1,1,1,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,16,45,1,1,49,1,1,0,1,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,17,8,22,1,1,20,1,1,1,1,1,6,1,1,1,1,72,0,1,0,0,0,0,0,0,0,0,0,1,0
1,136,19,47,1,1,123,1,1,1,1,1,33,1,1,1,1,48,1,1,0,0,1,0,0,0,0,0,0,1,0
1,3,8,25,1,1,38,1,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,10,21,1,1,20,1,1,1,1,1,7,1,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,15,1,1,7,1,1,1,1,1,3,0,0,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0
1,11,11,28,1,1,118,1,1,0,0,1,6,0,1,1,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0
1,18,2,2,1,0,0,0,0,1,1,0,2,1,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0
1,11,11,24,1,1,97,1,1,1,1,1,6,0,1,1,0,40,1,1,0,1,0,0,0,0,0,0,0,0,0
1,31,16,43,1,1,151,1,1,1,1,1,10,1,1,1,1,61,1,1,1,0,0,0,0,0,0,0,0,1,0
1,4,3,8,1,1,14,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,122,17,45,1,1,97,1,1,1,1,1,29,1,1,1,1,84,1,1,1,1,1,1,0,0,0,0,0,1,0
1,30,14,51,1,1,97,1,1,1,1,1,4,1,0,1,1,115,1,1,1,0,0,1,0,1,0,0,0,0,0
1,2,7,18,1,1,16,1,1,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,25,1,1,7,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,14,28,1,1,3,1,1,1,1,1,4,0,1,1,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,2,2,1,1,27,1,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3,5,1,0,10,1,0,1,1,0,2,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10,11,20,1,1,56,1,1,0,0,1,11,0,0,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0
1,30,10,31,1,1,18,1,1,1,1,1,7,0,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,8,20,1,1,32,1,1,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,16,1,1,16,1,1,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,14,46,1,1,57,1,1,1,1,1,6,1,1,1,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0
1,6,6,8,1,1,25,1,1,0,0,1,1,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1,19,11,32,1,1,27,1,1,1,1,1,0,0,0,1,1,61,1,0,1,0,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,63,1,0,1,0,0,0,0,0,0,0,0,0,0
1,18,3,3,1,1,7,0,0,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0
1,9,9,19,1,1,68,1,1,0,0,1,5,0,0,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,18,1,1,22,1,1,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,6,6,14,1,1,31,1,1,1,1,1,2,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,19,1,0,5,1,1,0,0,1,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,124,21,69,1,1,202,1,1,1,1,1,56,1,1,1,1,419,1,1,1,0,1,1,0,0,0,0,0,1,0
1,9,7,19,1,0,4,0,1,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1,19,12,69,1,1,135,1,1,1,1,1,2,1,1,1,1,27,1,0,0,1,0,0,0,0,0,0,0,0,0
1,4,5,21,1,1,53,1,1,0,0,1,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7,18,1,1,20,1,1,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,5,12,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,1,0,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,8,18,1,1,15,1,1,0,0,1,3,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0
1,7,8,22,1,1,3,1,1,1,1,1,3,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
1,4,10,21,1,1,6,1,1,1,1,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,3,11,28,1,1,48,1,1,1,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7,15,1,1,17,1,1,1,1,1,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,7,1,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,13,38,1,1,74,1,1,1,1,1,14,1,1,1,1,22,1,1,1,0,0,1,0,0,0,0,0,0,0
1,2,6,13,1,1,14,1,1,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7,15,1,1,35,1,1,0,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6,14,1,1,16,1,1,1,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,15,1,1,12,1,1,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,6,1,1,22,1,1,1,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,8,18,1,1,22,1,1,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,36,1,1,34,1,1,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,9,25,1,1,47,1,1,1,1,1,2,1,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,6,13,1,1,28,1,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5,3,8,1,0,10,0,1,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,3,4,1,1,32,1,1,1,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,8,21,1,1,18,1,1,1,1,1,2,1,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0
1,38,16,47,1,1,27,1,1,0,0,0,46,1,1,1,1,44,1,1,0,0,1,0,0,0,0,0,0,0,0
1,11,11,32,1,1,202,1,1,1,1,1,16,1,0,1,0,64,1,1,0,0,0,0,0,0,0,0,0,0,0
1,15,6,14,1,1,2,1,1,1,1,1,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,12,34,1,1,81,1,1,1,1,1,16,1,1,1,1,58,1,1,1,0,0,1,0,0,0,0,0,0,0
1,11,9,39,1,1,45,1,1,1,1,1,5,1,0,1,1,27,1,0,0,0,1,0,0,0,0,0,0,0,0
1,13,10,42,1,1,14,1,1,0,0,1,14,1,1,1,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0
1,26,10,18,1,1,119,1,1,1,1,1,15,0,1,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0
1,12,7,21,1,1,14,1,1,1,1,1,4,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
1,11,12,35,1,1,46,1,1,1,1,1,0,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,24,1,1,34,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,10,22,1,1,48,1,1,1,1,1,4,1,1,1,1,49,0,1,1,1,0,1,0,0,0,0,0,1,0
1,4,7,18,1,1,13,1,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,3,4,1,1,32,1,1,1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,5,13,1,1,37,1,1,0,0,1,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10,11,25,1,1,44,1,1,1,1,1,8,1,1,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,19,1,1,21,1,1,0,0,1,0,0,0,1,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0
1,6,11,28,1,1,42,1,1,1,1,1,0,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,9,22,1,1,44,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,17,8,18,1,1,8,1,1,1,1,1,7,1,1,1,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0
1,32,14,54,1,1,66,1,1,1,1,1,7,0,1,1,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,9,12,1,1,52,1,1,0,0,1,5,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9,7,16,1,1,40,1,1,1,1,1,7,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,7,20,1,1,9,1,1,1,1,1,3,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7,20,1,1,18,1,1,1,1,1,7,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,8,21,1,1,141,1,1,1,1,1,10,0,0,1,0,78,1,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,21,1,1,23,1,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,12,33,1,1,83,1,1,1,1,1,3,0,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,7,17,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,9,21,1,1,21,1,1,1,1,1,10,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,32,16,47,1,1,369,1,1,1,1,1,11,1,1,1,1,133,1,1,1,0,1,1,0,0,0,0,0,0,0
1,27,8,19,1,1,7,1,1,0,0,1,10,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,9,25,1,1,39,1,1,1,1,1,2,1,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,12,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,14,54,1,1,205,1,1,1,1,1,9,0,1,1,1,90,1,1,0,0,0,1,0,0,0,0,0,0,1
1,2,11,20,1,1,26,1,1,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,17,1,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0
0,7,6,16,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9,8,17,1,1,9,1,1,0,0,1,6,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,7,18,1,1,63,1,1,0,0,1,0,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,16,41,1,1,185,1,1,1,1,1,21,1,1,1,1,30,0,1,1,0,0,0,0,0,0,0,0,1,0
1,18,8,18,1,1,50,1,1,0,0,1,5,0,1,1,0,23,1,1,0,0,0,1,0,0,0,0,0,1,0
1,6,13,37,1,1,31,1,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,10,22,1,1,32,1,1,0,0,1,7,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,19,1,1,23,1,1,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,7,24,1,1,11,1,1,0,0,1,6,1,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0
0,3,8,16,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,79,23,48,1,1,24,1,1,0,0,1,23,1,1,1,0,81,1,1,0,0,1,0,0,0,0,0,0,1,0
1,7,8,17,1,1,52,1,1,1,1,1,0,0,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,15,1,1,14,1,1,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,6,20,1,1,6,1,1,0,0,1,12,1,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0
