suspicious_getExternalStorageDirectory,n_urls,n_api_calls,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,n_activities,suspicious_getDeviceId,n_permissions,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,perm_android_permission_SET_WALLPAPER,n_receivers,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSubscriberId,n_services,n_providers,perm_android_permission_CAMERA,perm_android_permission_VIBRATE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_GET_TASKS,intent_com_kingroot_common_ACTION_SWITCH_OUT_DESKTOP,intent_android_intent_action_USER_PRESENT,intent_com_excelliance_open_action_fw,intent_android_intent_action_PUSH_NOTIFY_ALARM,label
1,67,23,12,1,17,1,14,1,1,0,11,0,0,0,0,14,7,1,0,1,1,1,1,1,0,0,0,0,0,0
1,24,21,11,1,7,1,8,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,49,28,11,1,6,1,6,1,1,0,7,0,0,0,0,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0
1,10,20,6,0,5,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,60,33,14,1,33,1,24,1,1,0,11,0,0,1,0,8,1,0,0,1,0,0,1,1,0,0,1,0,0,0
1,11,19,8,0,4,1,14,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1,22,23,9,1,3,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,1,1,0,7,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,201,33,15,1,39,1,62,1,1,0,27,1,1,1,0,74,10,1,1,1,1,1,1,1,0,0,0,0,0,1
1,6,25,6,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,18,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,8,3,0,3,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,55,17,7,1,19,1,12,1,1,0,5,0,0,1,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0
1,52,16,7,0,42,1,10,1,1,0,4,0,0,1,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0
1,36,30,9,1,13,1,10,1,1,0,2,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1,34,28,10,0,6,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,27,9,1,13,1,14,1,1,0,6,0,0,1,0,9,5,1,1,1,1,0,0,1,0,0,1,0,0,0
1,12,18,8,0,11,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,8,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,6,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,17,8,0,1,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,3,1,49,0,90,1,1,1,12,0,0,1,0,26,5,1,1,0,1,0,1,0,1,0,1,0,0,0
1,13,15,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,9,4,0,24,1,7,1,1,0,1,0,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
1,32,16,8,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,16,10,1,4,1,8,0,0,1,3,0,0,0,0,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0
1,5,22,11,0,41,1,21,1,1,0,0,0,0,1,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0
1,6,7,4,0,4,1,12,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,240,21,9,0,134,1,13,1,1,0,8,0,0,1,0,14,2,1,0,1,1,0,0,1,0,0,0,0,0,0
1,12,15,6,0,8,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,37,11,6,1,5,1,11,0,0,0,3,0,0,1,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,23,17,9,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,17,7,0,17,1,5,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,132,17,9,1,55,1,30,1,1,1,10,0,0,1,0,11,5,1,1,1,1,1,1,1,1,0,0,0,0,0
1,124,40,11,0,42,1,6,0,0,0,3,0,0,1,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,29,33,10,0,16,1,16,0,1,0,6,0,0,1,0,8,1,0,1,0,1,0,0,1,0,0,0,0,0,0
1,60,45,12,0,72,1,21,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,9,34,10,0,5,1,9,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,15,15,7,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,15,20,8,0,9,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,25,20,11,1,6,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,11,11,5,0,5,1,18,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,44,21,9,1,17,1,8,1,1,0,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,33,22,8,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,21,9,1,4,1,16,1,1,0,6,0,0,1,0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0
1,1,8,3,0,13,0,6,0,0,0,7,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,21,20,11,1,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,19,7,1,27,1,7,0,0,0,5,0,0,1,0,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,38,7,5,1,11,1,8,1,1,0,3,0,0,1,0,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0
1,14,35,13,0,11,1,5,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,19,8,1,8,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,16,8,1,6,1,11,1,1,0,2,0,0,1,0,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0
1,16,31,9,0,86,1,13,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1
1,91,24,10,1,35,1,17,1,1,0,9,0,1,1,0,8,3,0,1,1,1,0,1,1,0,0,0,0,0,0
1,67,21,9,1,23,1,10,0,0,0,5,0,0,0,0,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0
1,63,28,10,1,8,1,5,0,0,0,5,0,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,10,20,7,1,12,1,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,41,6,5,1,14,1,22,0,0,0,8,0,0,0,0,5,3,0,1,1,0,1,0,1,0,0,0,0,0,0
1,14,61,12,1,21,1,15,1,1,0,4,0,0,1,1,4,2,1,1,0,1,0,1,1,0,0,0,0,0,0
1,56,18,8,0,16,1,3,1,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,3,3,0,3,1,8,0,0,0,3,0,0,1,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1,38,23,13,1,12,1,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,45,19,6,1,12,1,8,0,0,0,5,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0
1,42,19,10,0,10,1,10,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0
1,45,19,8,1,33,1,8,1,1,0,11,0,0,1,0,14,2,0,0,1,0,0,0,1,0,0,0,0,0,0
1,197,47,12,0,25,1,15,1,1,0,0,0,0,1,1,5,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,99,19,8,1,79,1,12,0,0,0,15,0,0,1,0,17,5,0,0,1,1,0,1,1,0,0,0,0,0,0
1,5,9,4,0,2,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,23,16,7,1,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,15,6,1,18,1,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,21,8,0,8,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,12,4,0,6,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,171,58,19,1,64,1,32,1,1,0,24,0,0,1,1,30,2,0,0,1,1,0,1,1,0,0,1,0,0,1
1,1,10,3,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,25,8,1,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,13,10,1,8,1,10,0,0,0,4,0,0,0,0,10,4,0,0,1,0,0,0,1,0,0,0,0,0,0
1,213,42,14,1,101,1,37,1,1,0,9,0,1,1,1,14,2,1,1,0,1,0,1,0,1,0,1,0,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,18,1,1,0,1,1,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,27,12,5,0,6,1,4,0,0,0,2,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,9,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,0,1,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,43,37,14,0,2,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,42,28,10,1,10,1,10,0,0,0,5,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0
1,151,20,9,1,38,1,21,1,1,0,5,0,0,1,0,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0
1,72,35,12,0,21,1,19,1,1,0,7,0,0,1,1,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0
1,24,21,12,1,23,1,7,1,1,0,4,0,0,1,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0
1,95,50,15,0,41,1,12,1,1,0,4,0,0,1,0,7,2,0,0,1,0,0,1,1,0,0,0,0,0,0
1,176,23,11,0,20,1,9,1,1,0,6,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,24,22,10,0,5,1,18,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,46,25,8,1,5,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,21,17,9,1,5,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,84,43,15,1,36,1,16,1,1,0,10,0,0,1,0,14,2,1,0,1,0,0,1,1,0,0,0,0,0,0
1,26,43,12,0,29,1,15,1,1,0,10,0,1,1,0,14,2,0,1,0,0,1,1,1,1,0,0,0,0,0
1,207,37,14,1,106,1,28,1,1,0,11,0,0,1,1,20,8,0,1,1,1,1,0,1,1,0,0,0,0,0
1,67,51,16,0,77,1,23,0,0,0,4,0,0,1,1,7,0,1,1,0,1,0,1,0,0,0,1,0,0,1
1,24,14,6,1,9,1,5,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,58,18,1,6,1,15,1,1,0,8,0,1,1,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0
1,25,12,5,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,176,22,10,1,62,1,14,1,1,0,10,0,0,1,0,10,8,1,0,1,1,1,1,1,0,0,0,0,0,0
1,29,18,7,1,12,1,8,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,9,17,6,1,3,1,7,0,0,0,5,0,0,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0
1,105,20,9,1,24,1,25,1,1,0,6,0,0,1,0,6,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1,40,31,12,1,23,1,12,1,1,0,7,0,0,1,0,4,5,0,1,1,1,1,1,1,0,0,0,0,0,0
1,67,25,10,1,51,1,18,0,0,0,13,1,0,1,0,9,1,0,0,1,1,0,0,1,1,0,0,0,0,0
1,271,49,21,1,141,1,120,1,1,1,25,0,0,1,1,36,4,1,1,0,1,0,1,0,1,0,1,0,1,0
1,21,18,9,1,47,1,17,1,1,0,3,0,0,1,0,5,2,1,1,1,1,0,0,1,0,0,0,0,0,1
1,43,26,11,1,11,1,27,0,0,1,5,0,0,1,0,9,1,0,1,0,0,0,1,1,0,0,0,0,0,0
1,57,23,11,1,17,1,8,0,0,0,3,0,0,0,0,6,3,0,0,1,0,1,0,1,0,0,0,0,0,0
1,48,14,5,0,46,1,11,1,1,0,6,0,0,1,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1,56,23,9,0,10,1,7,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,253,27,11,1,21,1,23,1,1,0,8,0,0,1,0,36,1,1,0,1,1,0,0,1,1,0,0,0,0,1
1,12,18,9,1,82,1,9,0,0,0,1,0,0,1,0,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0
1,32,18,8,1,16,0,20,1,1,0,10,0,0,1,0,7,1,1,1,0,0,0,1,1,0,0,0,0,0,0
1,1,17,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,8,5,1,1,1,8,0,0,0,4,0,0,1,0,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0
1,37,30,11,0,6,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,18,6,0,6,0,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,71,31,12,1,17,1,6,0,1,0,3,0,0,0,0,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0
1,141,63,16,0,316,1,31,1,1,0,9,0,0,1,1,26,9,0,1,0,1,0,1,0,1,0,1,0,0,0
1,1,12,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,37,12,0,3,1,15,0,0,0,5,0,0,1,0,6,0,0,1,1,1,0,1,1,0,0,0,0,0,0
1,17,19,7,0,8,0,6,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,80,20,9,1,29,1,11,1,1,0,5,0,0,1,0,12,3,1,0,1,1,0,1,1,0,0,0,0,0,0
1,20,16,7,1,6,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,17,5,0,2,0,10,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0,21,12,5,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,30,10,0,3,1,13,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,8,5,4,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,31,13,1,5,1,17,1,1,0,8,0,0,1,0,10,4,1,1,1,1,0,1,1,0,0,0,0,0,0
1,76,22,10,1,14,1,32,1,1,0,6,0,0,1,0,11,3,0,0,1,0,1,1,1,0,0,0,0,0,0
1,39,21,11,1,3,1,7,0,0,0,3,0,0,1,0,4,3,0,0,1,1,0,0,1,0,0,0,0,0,0
1,58,30,13,1,43,1,33,1,1,0,14,0,0,1,0,13,8,0,1,1,1,1,1,1,0,0,1,0,0,0
1,25,6,4,1,6,0,6,0,0,0,4,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0
1,12,21,7,1,8,1,26,0,0,0,5,0,0,0,0,7,3,0,1,0,1,0,0,1,0,0,0,0,0,0
1,167,79,16,0,99,1,49,1,1,0,21,0,0,1,0,43,13,1,1,1,1,0,0,1,0,0,0,0,0,1
1,114,28,15,1,42,1,17,1,1,0,10,0,0,0,0,11,5,1,0,1,0,0,1,1,0,0,0,0,0,0
1,35,22,8,0,9,1,3,1,1,0,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21,7,0,2,1,5,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,4,5,4,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,34,64,13,0,7,1,16,1,1,0,6,0,0,1,0,5,2,0,1,0,0,0,1,1,0,0,0,0,0,0
1,67,20,9,1,9,1,16,1,1,0,9,0,0,0,0,13,1,0,1,1,0,0,1,1,0,0,0,0,0,1
1,46,21,7,0,15,1,9,1,1,0,4,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,16,13,6,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,13,8,1,32,1,92,1,1,0,6,0,0,1,0,18,1,0,1,1,1,0,1,1,1,0,0,0,0,0
1,13,17,8,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,8,3,0,3,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
