perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,n_activities,n_api_calls,n_used_permissions,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getDeviceId,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_adroid_SERVICE,intent_android_intent_action_USER_PRESENT,n_permissions,suspicious_sendTextMessage,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_providers,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_SET_WALLPAPER,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_LOGS,intent_android_intent_action_DOWNLOAD_COMPLETE,suspicious_Base64,label
0,0,7,8,7,0,0,1,1,0,0,1,0,0,0,0,24,0,0,0,2,1,0,1,28,1,0,0,0,1,0
1,0,32,36,11,1,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,1,0,1,92,1,0,0,0,1,0
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,12,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,5,13,5,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,29,1,0,0,0,1,0
1,0,20,26,7,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,2,0,1,1,0,1,0
0,0,9,25,12,0,0,1,0,0,0,1,0,0,0,0,31,0,0,0,3,1,0,1,40,1,1,0,0,1,0
0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,18,1,0,0,0,1,0
0,0,40,31,10,1,0,1,1,0,0,1,0,0,0,0,8,0,0,0,6,1,0,1,47,0,0,0,0,1,0
0,0,8,33,12,1,0,0,1,0,0,0,1,0,0,0,21,0,0,0,0,1,1,1,48,1,1,0,0,1,0
0,0,4,19,10,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,3,1,0,1,35,1,0,0,0,1,0
0,0,6,22,9,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,20,1,0,0,0,1,1
0,0,16,22,8,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,49,1,0,0,0,1,0
0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,16,1,0,0,0,1,0
0,0,7,2,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,1,0,0,18,0,1,0,0,1,1
0,0,47,14,5,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,1,0,1,49,1,0,0,0,1,0
0,0,4,17,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,34,1,0,0,0,1,0
1,0,12,27,10,1,0,1,1,0,0,0,1,0,0,0,13,0,0,0,1,1,0,1,29,1,0,0,0,1,0
0,0,8,26,8,1,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,1,1,0,34,1,1,0,0,1,0
1,1,2,35,12,0,0,0,1,1,0,1,0,0,0,0,25,1,0,0,0,1,0,0,25,1,1,1,0,0,1
0,0,11,18,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,22,1,1,0,0,1,0
0,0,18,19,7,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,78,1,0,0,0,1,0
1,0,2,14,5,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,22,1,0,0,0,1,1
1,0,2,13,5,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,1,0,0,6,0,1,0,1,1,0
1,0,69,19,8,1,0,1,1,0,0,0,0,0,0,0,25,0,1,0,3,1,0,1,84,0,0,0,0,1,0
0,0,4,4,3,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,2,1,0,1,17,0,0,0,0,1,0
0,0,5,13,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,3,18,8,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,21,1,0,0,0,1,0
0,0,11,27,10,0,1,1,1,0,0,1,0,0,0,0,6,0,0,0,1,1,0,0,66,1,1,0,0,1,0
0,0,8,14,7,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,22,1,0,0,0,1,0
1,0,24,17,8,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,2,0,1,0,0,1,0
1,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,0,1,0,1,0,0,0,1,1,0,0,0,1
1,0,16,18,8,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,1,1,0,1,32,1,1,0,0,1,0
0,0,2,16,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,1,0,0,0,1,0
1,0,10,17,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,1,26,1,1,0,0,1,0
1,1,14,6,4,1,0,0,1,0,0,1,1,1,0,0,39,0,0,1,1,1,1,0,3,0,1,1,0,1,0
1,0,10,37,11,1,0,0,1,1,0,0,1,0,0,0,12,0,0,0,0,1,0,0,14,0,1,0,0,1,0
0,0,3,20,7,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,36,0,0,0,0,1,1
0,0,10,6,5,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,1,1,31,1,0,0,0,1,0
0,0,7,27,11,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,36,1,0,0,0,1,0
0,0,13,30,13,0,0,1,1,1,0,0,0,0,0,0,8,0,0,0,0,1,1,0,36,1,1,0,0,1,0
1,1,83,74,16,1,1,0,1,1,1,1,1,1,0,1,30,1,0,1,3,1,1,0,169,1,1,1,1,1,0
1,0,57,15,6,1,0,0,1,0,0,1,0,1,0,1,39,0,1,1,4,1,1,0,29,0,1,1,0,1,0
0,0,5,21,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,29,1,0,0,0,1,0
0,0,24,47,11,0,0,0,1,1,0,1,0,0,0,1,35,0,0,1,3,1,0,1,82,0,1,0,0,1,0
0,0,3,13,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,33,1,0,0,0,1,0
0,1,29,55,15,0,1,1,1,1,0,1,0,0,0,0,4,1,0,0,0,1,0,0,75,1,1,0,0,1,0
0,0,6,27,8,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,39,1,1,0,0,1,0
0,0,3,7,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,34,1,0,0,0,1,0
0,0,1,14,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,96,37,14,1,1,1,1,1,1,1,1,0,0,0,15,0,0,1,1,1,0,0,169,1,0,0,0,1,0
0,0,17,19,6,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,1,0,1,15,0,0,0,0,1,0
1,1,62,35,15,1,1,1,1,0,1,1,1,1,0,1,38,0,0,1,8,1,1,1,78,1,1,1,0,1,0
1,1,112,43,19,1,1,1,1,1,1,1,1,1,0,1,41,1,1,0,0,1,0,0,121,1,1,1,0,1,0
0,0,1,37,9,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,0,0,1,0
0,0,24,8,5,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,1,1,0,1,54,0,0,0,0,1,0
1,1,97,65,15,1,1,0,1,1,1,1,1,1,0,1,38,1,0,0,0,1,0,0,114,1,1,1,0,1,0
1,1,142,71,16,1,0,0,1,1,0,1,1,1,0,1,39,0,0,1,1,1,0,0,188,0,1,1,0,1,1
1,0,14,43,12,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,1,0,1,59,1,1,0,0,1,0
0,0,5,25,9,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,43,1,0,0,0,1,0
0,0,13,15,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,33,1,0,0,0,1,0
0,0,3,4,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,22,1,0,0,0,1,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,44,36,12,0,0,0,1,1,0,1,0,1,0,0,27,0,0,0,0,1,0,0,81,0,1,0,0,1,0
1,1,7,45,11,0,1,1,1,1,0,1,0,0,0,0,10,1,0,0,1,1,0,1,41,0,1,0,0,1,0
0,0,5,14,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,14,1,0,0,0,1,0
0,0,11,20,8,0,0,1,1,0,0,1,0,0,0,0,27,0,0,0,0,1,1,1,26,1,1,0,0,1,0
0,0,3,12,5,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,34,1,0,0,0,1,0
1,1,28,39,9,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,1,1,0,1,160,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,15,13,6,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,2,1,0,1,16,1,0,0,0,1,0
1,0,7,34,6,1,1,0,1,1,0,0,0,0,0,0,10,0,0,1,0,1,0,0,15,1,1,0,0,1,0
0,0,12,16,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,1,1,20,1,0,0,0,1,0
0,0,16,40,12,0,0,1,1,1,0,0,0,0,0,0,12,0,0,0,10,1,0,1,54,1,1,0,0,1,0
0,0,4,13,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1
1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,17,20,9,0,0,1,1,0,0,0,1,0,0,0,11,0,0,0,2,1,0,1,40,1,1,0,0,1,0
0,0,42,45,12,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,1,0,1,132,1,0,0,0,1,0
0,0,18,14,7,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,1,0,1,13,0,0,0,0,1,1
0,0,4,7,5,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,54,1,0,0,0,1,0
1,1,30,42,12,1,1,0,1,1,1,1,1,1,0,1,31,0,0,1,0,1,0,0,102,1,1,0,0,1,0
0,0,13,25,8,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,42,1,1,0,0,1,0
0,0,42,47,13,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,105,1,1,0,1,1,0
0,0,3,18,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,10,0,0,0,0,1,0
0,0,1,14,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1
0,0,15,12,5,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,2,1,0,1,16,0,1,0,0,1,0
1,0,12,21,7,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,41,1,1,0,0,1,0
1,0,7,18,9,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,8,0,0,0,0,1,0
1,0,12,25,9,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,43,1,1,0,0,1,0
1,0,22,23,9,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,1,1,0,1,50,1,0,0,0,1,0
0,0,5,6,5,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,34,1,0,0,0,1,0
0,1,9,39,9,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,5,21,8,0,0,1,1,0,0,1,0,0,0,0,12,0,0,0,1,1,0,0,10,0,1,0,0,1,0
1,1,2,25,10,0,0,0,1,1,0,1,0,0,0,0,24,1,0,0,0,1,0,0,22,1,1,1,0,0,0
1,1,4,52,12,0,1,0,1,1,1,1,0,1,0,0,13,0,0,0,0,1,0,0,17,1,1,0,0,1,0
0,0,7,24,11,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,2,1,1,0,25,1,0,0,0,1,0
1,1,4,27,9,0,0,0,1,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,42,60,15,1,0,0,1,1,0,1,0,0,0,1,20,0,0,0,0,1,0,1,131,1,1,0,0,1,1
0,0,3,12,5,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,1,8,0,0,0,0,1,0
0,0,3,32,10,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,36,1,0,0,0,1,1
1,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,5,18,7,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,1,18,1,0,0,0,1,0
1,0,14,42,10,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,1,49,1,0,0,0,1,0
1,0,16,8,6,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,1,1,0,1,35,1,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,5,15,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,5,19,9,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,19,1,0,0,0,1,0
0,0,49,12,5,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,27,1,0,0,0,1,1
1,0,3,30,11,0,0,1,1,0,0,1,0,0,0,0,20,0,0,0,2,1,0,1,41,0,0,0,0,1,0
0,0,4,16,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,15,1,0,0,0,1,0
0,0,4,15,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,0,15,0,0,0,0,1,0
0,0,3,20,10,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,30,1,0,0,0,1,0
1,0,8,27,6,0,0,0,1,0,0,1,0,0,0,1,12,0,0,0,0,1,1,1,38,1,1,0,0,1,0
0,0,35,15,7,0,1,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,47,1,1,0,0,1,0
0,0,2,23,11,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,45,1,0,0,0,1,0
0,0,10,13,6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,1,0,1,24,1,0,0,0,1,0
1,0,7,18,7,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,1,0,1,22,1,1,0,0,1,0
0,0,12,8,6,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,2,1,0,1,29,1,0,0,0,1,1
1,0,71,22,12,0,0,1,1,0,0,1,0,0,0,0,30,0,0,0,2,1,0,1,75,1,1,0,0,1,0
0,1,58,57,20,1,0,1,1,1,1,1,1,1,0,1,74,0,1,1,11,1,1,1,420,1,1,0,0,1,0
0,0,2,19,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,25,1,0,0,0,1,0
0,0,1,17,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
0,0,57,14,8,0,0,1,1,0,0,1,0,0,0,0,28,0,0,0,6,1,0,1,100,1,0,0,0,1,0
0,0,4,13,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,12,1,0,0,0,1,0
1,0,8,30,9,0,0,0,1,0,0,1,0,1,0,0,13,0,0,0,1,1,0,0,2,1,1,1,0,0,1
0,0,5,31,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,40,1,0,0,0,1,0
0,0,7,24,8,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,26,1,0,0,0,1,0
0,0,10,19,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,22,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,12,21,10,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,1,0,70,1,1,0,0,1,0
0,0,6,15,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,19,1,0,0,0,1,0
0,0,3,25,11,0,0,1,1,0,0,0,1,0,0,0,11,0,0,0,1,1,0,1,30,1,0,0,0,1,0
1,0,36,14,9,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,5,1,0,0,39,1,1,0,0,1,0
0,0,5,24,10,0,0,1,1,0,0,1,0,0,0,0,9,0,0,0,1,1,0,1,36,1,0,0,0,1,0
0,0,4,43,13,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,59,1,1,0,0,1,0
0,0,5,8,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,32,1,0,0,0,1,0
0,0,9,21,11,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,38,1,0,0,0,1,0
0,0,3,16,6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,9,0,0,0,0,1,0
0,0,6,27,8,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,1,0,1,35,1,0,0,0,1,0
0,0,2,15,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,106,20,8,0,0,1,1,0,0,0,0,0,0,0,28,0,0,0,2,1,0,1,128,1,1,0,0,1,1
1,1,4,19,7,1,1,0,1,0,1,1,1,1,0,1,12,0,0,1,0,1,0,0,18,1,1,0,0,1,0
0,0,4,13,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0
0,0,11,39,12,0,1,1,1,1,0,0,0,0,0,0,14,1,0,0,0,1,0,1,7,0,1,0,0,1,0
1,1,5,18,7,1,1,0,1,0,1,1,0,0,0,0,10,0,0,0,1,1,0,0,33,0,1,0,0,1,0
0,0,70,14,6,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,118,1,1,0,0,1,0
0,0,9,14,6,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,2,1,0,0,10,0,1,0,0,1,0
0,0,19,20,7,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,1,1,0,1,19,0,1,0,0,1,0
1,1,45,41,10,0,0,0,1,1,0,1,0,0,0,0,19,0,0,0,1,1,0,0,65,0,1,0,0,1,0
0,0,4,19,7,0,0,1,0,0,0,1,0,0,0,0,27,0,0,0,0,1,0,1,23,1,0,0,0,1,1
1,0,24,69,12,1,0,0,1,0,0,1,0,0,0,0,19,0,0,0,0,1,0,0,135,1,1,0,0,1,0
1,1,21,60,14,0,0,0,1,1,1,1,1,0,0,1,22,0,0,0,0,1,0,0,347,0,1,0,0,1,0
0,0,7,19,9,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,20,1,0,0,0,1,0
1,1,42,45,17,0,0,1,1,1,0,1,0,0,0,1,14,0,0,0,3,1,0,0,111,1,1,0,0,1,0
0,0,5,16,8,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,25,1,0,0,0,1,0
0,1,43,38,12,0,0,1,1,1,0,1,0,0,0,0,7,0,0,0,3,1,0,1,119,1,1,0,0,1,0
0,0,3,14,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,16,1,0,0,0,1,0
1,0,5,5,2,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,7,1,1,0,0,1,0
0,0,4,8,6,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,10,1,0,0,0,1,0
0,1,13,36,10,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,99,0,1,0,0,1,0
0,0,11,25,11,0,0,1,1,0,0,1,1,0,0,0,28,0,0,0,1,1,1,1,35,1,1,0,0,1,0
0,0,7,21,10,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,20,1,1,0,0,1,0
0,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,7,0,1,0,0,1,0
0,0,4,9,4,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,1,0,1,120,1,0,0,0,1,0
0,0,14,13,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,44,1,0,0,0,1,0
0,0,1,18,8,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0
0,0,4,14,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,9,1,0,0,0,1,1
0,0,6,20,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,15,1,0,0,0,1,0
1,0,13,23,11,0,0,0,1,1,0,0,1,0,0,0,10,0,0,0,0,1,1,1,165,1,0,0,0,1,0
1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,5,4,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,8,1,0,0,0,1,0
1,0,145,4,3,1,0,1,0,0,0,1,1,1,0,1,29,0,0,0,6,1,0,0,3,0,1,1,0,1,0
0,0,4,18,7,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0
