n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_CONFIGURATION,intent_com_igexin_sdk_action_refreshls,intent_android_intent_action_MEDIA_MOUNTED,perm_android_permission_READ_PHONE_STATE,perm_android_webkit_permission_PLUGIN,perm_com_android_alarm_permission_SET_ALARM,suspicious_getCellLocation,intent_android_intent_action_ERROR_NOTIFY,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,n_receivers,intent_com_igexin_sdk_action_pushmanager,intent_com_tencent_mm_plugin_openapi_Intent_ACTION_REFRESH_WXAPP,intent_com_areametrics_areametricssdk_AMLocationUpdatesBroadcastReceiver_PROCESS_UPDATES,intent_com_inmobi_share_id,intent_android_intent_action_DOWNLOAD_NOTIFY,perm_android_permission_ACCESS_DOWNLOAD_MANAGER,intent_com_google_firebase_MESSAGING_EVENT,n_activities,n_urls,suspicious_setWifiEnabled,suspicious_system_bin_su,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_BLUETOOTH_ADMIN,label
40,0,0,0,0,0,1,1,0,0,1,0,0,0,39,1,15,0,0,0,0,0,0,0,59,652,0,1,1,1,0
5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,507,0,0,0,0,0
55,0,1,0,0,0,0,0,0,0,1,0,1,1,25,0,30,0,0,0,1,0,0,1,68,625,0,1,1,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,9,0,0,0,0,0,0,1,18,511,0,0,0,0,0
64,1,0,1,0,0,0,1,0,0,1,0,0,0,36,1,2,0,0,0,0,0,0,0,61,646,1,1,1,0,0
40,0,0,1,0,0,1,0,0,1,0,0,1,1,12,0,22,0,0,0,0,0,0,0,74,542,0,1,0,0,1
69,1,1,1,0,1,1,1,0,0,1,0,0,0,55,1,8,0,0,0,0,0,1,0,48,550,0,0,1,0,0
23,0,0,1,0,0,0,1,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,46,696,0,0,1,0,0
17,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,4,0,0,0,0,0,0,1,28,704,0,0,0,0,0
25,0,0,1,0,0,0,1,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,45,699,0,0,1,0,0
27,0,0,1,0,0,0,1,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,45,700,0,0,1,0,0
69,1,0,0,1,1,1,1,0,1,1,0,0,0,32,1,8,1,0,0,0,0,0,0,98,580,0,1,1,0,0
69,1,0,0,1,1,1,1,0,1,1,0,0,0,32,1,8,1,0,0,0,0,0,0,98,580,0,1,1,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,486,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,115,579,0,0,0,0,0
37,0,1,0,0,0,1,1,0,0,1,0,1,0,26,0,15,0,0,0,0,0,0,0,54,499,0,1,1,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,478,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,484,0,0,1,0,0
63,1,1,1,0,1,1,1,0,0,1,0,0,0,55,1,9,0,0,0,0,0,1,0,52,507,0,0,1,0,0
37,1,0,1,0,0,0,1,0,0,1,0,0,0,48,1,20,0,0,0,0,0,0,0,90,544,1,1,1,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,19,473,0,0,0,1,0
68,1,1,1,0,1,1,1,0,0,1,0,0,0,55,1,8,0,0,0,0,0,1,0,44,501,0,0,1,0,0
13,1,0,0,0,0,0,1,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,7,467,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,737,0,0,0,0,0
24,1,0,0,0,0,0,1,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,6,460,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,34,463,0,0,0,0,0
85,1,1,1,1,0,1,1,0,1,1,1,0,0,40,1,33,0,0,0,0,1,0,0,85,523,1,0,1,0,0
85,1,1,1,1,0,1,1,0,1,1,1,0,0,40,1,34,0,0,0,0,1,0,0,84,521,1,0,1,0,0
64,1,1,1,1,0,0,1,0,0,1,0,0,0,29,0,6,0,1,0,0,0,1,0,138,594,0,1,1,0,0
38,1,0,1,0,0,0,1,0,0,1,0,0,0,41,1,8,0,0,0,0,0,0,0,123,525,0,0,1,0,0
15,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,2,0,0,0,0,0,0,0,27,450,0,0,0,0,0
41,1,1,1,1,0,1,1,0,0,1,0,0,0,48,1,29,0,0,0,0,0,0,0,126,553,1,1,1,0,0
41,1,1,1,1,0,1,1,0,0,1,0,0,0,48,1,29,0,0,0,0,0,0,0,126,553,1,1,1,0,0
20,1,0,0,0,0,0,1,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,6,447,0,0,1,0,0
86,1,1,1,1,0,1,1,0,1,1,1,0,0,40,1,33,0,0,0,0,1,0,0,79,499,1,0,1,0,0
63,1,0,1,1,0,0,1,1,0,1,0,0,0,39,1,3,0,0,0,0,0,0,0,140,545,0,1,1,0,0
24,1,0,0,0,0,0,1,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,6,439,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,438,0,0,1,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3,0,0,0,0,0,0,1,19,437,0,0,0,0,0
45,1,0,1,0,0,0,1,0,0,1,0,1,0,53,1,28,0,0,0,0,0,0,1,140,536,0,1,1,1,0
58,0,0,1,0,0,0,1,0,0,1,0,0,0,38,1,8,0,0,0,0,0,0,0,152,538,0,1,1,0,0
20,1,0,0,0,0,0,0,0,0,0,0,1,0,21,0,5,0,0,0,0,0,0,0,15,770,0,0,1,0,0
40,1,1,1,1,0,1,1,0,0,1,0,0,0,54,1,26,0,0,0,0,0,0,0,121,701,0,1,1,0,0
41,1,0,0,0,0,0,1,0,0,0,0,0,0,28,1,3,0,0,0,0,0,0,0,80,447,0,1,1,1,0
27,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,3,0,0,0,0,0,0,0,13,426,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,1,0,1,0,19,1,12,0,0,0,0,0,0,1,48,432,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,4,422,0,0,0,0,0
42,1,0,1,0,0,0,1,0,0,1,0,0,0,46,1,11,0,0,0,0,0,0,0,176,574,0,0,1,0,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,1
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,1
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,10,0,0,1,1,0,0,0,42,429,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,11,0,0,1,1,0,0,0,42,429,1,1,1,1,0
30,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,3,0,1,0,0,0,1,0,131,471,0,1,1,1,0
86,1,0,0,1,0,0,1,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,80,454,0,1,1,0,0
30,0,0,0,0,0,0,1,0,0,0,0,1,1,14,0,3,0,0,0,0,0,0,1,184,569,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0,0,0,1,1,14,0,3,0,0,0,0,0,0,1,185,574,0,0,0,0,0
78,0,0,1,0,0,0,0,0,0,0,0,1,0,40,0,38,0,0,0,0,0,0,1,135,653,1,0,1,1,0
63,1,0,1,0,0,0,1,0,0,1,0,0,0,39,1,19,0,0,0,0,0,0,0,170,577,1,1,1,1,0
41,1,0,0,0,1,1,1,0,0,1,0,0,0,30,1,6,0,0,0,0,0,0,0,184,556,0,1,1,1,0
36,1,0,0,0,0,0,1,0,0,0,0,1,1,35,0,7,0,0,0,0,0,0,1,119,453,0,0,0,0,0
97,1,1,1,1,0,1,1,0,1,1,1,0,0,42,1,38,0,0,0,0,1,0,0,156,553,1,0,1,0,1
22,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,1,32,410,0,0,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,2,406,0,0,0,0,0
57,1,1,1,0,0,0,0,0,0,1,0,0,1,75,1,20,0,0,0,0,0,0,0,57,437,1,1,1,1,0
59,1,1,1,0,0,0,1,0,0,1,0,0,0,33,1,6,0,0,0,0,0,0,0,15,410,1,1,1,0,0
30,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,3,0,1,0,0,0,1,0,131,449,0,1,1,1,0
56,0,0,1,0,0,0,1,1,0,1,0,0,0,28,1,5,0,0,0,0,0,0,0,21,408,0,1,1,0,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,411,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,411,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,411,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,411,1,1,1,1,0
53,1,0,1,0,0,0,1,1,1,1,0,0,0,34,1,18,0,0,0,1,0,0,0,43,411,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
52,1,0,1,0,0,0,1,1,1,1,0,0,0,32,1,18,0,0,0,1,0,0,0,43,410,1,1,1,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,802,0,0,0,0,0
60,1,0,0,0,0,0,1,0,0,1,0,0,0,32,1,5,0,1,0,0,0,0,0,122,444,0,0,1,1,0
18,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,4,803,0,0,0,0,0
44,0,0,1,0,0,0,1,0,0,1,0,0,0,45,1,11,0,0,0,0,0,0,0,201,625,0,0,1,0,0
56,0,0,1,0,0,0,1,0,0,1,0,0,0,21,1,13,0,0,0,0,0,0,0,136,451,1,0,1,0,0
30,1,0,0,0,0,0,1,0,0,1,0,0,0,47,1,5,0,0,0,0,0,0,0,145,455,0,0,1,0,0
41,1,0,1,1,1,1,1,0,0,1,0,0,0,43,1,9,0,0,0,0,0,0,0,130,443,0,1,1,1,0
67,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,3,0,1,0,0,0,1,0,134,449,0,1,1,1,0
67,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,3,0,1,0,0,0,1,0,134,449,0,1,1,1,0
57,1,1,1,0,0,0,0,0,0,1,0,0,1,74,1,19,0,0,0,0,0,0,0,58,420,1,1,1,1,0
28,1,0,1,0,0,0,1,0,1,1,0,0,0,104,1,9,0,0,0,0,0,0,0,75,428,1,1,1,0,0
50,0,0,0,0,0,0,1,0,0,1,0,0,0,35,1,19,0,0,0,0,0,0,0,77,405,0,1,1,1,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,385,0,0,0,0,0
44,1,0,0,1,0,0,1,0,0,1,0,1,1,40,1,17,0,0,0,0,0,0,0,118,423,0,1,1,0,0
64,0,0,1,0,0,0,1,0,0,1,0,0,0,36,1,10,0,0,0,0,0,0,0,81,408,1,1,1,0,0
68,0,0,0,0,0,0,1,0,0,1,0,0,1,21,1,9,0,0,0,0,0,0,1,15,391,0,1,1,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,818,0,0,0,0,0
63,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,6,1,1,0,0,0,1,0,134,433,0,1,1,1,0
20,0,0,0,0,0,0,1,0,0,0,0,1,0,36,0,5,0,0,0,0,0,0,1,92,398,0,0,0,0,0
58,1,1,1,0,0,0,0,0,0,1,0,0,1,74,1,18,0,0,0,0,0,0,0,55,404,1,1,1,1,0
58,0,0,0,0,1,0,1,0,0,1,0,0,0,22,1,7,0,0,0,0,0,0,0,72,394,0,0,1,0,0
66,1,0,1,1,1,0,1,0,0,1,0,0,0,34,1,22,1,1,0,0,0,1,0,146,440,0,1,1,0,0
31,0,0,0,0,0,1,0,0,0,0,0,1,0,18,1,16,0,0,0,0,0,0,1,65,386,0,0,1,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,9,373,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,18,0,0,0,0,0,0,0,53,380,0,0,1,1,0
48,1,0,0,0,0,0,1,0,0,1,0,0,0,16,0,2,0,1,0,0,0,0,0,72,384,0,1,1,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,0,0,0,27,373,0,0,1,0,0
83,1,1,1,1,0,0,1,0,0,1,0,0,0,56,1,4,0,0,0,0,0,0,0,89,403,0,0,1,1,0
83,1,1,1,1,0,0,1,0,0,1,0,0,0,56,1,5,0,0,0,0,0,0,0,89,403,0,0,1,1,0
48,0,0,0,0,0,0,1,0,0,1,0,0,0,35,1,19,0,0,0,0,0,0,0,76,385,0,1,1,1,0
23,0,0,0,0,0,0,1,0,0,0,0,1,0,22,0,9,0,0,0,0,0,0,1,166,433,0,0,0,0,0
34,1,1,0,0,0,0,1,0,0,1,0,0,0,44,1,4,0,0,0,0,0,0,0,143,417,0,1,1,0,0
48,0,0,1,0,0,0,1,0,0,1,0,1,0,31,0,14,0,0,0,1,0,0,1,29,372,1,1,1,1,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,5,0,0,0,0,0,1,1,19,366,0,0,0,0,0
99,1,1,1,1,0,1,1,0,1,1,1,0,0,41,1,40,0,0,0,0,1,0,0,208,561,1,1,1,0,0
59,1,1,1,0,0,0,1,0,0,1,0,0,0,36,1,15,0,0,0,0,0,0,0,184,460,0,1,1,0,1
45,0,0,0,0,0,0,1,0,1,1,0,1,0,24,1,6,0,0,0,0,0,0,1,123,401,0,0,1,0,1
45,1,1,0,0,0,0,1,0,0,0,0,0,0,41,1,12,0,0,0,0,0,0,0,98,388,1,1,1,1,0
43,1,1,1,0,0,0,1,0,0,1,0,0,0,41,1,10,0,0,0,0,0,0,0,48,371,0,0,1,0,0
21,1,0,0,0,0,0,0,0,0,0,0,1,1,12,1,3,0,0,0,0,0,0,1,53,366,0,0,1,0,0
27,1,0,0,0,0,0,1,0,0,0,0,0,0,26,0,6,0,0,0,0,0,0,0,14,362,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,3,0,0,0,0,0,0,0,6,360,0,0,1,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,360,0,0,0,0,0
20,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,5,0,0,0,0,0,0,1,19,360,0,0,0,0,1
20,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,5,0,0,0,0,0,0,1,19,360,0,0,0,0,0
20,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,5,0,0,0,0,0,0,1,19,360,0,0,0,0,0
48,1,0,1,1,0,0,1,0,0,1,0,0,0,23,1,0,0,0,0,0,0,0,0,7,363,0,0,1,0,0
20,1,0,0,0,0,0,0,0,0,0,0,1,0,11,1,4,0,0,0,0,0,0,1,52,363,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,357,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,5,0,0,0,0,0,0,0,38,360,0,0,1,0,0
48,0,0,1,0,0,0,1,0,0,1,0,1,0,31,0,14,0,0,0,1,0,0,1,27,362,1,1,1,1,0
49,1,1,1,0,0,0,1,0,0,1,0,0,1,75,1,19,0,0,0,0,0,0,0,53,378,1,1,1,1,0
30,0,0,0,0,0,0,1,0,0,0,0,1,1,28,0,4,0,0,0,0,0,0,1,66,364,0,0,1,0,0
66,1,0,1,1,1,0,1,0,0,1,0,0,0,32,1,17,1,1,0,0,0,1,0,176,437,0,1,1,0,0
32,0,1,0,0,0,1,1,0,0,1,0,0,0,26,1,4,0,1,0,0,0,0,0,147,401,0,0,1,1,0
57,0,0,0,0,0,0,1,0,0,0,0,0,0,43,1,18,0,0,0,0,0,0,0,32,363,1,1,1,1,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,5,0,0,0,0,0,0,1,20,353,0,0,0,0,0
53,1,0,1,0,0,0,1,0,0,1,0,0,0,45,1,26,0,0,0,0,0,0,0,135,786,1,1,1,0,0
25,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,5,0,0,0,0,0,0,1,19,352,0,0,0,0,0
49,1,1,1,1,1,1,1,0,0,1,0,0,0,64,1,27,0,0,0,0,0,1,0,190,461,1,1,1,1,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,51,354,0,0,1,0,1
39,0,0,0,0,0,0,1,0,0,1,0,0,0,28,1,7,0,0,0,0,0,0,0,165,409,1,0,1,0,0
65,0,1,1,0,0,0,1,0,0,1,0,0,0,31,1,13,0,0,0,0,0,0,0,247,575,1,1,1,0,0
43,1,0,1,1,0,0,1,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,6,347,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,4,0,0,0,0,0,0,1,29,343,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,345,0,0,0,0,0
60,1,1,0,0,0,1,1,0,0,1,0,0,0,22,0,5,0,0,0,0,0,1,0,21,347,0,1,1,1,0
25,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,37,343,0,0,1,0,1
88,1,1,1,1,0,1,1,0,0,1,0,0,0,49,1,23,0,0,0,0,0,0,0,165,418,0,1,1,1,0
38,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,18,0,0,0,0,0,0,1,73,350,0,1,0,0,0
59,1,0,1,0,1,1,1,0,0,1,0,0,0,30,1,14,1,1,0,0,0,0,0,40,347,1,1,1,1,0
65,0,0,0,1,0,0,1,0,0,1,0,0,0,41,1,4,0,0,0,0,0,0,0,64,353,0,1,1,1,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,70,345,0,0,0,0,0
46,1,0,1,0,0,0,1,0,0,1,0,0,0,22,1,4,0,0,0,0,0,0,0,194,420,1,1,1,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,4,0,0,0,0,0,0,1,45,339,0,0,0,0,1
63,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,6,1,1,0,0,0,1,0,216,451,0,1,1,1,1
63,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,6,1,1,0,0,0,1,0,216,451,0,1,1,1,0
63,1,1,0,1,1,1,1,0,0,1,0,0,0,30,1,6,1,1,0,0,0,1,0,216,451,0,1,1,1,0
42,0,0,0,0,0,0,1,0,0,1,0,0,0,39,1,8,0,0,0,0,0,0,0,217,445,0,0,1,0,0
86,0,1,0,0,0,1,1,0,0,1,0,0,0,26,1,6,0,0,0,0,0,0,0,133,380,0,0,1,0,0
47,1,0,0,0,0,0,1,0,0,1,0,0,0,32,1,4,0,0,0,0,0,0,0,133,369,0,1,1,1,0
56,1,0,0,0,0,0,1,0,0,1,0,1,1,33,1,37,0,0,0,0,0,0,1,43,344,1,1,1,1,0
62,0,0,1,1,0,0,1,0,0,1,0,0,0,29,0,8,0,0,0,0,0,0,0,96,353,0,1,1,0,0
35,1,0,0,0,0,0,1,0,0,1,0,0,0,31,1,5,0,0,0,0,0,0,0,109,353,0,1,1,0,0
20,0,0,1,0,0,0,0,0,0,0,0,1,1,13,0,5,0,0,0,0,0,0,0,12,330,0,0,1,0,0
55,1,0,0,0,0,0,1,0,0,1,0,1,1,32,1,36,0,0,0,0,0,0,1,43,341,1,1,1,1,0
57,1,0,0,0,0,0,1,0,1,0,0,1,1,80,1,32,0,0,0,0,0,0,1,201,761,1,0,1,1,0
41,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,6,0,0,0,1,0,0,0,56,336,0,1,1,0,0
26,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,10,0,0,0,0,0,0,1,72,338,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0,0,1,1,19,0,8,0,0,0,0,0,0,1,13,329,0,1,0,0,1
41,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0,7,0,0,0,0,0,0,0,89,344,1,0,0,0,0
44,0,0,1,0,0,0,1,0,0,1,0,1,0,31,0,13,0,0,0,0,0,0,1,21,332,1,1,1,1,0
55,1,0,0,0,0,0,1,0,0,1,0,1,1,32,1,38,0,0,0,0,0,0,1,43,339,1,1,1,1,0
23,1,1,0,0,0,0,1,0,0,0,0,1,1,42,1,3,0,0,0,0,0,0,1,9,329,0,0,1,0,1
44,0,0,1,0,0,0,1,0,0,1,0,1,0,31,0,14,0,0,0,1,0,0,1,33,332,1,1,1,1,0
39,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,9,0,0,0,1,0,0,0,64,334,0,1,1,0,0
30,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,85,338,0,0,0,0,0
64,1,0,1,0,0,0,1,0,0,1,0,0,0,50,0,16,0,1,0,0,0,0,0,205,425,0,1,1,1,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,322,0,0,0,0,0
42,1,0,1,1,0,0,1,0,0,1,0,0,0,47,1,9,0,0,0,0,0,0,0,243,462,0,0,1,0,0
