n_permissions,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_MESSAGING_EVENT,suspicious_setWifiEnabled,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_igexin_sdk_action_refreshls,suspicious_getSubscriberId,perm_android_permission_BATTERY_STATS,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_urls,n_activities,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_CONFIGURATION,n_providers,label
10,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0
4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0
40,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,107,1,0,0,0,5,0
16,17,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,38,67,0,0,1,0,8,0
4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,247,0,0,0,0,17,0
13,20,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,18,12,0,0,0,0,3,0
15,30,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0
26,56,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,120,76,1,1,0,0,1,0
9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,8,0,0,0,1,0,0
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0
10,4,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0
11,19,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,667,757,0,0,0,0,1,0
6,22,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,39,5,0,0,0,0,1,0
2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0
8,47,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,1,0
21,39,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,64,9,0,0,0,0,0,0
5,12,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,18,5,0,0,0,0,1,1
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0
17,26,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,67,27,0,1,1,0,4,0
20,15,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,110,17,0,0,0,0,5,0
8,47,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0
2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,1
13,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
14,10,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,40,50,0,0,0,0,6,0
9,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,55,15,0,0,0,0,0,0
11,7,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,56,5,0,0,0,0,1,0
4,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0
9,30,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,100,21,0,0,0,0,7,0
24,25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,2,0,1,0,0,0,0
4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0,0,0,0,0,0
8,18,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,24,10,0,0,0,0,2,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0
17,23,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,98,82,0,0,0,0,9,0
6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,1,0,0,0,0,0
2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0
26,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,46,25,0,0,0,0,1,0
26,53,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,77,16,0,0,0,0,3,0
12,31,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,72,3,0,0,0,0,2,0
3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,5,0,0,0,0,1,0
8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36,8,0,0,0,0,1,0
13,43,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,82,16,0,0,0,0,0,0
4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,11,0,0,0,0,0,0
8,12,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,62,34,0,0,1,0,4,0
28,46,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,43,60,1,1,1,0,6,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
9,23,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,32,7,0,0,0,0,1,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0
14,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,1,1
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0
10,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
27,37,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,108,11,0,0,0,0,6,1
10,22,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,47,19,0,0,0,0,2,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
10,48,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,54,24,0,0,0,0,1,0
8,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0,0,0,0,0,0
5,12,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,46,10,0,0,0,0,1,0
4,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0
11,25,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,132,54,0,0,0,0,5,0
6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0
14,22,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0
21,26,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,116,47,0,0,0,0,3,0
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0
15,30,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,158,74,0,0,0,0,2,0
6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
10,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,0,0,0,0
2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0
4,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,30,3,0,0,0,0,1,0
12,22,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,83,30,0,0,0,0,6,0
8,10,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,32,11,0,0,0,0,3,0
10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,1,0
7,18,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,22,6,0,0,0,0,2,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0
9,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,1,0
16,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,76,15,0,0,0,0,0,0
11,30,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,204,64,0,0,0,0,6,0
27,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,2,0
11,36,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,146,47,0,0,0,0,3,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1
4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0
24,67,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,263,49,0,1,0,1,0,0
9,25,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,84,31,0,0,0,0,4,0
13,23,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,40,43,0,0,0,0,4,0
6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0
15,22,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,36,64,0,0,0,0,4,0
5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,0,0,0,0,0,0
17,20,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,89,28,1,1,0,0,0,0
10,30,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,36,13,0,0,0,0,0,0
35,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,1,0,1,0,1,0
17,15,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,19,6,0,0,1,0,0,0
4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0
11,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0
20,12,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,61,34,0,0,0,0,5,0
7,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
17,45,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,163,81,0,0,0,0,6,0
12,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0
12,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,71,14,0,0,0,0,7,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
27,23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,47,6,0,0,0,0,3,0
7,21,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,36,17,0,0,0,0,3,0
14,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0,0,0,0,0,0
50,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,82,1,0,1,0,10,0
12,20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,45,91,0,0,0,0,6,0
5,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,1,0
12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,23,0,0,0,0,1,0
9,29,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,31,11,0,0,0,0,2,0
24,6,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,31,8,0,0,0,0,1,0
13,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30,8,0,0,0,0,0,0
8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0
8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0
7,19,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,36,7,0,0,0,0,1,0
16,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,20,0,0,0,0,0,0
5,18,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,26,32,0,0,0,0,1,1
15,17,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,45,35,0,0,0,0,1,1
5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0
9,24,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,76,16,0,0,0,0,6,0
24,37,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,182,19,0,0,0,0,9,0
9,15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
33,30,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,97,31,0,0,1,0,3,0
8,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0
10,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0
12,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,5,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,33,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,191,61,0,0,0,0,1,0
18,31,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,102,13,0,0,0,0,1,0
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
8,20,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,54,5,0,0,0,0,2,0
3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,1,0
12,27,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,45,13,0,0,0,0,3,0
14,16,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,39,38,0,0,0,0,0,0
29,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,34,8,0,0,0,0,0,0
6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0
26,19,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,10,3,0,0,0,0,2,0
4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0
18,16,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,2,0
22,39,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,67,67,1,0,1,0,4,0
32,22,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,24,301,1,0,1,0,6,0
4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,0,0,0,0,0,0
12,27,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,38,8,0,0,1,0,0,0
2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0
14,25,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,88,82,0,0,0,0,2,0
14,34,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,73,27,0,0,0,0,0,0
8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0
25,22,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,34,7,0,0,0,0,2,0
24,57,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,36,14,0,0,0,0,0,1
13,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,128,68,0,0,0,0,0,0
25,25,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,43,3,1,0,1,0,1,0
3,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,0,0,0,0,0,0
7,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,0,0,0
5,19,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,34,4,0,0,0,0,3,0
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0
4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,11,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,1,0
18,16,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,239,72,0,0,0,0,2,0
4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,0,0,0,0,1
28,47,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,16,26,0,1,1,0,0,0
25,61,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,118,117,0,1,0,1,1,0
4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,1,0
5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,8,0,0,0,0,0,0
3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,0,0,0,0
45,41,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,91,28,1,1,1,1,1,0
6,35,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,39,5,0,0,0,0,1,0
6,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,159,15,0,0,0,0,2,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
6,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0
9,13,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,24,5,0,0,0,0,0,0
