perm_com_sec_android_provider_badge_permission_WRITE,perm_com_sec_android_provider_badge_permission_READ,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_android_permission_READ_APP_BADGE,perm_android_permission_READ_PHONE_STATE,perm_com_oppo_launcher_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,n_api_calls,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_me_everything_badger_permission_BADGE_COUNT_READ,intent_com_google_android_gms_iid_InstanceID,n_urls,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_receivers,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getPackageInfo,intent_android_intent_action_MY_PACKAGE_REPLACED,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,label
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,0,0,0,48,11,1,0,4,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,22,7,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,51,0,1,1,1,0,0,0,93,17,0,1,7,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,69,0,1,1,1,0,0,0,202,21,1,1,18,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,0,0,0,19,6,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,42,12,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,46,6,1,0,5,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,32,7,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,19,1,0,0,0,1,1,0,33,8,1,0,5,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,21,6,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,0,0,0,0,0,53,7,1,0,8,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,44,9,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,6,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,58,0,1,1,1,0,0,0,193,19,0,1,4,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,105,13,0,0,8,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,8,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,60,17,0,0,3,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,33,3,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,19,0,1,1,1,0,0,0,20,7,0,1,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,25,11,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,20,1,0,0,0,1,1,0,27,9,1,0,7,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,16,6,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,25,5,0,0,3,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,53,14,1,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,5,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,5,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,32,11,1,0,3,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,18,0,1,1,0,0,0,0,34,8,1,1,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,32,1,1,0,0,0,0,0,202,11,1,0,12,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,22,6,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,33,8,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,56,0,1,0,1,0,0,0,477,22,1,1,12,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,64,13,1,0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,55,8,1,0,3,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,1,26,1,1,1,0,0,0,0,44,15,1,0,5,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,18,1,1,0,0,0,0,0,100,7,1,0,28,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,28,1,1,0,0,1,1,0,33,11,0,0,5,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,19,7,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,18,1,1,0,0,0,0,0,20,6,1,0,4,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,18,0,1,1,1,0,0,0,24,7,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,70,15,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,59,0,1,1,1,0,0,0,224,14,0,1,10,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,55,12,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,25,9,1,0,4,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,29,7,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,101,23,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,23,7,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,1,121,11,0,0,3,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,23,0,1,1,0,0,0,0,10,12,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,20,7,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,50,0,1,0,0,0,0,1,95,15,0,0,4,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,9,0,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,20,1,1,0,0,1,1,0,11,8,1,0,6,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,43,8,1,0,1,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,9,6,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,26,11,1,0,7,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,6,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,16,1,0,0,1,0,0,0,8,8,0,0,4,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,28,4,1,0,4,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,25,11,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,33,8,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,22,1,0,0,0,1,1,0,30,9,1,0,8,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,33,11,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,0,1,1,0,475,10,1,0,13,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,1,1,0,0,0,17,8,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,32,9,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,27,7,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,22,1,1,1,1,0,0,0,66,10,0,0,5,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,0,0,0,0,1,118,6,0,0,5,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,22,13,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,26,1,0,0,0,1,1,0,13,11,1,0,3,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,31,8,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,33,5,0,0,3,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,20,1,1,0,0,1,1,0,123,9,1,0,17,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,66,9,1,0,12,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,1,18,1,0,0,0,0,0,0,14,7,1,0,4,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,20,1,0,0,0,0,0,1,29,8,1,0,9,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,1,0,0,0,0,79,11,0,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,41,10,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,18,1,1,0,0,0,0,0,192,9,1,0,5,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,0,0,0,0,1,7,6,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,0,0,6,15,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0,0,0,0,298,19,1,0,12,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,22,1,0,0,0,1,1,0,23,10,1,0,4,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,61,10,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,65,6,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,5,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,20,9,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,21,8,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,64,0,1,1,1,0,0,0,108,16,0,0,5,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1,41,1,1,0,0,0,0,1,17,12,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,2,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1,27,1,0,0,0,0,0,0,48,10,0,0,5,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,34,9,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,1,0,0,0,0,17,11,1,0,7,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,34,12,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1,16,1,0,0,0,0,0,0,73,8,0,0,8,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,24,7,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,8,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,1,7,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,0,0,1,1,0,16,9,1,0,6,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,26,0,1,0,0,0,0,0,45,8,1,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,0,0,33,12,1,0,3,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,35,4,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,19,1,0,0,0,0,0,0,49,8,1,0,6,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,27,1,1,0,0,0,0,1,155,10,1,0,6,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,38,5,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,15,7,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,26,1,1,0,0,0,0,0,283,13,1,0,8,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,21,8,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,20,7,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,23,12,1,0,6,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19,5,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,0,0,40,9,1,0,11,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,0,0,0,0,1,18,6,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,6,5,1,0,3,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,40,8,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,79,22,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,41,7,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,1,121,11,0,0,3,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,42,14,1,0,3,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,1,14,1,0,0,0,0,0,0,55,7,1,0,7,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,43,10,1,0,3,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,34,12,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,3,8,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,24,7,0,0,5,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,19,7,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,28,14,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,17,6,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,19,0,1,0,0,0,0,0,29,9,0,0,4,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,36,1,1,0,0,0,0,0,39,8,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,45,1,1,0,0,0,0,0,120,13,1,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,47,1,1,1,0,0,0,0,85,15,1,0,19,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,20,8,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,31,1,1,0,0,0,0,0,79,15,1,0,6,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,20,0,1,0,0,0,0,0,21,9,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,23,1,0,1,0,0,0,0,176,11,0,0,6,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,26,10,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,68,15,1,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,5,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,15,10,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,40,8,1,0,5,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,31,1,1,0,0,0,0,0,45,11,1,0,5,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,21,9,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,8,8,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,15,6,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,37,1,1,0,0,0,0,1,21,12,0,0,2,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,19,7,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1,0,0,0,4,5,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,0,115,22,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,46,0,1,1,1,1,1,0,76,13,0,1,8,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,0,0,0,19,8,0,0,4,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,22,1,1,0,0,0,0,0,146,8,1,0,5,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,25,12,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,7,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,14,4,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,1,34,1,1,0,0,0,0,0,67,15,1,0,4,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,10,15,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,24,1,0,0,0,0,0,0,96,10,1,0,10,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,92,11,0,0,10,1,1,0,0,0,0
