n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getSubscriberId,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_ACCESS_FINE_LOCATION,n_activities,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,intent_android_appwidget_action_APPWIDGET_CONFIGURE,n_used_permissions,n_urls,intent_android_intent_action_MEDIA_BUTTON,n_receivers,label
23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,10,76,0,1,1
18,0,0,0,0,13,7,1,1,0,0,1,0,1,1,1,1,1,0,23,0,0,6,1,0,0,9,57,0,6,0
15,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,1,0,0,0
7,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,5,50,0,3,0
24,0,0,0,0,7,1,0,0,0,0,1,0,1,1,0,1,0,0,5,0,0,3,0,0,0,8,15,0,3,0
38,1,1,0,1,18,1,0,1,1,0,0,0,0,1,1,1,0,0,55,0,0,4,0,0,0,12,65,0,2,0
18,0,0,0,0,5,1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,4,0,1,0,7,23,0,6,0
26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,12,55,0,0,0
20,0,1,1,0,35,1,0,0,0,0,1,0,1,1,1,1,0,1,23,0,0,10,0,0,0,7,126,0,8,0
26,0,0,0,0,11,2,0,0,0,0,0,0,1,1,1,1,1,0,22,0,0,9,1,0,0,13,41,0,7,0
55,1,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,29,0,0,2,0,0,0,15,75,0,3,0
18,0,0,0,0,12,4,0,0,0,0,1,1,1,1,1,1,0,0,41,0,0,15,0,0,0,8,67,0,8,0
4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1
31,1,1,1,1,16,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,11,2,0,2,0
9,0,0,1,1,20,2,0,1,0,0,0,1,0,0,0,0,0,1,33,0,0,2,0,0,0,8,103,0,1,0
18,0,1,0,0,8,1,0,1,0,0,0,0,1,1,1,1,0,0,34,0,0,6,0,1,0,8,32,0,6,0
23,0,0,0,1,9,2,0,1,0,0,0,0,1,1,1,1,1,0,2,0,0,4,0,0,0,9,20,0,3,0
18,0,0,0,0,7,1,0,0,0,0,0,0,1,1,1,1,0,0,5,0,0,2,0,0,0,9,13,0,4,0
37,0,0,1,0,12,2,1,1,0,0,0,0,0,0,0,1,0,1,17,0,0,0,1,0,0,13,14,0,3,0
20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,10,24,0,0,0
24,0,0,0,0,6,1,0,0,0,0,1,0,1,1,1,1,1,0,12,0,0,6,0,0,0,10,30,0,3,0
16,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,7,18,0,0,1
22,0,0,0,0,5,1,0,0,0,0,0,0,1,1,1,1,0,0,15,0,0,2,0,0,0,9,30,0,4,1
17,0,0,0,0,13,0,1,1,0,0,0,0,0,1,1,1,0,0,11,0,0,3,0,0,0,8,58,0,2,0
29,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,3,0,0,0,10,63,0,2,0
21,0,0,1,0,9,2,0,0,0,0,1,0,1,1,1,1,0,1,6,1,0,8,0,1,0,9,46,0,5,0
39,1,0,0,0,26,1,0,1,0,0,1,0,1,1,1,1,0,0,20,0,0,12,0,0,0,14,85,0,7,0
19,0,0,1,0,10,1,0,0,0,0,0,0,1,1,0,1,0,1,17,0,0,3,0,0,0,6,15,0,4,0
14,0,0,0,0,27,0,0,1,0,0,0,0,0,1,1,1,0,0,5,0,0,5,0,0,0,5,6,0,6,0
12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,38,0,0,0
16,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,11,0,0,0
19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,11,33,0,0,0
14,0,0,1,0,12,3,0,0,0,0,0,0,0,1,0,1,0,1,46,0,0,7,0,0,0,5,45,1,6,0
24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,8,3,0,0,0
69,1,1,1,1,124,17,1,1,1,1,0,1,0,0,1,0,0,1,419,1,1,56,0,0,0,21,202,0,18,0
18,0,0,0,0,7,2,0,0,0,0,0,0,1,1,1,1,0,1,4,0,0,3,0,0,0,7,27,0,6,0
35,0,0,0,0,7,2,0,1,0,0,1,0,1,1,0,1,0,0,14,0,0,4,0,0,0,10,77,0,6,0
15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,6,28,0,1,0
11,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,12,0,0,0
9,0,0,0,0,7,3,0,0,0,0,0,0,0,1,1,1,1,0,7,0,0,4,0,0,0,8,40,0,3,0
21,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,1,2,0,0,0,7,46,0,4,0
22,0,0,0,0,7,1,0,0,0,0,1,0,1,1,1,1,1,0,19,0,0,5,0,0,0,8,22,0,3,0
22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,9,24,0,0,0
23,0,0,0,0,6,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,7,30,0,0,0
16,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,8,23,0,0,0
65,1,1,1,1,61,7,1,1,1,1,0,1,0,0,1,0,0,1,139,1,1,39,0,0,0,27,228,0,14,0
18,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,1,0,0,11,0,0,7,0,0,0,8,23,0,4,0
50,1,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,15,53,0,4,0
19,0,0,1,0,8,1,0,0,0,0,1,0,1,1,1,1,0,1,7,0,0,6,0,0,0,7,16,0,4,0
46,1,0,0,0,8,1,0,1,0,0,0,0,1,1,0,1,0,0,13,0,0,2,0,0,0,12,39,0,4,0
16,0,0,0,1,9,3,0,1,0,0,0,0,1,1,1,1,0,0,28,0,0,14,0,1,0,10,78,0,14,0
48,1,0,1,0,9,4,0,1,0,0,0,0,0,0,1,0,0,1,15,0,0,7,1,1,0,16,87,0,5,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
44,1,1,1,0,10,2,0,1,0,0,0,0,0,0,0,0,0,1,33,0,0,5,0,0,0,13,87,0,5,0
25,0,0,0,0,5,3,0,0,0,0,1,0,1,1,1,1,0,0,8,0,0,4,1,0,0,9,11,0,3,1
16,0,1,1,0,17,1,0,1,0,0,1,0,1,1,0,1,0,1,13,0,0,11,0,0,0,6,237,0,5,0
21,0,1,0,0,9,1,0,0,0,0,1,0,1,1,1,1,0,0,10,0,0,3,0,0,0,11,23,0,3,0
33,0,0,0,0,16,1,1,0,0,0,0,1,0,1,0,1,0,0,8,0,0,9,0,0,1,12,24,1,5,0
29,0,0,0,0,16,2,1,1,0,0,1,0,1,1,1,1,0,1,38,0,0,15,0,0,0,13,76,0,7,0
21,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,12,0,0,0
20,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,34,0,0,0
27,1,1,1,1,31,2,1,1,1,1,0,1,0,0,1,0,0,1,56,1,1,13,0,0,0,11,102,0,9,0
10,0,0,0,0,7,1,0,1,0,0,1,0,1,1,1,1,0,0,31,0,0,6,0,0,0,6,40,0,4,0
44,1,1,1,1,24,0,0,1,1,1,0,0,0,0,0,0,0,1,174,1,0,2,0,0,0,12,157,0,0,0
25,0,1,0,0,14,0,1,1,1,0,0,1,0,0,0,0,0,0,21,0,0,3,0,0,0,8,25,1,3,0
6,0,0,0,0,7,1,0,0,0,0,0,0,1,1,1,1,0,0,7,0,0,2,0,0,0,5,23,0,4,0
10,0,0,1,0,15,1,0,0,0,0,1,0,1,1,0,1,0,1,51,0,0,14,0,0,0,4,91,0,6,0
35,0,1,1,0,15,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,1,0,1,0,10,31,0,2,0
15,0,1,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,34,0,0,0
69,1,1,1,1,125,17,1,1,1,1,0,1,0,0,1,0,0,1,421,1,1,57,0,0,0,21,202,0,19,0
21,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,2,0,1,0,8,74,0,3,0
13,0,0,0,0,11,2,0,1,0,0,0,0,1,1,1,1,0,0,63,0,0,16,0,0,0,8,96,0,7,0
21,1,0,0,0,9,0,0,1,0,0,0,1,0,0,1,0,0,0,37,0,0,3,0,0,0,10,35,0,3,0
9,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,5,0,0,0
23,0,1,0,0,19,1,0,1,0,1,1,1,1,1,0,1,0,0,104,1,0,4,0,0,0,9,19,0,3,0
22,0,0,0,0,10,1,0,0,0,0,0,0,1,1,1,1,1,0,35,0,0,9,0,0,1,12,241,0,8,0
27,0,0,0,0,8,3,0,0,0,0,1,0,0,1,1,1,1,0,8,0,0,5,0,0,0,15,35,0,3,0
20,0,0,0,0,9,3,0,0,0,0,1,0,1,1,1,1,1,0,9,0,0,8,0,0,0,9,35,0,4,1
39,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,2,0,0,0
26,0,1,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,56,0,0,0
4,0,1,1,1,27,3,1,1,0,1,0,0,0,0,1,0,0,0,84,0,1,23,0,0,0,3,3,0,10,0
21,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,8,51,0,1,0
3,0,1,0,0,6,1,0,0,0,0,0,0,1,1,0,1,0,0,9,0,0,2,0,0,0,3,10,0,3,0
24,0,1,0,0,30,6,0,0,0,0,1,0,1,1,1,1,0,1,43,1,0,12,0,0,0,12,94,0,6,0
19,0,1,0,0,10,2,0,0,0,0,0,0,1,1,0,1,0,0,17,0,0,5,0,0,0,8,28,0,6,0
10,0,0,0,0,9,3,0,0,0,0,1,0,1,1,1,1,1,1,28,0,0,8,0,0,0,6,51,0,3,0
18,0,0,0,0,8,1,0,0,0,0,0,0,1,1,0,1,0,0,5,1,0,2,0,0,0,7,16,0,4,0
40,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,11,87,0,0,0
46,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,0,9,34,0,1,0
13,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,4,0,0,0,6,10,0,5,0
0,0,1,1,0,12,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0
38,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,12,21,0,1,0
18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,7,20,0,0,0
21,0,1,1,0,24,2,0,0,0,0,1,0,1,1,1,1,1,1,10,0,0,9,0,0,0,11,34,0,4,0
20,0,0,0,0,26,3,0,1,0,0,1,0,1,1,1,1,0,0,3,0,0,4,0,0,0,7,11,0,3,0
53,1,1,1,1,180,51,1,1,1,1,0,1,0,0,1,1,0,1,111,1,0,4,0,0,0,16,71,0,1,0
35,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,10,37,0,0,0
22,0,1,0,0,10,1,0,1,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,7,4,0,0,0
49,0,1,0,0,11,1,0,1,0,0,0,0,0,1,0,1,0,0,16,0,0,1,0,0,0,15,70,0,3,1
23,0,1,0,0,12,3,1,1,0,0,0,0,0,1,1,1,0,1,2,0,0,5,0,1,0,8,19,0,5,0
0,0,1,1,1,33,5,1,1,0,1,0,1,0,0,0,0,0,1,108,1,1,4,0,0,0,0,0,0,5,0
3,0,1,1,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
17,0,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0,6,26,0,8,0
19,0,0,0,0,6,1,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,4,0,0,0,9,22,0,3,0
12,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,11,0,3,0
19,0,0,0,0,6,1,0,0,0,0,0,1,1,1,1,1,0,0,8,0,0,2,0,0,0,9,21,0,4,0
15,0,0,0,0,9,3,0,0,0,0,0,0,1,1,1,1,1,0,11,0,0,8,0,0,0,9,47,0,4,0
23,0,0,1,0,30,5,0,1,0,0,0,0,1,1,1,1,0,1,19,0,0,17,0,1,0,12,71,0,14,0
19,0,0,0,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,13,0,0,3,0,0,0,9,149,0,1,0
0,0,1,1,1,15,0,1,1,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,1,0
23,1,0,0,0,8,0,0,0,0,0,0,1,0,1,0,1,0,0,20,0,0,5,0,0,0,11,176,0,6,0
8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,4,42,0,0,0
14,0,0,1,0,7,3,0,0,0,0,0,0,0,1,0,1,0,1,47,0,0,7,0,0,0,5,49,1,6,0
21,0,1,0,0,17,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,3,0,0,0,9,27,0,3,0
46,1,0,1,0,11,2,0,1,1,0,0,0,0,1,1,1,1,1,26,0,1,14,1,0,0,14,97,0,10,0
32,1,1,1,1,34,2,1,1,1,1,0,1,0,0,0,0,0,1,63,1,1,7,0,0,0,13,97,0,4,0
47,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,4,0,1,1,13,105,1,8,0
34,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,10,40,0,0,0
16,0,0,1,0,7,1,0,0,0,0,1,0,1,1,1,1,0,0,6,0,0,9,0,0,0,6,52,1,9,0
34,0,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,15,48,0,0,0
21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,13,0,0,0
26,0,1,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,33,0,0,0
8,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,35,0,0,0
4,0,0,0,0,6,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,2,0,0,0,4,8,0,4,0
26,0,0,0,0,14,2,0,1,0,0,0,0,0,1,1,1,0,1,32,0,0,9,0,1,0,8,83,0,8,0
41,0,0,0,0,11,4,0,1,0,0,1,0,1,1,1,1,1,0,41,0,0,16,1,0,0,16,59,0,10,0
17,0,1,1,0,32,0,0,1,0,0,0,0,0,1,1,1,0,1,9,0,0,4,0,0,0,7,31,0,7,0
21,0,0,0,0,13,7,0,1,0,0,1,0,1,1,1,1,0,0,34,0,0,14,0,0,0,9,72,0,8,0
21,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,32,0,0,1,0,0,0,10,69,0,3,0
29,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,14,50,0,1,0
17,0,1,0,0,14,1,0,0,0,0,1,0,1,1,0,1,0,0,9,0,0,8,0,0,0,9,40,0,4,0
12,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,46,0,0,0
45,0,0,1,0,33,4,0,0,0,0,1,1,1,1,1,1,1,1,38,0,0,24,1,1,0,17,186,0,12,0
8,0,0,1,0,10,1,0,0,0,0,0,0,1,1,1,1,1,1,10,0,0,6,0,0,0,6,30,0,4,0
21,0,0,0,0,6,1,0,0,0,0,0,0,1,1,1,1,0,0,10,0,0,3,0,0,0,9,37,0,4,0
15,0,0,0,0,11,0,0,1,0,1,0,1,0,0,1,0,0,0,6,1,0,0,0,0,0,6,23,0,0,0
24,0,1,1,0,19,2,0,0,0,0,1,0,1,1,1,1,0,1,78,0,0,15,0,0,0,10,107,0,14,0
23,1,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,39,0,0,1,0,0,0,11,39,0,0,1
37,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,4,0,0,0,13,34,0,2,0
27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,35,0,0,0
14,0,0,0,0,7,1,0,0,0,0,0,0,1,1,1,1,0,0,8,0,0,7,0,1,0,6,41,0,7,0
22,0,1,1,0,19,1,0,1,0,0,1,0,1,1,0,1,0,1,42,0,0,12,0,0,0,9,83,0,5,0
5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,17,0,0,0
22,0,1,1,1,18,0,1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,7,20,0,0,0
52,0,1,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,10,50,0,6,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,0
27,0,0,0,0,6,2,0,0,0,0,0,1,0,0,1,0,0,0,17,0,0,7,0,0,0,14,92,1,1,0
6,0,0,0,0,5,2,0,0,0,0,0,0,1,1,1,1,1,0,7,0,0,4,0,0,0,5,27,0,3,1
27,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,8,6,0,1,0
9,0,1,0,0,9,1,0,0,0,0,1,0,1,1,1,1,0,0,19,0,0,7,0,0,0,6,33,0,5,0
46,0,1,1,0,11,0,0,0,1,0,0,0,0,0,1,0,0,1,16,0,0,2,0,0,0,12,102,0,2,0
32,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,13,484,0,0,0
17,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,7,35,0,3,0
14,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,6,28,0,0,0
16,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,102,0,0,0
22,0,1,1,0,15,3,0,1,0,0,1,0,1,1,1,1,1,1,27,0,0,15,1,1,0,8,33,1,13,0
43,1,1,1,1,39,0,1,1,1,1,0,0,0,0,0,0,0,1,42,1,1,4,0,0,0,13,102,0,2,0
89,1,1,1,1,57,3,1,1,1,1,0,0,0,0,1,0,0,1,107,1,0,20,0,0,0,23,323,0,11,0
35,0,0,0,1,10,2,0,1,1,0,0,0,0,1,0,1,0,0,10,0,0,2,0,0,0,14,13,0,3,0
36,0,0,1,0,14,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,6,0,1,0,11,21,0,5,0
7,0,0,0,0,6,3,0,0,0,0,0,0,1,1,1,1,1,0,19,0,0,5,0,0,0,6,34,0,3,0
34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,38,0,0,0
19,1,1,0,0,15,1,0,1,1,0,0,0,0,0,0,0,0,1,33,1,1,2,0,0,0,10,143,0,5,0
23,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,18,0,0,3,0,0,0,10,57,0,4,0
28,0,1,0,0,10,3,0,0,0,0,1,1,1,1,1,1,0,0,6,0,0,4,0,0,0,8,42,0,3,0
21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,3,0,0,0
13,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,6,25,0,1,0
7,0,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,35,0,0,0
17,0,0,1,0,8,0,0,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,7,20,0,0,0
43,0,1,1,0,14,0,1,0,0,0,0,1,0,0,0,0,0,1,10,0,0,2,0,0,0,13,52,0,1,0
17,0,0,0,0,25,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,8,0,0,0,9,6,0,5,1
6,0,1,0,0,7,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,4,15,0,2,0
23,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,1,30,0,0,5,0,0,0,12,279,0,0,0
13,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,3,0,0,0,6,55,0,2,0
16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,7,23,0,1,0
31,0,0,1,0,7,1,0,1,0,0,0,0,0,0,1,0,0,1,7,0,0,2,0,0,0,13,127,0,2,0
27,1,1,1,0,15,0,0,1,1,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,8,9,0,1,0
16,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,21,0,0,0
31,0,0,1,0,12,1,0,1,0,0,0,0,0,1,1,1,0,1,7,0,0,7,0,0,0,9,9,0,5,0
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,4,20,0,0,0
32,0,0,0,0,12,5,0,0,0,0,1,1,1,1,1,1,1,0,30,0,0,21,1,1,0,16,189,0,10,0
0,0,1,1,1,120,12,1,1,0,1,0,1,0,0,0,1,0,1,75,1,1,21,0,0,0,0,0,0,18,0
17,0,1,1,0,7,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,6,18,0,0,0
12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,14,0,0,0
33,1,1,1,1,33,0,1,1,1,1,0,0,0,0,0,0,0,1,14,1,1,10,0,0,0,10,97,0,7,0
19,0,1,0,0,13,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,10,34,0,0,0
4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,15,0,0,0
22,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,19,0,0,0
10,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,4,37,0,0,0
18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,20,0,0,0
32,0,1,1,0,28,6,0,0,0,0,1,0,1,1,1,1,1,0,31,0,0,13,1,0,0,11,129,0,8,0
