n_activities,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,n_api_calls,n_used_permissions,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_ADDED,suspicious_getDeviceId,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getCellLocation,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_USER_PRESENT,intent_com_adroid_SERVICE,n_permissions,suspicious_sendTextMessage,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_android_permission_ACCESS_NETWORK_STATE,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_LOGS,intent_android_intent_action_DOWNLOAD_COMPLETE,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Base64,perm_android_permission_SET_WALLPAPER,label
9,0,0,18,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0
5,0,0,20,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,11,0,0,0,0,1,0,0
6,0,0,21,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
9,0,0,17,9,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,8,1,0,0,0,1,0,0
6,0,0,21,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
6,0,0,21,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
6,0,0,21,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
6,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
4,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
5,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,14,0,0,0,1,1,0,0
8,1,0,19,10,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,12,0,0,0,1,1,0,0
6,0,0,16,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8,0,0,0,0,0,0,0
8,0,0,19,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,16,1,0,0,1,1,0,0
7,0,0,20,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,15,1,0,0,1,1,0,0
5,0,0,17,7,0,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,1,0,0
9,0,0,19,7,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,16,0,0,0,1,1,0,0
13,0,0,17,9,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,13,0,0,0,1,1,0,0
14,0,0,18,8,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,12,0,0,0,0,1,0,0
10,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,15,1,0,0,1,1,0,0
9,0,0,15,4,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,11,1,0,0,1,1,0,0
6,0,0,17,7,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,15,0,0,0,1,1,0,0
6,0,0,16,6,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,13,0,0,0,0,1,0,0
8,0,0,19,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
4,0,0,16,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,13,0,0,0,0,0,0,1
12,1,1,19,7,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,8,1,0,0,0,0,0,1
8,0,0,17,6,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,7,0,0,0,0,1,0,0
7,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,14,1,0,0,1,1,0,0
9,0,0,19,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,16,1,0,0,1,1,0,1
4,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,12,1,0,0,1,1,0,0
7,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,0,0,0,1,1,0,0
7,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,14,1,0,0,1,1,0,0
6,0,0,20,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,1,0,0,1,1,0,0
5,1,0,17,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,10,0,0,0,1,1,0,0
4,0,0,17,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,12,0,0,0,0,1,0,0
10,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,9,0,0,0,1,1,0,0
4,0,0,19,9,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,11,0,0,0,1,1,0,0
7,1,0,18,7,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,16,0,0,0,1,1,0,0
11,1,0,20,8,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,9,0,0,0,0,1,0,0
7,0,0,14,7,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,14,1,0,0,0,1,0,0
6,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,1,0,0,0,1,0,0
6,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,1,0,0,0,1,0,0
6,0,0,19,9,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
5,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,9,0,0,0,0,1,0,0
7,0,0,18,8,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,1,1,0,15,0,0,0,1,1,0,0
5,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,12,0,0,0,1,1,0,0
4,0,0,16,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,0,1,0,0
8,0,0,19,9,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,0,0,0,1,1,0,0
10,0,0,22,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,0,0,0,1,1,0,0
5,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
4,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,13,0,0,0,1,1,0,0
7,0,0,19,7,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,10,0,0,0,0,1,0,0
12,0,0,22,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8,0,0,0,0,1,0,0
5,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
5,0,0,14,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
6,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,15,0,0,0,1,1,1,0
5,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,15,0,0,0,1,1,0,0
4,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
9,1,0,17,7,1,0,1,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,10,1,0,0,0,0,0,1
4,0,0,18,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,12,0,0,0,1,1,0,0
10,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
7,0,0,20,7,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,2,0,6,0,0,0,0,1,0,0
5,0,0,17,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,0,0,0,1,1,0,0
7,0,0,22,8,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,1,0,0
4,0,0,16,8,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,13,0,0,0,1,1,0,0
9,0,0,22,10,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,12,0,0,0,0,1,0,0
6,1,1,21,8,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,1,0,0
10,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,17,0,0,0,1,1,0,0
4,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,9,1,0,0,0,1,0,0
4,0,0,17,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
6,1,0,19,6,1,1,1,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,9,1,0,0,0,1,0,1
4,0,0,18,8,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
9,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,16,0,0,0,1,1,0,0
8,0,0,14,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,10,0,0,0,0,1,0,0
6,0,0,19,9,0,0,1,0,0,1,1,0,0,0,0,7,0,0,0,1,1,0,13,0,0,0,1,1,0,1
6,0,0,18,10,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,12,0,0,0,1,1,0,0
4,0,0,16,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
13,0,0,18,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0
12,0,0,21,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,0,0,0,1,1,0,0
8,0,0,19,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,17,0,0,0,1,1,0,0
4,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,12,0,0,0,1,1,0,0
3,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
5,0,0,16,7,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,15,0,0,0,1,1,0,0
9,0,0,17,9,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,12,0,0,0,0,1,0,0
4,0,0,20,7,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,12,0,0,0,0,1,0,0
4,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,13,0,0,0,0,0,0,1
4,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
5,0,0,17,9,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,9,0,0,0,0,1,0,0
10,0,0,22,9,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,15,1,0,0,1,1,0,1
9,0,0,18,8,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,1,11,0,0,0,0,1,0,0
8,0,0,15,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0
4,0,0,16,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
9,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,10,0,0,0,1,1,0,0
4,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,15,0,0,0,1,1,1,0
5,0,0,17,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0
4,0,0,16,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
7,0,0,23,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,14,1,0,0,1,1,0,0
4,0,0,16,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
7,0,0,23,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,14,1,0,0,1,1,0,0
4,0,0,16,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
6,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,16,1,0,0,1,1,0,0
11,1,0,20,9,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,1,1,0,8,1,0,0,0,1,0,0
6,1,0,19,9,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,1,0,0,8,0,0,0,0,1,0,0
4,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,14,0,0,0,1,1,0,0
5,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
6,0,0,22,9,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,9,0,0,0,1,1,0,0
6,0,0,18,8,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,16,1,0,0,1,1,0,0
4,0,0,18,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0
3,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,11,0,0,0,1,1,0,0
6,0,0,18,8,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,16,1,0,0,1,1,0,0
4,0,0,17,8,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,9,0,0,0,0,1,0,0
5,0,0,21,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,0,0,0,1,1,1,0
5,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,12,0,0,0,1,1,1,0
4,0,0,15,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,13,0,0,0,0,1,0,0
10,1,0,17,5,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,12,1,0,0,1,1,0,1
14,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,15,1,0,0,1,1,0,0
5,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,12,0,0,0,1,1,1,0
11,1,0,16,7,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,12,0,0,0,0,1,0,0
9,0,0,13,5,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,14,1,0,0,0,1,0,0
12,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
4,0,0,19,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0
3,0,0,16,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,12,0,0,0,0,1,0,0
5,0,0,17,6,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0
7,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
7,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,16,0,0,0,1,1,0,0
12,1,1,17,6,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,12,1,0,0,1,0,0,1
3,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,11,1,0,0,0,1,0,0
4,0,0,16,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
4,0,0,16,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
3,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,1,0,0
4,0,0,15,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
3,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,9,1,0,0,0,0,0,0
6,1,0,22,7,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,14,0,0,0,1,1,0,1
6,0,0,14,7,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,12,0,0,0,1,1,0,0
9,1,1,22,8,1,0,1,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,14,1,0,0,0,0,0,1
8,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
6,0,0,19,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,17,0,0,0,1,1,0,0
4,0,0,16,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,0,0,0,1,1,0,0
4,0,0,15,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
10,0,0,18,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,15,1,0,0,0,1,0,0
15,0,0,19,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,13,0,0,0,0,1,0,0
7,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0
9,1,0,15,5,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,15,1,0,0,0,1,0,1
6,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,1,0,0
4,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
6,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,17,0,0,0,1,1,0,0
5,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,13,0,0,0,1,1,1,0
3,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,1,0,0
4,0,0,15,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,14,0,0,0,1,1,0,0
5,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,13,0,0,0,1,1,1,0
5,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,13,0,0,0,1,1,1,0
10,0,0,15,5,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,9,0,0,0,0,0,0,0
6,0,0,22,8,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,7,0,0,0,0,1,0,0
3,0,0,17,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,8,0,0,0,0,0,0,0
7,0,0,16,7,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,17,1,0,0,1,1,0,0
3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,10,0,0,0,0,1,0,0
5,0,0,14,6,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,14,1,0,0,1,1,0,0
13,1,1,22,8,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,13,1,0,0,0,1,0,0
4,0,0,16,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,13,0,0,0,1,1,0,0
4,0,0,18,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,16,0,0,0,1,1,0,0
5,0,0,14,6,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,14,1,0,0,1,1,0,0
9,0,0,16,7,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,15,0,0,0,1,1,0,0
6,0,0,22,8,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,15,1,0,0,0,1,0,0
4,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,1,0,0
9,0,0,18,8,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,1,2,0,7,0,0,0,0,1,0,0
6,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
6,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,1,1,0,0
8,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,16,0,0,0,1,1,0,0
9,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,0,0,0,1,1,0,0
12,0,0,18,7,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,17,0,0,0,1,1,0,0
6,0,0,24,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,1,1,0,0
11,1,1,21,7,0,0,1,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,12,1,0,0,1,1,0,1
