perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getCellLocation,suspicious_Ljava_lang_Runtime___exec,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_co_ronash_pushe_CHECK_TASKS,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REPLACED,n_providers,intent_co_ronash_pushe_ACTION_TASK_READY,suspicious_sendTextMessage,perm_android_permission_SEND_SMS,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_android_intent_action_USER_PRESENT,intent_com_google_android_gms_gcm_ACTION_TASK_READY,suspicious_Base64,suspicious_Ljava_lang_System___load,n_services,perm_cn_nubia_launcher_permission_WRITE_SETTINGS,label
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,13,0,0
0,0,0,1,1,0,0,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,1
0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,14,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,9,0,0
1,0,1,1,1,0,1,22,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,9,0,0
1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,4,0,0
1,0,1,1,1,0,0,43,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,16,0,1
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,21,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0
0,0,0,0,1,1,0,17,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0
1,0,0,0,0,0,1,32,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,22,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,1,1,22,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,3,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0
0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,10,0,0
1,0,0,0,0,0,0,24,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
1,0,0,0,0,0,1,19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,8,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,1,1,11,0,0
1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0
1,1,1,1,1,1,1,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,1,27,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,19,0,0
1,1,1,0,1,1,1,22,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,4,0,0
0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,5,0,0
1,1,1,0,0,1,1,26,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,3,0,0
0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
1,0,1,0,1,0,1,27,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,5,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,1,1,27,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,4,0,0
1,1,1,0,1,1,1,25,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,1,1,0,1,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,18,0,0
0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,0,0,34,1,0,1,1,1,0,0,1,1,0,7,0,0,0,0,0,1,0,0,1,26,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,30,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,3,0,0
0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,9,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0
0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,1,10,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,5,0,0
1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0
0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,1,31,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,5,0,0
0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,8,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1,0,1,44,1,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,1,1,12,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,1,24,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,12,0,0
1,1,1,1,1,0,0,19,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,1,1,25,1,1,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,1,1,30,0,0
0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,1,10,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1,0,1,33,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,11,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0
0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,9,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,10,0,0
0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,1,0,1,1,1,29,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,26,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,9,0,0
1,1,1,0,1,1,1,30,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,5,0,0
1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,17,0,0
0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10,0,0
0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,8,0,0
1,1,1,0,1,1,1,16,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,6,0,0
0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,33,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,16,0,0
0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,1,0,1,17,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,31,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,6,0,0
0,0,1,0,1,0,1,14,1,1,0,1,0,0,0,1,0,1,3,0,0,0,0,0,1,0,1,1,11,0,0
1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,6,0,0
0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
0,0,0,0,0,0,1,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
1,0,1,0,1,0,1,28,1,0,1,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,6,0,0
1,0,1,0,1,0,1,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0
1,0,1,1,1,0,0,42,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,16,0,0
1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0
0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0
0,0,0,0,0,1,1,31,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,22,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,14,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,9,0,1
1,0,0,0,0,0,1,40,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,15,0,0
0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,1,36,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,6,0,0
1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,8,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,1,1,19,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0
1,1,1,1,0,1,1,37,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0
0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13,0,0
0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,1,11,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,26,1,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,1,1,17,0,0
1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,3,0,0
0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0
0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,7,0,0
0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,1,14,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,7,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0
0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1,1,1,0,0,0,1,18,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1,10,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
