n_api_calls,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getSubscriberId,perm_android_permission_WRITE_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_android_c2dm_intent_RECEIVE,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_USER_PRESENT,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_REMOVED,n_permissions,intent_com_gridappsinc_launcher_theme_apk_action,intent_com_lge_launcher2_THEME,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,n_receivers,intent_com_phonemetra_turbo_launcher_icons_ACTION_PICK_ICON,label
17,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,22,0,0,1,2,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,10,0,0,1,9,5,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,1,10,5,0,0
17,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,1,0,0,0,0,8,0,0,1,6,7,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,26,0,0,1,2,3,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,20,0,0,1,3,7,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0
15,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,12,0,0,1,1,1,0,0
47,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,13,0,0,1,1,5,0,0
61,1,1,1,1,1,1,0,0,1,1,0,3,1,0,1,0,0,0,0,1,1,0,37,0,0,1,12,5,0,0
21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,10,0,0,1,6,6,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0
37,0,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,0,14,0,0,1,9,9,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,1,1,0,0,0,7,0,0,0,6,4,0,0
28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,1,1,0,0,0,10,0,0,1,7,3,0,0
37,0,0,0,1,1,0,0,1,0,1,1,5,1,1,1,1,1,1,1,0,0,1,11,0,0,0,36,23,0,0
21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0
5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0,0,0,8,4,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,1,1,0,3,1,0,1,0,0,0,0,1,1,1,43,0,0,1,24,15,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,1,0,2,0,0
6,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,1,1,1,0,0
18,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,9,0,0,1,2,4,0,0
12,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,18,0,0,1,5,4,0,0
22,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,11,0,0,1,2,4,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,1,1,1,0,0,13,0,0,1,6,3,0,1
32,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,1,1,1,1,0,0,0,11,0,0,1,16,12,0,0
23,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,0,27,0,0,1,8,9,0,0
61,1,1,1,1,1,1,0,0,1,0,0,5,1,1,1,0,0,0,0,1,1,1,58,0,0,1,33,15,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,27,0,0,1,8,4,0,1
26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,1,4,4,0,1
19,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1,0,0,0,0,16,0,0,1,5,5,0,0
30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,2,2,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,15,0,0,1,16,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
34,1,1,0,0,1,0,1,0,0,0,1,3,1,1,0,1,1,1,1,1,0,1,23,0,0,1,12,9,0,0
39,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,11,0,0,0,5,5,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
26,0,1,1,0,1,0,0,0,0,0,1,2,1,1,0,1,1,1,0,1,0,0,17,0,0,1,13,9,0,0
14,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,13,0,0,1,8,8,0,0
16,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,7,0,0,1,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,1,0,0,22,0,0,1,8,5,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,2,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,2,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1,1,1,1,0,0,0,20,0,0,1,19,6,0,0
31,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,0,0,1,7,2,0,0
20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,11,0,0,1,6,5,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0
48,0,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,8,0,0,1,9,16,0,0
19,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,9,0,0,1,4,6,0,0
5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,27,0,0,1,5,4,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,1,1,0,0,0,11,0,0,0,6,3,0,0
7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,6,0,0,0,3,4,0,0
6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,6,0,0,1,8,5,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0,0,1,2,4,0,0
30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,2,2,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
22,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0
23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,28,0,0,1,10,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,1,0,0,0,6,0,0,0,10,4,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,0,0,0,2,1,0,1
31,1,0,1,1,1,1,0,0,0,1,1,6,1,1,0,1,1,1,1,0,1,1,20,0,0,1,10,7,0,0
28,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,1,0,1,0,0,16,0,0,1,15,6,0,0
21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0
19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,1,2,0,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0
22,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,17,0,0,1,2,3,0,0
8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3,2,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
39,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,28,0,0,1,10,7,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0
25,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0
23,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,5,6,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,1,0,0,0,0,0,1,5,1,1,0,1,1,1,1,1,0,0,14,0,0,1,11,6,0,0
36,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,5,0,0,0,7,3,0,0
28,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,0,0,1,4,2,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,1,1,0,0,0,10,0,0,1,12,7,0,0
14,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,10,0,0,1,7,6,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0
54,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,49,0,0,1,2,3,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,3,3,0,0
6,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,13,0,0,1,5,5,0,1
9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,0,0,1,1,1,0,1
6,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,0,0,0,10,0,0,1,18,10,0,0
25,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,1,1,1,1,0,13,0,0,0,20,28,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,1,1,6,0,1
28,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,16,0,0,1,5,17,0,1
16,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,1,0,1,1,0,0,0,7,0,0,0,7,11,0,0
28,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,11,0,0,1,2,7,0,0
15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,7,0,0,1,8,5,0,0
13,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,17,0,0,1,3,2,0,0
16,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,13,0,0,0,9,8,0,0
23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,9,0,0,1,0,0,0,0
30,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,12,0,0,1,2,2,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
32,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,1,1,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,14,0,0,1,6,5,0,0
20,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,1,0,0,0,0,27,0,0,1,11,7,0,1
5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,1,2,3,0,1
19,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,5,0,0,0,3,4,0,0
20,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,22,0,0,0,4,5,0,0
18,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,23,0,0,1,5,8,0,0
61,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,39,0,0,1,4,2,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,1,0,0,0,0
37,0,0,1,0,0,0,0,0,0,0,1,5,1,1,0,1,1,1,1,0,0,0,12,0,0,1,10,7,0,0
60,1,1,1,1,1,1,1,1,1,1,0,13,1,0,1,0,0,1,0,1,1,1,37,0,0,1,39,32,0,0
22,0,0,0,1,0,0,0,0,0,0,1,5,1,1,0,1,1,1,1,0,0,0,11,0,0,1,14,15,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,0,0,1,6,7,0,1
