n_permissions,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_Runtime___exec,n_urls,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSystemService,perm_android_permission_SEND_SMS,intent_com_android_vending_INSTALL_REFERRER,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_used_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RECEIVE_USER_PRESENT,suspicious_Base64,suspicious_getPackageInfo,n_api_calls,n_activities,n_receivers,suspicious_getSimCountryIso,perm_android_permission_ACCESS_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_CONNECTED,label
11,0,0,1,0,0,1,0,0,0,19,1,1,1,0,0,0,6,0,0,0,0,1,1,15,7,0,0,1,0,0
7,0,0,0,0,0,3,1,0,0,29,1,0,1,0,0,0,10,0,0,0,0,1,1,19,10,0,0,1,0,0
6,0,0,0,0,0,2,0,0,0,19,1,0,1,0,0,0,7,0,0,0,0,1,1,16,6,3,0,1,0,0
23,1,0,1,1,0,7,1,0,1,106,1,1,1,0,0,0,11,1,1,0,0,1,1,30,27,5,0,1,0,0
3,0,0,0,0,0,0,0,0,0,20,1,0,1,0,1,0,8,0,0,0,0,1,1,17,14,1,0,1,0,0
21,0,1,0,0,0,6,0,0,0,10,0,1,1,0,1,1,8,0,0,1,0,1,1,17,1,4,0,1,0,0
11,1,1,1,0,0,2,0,1,1,43,1,1,1,0,0,1,8,0,0,0,0,1,1,21,15,2,0,1,0,0
6,0,0,1,0,0,0,0,0,0,21,1,1,1,0,0,0,8,0,0,0,0,1,1,18,9,0,0,1,0,0
32,1,1,1,0,1,4,0,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,1,4,34,3,0,1,0,0
4,0,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,6,0,0,0,0,1,1,14,5,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0,8,0,0,0,0,1,1,20,7,0,0,1,0,1
5,0,0,0,0,0,0,0,0,0,22,1,1,1,0,0,0,6,0,0,0,0,1,1,7,7,0,0,1,0,0
12,0,0,1,1,0,14,1,0,1,78,1,1,1,0,0,0,9,0,1,0,0,1,1,20,46,5,0,1,0,0
10,0,0,0,0,0,9,1,0,0,43,0,1,1,0,1,0,9,0,1,0,0,1,1,19,26,11,1,1,0,0
19,0,0,1,0,0,12,0,0,1,82,1,1,1,1,1,0,9,0,0,0,0,1,1,22,42,5,0,1,0,0
2,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,6,0,0,0,0,1,1,14,3,0,0,1,0,0
2,0,0,0,0,0,0,0,0,1,25,1,0,1,0,0,0,12,0,0,0,0,1,1,24,3,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
9,0,0,0,0,0,2,0,0,0,32,0,1,1,0,1,0,7,0,0,0,0,1,1,19,28,2,0,1,0,0
25,0,0,0,0,0,15,1,0,1,40,1,0,1,0,1,0,10,0,1,0,0,1,1,25,7,7,0,1,0,0
5,0,0,0,0,0,1,1,0,0,18,1,0,1,0,0,0,7,0,1,0,0,1,1,18,4,1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,5,0,0,0,0,1,1,12,3,0,0,1,0,0
18,0,0,0,0,1,25,1,0,0,36,0,1,1,0,1,0,7,0,0,0,0,1,1,13,5,6,0,1,0,0
6,0,0,0,0,0,0,0,0,0,14,1,1,1,0,0,0,4,0,0,0,0,1,1,5,8,0,0,1,0,0
8,0,1,0,0,0,1,0,0,0,19,1,1,1,0,0,0,11,0,0,0,0,1,1,28,5,1,0,1,0,0
9,0,0,0,0,0,2,1,1,1,93,1,1,1,0,0,0,14,0,1,0,0,1,1,34,27,3,1,1,0,0
1,0,0,0,0,0,0,0,0,0,16,1,0,1,0,0,0,6,0,0,0,0,1,1,13,200,0,0,0,0,0
16,0,0,1,1,0,2,0,0,1,64,0,1,1,0,0,0,11,0,0,0,0,1,1,39,29,2,0,1,0,0
12,0,0,0,0,0,7,0,0,0,141,1,1,1,0,1,0,7,0,1,0,0,1,1,20,69,5,0,1,0,0
30,0,0,1,0,0,12,1,0,1,15,0,1,1,0,0,0,10,0,1,0,0,1,1,26,8,8,0,1,0,0
13,0,0,0,0,0,7,1,0,0,31,1,1,1,0,1,0,11,0,0,0,0,1,1,27,8,3,0,1,0,0
15,0,0,1,0,0,6,1,0,0,44,1,1,1,0,0,0,5,0,1,0,0,1,1,14,49,6,0,1,0,0
8,0,0,0,0,0,1,0,1,0,64,1,1,1,0,0,0,11,0,0,0,0,1,1,29,15,2,0,1,0,0
20,0,0,1,0,0,17,1,0,0,87,1,1,1,0,1,0,9,0,1,0,0,1,1,23,25,14,0,1,0,0
3,0,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0,9,0,0,0,0,1,1,19,6,0,0,1,0,0
12,0,0,1,0,0,0,0,0,0,8,0,1,1,0,0,0,13,0,0,0,0,1,1,24,8,0,0,1,0,0
8,0,0,0,0,0,2,0,0,0,34,1,1,1,0,0,0,8,0,0,0,0,1,1,18,8,3,0,1,0,1
13,0,0,0,0,0,1,0,0,0,16,1,1,1,0,0,0,6,0,0,0,0,1,1,14,5,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,35,1,0,1,0,0,0,6,0,0,0,0,1,1,23,3,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,9,0,0,0,0,1,1,19,2,0,0,1,0,0
8,0,0,1,1,0,3,0,0,1,22,1,1,1,1,0,0,9,1,0,0,0,1,1,23,4,1,0,1,0,0
10,0,0,0,0,0,1,0,0,0,20,1,1,1,0,0,0,6,0,0,0,0,1,1,23,17,1,0,1,0,0
13,0,0,0,1,0,5,0,0,1,111,0,1,1,0,0,0,11,0,0,0,0,1,1,26,10,1,0,1,0,1
9,0,0,0,0,0,0,0,0,0,104,1,1,1,0,1,0,7,0,0,0,0,1,1,16,12,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,16,1,0,0,1,0,0
9,0,0,0,0,0,2,0,0,0,28,1,1,1,0,0,0,10,0,0,0,0,1,1,24,11,2,0,1,0,0
9,0,0,0,0,0,1,1,0,0,40,1,1,1,0,0,0,8,0,1,0,0,1,1,10,99,5,0,1,0,0
11,0,0,1,0,0,5,0,0,0,29,1,1,1,0,1,0,11,0,0,0,0,1,1,30,54,6,0,1,0,0
9,0,0,0,0,0,1,0,0,0,22,1,1,1,0,0,0,6,0,0,0,0,1,1,12,5,1,0,1,0,0
7,0,0,1,0,0,1,0,1,0,64,1,1,1,0,0,0,13,0,0,0,0,1,1,41,22,3,1,1,0,0
60,1,1,1,1,1,9,0,1,1,62,1,1,1,0,1,1,12,1,1,1,0,1,1,39,24,9,1,1,0,0
3,0,0,0,0,0,1,0,0,0,46,1,1,1,0,1,0,9,0,0,0,0,1,1,20,2,1,0,1,0,0
7,0,0,0,0,0,3,0,0,0,39,1,1,1,0,1,0,7,0,0,0,0,1,1,24,7,5,0,1,0,0
7,0,0,0,0,0,6,0,0,1,17,0,1,1,0,1,0,13,0,0,0,0,1,1,29,3,2,0,1,0,0
11,0,0,0,0,0,12,0,0,0,87,1,1,1,0,1,0,9,0,0,0,0,1,1,24,38,5,0,1,0,0
9,0,0,1,1,0,10,0,0,0,83,1,1,1,0,1,0,14,0,0,0,0,1,1,32,38,3,1,1,0,0
15,1,0,0,0,0,1,1,0,0,30,1,1,1,0,0,0,8,0,1,0,0,1,1,34,12,3,0,1,0,0
24,0,0,1,0,1,6,1,0,0,49,1,1,1,0,1,0,6,0,1,0,0,1,1,14,10,7,0,1,0,0
5,0,0,1,0,0,0,0,0,0,26,0,1,1,0,0,0,5,0,0,0,0,1,1,8,1,0,0,1,0,0
6,0,0,0,0,0,1,0,0,0,28,1,0,1,0,0,0,14,0,0,0,0,1,1,45,2,1,0,1,0,1
10,0,0,0,0,0,4,0,0,0,69,1,1,1,0,1,0,7,1,0,0,0,1,1,17,21,6,1,1,0,0
4,0,0,0,0,0,4,0,0,0,20,1,0,1,0,0,0,6,0,0,0,0,1,1,15,14,2,0,1,0,0
2,0,0,0,0,0,0,0,0,0,28,1,0,1,0,0,0,11,0,0,0,0,1,1,20,2,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,1,12,5,0,0,1,0,0
20,1,0,1,0,1,12,1,0,1,118,0,1,1,0,1,0,7,0,1,0,0,1,1,11,37,9,1,1,0,0
13,0,0,0,0,0,3,0,0,0,81,1,1,1,0,0,0,10,0,0,0,0,1,1,33,18,2,0,1,0,0
11,1,0,0,0,0,2,0,0,0,56,1,1,1,0,1,0,8,0,0,0,0,1,1,18,13,7,1,1,0,1
6,0,0,0,0,0,7,0,0,0,30,1,0,1,0,1,0,10,0,0,0,0,1,1,24,5,3,0,1,0,1
7,0,0,0,0,0,0,0,0,0,20,0,1,1,0,0,0,4,0,0,0,0,1,1,13,5,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,45,1,0,1,0,0,0,15,0,0,0,0,1,1,44,2,0,0,1,0,0
8,0,0,0,0,0,8,1,0,0,35,0,1,1,0,1,0,9,0,1,0,0,1,1,25,5,10,0,1,1,0
6,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0,1,1,19,2,3,0,1,0,0
6,0,0,1,0,0,0,0,0,0,21,1,1,1,0,0,0,8,0,0,0,0,1,1,21,7,0,0,1,0,0
5,0,0,0,0,0,1,0,0,0,142,1,1,1,0,0,0,9,0,0,0,0,1,1,22,6,0,0,1,0,0
10,0,0,0,0,0,3,0,0,0,3,0,1,1,0,0,0,9,0,0,0,0,1,1,19,5,0,0,1,0,1
9,0,0,0,0,0,8,0,0,0,61,0,0,1,0,1,0,6,0,0,0,0,1,1,18,18,4,0,1,0,0
18,0,0,0,0,1,8,1,0,0,23,0,0,1,0,1,0,13,0,1,0,0,1,1,38,3,7,0,1,1,0
9,1,0,0,0,1,4,0,0,0,31,1,0,1,0,1,0,9,0,0,0,0,1,1,20,6,3,1,1,0,0
8,0,0,0,0,0,3,0,0,0,24,0,0,1,0,1,0,4,0,0,0,0,1,1,4,17,2,0,1,0,0
23,0,0,0,0,0,5,0,0,1,8,0,1,1,0,1,0,6,0,0,0,0,1,1,16,3,4,0,1,0,0
9,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,4,0,0,0,0,1,1,25,4,0,0,1,0,0
18,0,0,0,1,0,9,0,0,0,29,0,1,1,0,1,0,11,0,0,0,0,1,1,28,60,5,1,1,0,0
5,0,0,0,0,0,8,0,0,0,63,1,0,1,0,1,0,7,0,0,0,0,1,1,18,8,5,1,1,0,0
19,1,0,1,0,1,11,1,0,1,0,1,1,1,0,1,0,12,0,1,0,0,1,1,30,70,5,1,1,0,0
23,1,1,1,1,1,3,0,0,0,6,1,1,1,1,0,1,8,1,0,1,0,1,1,25,3,1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,22,1,1,1,0,0,0,4,0,0,0,0,1,1,12,7,0,0,1,0,0
11,0,0,0,0,0,10,0,0,0,31,0,1,1,0,0,0,7,0,0,0,0,1,1,23,73,0,0,1,0,0
18,0,0,0,0,0,6,1,0,0,43,1,1,1,0,0,0,6,0,0,0,0,1,1,14,10,3,0,1,0,0
9,0,0,0,0,0,8,1,0,0,59,0,0,1,0,1,0,13,0,1,0,0,1,1,31,19,12,1,1,0,0
6,0,0,1,0,1,0,0,0,0,6,0,1,1,0,0,0,10,0,0,0,0,1,1,24,3,0,0,0,0,0
3,0,0,0,0,0,2,0,0,0,46,1,1,1,0,1,0,10,0,0,0,0,1,1,31,6,2,1,1,0,0
6,0,0,0,0,0,9,0,0,0,121,1,1,1,0,0,0,11,0,0,0,0,1,1,40,40,3,0,1,0,0
27,1,0,1,1,1,14,1,1,1,141,1,1,1,1,0,0,18,1,0,0,1,1,1,70,43,6,1,1,0,0
4,0,0,0,0,0,0,0,0,0,28,1,1,1,0,0,0,10,0,0,0,0,1,1,20,6,0,0,1,0,0
9,0,0,1,0,1,5,1,0,0,176,1,1,1,0,1,0,11,0,1,0,0,1,1,23,19,6,1,1,0,0
6,0,0,0,1,0,3,0,0,1,91,1,1,1,0,0,0,22,0,1,0,0,1,1,58,9,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,16,1,1,1,0,0,0,3,0,0,0,0,1,1,5,12,1,0,1,0,0
15,0,0,0,0,0,1,0,0,0,42,0,0,1,0,1,0,10,0,0,0,0,1,1,23,7,4,0,1,0,0
6,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,4,0,0,0,0,1,0,15,1,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,13,0,0,0,0,1,1,23,6,0,0,1,0,0
9,0,0,0,0,0,10,0,0,0,32,0,1,1,0,1,0,5,0,0,0,0,1,1,8,19,5,0,1,0,0
8,0,0,1,0,0,0,0,0,0,19,1,1,1,0,0,0,7,0,0,0,0,1,1,18,7,0,0,1,0,0
7,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,9,0,0,0,0,1,0,21,3,0,0,0,0,0
17,0,0,1,1,0,13,0,0,1,162,1,1,1,0,1,0,10,0,1,0,0,1,1,26,53,9,0,1,0,0
9,0,0,1,0,0,2,1,0,0,46,1,1,1,0,1,0,7,0,1,0,1,1,1,21,15,4,0,1,0,0
17,0,0,1,0,0,13,1,0,0,58,0,1,1,0,1,0,13,0,1,0,0,1,1,29,54,13,0,1,1,0
20,0,0,1,0,1,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,31,5,0,1,0,0
13,1,0,1,1,0,9,1,1,1,9,0,1,1,0,0,0,6,0,1,0,0,1,1,18,12,2,1,1,0,0
24,1,1,0,0,1,7,1,0,0,36,1,1,1,0,1,1,11,1,0,0,0,1,1,20,10,3,0,1,0,0
10,0,0,0,0,0,23,1,1,1,168,1,0,1,0,1,0,22,0,1,0,0,1,1,57,65,15,1,1,0,0
10,0,0,0,1,0,8,1,0,1,47,0,0,1,0,0,0,8,0,1,0,0,1,1,22,19,6,0,1,0,1
5,0,0,0,0,0,2,0,0,0,38,1,0,1,0,0,0,5,0,0,0,0,1,1,12,7,1,0,1,0,1
9,0,0,0,0,0,2,0,0,0,21,1,1,1,0,1,0,9,0,0,0,0,1,1,21,12,3,0,1,0,0
10,0,0,0,0,0,3,0,0,0,67,0,1,1,0,1,0,13,0,0,0,0,1,1,29,37,9,1,1,0,0
6,0,0,0,0,0,5,0,0,0,43,1,0,1,0,1,0,11,0,0,0,0,1,1,42,11,4,0,1,0,0
14,0,0,1,1,0,2,1,0,0,49,1,1,1,0,1,0,9,1,0,0,0,1,1,30,14,2,1,1,0,0
10,0,0,1,0,0,5,0,0,0,24,1,1,1,0,1,0,5,0,0,0,0,1,1,6,27,4,0,1,0,0
4,0,0,0,0,0,0,0,1,0,40,1,0,1,0,0,0,6,0,0,0,0,1,1,14,16,1,0,1,0,0
14,0,0,1,0,0,14,1,0,0,33,0,1,1,0,1,0,10,0,1,0,0,1,1,21,27,11,0,1,0,0
28,0,0,0,0,0,13,1,0,1,30,0,1,1,0,1,0,12,0,1,0,0,1,1,29,10,11,1,1,0,0
3,0,0,0,0,0,0,0,0,0,27,1,0,1,0,0,0,6,0,0,0,0,1,1,14,13,0,0,1,0,0
4,0,0,0,0,0,3,0,0,0,24,1,1,1,0,0,0,9,0,0,0,0,1,1,16,9,0,0,1,0,0
10,0,0,0,1,0,8,1,0,1,47,0,0,1,0,0,0,8,0,1,0,0,1,1,22,19,6,0,1,0,0
8,0,0,0,0,0,3,0,0,0,16,0,0,1,0,0,0,5,0,0,0,0,1,1,12,15,4,0,1,0,0
22,0,0,0,0,0,4,1,0,1,34,1,1,1,0,1,0,5,0,1,0,0,1,1,12,18,5,1,1,0,0
3,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0,8,0,0,0,0,1,1,20,5,0,0,1,0,0
19,1,0,1,0,0,0,0,0,1,79,0,1,1,0,0,0,14,1,0,0,0,1,1,55,60,0,0,1,0,0
22,0,0,0,0,0,3,0,0,1,4,0,0,1,0,0,0,6,0,0,0,0,1,1,17,3,2,0,1,0,0
12,0,0,1,0,0,3,1,0,1,53,1,1,1,0,0,0,12,0,1,0,0,1,1,42,15,2,0,1,0,0
7,0,0,0,0,0,0,0,0,0,26,1,1,1,0,0,0,6,0,0,0,0,1,1,9,10,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,6,0,0,0,0,1,1,7,4,0,0,1,0,1
5,0,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,6,0,0,0,0,0,1,12,2,0,0,1,0,0
4,0,0,0,0,0,39,0,0,0,7,0,1,1,0,0,0,6,0,0,0,0,1,1,15,40,1,1,0,0,0
7,0,0,0,0,0,3,0,0,0,39,1,1,1,0,1,0,5,0,0,0,0,1,1,8,8,3,1,1,0,0
7,0,0,0,0,0,0,0,0,0,23,1,1,1,0,0,0,9,0,0,0,0,1,1,25,8,0,0,1,0,0
50,1,0,1,0,1,33,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,176,13,0,1,0,0
5,0,0,0,0,0,5,1,0,0,7,0,1,1,0,1,0,8,0,0,0,0,1,1,19,6,1,0,1,0,0
161,1,1,1,1,1,7,1,0,0,28,1,1,1,1,1,1,9,1,0,1,0,1,1,20,114,5,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,8,0,0,0,0,1,1,19,13,0,0,1,0,0
14,0,0,0,0,0,2,0,0,0,50,1,0,1,0,1,0,8,0,0,0,0,1,1,17,21,3,0,1,0,0
16,0,0,1,1,0,12,0,0,0,67,1,1,1,0,1,0,12,0,0,0,0,1,1,27,23,5,1,1,0,0
4,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,9,0,0,0,0,1,1,22,7,0,0,1,0,0
4,0,0,0,0,0,5,0,1,1,194,1,1,1,0,1,0,15,0,0,0,0,1,1,42,52,5,1,1,0,0
15,0,0,0,0,0,4,0,0,1,48,1,0,1,0,1,0,10,1,0,0,0,1,1,21,4,5,0,1,0,1
3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,10,3,0,0,0,0,1
7,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,1,0,13,1,0,0,0,0,0
9,0,0,0,0,0,5,1,0,0,47,0,1,1,0,0,0,10,0,1,0,0,1,1,29,43,3,0,1,0,0
3,0,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0,6,0,0,0,0,1,1,14,3,0,0,1,0,0
12,0,0,0,0,0,10,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,1,2,16,8,0,1,0,1
12,0,0,0,0,0,3,0,0,1,50,1,1,1,0,0,0,10,0,0,0,0,1,1,33,34,1,0,1,0,0
13,0,0,1,1,0,2,0,0,0,22,1,1,1,0,0,0,12,0,0,0,0,1,1,44,3,0,0,1,0,0
