perm_android_permission_GET_TASKS,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_RESTART_PACKAGES,intent_android_intent_action_USER_PRESENT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_PACKAGE_REMOVED,n_urls,n_api_calls,suspicious_Base64,suspicious_getExternalStorageDirectory,suspicious_getPackageInfo,n_used_permissions,suspicious_Cipher,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getDeviceId,perm_android_permission_READ_LOGS,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getSystemService,perm_android_permission_READ_PHONE_STATE,intent_com_igexin_sdk_action_refreshls,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___load,perm_android_permission_SEND_SMS,intent_android_intent_action_MEDIA_MOUNTED,perm_android_permission_BROADCAST_STICKY,label
1,38,1,1,1,1,1,1,1,1,1,4,1,0,1,2,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0
1,31,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1
0,4,0,0,0,0,0,0,0,0,29,16,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,24,0,1,0,0,0,0,1,0,36,30,1,1,1,13,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
1,15,0,0,0,0,0,0,0,0,46,25,1,1,1,11,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,17,0,1,0,0,0,0,0,0,44,29,1,1,1,12,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
0,25,0,0,0,0,0,0,0,0,43,13,1,1,1,7,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,14,0,0,0,0,0,0,0,0,31,27,1,1,1,12,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
1,25,0,0,1,1,0,1,1,1,40,38,1,1,1,16,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
1,24,1,1,1,1,0,1,1,1,3,5,1,1,1,3,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
1,35,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,15,0,0,0,0,0,0,0,0,41,27,1,1,1,11,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,68,24,1,1,1,11,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,29,24,1,1,1,10,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
0,20,0,0,0,1,0,0,1,0,36,10,1,1,1,5,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
1,39,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,32,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
0,9,0,0,0,0,0,0,0,0,20,21,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,72,24,1,1,1,14,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
1,20,0,0,1,0,1,0,1,0,24,24,1,1,1,8,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1
0,12,0,0,0,0,0,0,0,0,50,25,1,1,1,12,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,15,0,0,0,1,0,0,1,0,36,30,1,1,1,13,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,20,0,0,0,1,0,1,0,0,55,21,1,1,1,10,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0
1,30,1,1,1,1,1,1,1,1,3,5,1,1,1,3,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0
0,18,0,0,0,0,0,0,0,0,37,21,1,1,1,10,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,10,0,0,0,0,0,0,0,0,45,24,1,1,1,12,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,29,0,1,1,0,1,0,1,0,3,5,1,1,1,3,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0
0,5,0,0,0,0,0,0,0,0,42,20,1,1,1,11,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
0,29,0,1,1,0,1,0,1,0,3,4,1,1,1,3,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0
0,26,0,0,0,0,0,1,0,0,57,29,1,1,1,14,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,5,0,0,0,0,0,0,0,0,36,17,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,11,0,0,0,1,0,0,0,0,54,16,1,1,1,8,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,1,0,0,0,0,54,16,1,1,1,8,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,1,0,0,0,0,51,20,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,40,29,1,1,1,10,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,16,0,0,0,0,0,0,0,0,18,14,1,1,1,10,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
1,26,0,1,0,1,1,1,0,1,9,20,1,1,1,7,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0
1,11,0,0,0,0,0,0,0,0,36,13,1,1,1,6,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
0,23,0,1,0,1,0,0,0,0,26,19,1,1,1,9,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
0,9,0,0,0,1,0,0,0,0,20,26,1,1,1,10,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,1,0,0,0,0,51,20,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
0,11,0,0,0,1,0,0,0,0,51,20,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,1,0,0,0,0,51,20,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,29,24,1,1,1,10,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,24,18,1,1,1,7,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
1,26,1,1,0,1,0,0,1,0,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
1,16,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
0,21,1,0,1,0,0,0,1,0,19,21,1,1,1,9,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0
0,16,0,0,0,0,0,0,0,0,42,23,1,1,1,10,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
0,13,0,0,0,0,0,0,1,0,32,27,1,1,1,10,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
0,30,0,0,0,0,0,0,0,0,56,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0,12,18,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,56,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,28,26,1,1,1,13,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
0,5,0,0,1,0,0,0,0,0,27,16,1,1,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,18,0,0,0,1,0,0,0,0,24,26,1,1,1,12,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,11,0,0,0,1,0,0,0,0,50,22,1,1,1,10,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,13,0,0,0,0,0,0,0,0,62,22,1,1,1,12,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,6,0,0,1,0,0,0,0,0,27,16,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1,40,1,1,1,1,1,1,1,1,11,23,1,1,1,10,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0
0,35,0,0,0,0,0,0,1,0,62,29,1,1,1,10,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,19,0,0,0,0,0,1,0,0,18,36,1,1,1,13,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,6,0,0,0,0,0,0,0,0,19,8,1,1,1,4,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
0,11,0,0,0,1,0,0,0,0,50,20,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,17,0,1,0,0,0,0,0,0,38,18,1,1,1,8,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,12,0,0,0,1,0,0,0,0,45,20,1,1,1,7,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,29,9,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
1,24,1,1,0,1,1,1,0,1,3,4,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
1,28,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1,28,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0,11,0,0,0,0,0,0,0,0,35,15,1,1,1,8,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
1,44,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
0,11,0,0,0,0,0,0,0,0,36,13,1,1,1,7,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
1,29,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
1,28,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0,5,0,0,0,0,0,0,0,0,40,23,1,1,1,13,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,12,0,0,0,1,0,0,0,0,45,20,1,1,1,7,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
1,39,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
0,13,0,0,0,1,0,0,0,0,50,19,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,39,12,1,1,1,6,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,39,12,1,1,1,6,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,12,12,1,1,1,7,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,34,17,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,12,0,0,0,0,0,0,1,0,17,22,1,1,1,11,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,22,8,1,0,1,7,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,30,17,1,1,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,29,1,0,1,1,0,1,1,0,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
1,29,1,1,1,1,0,1,1,0,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
0,6,0,0,0,0,0,0,0,0,23,18,1,1,1,8,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
1,36,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
0,13,0,0,0,1,0,0,0,0,54,19,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,21,18,1,1,1,7,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1,31,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0
0,14,0,0,0,0,0,0,0,0,54,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
0,21,0,0,0,1,0,0,0,0,37,25,1,1,1,13,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
1,34,0,0,0,1,0,0,1,0,28,24,1,1,1,9,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,18,0,0,0,0,0,0,0,0,43,23,1,1,1,10,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
1,31,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,11,0,0,0,0,0,0,0,0,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
1,20,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
0,30,0,0,0,0,0,0,0,0,56,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,56,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,54,12,1,1,1,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
1,33,1,1,1,1,1,1,1,1,3,5,1,1,1,3,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
0,17,1,1,0,1,0,0,0,0,50,28,1,1,0,9,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
0,15,0,0,0,0,0,0,0,0,53,17,1,1,1,10,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0
1,43,1,1,1,1,0,1,1,1,32,17,1,1,1,6,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1
1,42,1,1,1,1,1,1,1,1,3,5,1,1,1,3,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
0,16,0,0,0,0,0,0,0,0,42,23,1,1,1,11,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0,34,17,1,1,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,69,24,1,1,1,14,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,1,19,1,1,1,9,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
1,24,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0,23,21,1,1,1,12,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,39,20,1,1,1,10,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,39,20,1,1,1,10,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,40,28,1,1,1,13,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,29,18,1,1,1,7,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
0,20,0,0,0,0,0,0,0,0,48,21,1,1,1,11,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,34,0,0,0,0,0,0,0,0,34,26,1,1,1,9,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
1,31,1,1,0,1,0,0,1,0,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,16,20,1,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,33,1,0,1,1,0,1,1,1,46,31,1,1,0,10,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0
1,29,1,1,1,1,0,1,0,1,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
1,24,1,1,0,1,0,0,0,0,3,5,1,1,1,3,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,15,12,1,1,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,22,19,1,1,1,8,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0
1,36,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
1,30,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
0,14,0,0,0,0,0,0,0,0,56,14,1,1,1,7,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
1,32,1,1,1,1,1,1,1,1,31,19,1,1,1,7,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0
0,19,0,0,0,1,0,0,0,0,65,22,1,1,1,9,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
1,38,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
0,11,0,0,0,0,0,0,0,0,64,16,1,1,1,9,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,20,0,0,0,0,0,0,0,0,32,11,1,1,1,5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1
0,11,0,0,0,0,0,0,0,0,21,19,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
0,11,0,0,0,0,0,0,0,0,21,19,1,1,1,9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
1,38,1,1,1,1,1,1,1,1,32,18,1,1,1,8,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1
1,46,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0
1,32,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,18,0,1,1,0,0,0,1,0,47,24,1,1,1,12,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
0,9,0,0,0,0,0,0,0,0,18,21,1,1,1,10,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,49,28,1,1,1,11,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,30,17,1,1,1,8,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,25,24,1,1,1,11,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0,4,0,0,0,0,0,0,0,0,41,8,1,1,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,19,0,0,0,1,0,0,0,0,65,15,1,1,1,9,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
0,13,0,0,0,0,0,0,1,0,22,35,1,1,1,15,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
0,20,1,0,1,0,0,0,1,0,19,22,1,1,1,10,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0
1,26,0,1,1,1,0,0,1,0,25,49,1,1,1,19,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0
1,27,0,1,1,1,0,1,1,1,3,4,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,22,12,1,1,1,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,15,0,0,0,1,0,0,0,0,29,16,1,1,1,8,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0
1,28,1,1,1,1,0,1,1,1,3,4,1,1,1,4,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
0,17,0,1,0,0,0,0,1,0,40,20,1,1,1,8,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
0,5,0,0,1,0,0,0,0,0,37,16,1,1,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,34,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1,23,1,1,1,1,0,1,1,1,53,38,1,1,1,9,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0
0,10,0,0,0,0,0,0,0,0,3,4,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,24,16,1,1,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,29,22,1,1,1,12,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1,24,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0,6,0,0,1,0,0,0,0,0,17,19,1,1,1,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,17,0,0,0,1,0,0,1,0,48,38,1,1,1,14,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
0,20,0,1,0,1,0,0,0,0,26,47,1,1,1,16,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
0,8,0,0,0,0,0,0,0,0,9,5,1,1,1,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,42,1,1,1,1,0,1,1,0,3,4,1,1,1,3,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0
1,22,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
1,25,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1,61,1,1,1,1,1,1,1,1,21,9,1,1,1,5,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
1,25,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
1,23,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,11,0,0,0,0,0,0,0,0,10,5,1,1,1,5,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
1,23,1,0,0,1,0,0,0,0,62,29,1,1,1,14,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
0,11,0,0,0,0,0,0,1,0,33,25,1,1,1,11,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
1,33,1,1,1,1,0,1,1,1,40,25,1,1,1,8,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
1,46,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,6,17,1,1,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,22,1,1,1,1,0,1,1,1,24,33,1,1,1,11,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
0,2,0,0,0,0,0,0,0,0,4,17,1,1,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,14,0,1,0,0,0,0,0,0,26,20,1,1,1,10,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
0,20,0,1,0,0,0,0,1,0,37,34,1,1,1,10,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
0,22,0,0,0,1,0,0,0,0,76,22,1,1,1,9,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
0,22,0,0,0,0,0,0,0,0,67,21,1,1,1,12,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
1,41,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0
1,30,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1,40,1,1,1,1,0,1,1,1,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
1,26,1,1,1,1,0,1,1,1,16,17,1,1,0,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0
1,38,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
0,25,1,1,1,0,0,1,1,1,3,4,1,1,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
0,14,0,0,0,0,0,0,0,0,49,12,1,1,1,6,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
0,11,0,0,0,0,0,0,1,0,37,23,1,1,1,9,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
0,11,0,0,0,0,0,0,1,0,37,23,1,1,1,9,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
