n_api_calls,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellSignalStrength,intent_com_google_firebase_MESSAGING_EVENT,n_providers,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getSubscriberId,perm_android_permission_CHANGE_WIFI_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,n_receivers,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_BROADCAST_STICKY,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_WRITE_SETTINGS,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,n_urls,n_activities,intent_ACTION_TAPCORE_MESSAGE,n_services,intent_ACTION_TAPCORE_SYNC,label
28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,41,29,0,12,0,0
22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,1,0,0,0,0,115,4,0,10,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0
41,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,0,0,62,6,0,6,0,0
32,0,1,0,0,1,0,1,3,1,1,1,0,0,0,1,1,0,1,14,1,0,0,1,0,100,54,0,23,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,14,0,10,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,8,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0
6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,4,8,0,2,0,0
15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,4,5,0,2,0,0
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,8,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,41,12,0,2,0,1
8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,3,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0,0,0
34,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,1,8,0,0,0,0,0,122,27,0,12,0,0
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,34,25,0,5,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0
36,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,71,16,0,4,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,7,0,0,0,0
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,0,0,0
27,0,0,0,0,0,0,1,6,1,1,0,0,0,0,1,1,0,0,6,1,0,0,0,0,59,17,0,8,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,10,0,1,0,0
39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,55,13,0,6,0,0
11,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,17,15,0,6,0,0
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,8,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,4,0,0,0,0,0,34,49,0,6,0,0
24,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,0,3,0,0,0,0,0,30,9,0,4,0,0
22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,7,1,0,0,0,0,53,15,0,6,0,0
16,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,11,16,0,0,0,0
24,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,9,9,0,3,0,1
34,0,1,0,0,0,1,1,5,1,1,1,1,0,0,1,1,1,0,8,0,0,0,0,1,127,59,0,23,0,0
29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,10,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,5,0,1,0,0
25,1,0,0,0,0,0,1,3,1,1,1,0,0,0,1,1,1,0,6,0,0,0,0,0,13,3,0,7,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,46,15,0,2,0,0
17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,16,0,7,0,1
58,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,91,9,0,3,0,0
14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,31,11,0,1,0,0
6,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,3,1,1,1,1,0,3,72,0,7,0,0
27,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,9,1,0,0,0,0,162,53,0,13,0,0
20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,92,4,0,3,0,1
9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,7,0,0
36,0,0,0,0,0,0,1,3,1,1,0,1,1,0,1,1,1,0,7,0,0,0,0,1,73,22,0,7,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,1,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,4,0,0,0,0,0,34,7,0,5,0,0
23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,1,0,0
5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0
43,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,52,10,0,2,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
22,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,58,11,0,3,0,0
24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,1,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,3,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0
19,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,44,8,0,7,0,1
19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,4,0,0,0,0
23,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,176,19,0,5,0,0
0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,3,0,0,0,1,0,0,60,0,2,0,1
43,0,1,1,0,0,1,1,8,0,1,1,0,0,0,1,1,0,1,23,1,0,0,0,1,136,47,0,19,0,0
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0
23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,12,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,1,4,1,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,46,57,0,7,0,0
8,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,4,0,0,0,0,0,50,22,0,2,0,0
19,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,26,5,0,3,0,0
13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,61,15,0,3,0,0
14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,10,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0
10,1,0,0,0,0,0,0,4,0,1,0,0,1,0,1,1,1,0,8,0,0,0,0,1,33,49,0,6,0,0
11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,34,0,1,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,484,39,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,4,0,0,0,0
12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,1,0,0,0,0,33,16,0,3,0,1
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,5,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,34,7,0,2,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,4,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,0,0
35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,59,11,0,4,0,0
27,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,86,15,0,1,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,15,0,0,0,0
34,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,6,1,0,0,1,0,90,10,0,13,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,9,1,0,0,1,0,0,7,0,14,0,0
15,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,12,2,0,5,0,0
24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,17,10,0,10,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,43,12,0,2,0,1
26,1,0,0,0,0,0,0,4,1,1,1,0,1,0,1,1,1,0,8,1,1,0,0,0,54,38,0,5,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,37,8,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,19,6,0,2,0,0
17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,4,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0,0,0,0
31,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,51,89,0,15,0,0
26,1,1,1,0,0,0,1,2,1,1,0,1,0,0,1,1,1,0,9,1,0,0,0,0,174,53,0,13,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0
51,1,1,1,1,1,0,0,2,0,0,0,1,1,1,0,0,1,1,9,0,0,1,1,0,196,71,0,10,0,0
18,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,22,4,0,3,0,0
10,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,7,0,0,0,0,0,29,14,0,8,0,0
10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,0,3,0,0
23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,11,0,3,0,0
42,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,139,13,0,2,0,0
30,1,0,1,0,0,0,0,6,0,1,0,0,0,0,1,1,1,0,7,1,0,0,0,0,91,80,0,13,0,0
22,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,20,4,0,1,0,0
45,0,0,1,0,0,0,1,5,1,1,1,0,1,0,1,1,1,0,10,1,0,0,0,1,78,20,0,22,0,0
51,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,7,1,0,0,0,0,202,26,0,9,0,0
20,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,10,0,1,0,0
37,1,0,1,1,0,0,1,3,1,1,0,1,1,0,1,1,1,0,8,1,0,0,0,0,69,27,0,7,0,0
50,1,1,1,1,0,1,0,9,0,0,0,1,1,0,0,0,1,1,18,1,0,0,1,0,122,139,0,15,0,0
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,1,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,9,2,0,2,0,0
19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,4,0,2,0,0
23,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,1,0,5,1,0,0,0,0,19,2,0,5,0,0
42,1,1,1,1,0,1,0,2,0,1,0,1,1,0,0,0,1,1,6,1,0,0,1,0,103,112,0,13,0,0
25,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,7,1,0,0,0,0,39,10,0,10,0,0
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0
24,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,8,1,0,0,0,0,110,35,0,60,0,0
18,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,9,0,0,0,0,0,66,12,0,4,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0
22,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,0,6,0,0,0,0,0,53,6,0,4,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,0,1,0,0
18,0,0,1,0,0,0,1,2,1,1,0,0,0,0,1,1,0,0,4,1,0,0,0,0,23,2,0,7,0,1
27,0,0,0,0,0,0,1,4,1,1,1,0,0,0,1,1,0,0,4,0,0,0,0,1,38,13,0,6,0,0
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,0,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,24,10,0,8,0,0
19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,7,0,0,0,0
30,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,1,1,0,6,0,0,0,0,0,46,10,0,11,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,4,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,3,0,0,0,0
24,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,30,12,0,6,0,0
27,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,1,0,0,9,0,0,0,0,0,43,19,0,11,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
28,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,0,122,14,0,5,0,0
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,4,3,0,3,0,0
25,0,0,1,0,0,0,1,7,1,1,1,0,0,0,1,1,1,0,10,1,0,0,0,1,52,66,0,13,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,35,25,0,6,0,0
21,0,0,1,0,0,0,1,6,0,1,1,0,0,0,1,1,1,0,4,1,0,0,0,1,82,17,0,7,0,0
35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,7,0,0,0,0
23,0,0,1,0,0,0,0,5,1,1,0,0,0,0,1,1,1,0,14,1,0,0,0,0,71,19,0,17,0,0
14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10,28,0,4,0,0
25,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,11,9,0,6,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,5,0,0,0,0
28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,41,17,0,3,0,1
26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,6,0,0,0,0
14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,6,9,0,1,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,6,0,1,0,0
58,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,5,0,0,0,0,0,142,11,0,10,0,0
11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,42,16,0,2,0,0
6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,27,13,0,1,0,0
33,1,0,0,0,0,0,1,8,1,1,1,0,0,0,1,1,1,0,8,0,0,0,0,1,222,56,0,13,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0
23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,3,0,0
10,0,0,0,0,0,0,1,3,1,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,51,28,0,8,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
85,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,14,1,1,0,1,0,178,176,0,25,0,0
23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52,7,0,1,0,0
53,1,1,1,1,1,1,0,51,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,71,111,0,4,0,0
5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,19,5,0,2,0,0
0,1,0,1,1,1,0,0,107,0,0,0,0,1,1,0,1,1,1,113,1,1,1,1,0,0,267,0,119,0,0
32,1,1,1,1,1,1,0,2,0,0,0,1,1,0,0,0,1,1,4,1,0,0,1,0,97,63,0,7,0,0
26,0,0,0,0,0,0,1,5,1,1,1,0,0,0,1,1,1,0,4,0,0,0,0,1,78,18,0,8,0,0
75,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,5,1,0,1,1,0,308,50,0,6,0,0
12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,3,3,0,3,0,0
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,0,0,0
34,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,11,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,20,12,0,8,0,0
28,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,56,20,0,5,0,1
20,0,0,0,0,0,0,1,6,1,1,1,0,0,0,1,1,0,1,10,0,0,0,0,0,50,107,0,16,0,0
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,7,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,34,38,0,0,0,0
27,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,9,8,0,1,0,0
8,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,6,1,0,1,1,0,6,38,0,3,0,0
27,0,0,0,0,0,0,1,5,0,1,1,0,0,0,1,1,0,0,4,0,0,0,0,1,339,45,0,10,0,1
21,1,0,1,0,0,0,1,2,1,1,1,0,0,0,1,1,0,1,4,1,0,0,0,0,34,10,0,9,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,5,1,1,0,1,0,0,7,0,14,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,0,0,0
21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,16,22,0,6,0,0
