suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,intent_android_intent_action_PACKAGE_ADDED,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_USER_PRESENT,suspicious_Ljava_lang_System___load,n_urls,suspicious_sendTextMessage,perm_android_permission_BLUETOOTH,n_providers,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_SEND_SMS,intent_com_baidu_autoupdatesdk_ACTION_NEW_UPDATE,intent_android_intent_action_CHINAMOBILE_OMS_GAME,intent_android_intent_action_PACKAGE_REMOVED,n_used_permissions,suspicious_getPackageInfo,suspicious_Base64,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_BLUETOOTH_ADMIN,n_activities,intent_com_baidu_autoupdatesdk_ACTION_NEW_AS,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,intent_com_baidu_autoupdatesdk_ACTION_AS_DOWNLOAD_COMPLETE,label
1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,1,0,0,0,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,0,0,0,0,0,8,1,1,0,0,5,0,0,0,0
1,1,0,0,1,0,1,0,1,0,1,5,1,0,0,1,1,0,0,0,0,8,1,1,0,0,5,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,8,1,0,0,0,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,1,0,0,0,0,11,1,1,0,0,6,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,10,0,0,0,1,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,9,0,0,0,1,8,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,7,1,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,9,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,10,1,1,0,1,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,9,1,1,0,1,5,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,0,0,10,1,1,0,0,4,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,0,0,0,11,1,1,0,1,3,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,9,0,0,0,1,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,9,1,1,0,0,8,0,0,0,0
1,1,1,1,1,0,1,0,0,0,1,9,0,0,0,1,1,0,0,0,1,10,1,1,0,0,5,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,8,1,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,9,1,1,0,0,7,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,9,0,0,1,1,0,1,0,0,0,11,1,1,1,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1,1,0,1,11,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,10,0,0,0,1,0,0,0,0,0,11,1,1,0,0,6,0,0,0,0
1,0,0,0,0,1,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,11,1,1,1,1,4,0,0,0,0
1,1,1,1,1,0,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,8,1,1,0,0,11,0,0,0,0
1,1,0,0,1,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,8,1,1,0,0,9,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,9,1,1,0,0,4,0,0,0,0
0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,12,1,1,0,0,6,0,0,0,0
1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,0
1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,10,1,1,1,0,14,0,0,0,0
1,1,0,0,1,0,0,1,1,0,1,10,0,0,0,1,0,0,0,0,0,12,1,1,0,0,3,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,1,0,1,0,10,1,0,0,0,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,9,1,0,0,1,1,1,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,8,1,1,0,0,3,0,0,0,0
0,1,0,0,1,0,0,1,1,1,1,5,0,0,0,1,1,0,0,0,0,7,1,1,0,0,8,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,1,0,1,0,8,0,1,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,9,0,1,1,1,0,0,0,0,0,12,1,1,0,1,14,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,8,1,1,0,1,5,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,9,0,0,3,1,1,0,0,0,0,12,1,1,1,0,4,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,13,1,1,1,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,1,0,0,0,0,9,1,1,0,1,11,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,12,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,12,1,1,0,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,10,1,1,0,1,6,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,1,1,0,0,0,0,9,1,1,0,0,7,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,8,0,0,1,1,1,0,0,0,0,13,1,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,12,1,1,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,1,0,0,0,0,12,1,1,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,12,1,1,0,0,7,0,0,0,0
1,1,1,0,1,0,0,1,1,1,1,8,1,0,0,1,1,0,0,1,0,11,1,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,12,1,1,0,1,3,0,0,0,0
1,1,1,0,1,0,0,1,1,0,0,5,0,0,1,1,0,0,0,0,0,9,1,1,0,0,9,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,12,1,0,0,1,1,1,0,0,0,11,1,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,1,0,0,0,0,13,1,1,0,0,15,0,0,0,0
1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,0,0,13,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,9,0,0,2,1,1,0,0,0,0,11,1,1,1,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0
1,1,0,0,1,0,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,9,1,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,7,1,1,0,0,9,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,7,0,0,0,1,1,0,0,0,0,9,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,1,1,0,0,0,0,11,1,1,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,1,0,0,0,0,12,1,1,0,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,0,1,0,0,0,0,12,1,1,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,11,1,0,0,1,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,10,1,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,1,0,0,0,0,11,1,1,0,1,2,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,7,1,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,14,1,1,0,0,10,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,9,0,0,1,1,1,0,0,0,0,10,1,1,1,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0,0,11,1,1,1,0,10,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,10,1,1,1,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,9,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,1,1,0,0,0,0,10,1,1,0,1,3,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,6,0,0,2,1,1,0,0,0,0,12,1,1,0,0,12,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,10,1,1,0,0,7,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,1,0,0,0,0,9,1,1,1,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,13,1,1,0,0,5,0,0,0,0
0,1,0,1,0,0,0,0,0,1,1,10,0,0,0,1,0,0,0,0,0,9,1,1,0,0,8,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,8,1,1,0,1,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,10,1,1,0,1,14,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,0,0,9,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0,0,0,0,11,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,12,1,1,1,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,12,0,0,2,1,1,0,0,0,0,15,1,1,0,0,9,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,9,1,1,0,0,9,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,9,1,0,0,0,6,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,8,1,1,0,0,4,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,9,1,0,0,0,8,0,0,0,1
1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,10,1,1,1,0,2,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,1,0,0,0,0,9,1,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,10,1,1,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,12,1,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,9,1,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,11,1,1,0,0,3,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0,0,9,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,10,0,0,2,1,0,0,0,0,0,11,1,1,0,0,6,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,9,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,1,0,0,0,0,9,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,1,0,0,0,0,10,1,1,0,0,13,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,7,0,0,1,1,1,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,1,0,0,0,1,0,0,0,1,11,0,0,1,1,1,0,0,0,1,9,1,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,8,1,1,0,0,11,0,0,0,1
1,1,1,0,1,0,0,1,1,1,1,10,0,0,0,1,1,0,1,0,0,11,1,1,0,0,4,1,1,1,0
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,1,0,0,1,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,9,1,1,0,0,6,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,9,1,1,0,0,16,0,0,0,0
1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,9,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,9,1,1,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,7,1,1,0,0,5,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,9,1,1,0,0,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,1,0,0,0,0,9,1,1,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,9,1,1,0,1,16,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,10,1,1,0,1,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,9,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,13,0,0,2,1,1,0,0,0,0,12,1,1,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,1,1,0,0,0,0,7,1,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,11,1,1,0,0,12,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,9,1,1,1,1,13,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,8,1,1,0,0,6,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,1,0,0,0,0,13,1,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,1,0,0,0,0,10,1,1,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,12,1,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,1,1,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,1,0,0,0,0,10,1,1,0,1,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,0,0,0,0,0,11,1,1,0,1,3,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,1,1,0,0,0,0,10,1,1,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,6,1,1,0,0,4,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,9,0,0,1,1,1,0,0,0,0,12,1,1,1,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,1,1,0,0,7,0,0,0,0
1,1,0,0,1,0,0,0,0,0,1,5,0,0,0,1,1,0,0,0,0,9,1,1,0,0,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,12,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1,0,0,0,0,10,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,9,1,1,1,0,8,0,0,0,0
1,1,1,1,1,0,0,1,0,0,1,4,0,0,0,1,1,0,0,0,0,12,1,1,0,0,3,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,9,1,1,0,0,4,0,0,0,0
