intent_com.google.android.gms.iid.InstanceID,intent_android.intent.action.ACTION_POWER_CONNECTED,perm_android.permission.BLUETOOTH_ADMIN,perm_android.permission.READ_PHONE_STATE,suspicious_getCellSignalStrength,suspicious_getCellLocation,perm_android.permission.BLUETOOTH,perm_android.permission.ACCESS_FINE_LOCATION,perm_android.permission.ACCESS_COARSE_LOCATION,intent_com.google.android.c2dm.intent.REGISTRATION,intent_android.intent.action.VIEW,n_receivers,n_permissions,perm_android.permission.FLASHLIGHT,intent_android.appwidget.action.APPWIDGET_UPDATE,intent_com.google.android.gms.analytics.ANALYTICS_DISPATCH,intent_android.appwidget.action.APPWIDGET_CONFIGURE,n_api_calls,perm_android.permission.GET_ACCOUNTS,intent_com.tappx.sdk.SILP,perm_android.permission.VIBRATE,intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION,intent_android.intent.action.ACTION_VIEW_DOWNLOADS,intent_android.intent.action.MEDIA_BUTTON,n_activities,n_urls,n_providers,n_services,n_used_permissions,intent_android.intent.action.DOWNLOAD_COMPLETE,label
0,0,0,0,0,0,0,1,1,0,0,4,11,0,0,0,0,5,0,0,0,0,0,0,10,0,0,2,2,0,0
1,0,0,0,0,0,0,0,0,1,1,6,19,0,0,0,0,20,0,0,1,0,0,0,19,19,1,4,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,6,15,1,0,9,0,0
0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,28,0,0,0,0,0,0,11,7,0,2,11,0,0
0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,5,32,0,1,9,0,0
0,0,0,1,0,0,0,1,1,0,0,2,36,1,0,0,0,0,1,0,1,0,0,0,127,0,0,3,0,0,0
0,0,0,1,0,0,0,1,0,0,0,5,16,0,0,0,0,14,0,0,1,0,0,0,36,33,4,7,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0
0,1,0,1,0,0,0,1,1,1,1,7,25,0,0,0,0,24,1,0,1,0,0,0,23,209,3,9,9,1,0
0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,17,0,0,1,0,0,0,30,74,4,12,7,0,0
1,0,0,0,0,0,0,1,0,0,1,5,9,0,0,1,0,22,0,0,1,0,0,0,19,47,1,6,8,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,8,2,0,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,24,0,0,0,0,0,0,6,28,2,4,10,0,0
0,1,0,1,0,1,0,1,1,0,1,7,36,0,0,0,0,37,1,0,1,0,0,0,78,251,1,10,12,0,0
0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,18,0,0,0,0,0,0,12,29,0,1,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,9,19,0,0,5,0,0
0,0,0,0,0,0,0,1,0,0,0,3,8,0,0,0,0,10,0,0,0,0,0,0,28,53,6,7,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,10,35,0,0,8,0,0
0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,20,0,0,0,0,0,0,5,5,0,0,5,0,0
0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,28,0,0,1,0,0,0,4,12,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,4,0,0
0,1,1,0,0,0,1,1,1,1,1,3,27,0,0,0,0,29,0,0,1,0,0,0,1,5,0,3,8,0,0
0,0,0,1,0,0,0,1,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,4,34,0,2,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,4,39,0,1,5,0,0
0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,58,0,0,0,0,0,0,4,20,1,0,18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,12,35,0,2,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,3,15,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,3,7,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,4,3,0,1,7,0,0
1,0,0,0,1,1,0,0,0,1,0,5,18,0,0,0,0,44,0,0,1,0,0,0,69,234,5,8,17,0,0
1,0,0,0,0,0,0,1,1,0,1,2,25,1,0,0,0,41,0,0,1,0,0,0,7,17,1,4,12,0,0
0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,23,0,0,0,0,0,0,5,27,3,3,9,0,0
0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,27,1,0,1,0,0,0,8,25,4,9,11,0,0
0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,0,0,23,0,0,0,0,0,1,10,75,1,11,9,0,0
0,0,0,1,0,0,0,0,0,1,1,4,10,0,0,0,0,20,1,0,0,0,0,0,8,27,2,5,9,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,5,29,0,0,9,0,0
0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,15,1,0,1,0,0,0,10,9,0,1,5,0,0
0,0,0,0,0,0,0,1,1,0,1,8,15,0,0,0,0,41,1,0,1,0,0,0,65,165,6,6,18,0,0
0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,7,47,0,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,27,0,0,1,0,0,0,1,8,0,1,7,0,0
0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,0,19,0,0,0,0,0,0,20,28,2,3,8,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,13,23,1,3,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,21,0,0,0,0,0,0,5,25,2,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,4,23,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,1,5,8,0,0,1,0,20,1,0,0,0,0,0,44,85,0,6,8,0,0
0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,22,0,0,0,0,0,0,6,35,1,5,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,1,5,7,0,0,0,0,18,0,0,0,0,0,0,11,67,1,9,7,0,0
0,0,0,1,0,1,0,1,1,0,1,0,15,0,0,0,0,34,0,0,0,0,0,0,82,118,0,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,8,16,0,0,7,0,0
0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,18,0,0,0,0,0,0,2,4,0,1,8,0,0
0,0,0,1,0,0,0,1,1,0,1,11,35,0,0,0,0,24,1,0,1,0,0,0,36,45,3,15,10,0,0
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,25,0,0,1,0,0,0,4,38,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0,0,6,24,5,6,7,0,0
0,1,1,1,0,0,1,1,1,0,0,5,19,0,0,0,0,35,1,0,1,0,0,0,4,23,3,10,12,0,0
1,0,0,1,0,1,0,1,0,1,0,5,12,0,0,0,0,29,0,0,1,0,0,0,27,123,2,15,11,0,0
0,0,0,0,0,0,0,0,0,0,1,3,9,0,1,0,1,34,1,0,0,0,0,0,24,72,0,5,11,0,0
0,0,0,0,0,0,0,1,1,0,1,4,11,0,0,0,0,30,0,0,0,0,0,0,21,67,0,3,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,11,6,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,4,9,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,15,0,0,0,0,0,0,10,32,0,3,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,0,0,0,0,0,0,5,3,1,3,9,0,0
1,0,0,1,0,0,0,0,0,1,0,8,15,0,0,1,0,25,1,0,1,0,0,0,14,16,3,10,10,0,0
0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,16,1,0,1,0,0,0,5,0,0,1,6,0,0
0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,2,16,0,2,8,0,0
0,0,0,1,0,0,0,0,0,0,1,3,9,0,0,0,0,32,0,0,0,0,0,0,38,83,4,10,14,0,0
0,0,0,0,0,0,0,1,1,0,1,15,19,0,1,0,0,32,1,0,1,0,0,0,76,118,6,32,16,0,0
0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,0,0,5,0,0,0,0,0,1,18,36,0,1,4,0,0
0,0,0,0,0,0,0,1,0,1,1,5,10,0,0,1,0,19,0,0,1,0,0,0,11,66,0,2,7,0,0
0,0,0,0,1,1,0,1,1,0,0,7,12,0,0,0,0,23,0,0,1,0,0,0,11,48,1,9,9,0,0
0,0,0,1,0,0,0,0,0,0,1,7,8,0,0,0,0,30,0,0,0,0,0,0,19,51,5,5,16,0,0
0,0,0,1,0,0,0,0,0,0,0,3,9,0,0,0,0,24,0,0,1,0,0,0,5,30,1,7,10,0,0
0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,0,0,24,0,0,0,0,0,0,6,24,1,2,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,4,13,1,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,23,10,0,0,7,0,0
0,0,0,1,0,1,0,0,1,0,0,0,7,0,0,0,0,38,0,0,0,0,0,0,4,51,0,2,9,0,0
0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,1,0,24,0,0,1,0,0,0,18,87,2,14,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,0,0,2,19,0,0,6,0,0
0,0,0,1,1,1,1,1,1,0,1,4,28,1,0,0,0,49,0,0,1,0,0,0,222,260,4,5,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,8,13,0,0,1,0,14,0,0,0,0,0,0,3,37,1,9,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,3,3,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,34,14,0,0,6,0,0
0,0,0,1,1,1,0,0,0,0,0,4,7,0,1,0,0,17,0,0,0,0,0,0,8,13,0,2,6,0,0
0,0,0,1,1,1,0,0,0,0,1,9,12,0,0,0,0,42,0,0,0,0,0,0,31,158,3,5,14,0,0
0,0,0,1,0,0,0,0,0,0,1,2,8,0,0,0,0,35,0,0,0,0,0,0,15,69,0,2,13,0,0
0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,5,15,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,4,19,0,0,10,0,0
1,0,0,0,0,0,1,0,0,0,1,8,15,0,0,0,0,34,0,0,0,0,0,0,27,122,2,12,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,5,16,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,11,17,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,13,1,0,1,0,0,0,25,107,1,2,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,3,0,0
0,0,0,0,0,0,0,1,1,0,0,2,9,0,0,0,0,30,0,0,0,0,0,0,15,33,1,4,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,8,26,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,28,0,0,0,0,0,0,8,45,3,9,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,2,23,0,0,9,0,0
0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,0,18,0,0,0,0,0,0,5,18,1,2,7,0,0
0,0,0,0,0,0,0,1,0,0,1,7,30,0,0,0,0,14,0,0,1,0,0,0,14,33,4,13,7,0,0
0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,18,0,0,0,0,0,0,5,17,1,3,7,0,0
1,1,1,0,1,1,1,1,1,1,1,19,74,0,1,0,0,57,1,0,1,0,0,1,58,420,11,49,20,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,1,0,0,0,4,13,0,0,8,0,0
0,0,0,1,1,1,0,1,1,0,1,1,47,0,0,0,0,71,1,0,1,0,0,0,22,216,1,11,21,0,0
0,0,0,0,0,0,0,0,0,1,0,5,7,0,0,0,0,16,0,0,0,0,0,0,4,20,1,3,6,0,0
0,1,0,1,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,11,0,0,0,0,0,0,8,4,1,5,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,3,23,0,0,6,0,0
0,0,0,1,0,1,0,1,1,0,0,0,24,0,0,0,0,44,1,0,1,0,0,0,174,157,0,2,12,0,0
0,0,1,1,0,0,1,0,0,1,1,5,15,0,0,0,0,29,1,0,1,0,0,0,18,27,2,7,9,0,0
1,0,0,0,0,0,1,0,0,1,1,9,8,0,0,1,0,20,0,0,0,0,0,0,12,53,3,13,8,0,0
0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,19,0,0,0,0,0,0,3,23,1,3,9,0,0
0,1,1,0,0,0,1,1,1,0,0,6,14,0,0,0,0,47,0,0,0,0,0,0,23,21,5,11,12,0,0
0,0,1,0,1,0,1,1,1,1,0,3,35,1,0,0,0,24,1,0,0,0,0,0,33,98,1,5,10,0,0
0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,12,0,0,0,0,0,0,7,27,0,2,6,0,0
0,0,0,1,0,0,0,0,0,1,1,1,12,0,0,0,0,15,1,0,1,0,0,0,21,110,0,1,7,0,0
0,0,0,1,0,0,1,1,1,0,0,6,52,0,0,0,0,4,0,0,1,0,0,0,72,3,7,8,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,28,0,0,0,0,0,0,14,37,0,1,9,0,0
0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,33,0,0,0,0,0,0,7,28,0,4,8,0,0
0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,1,3,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,19,0,0,0,0,0,0,13,50,1,2,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,5,21,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,4,10,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0,1,0,0,0,9,24,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,9,24,2,3,9,0,0
0,0,0,0,0,0,0,0,0,1,0,1,18,1,0,0,0,33,0,0,1,0,0,0,24,37,0,1,12,0,0
0,0,0,1,0,0,0,0,0,1,0,12,29,0,0,0,0,24,0,0,1,0,0,0,13,28,1,8,10,0,0
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,0,0,4,11,1,1,5,0,0
0,0,0,1,0,0,0,0,0,1,1,4,6,0,0,0,0,17,0,0,0,0,0,0,9,43,1,5,9,0,0
0,0,0,0,1,1,0,0,0,0,1,9,8,0,0,1,0,30,0,0,0,0,0,0,25,97,5,11,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,3,20,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,1,2,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,10,0,0,0,0,0,0,4,42,3,5,8,0,0
0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,0,0,0,1,2,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,22,0,0,3,0,0
0,0,0,1,0,0,0,0,0,0,0,1,62,0,0,0,0,17,0,0,0,0,0,0,6,12,0,3,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,23,0,0,1,0,0,0,14,22,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,0,11,27,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,15,19,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,8,23,1,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,14,0,0,0,0,0,0,7,30,0,3,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,6,23,0,0,4,0,0
0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,3,0,0,0,0,0,0,5,6,1,2,3,0,0
0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,22,0,0,1,0,0,0,4,27,1,9,10,0,0
1,0,0,1,1,1,0,1,1,1,1,4,7,0,0,0,0,50,0,1,0,0,0,0,41,95,2,7,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,3,32,1,0,9,0,0
0,0,1,1,0,0,1,1,0,1,1,14,31,0,0,0,0,26,1,0,1,0,0,0,154,66,6,15,12,0,0
1,0,0,0,0,0,0,0,0,0,1,4,10,0,0,1,0,15,1,0,1,0,0,0,4,14,0,5,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,2,5,0,1,4,0,0
