perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_ADDED,n_urls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,perm_com_android_launcher_permission_READ_SETTINGS,n_api_calls,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_Base64,suspicious_getSystemService,intent_android_intent_action_USER_PRESENT,suspicious_Cipher,intent_cn_jpush_android_intent_PushService,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getDeviceId,intent_cn_jpush_android_intent_REGISTRATION,intent_cn_jpush_android_ui_PushActivity,intent_cn_jpush_android_intent_NOTIFICATION_OPENED,intent_cn_jpush_android_intent_MESSAGE_RECEIVED,intent_cn_jpush_android_intent_REGISTER,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED_PROXY,label
1,1,29,0,1,0,1,0,0,10,9,1,1,1,26,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,24,1,1,0,1,1,1,17,9,1,1,1,30,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,10,11,1,1,1,31,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,8,9,1,1,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,19,0,0,0,0,1,1,17,11,1,1,1,33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,12,9,0,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,19,1,0,0,0,0,0,16,8,1,0,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,10,6,0,0,0,17,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,9,6,0,0,0,17,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,17,7,1,0,0,21,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,10,7,0,0,0,13,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,20,8,0,0,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,16,0,1,1,0,0,1,5,12,1,1,0,34,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,17,5,1,1,0,10,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,14,7,1,0,0,25,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
1,1,17,0,0,0,0,1,1,20,13,1,1,1,35,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,16,0,1,1,0,0,1,5,12,1,1,0,35,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,18,0,1,0,0,0,0,17,9,0,0,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,20,0,1,1,0,1,1,2,6,0,1,0,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,13,6,1,0,0,14,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,6,7,1,0,0,15,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,22,9,0,0,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,15,0,0,0,0,0,0,23,6,1,1,1,14,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,23,1,1,0,1,0,0,14,6,1,1,1,15,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,14,9,0,0,0,22,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,12,7,0,0,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,26,0,0,0,0,0,0,24,10,0,1,0,25,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,20,0,0,1,1,0,0,19,9,1,1,0,22,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,12,0,1,0,0,0,0,28,10,1,0,0,24,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,20,0,0,1,1,0,0,20,9,1,1,0,22,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,6,12,0,1,0,27,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,24,0,0,1,0,0,0,20,7,1,1,0,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,12,0,0,0,0,0,0,9,4,1,1,0,9,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,13,0,0,0,0,0,0,24,10,0,0,0,21,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,15,0,0,1,0,0,0,24,10,0,1,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,20,0,0,1,0,0,0,17,7,1,1,0,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,19,0,0,0,0,0,0,18,13,0,1,0,36,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,1,30,1,0,1,1,0,0,15,8,1,1,0,17,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,10,7,0,1,0,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,0,1,1,0,0,0,15,12,1,1,0,28,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,23,1,1,1,1,0,0,7,8,1,1,0,18,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,28,9,1,0,0,16,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,17,8,1,1,0,16,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,25,0,0,0,0,0,0,3,8,1,1,0,18,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,13,8,0,1,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,8,0,0,1,0,0,0,22,7,1,1,0,21,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,24,1,1,1,1,0,0,24,9,1,1,0,30,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
1,0,24,1,1,1,0,0,0,1,8,1,1,0,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,25,1,1,1,1,1,1,10,10,1,1,0,22,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,24,0,0,0,1,0,0,20,9,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,1,0,0,0,0,16,9,1,1,0,31,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
0,0,26,0,0,0,0,0,0,17,6,1,1,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,23,1,1,0,1,0,0,14,6,1,1,1,15,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,17,0,0,0,1,0,0,14,10,1,1,0,21,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,17,1,1,0,0,0,0,1,9,1,1,0,36,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,13,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,13,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,12,0,0,0,0,0,0,13,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,13,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,13,12,0,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,16,0,0,0,1,0,0,6,10,1,1,0,27,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,21,0,0,0,1,0,0,19,9,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,18,1,0,0,1,0,0,3,11,1,1,0,28,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,23,0,1,1,1,0,0,3,4,1,1,0,6,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
0,0,9,0,0,0,0,0,0,21,6,0,1,0,23,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,6,7,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,12,0,1,1,0,0,1,5,13,1,1,0,38,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,32,1,0,1,0,1,1,18,8,1,1,0,18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,9,8,0,0,0,17,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,20,8,0,0,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,26,9,0,0,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,19,5,1,1,0,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,17,6,1,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,25,7,0,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,19,0,1,1,0,0,0,0,12,1,1,0,30,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,9,7,0,0,0,18,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,17,0,0,0,0,0,0,14,11,1,1,1,41,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,20,1,1,0,0,0,0,3,3,1,1,0,5,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,26,13,0,1,0,30,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,6,9,0,1,0,16,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,26,1,1,1,1,1,1,16,6,1,1,0,17,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,11,0,1,0,0,0,0,22,11,1,1,0,32,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,16,0,1,0,0,0,0,9,8,1,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,14,6,0,0,0,17,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,0,8,1,1,0,11,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,11,0,1,0,0,0,0,22,11,1,1,0,32,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,18,0,0,1,0,0,0,30,11,1,1,0,25,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,17,1,1,1,0,0,1,3,9,1,1,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,21,1,1,1,1,1,1,14,10,1,1,0,27,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,18,1,1,1,1,0,0,3,3,1,1,0,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,11,5,0,0,0,12,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,10,0,1,0,0,0,0,11,6,0,1,0,8,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,18,1,0,1,0,1,1,18,8,1,1,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,23,0,0,1,1,0,0,23,9,1,1,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,21,0,1,0,0,0,0,27,9,0,1,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,27,1,1,1,1,1,0,3,3,1,1,0,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,26,12,0,0,0,25,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,19,0,1,1,0,0,0,34,9,1,1,0,21,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,1,0,0,0,0,18,5,1,0,0,5,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,19,0,0,0,1,0,0,19,9,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,9,10,1,1,0,20,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,10,0,1,0,0,0,0,6,4,0,1,0,7,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,29,1,0,0,1,0,0,19,11,1,1,0,19,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,14,0,0,1,0,0,0,0,13,0,1,0,33,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,10,4,0,0,0,9,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,24,10,1,1,0,23,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,11,0,0,0,0,0,0,21,9,0,0,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,11,0,0,0,0,0,0,21,9,0,0,0,19,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,19,1,1,1,0,0,0,5,11,1,1,0,30,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
0,1,35,1,0,1,1,1,1,15,10,1,1,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,30,0,1,1,1,1,0,3,3,1,1,0,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,21,8,1,0,0,21,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,10,0,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,12,1,0,0,0,0,0,8,3,1,0,0,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,11,13,0,1,0,32,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,14,9,0,0,0,19,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,17,1,0,0,0,0,0,28,12,1,1,0,25,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,1,29,1,1,1,1,1,0,3,3,1,1,0,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,14,1,0,0,0,0,0,14,9,1,0,0,29,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,29,1,1,0,0,0,0,19,12,1,1,0,38,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3,8,0,0,0,24,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,14,0,0,0,1,0,0,11,5,0,1,0,12,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,1,0,0,0,32,9,0,1,0,14,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,28,7,1,0,0,13,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,1,17,0,0,0,0,0,0,33,11,1,1,1,30,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,10,0,1,0,0,0,0,11,6,0,1,0,8,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,10,13,0,1,0,32,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,13,0,0,0,0,0,0,12,6,0,1,0,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,11,0,1,0,0,0,0,19,10,0,0,0,25,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,21,6,0,0,0,18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,24,5,0,0,0,13,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,10,0,0,1,0,0,0,27,6,0,0,0,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,17,1,0,0,0,0,0,28,10,1,0,0,32,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,29,9,0,0,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,21,1,0,0,0,0,0,24,14,1,1,0,26,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,26,7,0,0,0,21,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,14,7,0,0,0,16,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,21,0,1,0,0,0,0,23,8,0,1,0,13,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,31,12,1,0,0,27,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,3,10,0,0,0,25,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,23,1,0,0,0,1,1,31,10,1,1,1,33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,25,8,1,0,0,8,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,17,11,0,1,0,24,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,33,1,1,0,1,1,1,3,4,1,1,0,6,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,31,7,0,0,0,9,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,11,0,0,0,0,0,0,31,7,1,0,0,23,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,31,1,1,1,1,1,1,3,4,1,1,0,6,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
0,0,14,0,0,0,0,0,0,30,10,0,0,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,18,0,0,0,1,0,0,31,8,1,1,0,31,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
1,0,12,0,0,1,0,0,0,0,13,0,1,0,35,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,36,10,1,0,0,28,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,36,10,1,0,0,28,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,18,7,0,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,15,5,1,1,0,15,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,20,1,1,1,0,0,0,3,3,1,1,0,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,30,8,1,0,0,17,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,14,1,0,0,0,0,0,26,10,1,1,0,20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,4,9,0,0,0,20,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
1,1,32,1,1,1,1,1,0,3,3,1,1,1,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,27,1,1,1,1,1,0,5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,15,1,1,1,1,0,0,13,11,1,1,0,23,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,22,0,0,1,0,0,0,35,9,0,1,0,25,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,11,9,0,1,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,15,8,1,0,0,19,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,26,10,1,0,0,17,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,30,9,0,0,0,18,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
0,0,15,0,0,0,0,0,0,21,12,0,0,0,22,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,26,1,1,1,0,1,0,3,3,1,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
