perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,intent_android_intent_action_PACKAGE_REMOVED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_SEND_SMS,perm_com_google_android_c2dm_permission_RECEIVE,n_receivers,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_LOGS,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_RECEIVE_SMS,suspicious_getCellLocation,suspicious_sendTextMessage,perm_android_permission_READ_SMS,perm_android_permission_INSTALL_PACKAGES,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,n_services,n_providers,intent_com_android_vending_INSTALL_REFERRER,label
1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,8,1,1,0,0,1,0,0,0,1,1,8,4,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,3,1,1,0
0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,17,0,1,1,0,0,0,0,0,0,1,29,6,1,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,1,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,4,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,1,8,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,1,0,0,0,1,11,5,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,1,0,1,0,0,0,1,1,12,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,8,0,0,0,1,0,0,1,0,1,1,13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,7,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,1,20,10,1,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,18,4,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,4,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,1,7,3,1,0
0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,16,0,0,1,0,0,0,0,0,1,1,19,5,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,6,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,7,6,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,10,4,1,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,1,6,2,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,1,8,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,10,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,2,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,6,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,8,3,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,22,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0
1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,5,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,5,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,2,2,1,0
0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,1,14,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,5,0,0
0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,20,1,0,0,0,1,0,0,0,1,1,31,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,2,2,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,5,2,0,0
0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,26,0,0,1,0,1,0,0,0,1,1,34,2,1,0
1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,8,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,117,1,1,0,1,0,0,1,1,1,1,129,113,0,0
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,1,2,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,10,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,5,0,0,1,1,0,1,0,0,1,1,15,8,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,14,0,0,1,0,1,0,0,0,1,1,35,10,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,10,2,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,8,3,1,0
1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,6,1,1,0,0,0,0,0,0,1,1,11,3,1,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,4,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,5,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,13,0,0,0,1,1,1,1,0,1,1,13,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,27,0,0,1,0,1,0,0,0,1,1,39,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,8,4,1,0
1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,3,1,1,0,0,1,1,1,0,1,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,17,0,0,0,0,0,0,0,0,0,1,34,4,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2,1,1,0
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,1,1,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,10,0,0,1,0,1,0,0,0,0,1,23,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,7,3,1,1
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,4,2,1,0
1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,3,1,0,0,1,0,0,1,0,1,1,9,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,1,14,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,6,1,0,1,0,0,0,0,0,0,1,3,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,10,3,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,7,3,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,1,0,8,1,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,6,1,1,0
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,1,7,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,3,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2,2,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,3,2,1,0
1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,1,1,17,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,1,1,6,2,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,5,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,9,4,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,9,1,1,1,0,0,0,0,0,0,1,3,2,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,1,6,3,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,6,4,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,1,16,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,1,0,0,0,0,0,1,1,9,3,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,10,4,1,1
1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,7,1,0,1,0,1,0,0,0,1,1,11,6,1,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,1,6,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,3,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,11,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,13,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,5,1,0,0
0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,1,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,7,1,1,0
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,20,0,0,1,0,0,0,0,0,0,1,12,5,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,0,0,0,1,0,15,5,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,5,4,1,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,4,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,5,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,7,0,0,0,0,1,0,0,0,1,0,6,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,5,0,1,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,4,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0
