n_permissions,perm_android_permission_READ_PHONE_STATE,n_urls,perm_android_permission_ACCESS_WIFI_STATE,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___load,suspicious_getSystemService,suspicious_Base64,suspicious_getDeviceId,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,intent_android_appwidget_action_APPWIDGET_UPDATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_WRITE_SETTINGS,suspicious_setWifiEnabled,intent_com_urbanairship_push_RECEIVED,suspicious_getWifiState,suspicious_system_bin_su,intent_com_urbanairship_push_CHANNEL_UPDATED,intent_com_google_android_gms_iid_InstanceID,intent_com_amazon_device_messaging_intent_RECEIVE,label
17,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
4,0,32,0,20,11,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,16,0,13,6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,64,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,23,0,6,5,1,0,0,1,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4,0,68,0,34,12,1,0,0,1,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,13,6,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,1,13,5,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,90,1,40,18,1,1,1,1,1,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0
20,0,12,0,17,5,1,0,0,1,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0
29,1,90,1,33,15,1,1,1,1,1,1,0,0,1,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
2,0,34,0,6,5,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1,23,0,28,11,1,1,1,1,1,1,0,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
12,0,18,0,20,9,1,0,0,1,1,1,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3,0,37,0,20,11,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,28,1,12,5,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,16,0,18,7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,23,0,18,10,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,29,1,19,9,1,1,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
23,0,37,0,27,9,1,0,1,1,1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2,0,20,0,18,7,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,48,0,22,8,1,1,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
5,0,27,0,22,9,1,0,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6,0,23,0,7,6,1,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,1,16,1,20,8,1,1,0,1,0,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
17,1,0,1,22,8,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,8,1,23,9,1,1,1,1,0,1,1,0,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0
2,0,1,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,18,1,19,10,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13,0,26,0,15,8,1,1,0,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,0,204,1,30,10,1,1,1,1,1,1,0,0,1,1,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,0,53,1,24,11,1,0,1,1,1,1,0,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
18,1,130,1,53,17,1,1,1,1,1,1,1,1,1,1,0,1,9,1,1,1,1,1,0,0,1,0,0,0,0
9,0,176,0,23,11,1,1,1,1,1,1,0,0,1,1,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0
12,0,36,1,8,6,1,1,0,1,1,0,0,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,5,4,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,1,4,3,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
15,0,81,1,24,9,1,1,1,1,1,1,0,0,1,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0
4,0,44,0,8,3,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,123,0,30,12,1,1,1,1,1,1,0,1,1,1,1,1,20,0,0,0,1,0,0,0,0,0,0,0,0
19,0,46,0,44,15,1,1,1,1,1,1,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
3,0,15,0,17,8,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,35,1,33,13,1,1,1,1,1,1,0,0,1,1,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0
26,0,76,1,45,18,1,1,0,1,1,1,0,0,1,1,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0
3,0,32,1,14,6,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,10,0,19,9,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,28,0,15,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,1,10,5,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,176,0,23,11,1,1,1,1,1,1,0,0,1,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0
1,0,2,0,17,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,26,1,26,8,1,1,0,1,1,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
4,0,37,0,26,8,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,35,1,59,18,1,1,1,1,1,1,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0
13,1,24,0,24,8,1,1,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
23,0,11,0,19,7,1,1,0,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,17,0,5,4,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,42,0,15,7,1,1,1,1,1,1,1,1,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
4,0,18,0,5,4,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,271,1,49,21,1,1,1,1,1,1,1,0,1,1,0,1,36,1,1,1,1,1,0,1,1,0,0,0,0
5,1,14,0,5,3,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,22,0,22,9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,13,5,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,30,0,17,6,1,0,0,1,1,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
4,0,22,0,4,3,1,1,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,0,50,1,44,17,1,1,0,1,1,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0
28,1,177,1,37,14,1,1,1,1,1,1,1,1,1,1,0,1,10,0,1,0,1,0,0,1,1,0,0,0,0
5,0,37,0,20,11,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7,1,28,0,33,8,1,1,1,1,1,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
11,0,36,0,18,7,1,1,1,1,1,1,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3,0,24,0,19,9,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,353,1,35,13,1,1,1,1,1,1,1,1,1,1,0,1,12,0,1,1,1,0,0,0,1,0,0,0,0
9,1,21,1,8,4,1,1,1,1,1,1,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
5,0,34,1,16,6,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,29,8,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,1,3,1,4,3,1,1,1,1,1,0,1,1,1,1,0,1,8,0,1,1,1,0,0,0,1,0,0,0,0
10,0,26,1,27,11,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,27,0,22,8,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,74,0,28,11,1,1,1,1,1,1,0,1,1,1,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0
5,0,11,0,19,8,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,14,0,3,3,1,0,0,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
13,1,45,0,14,5,1,1,1,1,1,1,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
4,0,17,0,14,7,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,107,0,19,8,1,1,1,1,1,1,0,0,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
11,0,64,1,20,9,1,0,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,1,33,1,12,5,1,1,0,1,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,1,22,11,0,1,0,1,1,0,0,0,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0
3,0,35,0,29,10,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,64,0,16,6,1,0,1,1,1,1,0,1,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12,0,15,6,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,0,15,0,28,9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,20,0,4,4,1,0,1,1,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
11,1,66,1,43,14,1,0,0,1,1,1,0,0,1,1,0,0,12,0,1,0,0,0,0,0,0,0,1,1,0
14,0,58,0,11,8,1,1,1,1,1,1,1,0,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1
5,0,4,0,8,5,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,21,1,19,7,1,1,0,1,1,0,0,0,1,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
2,0,10,0,18,7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,93,0,7,5,1,1,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,1,15,1,18,6,1,1,1,1,1,1,1,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
27,0,20,1,20,8,1,1,1,1,1,1,0,0,1,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
2,0,19,0,18,7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,62,0,23,10,1,1,0,1,1,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
23,1,9,1,16,8,1,1,1,1,1,1,1,1,1,1,0,1,8,1,0,1,0,0,0,0,0,0,0,0,0
13,1,6,1,8,6,1,1,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0,21,0,20,9,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,81,1,39,14,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1
4,0,24,0,6,5,1,0,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
26,0,70,1,22,9,1,0,0,1,1,1,0,1,1,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0
2,0,6,0,6,3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,25,1,21,11,1,1,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
8,1,29,1,18,7,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,21,1,19,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,40,1,19,9,1,1,1,1,1,1,0,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
8,1,5,1,7,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,26,0,12,5,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,51,0,21,10,1,1,1,1,1,1,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
6,0,15,0,4,4,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12,1,5,4,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
38,1,221,1,69,19,1,1,1,1,1,1,1,1,1,1,0,1,12,0,1,1,1,0,0,1,0,0,0,0,0
1,0,3,0,20,7,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,2,0,16,8,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,31,1,29,13,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,25,1,25,12,1,1,1,1,1,1,1,1,1,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0
5,0,34,1,15,8,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,227,0,35,13,1,1,1,1,1,1,0,1,1,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0
6,0,31,0,17,7,1,1,0,1,1,1,0,0,1,1,0,0,17,0,1,0,1,0,0,0,0,0,0,0,1
2,0,1,0,17,6,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,74,1,33,14,1,1,1,1,1,1,1,1,1,1,0,0,18,0,1,1,0,0,0,1,1,0,0,0,0
4,0,12,0,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,15,1,20,8,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1,28,1,34,10,1,1,0,1,1,1,0,1,1,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
10,0,42,1,8,3,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,38,0,30,9,1,0,1,1,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
6,1,44,1,9,4,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,13,0,21,9,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,5,4,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,32,0,27,9,1,1,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,36,1,15,6,1,1,0,1,1,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,23,6,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,1,9,1,46,12,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4,0,39,0,24,11,1,0,1,1,1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
16,1,68,1,39,9,1,1,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
16,1,54,1,23,9,1,1,1,1,1,1,0,1,1,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0
15,1,29,1,23,7,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
15,1,43,1,27,10,1,1,1,1,1,1,0,1,1,1,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0
31,1,3,1,4,3,1,1,1,1,1,0,1,0,1,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0
124,1,202,1,69,21,1,1,1,1,1,1,1,1,1,1,0,1,56,1,1,1,1,1,0,1,1,0,0,0,0
2,0,18,0,18,7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,144,1,48,18,1,1,1,1,1,1,0,0,1,1,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0
12,0,58,1,41,13,1,1,1,1,1,1,0,0,1,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
