n_permissions,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_services,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_Runtime___exec,suspicious_sendTextMessage,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PHONE_STATE,perm_android_permission_SEND_SMS,n_receivers,intent_android_intent_action_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_READ_LOGS,intent_android_intent_action_USER_PRESENT,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,n_api_calls,intent_android_provider_Telephony_SMS_RECEIVED,perm_android_permission_INSTALL_PACKAGES,intent_com_amir_nightjar_service_BUFFER_SERVICES,intent_com_amir_nightjar_service_CONFIG_SERVICES,n_activities,n_urls,perm_android_permission_DELETE_PACKAGES,intent_android_intent_action_MAIN,suspicious_Base64,perm_android_permission_RECEIVE_SMS,label
5,0,0,5,0,1,0,0,1,1,0,0,2,1,1,0,0,1,0,33,0,0,0,0,8,56,0,1,1,0,0
7,0,0,9,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,40,0,0,0,0,41,121,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,7,19,0,1,1,0,0
23,1,1,4,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,38,0,0,0,0,10,35,0,1,1,1,0
27,1,1,3,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,71,0,0,0,0,40,136,0,1,1,1,0
4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,9,1,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,3,0,1,0,0,0
5,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,1,13,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,9,0,1,1,0,0
28,0,0,10,0,1,0,0,1,1,0,0,8,1,1,0,0,0,0,31,0,0,0,0,6,49,0,1,1,0,0
28,0,0,5,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,19,0,0,0,0,8,7,0,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,1,0,0,1,0,0,0
9,0,0,8,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,6,0,0,0,0,13,40,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,15,15,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
26,0,0,6,0,1,0,0,0,1,0,0,5,1,1,0,0,0,1,27,0,0,0,0,4,34,0,1,1,0,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,39,0,0,0,0,87,48,0,1,1,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,4,0,1,0,0,0
6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,3,8,0,1,1,0,0
38,1,1,8,1,1,1,1,1,1,0,1,5,1,1,0,1,1,1,30,1,0,0,0,11,51,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,2,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23,0,0,0,0,9,19,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,19,0,0,0,0,7,16,0,1,1,0,0
11,0,0,15,0,0,0,0,1,1,0,0,11,1,1,0,0,0,0,38,0,0,0,0,49,65,0,1,1,0,0
12,0,1,8,0,1,0,0,1,1,0,0,5,0,0,0,0,0,0,26,0,0,0,0,14,70,0,1,1,0,0
2,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,21,0,0,0,0,7,15,0,1,1,0,0
10,0,0,5,0,0,0,0,1,1,0,0,3,1,1,0,0,1,0,42,0,0,0,0,11,67,0,1,1,0,1
7,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,10,29,0,1,1,0,0
13,0,0,3,1,0,0,0,1,1,0,0,2,1,1,0,0,0,0,16,0,0,0,0,10,62,0,1,1,0,0
13,0,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19,0,0,0,0,6,26,0,1,1,0,0
10,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,15,0,0,0,0,4,36,0,1,1,0,0
7,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,1,1,0,0
10,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,25,0,0,0,0,8,33,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,3,20,0,1,1,0,0
3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30,0,0,0,0,6,22,0,1,1,0,0
5,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,18,0,0,0,0,4,22,0,1,1,0,0
25,0,0,10,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,21,0,0,0,0,3,19,0,1,1,0,0
11,0,1,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,21,0,0,0,0,54,10,0,1,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
14,0,0,18,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,28,0,0,0,0,30,70,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,3,0,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,21,0,1,0,0,0
161,1,1,7,1,0,0,1,1,1,0,1,5,0,1,1,0,1,1,20,0,1,0,0,114,28,1,1,1,1,0
17,0,0,5,0,1,0,0,0,1,0,0,9,1,0,0,1,0,0,14,0,0,0,0,97,78,0,1,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,13,27,0,1,1,0,0
16,0,0,12,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,28,0,0,0,0,29,41,0,1,1,0,0
4,0,0,39,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,40,7,0,1,1,0,0
12,0,1,7,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,30,0,0,0,0,21,80,0,1,1,0,0
6,0,0,5,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,16,0,0,0,0,6,23,0,1,1,0,0
22,0,1,8,1,1,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,18,0,0,1,0,0,0
35,0,1,4,0,1,1,0,1,1,0,1,2,1,0,0,0,0,1,37,0,0,0,0,36,59,0,1,1,1,0
12,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,30,0,0,0,0,17,71,0,1,1,0,0
6,0,0,3,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,28,0,0,0,0,9,41,0,1,1,0,0
8,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,29,0,0,0,0,15,64,0,1,1,0,0
12,0,0,13,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,7,0,0,0,0,59,40,0,1,1,0,1
6,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,12,0,0,0,0,6,33,0,1,1,0,0
50,1,1,10,1,1,1,1,1,1,0,1,8,1,1,1,1,1,1,52,1,0,0,0,24,190,0,1,1,1,0
5,0,1,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,17,127,0,1,1,0,0
3,0,0,8,0,0,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,26,0,0,1,0,0,0
8,0,1,2,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,35,0,0,0,0,15,69,0,1,1,0,0
12,0,0,12,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,22,0,0,0,0,12,38,0,1,1,0,0
25,0,0,15,0,1,0,0,1,0,0,0,7,1,1,0,0,0,0,25,0,0,0,0,7,40,0,1,1,0,0
11,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,73,31,0,1,1,0,0
20,0,1,4,0,1,0,0,1,1,0,0,5,0,0,0,1,0,1,0,0,0,0,0,31,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,3,10,0,1,1,0,0
19,1,1,10,0,0,0,0,1,1,0,0,5,0,1,0,0,1,0,27,0,0,0,0,50,118,0,1,1,0,0
15,1,1,4,1,1,1,0,1,1,0,1,4,1,1,0,1,1,1,53,0,0,0,0,16,65,0,1,1,0,1
17,1,1,10,0,1,0,0,1,1,1,0,7,1,0,0,0,1,0,33,0,0,0,0,37,123,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,12,0,1,1,0,0
14,0,0,3,0,0,0,1,0,1,0,0,3,1,1,0,0,0,1,43,0,0,0,0,17,90,0,1,1,0,0
15,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,27,0,0,0,0,20,51,0,1,1,0,0
19,0,1,12,0,1,1,0,1,1,0,1,5,0,1,0,0,0,0,22,0,0,0,0,42,82,0,1,1,0,0
8,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,15,16,0,1,1,0,0
24,0,1,6,0,0,0,0,1,1,0,0,7,1,1,0,0,0,1,14,0,0,0,0,10,49,0,1,1,0,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,2,33,0,1,1,0,0
10,0,0,4,0,0,0,0,1,1,0,0,6,0,1,0,0,0,0,17,0,0,0,0,21,69,0,1,1,0,0
15,0,0,11,0,1,0,0,0,1,0,0,8,1,1,0,0,0,0,9,0,0,0,0,76,85,0,1,1,0,0
15,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,28,0,0,0,0,2,5,0,1,1,0,1
11,0,1,2,1,1,0,1,1,1,0,0,2,0,1,0,0,0,0,21,0,0,0,0,15,43,0,1,1,0,0
13,0,0,9,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,24,0,0,0,0,46,58,0,1,1,0,0
12,0,1,2,0,1,0,0,0,1,0,0,3,0,1,1,0,0,0,31,0,0,0,0,8,18,0,1,1,0,0
15,0,0,15,0,1,0,0,0,1,0,0,9,1,1,0,0,0,0,20,0,0,0,0,58,112,0,1,1,0,0
16,1,1,15,1,1,0,0,1,1,0,0,10,0,1,0,0,1,0,42,0,0,0,0,94,125,0,1,1,0,0
4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,26,0,1,1,0,0
9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,48,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,3,21,0,1,1,0,0
15,0,0,11,0,1,0,0,1,1,0,0,6,0,1,0,0,1,1,50,0,0,0,0,27,101,0,1,1,0,0
8,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,11,14,0,1,1,0,0
8,0,0,3,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,18,0,0,0,0,12,152,0,1,1,0,0
5,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,22,0,0,0,0,24,39,0,1,1,0,0
10,0,0,7,0,1,0,0,1,1,0,0,5,0,1,1,0,0,0,37,0,0,0,0,20,77,0,1,1,0,0
21,0,0,6,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,17,0,0,0,0,1,10,0,1,1,0,0
8,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,0,1
13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,1,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,21,0,1,1,0,0
9,0,0,9,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,19,0,0,0,0,14,53,0,1,1,0,0
14,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,7,1,0,0,0,2,0,0,1,0,1,0
26,1,1,10,1,1,0,0,1,1,0,0,8,1,1,1,0,1,0,38,0,0,0,0,69,268,0,1,1,0,0
14,0,0,11,0,0,1,0,1,0,0,1,13,1,1,0,0,0,0,30,0,0,0,0,67,75,0,1,1,0,0
9,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,37,0,0,0,0,2,24,0,1,1,0,0
12,0,1,2,1,0,0,0,0,1,0,0,6,1,0,0,0,0,0,6,0,0,0,0,16,19,0,1,1,0,0
17,0,0,12,0,1,0,0,1,1,0,0,9,1,1,0,0,0,0,11,0,0,0,0,57,82,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,5,14,0,1,1,0,0
9,0,0,4,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,22,0,0,0,0,6,35,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,1,0,1,0,0,0
4,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,13,0,0,0,0,3,44,0,1,1,0,0
15,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,28,0,0,0,0,8,31,0,1,1,0,0
20,0,1,16,0,1,0,0,1,1,0,0,12,1,1,0,0,0,0,23,0,0,0,0,18,49,0,1,1,0,0
16,1,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,1,1,38,0,0,0,0,22,114,0,1,1,0,0
4,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,14,6,0,1,1,0,0
9,1,1,10,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,32,0,0,0,0,38,83,0,1,1,0,0
34,0,0,10,0,1,0,1,1,1,0,0,12,1,1,0,1,0,1,13,0,0,0,0,9,38,0,1,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,4,42,0,1,1,0,0
3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,25,0,0,0,0,8,33,0,1,1,0,1
23,1,1,6,1,1,0,0,1,1,0,0,5,0,1,0,1,1,1,35,0,0,0,0,15,113,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28,0,0,0,0,4,33,0,1,1,0,0
10,0,1,3,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,24,0,0,0,0,20,38,0,1,1,0,0
6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,3,32,0,1,1,0,0
2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,7,0,1,0,0,0
7,0,0,2,1,1,0,0,1,1,0,0,5,0,1,0,0,1,0,31,0,0,0,0,22,62,0,1,1,0,0
6,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,18,0,0,0,0,5,41,0,1,1,0,0
5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,1,1,0,0
15,0,0,1,1,0,0,0,0,1,0,0,3,1,1,0,1,0,0,34,0,0,0,0,12,30,0,1,1,0,0
5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,4,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,4,0,1,0,0,0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0
19,0,0,8,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,20,0,0,0,0,5,13,0,1,1,0,0
8,0,0,4,0,0,0,0,1,1,0,0,8,1,1,0,0,0,0,47,0,0,0,0,42,105,0,1,1,0,0
10,0,0,9,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,19,0,0,0,0,26,43,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,8,24,0,1,1,0,1
6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17,0,0,0,0,4,16,0,1,1,0,1
6,1,1,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,1,4,0,1,0,0,0
13,0,0,7,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,27,0,0,0,0,8,31,0,1,1,0,0
5,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,0,0,0,0,6,7,0,1,1,0,0
8,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,18,0,0,0,0,8,34,0,1,1,0,1
5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,7,22,0,1,1,0,0
30,0,1,12,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,26,0,0,0,0,8,15,0,1,1,0,0
12,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8,8,0,1,1,0,0
18,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,6,0,0,0,0,2,4,0,1,1,0,0
8,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23,0,0,0,0,4,28,0,1,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,12,0,1,1,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,7,21,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,2,0,1,0,0,0
11,0,0,4,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,7,7,0,1,1,0,0
14,0,1,14,0,0,0,0,1,1,0,0,11,1,0,0,0,0,0,21,0,0,0,0,27,33,0,1,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,13,18,0,1,1,0,0
3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,1,1,0,0
7,0,0,3,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,24,0,0,0,0,7,39,0,1,1,0,0
22,1,1,4,1,1,0,0,1,1,0,0,3,0,0,0,1,1,1,47,0,0,0,0,8,62,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
7,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,21,0,0,0,0,5,13,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,0,0
13,0,1,5,0,0,0,0,1,1,0,0,6,1,1,0,0,1,0,29,0,0,0,0,61,160,0,1,1,0,0
14,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,18,0,0,0,0,2,5,0,1,1,0,0
14,0,0,4,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,22,0,0,0,0,11,41,0,1,1,0,0
13,0,0,10,1,0,0,0,0,1,0,0,8,1,1,0,0,0,0,22,0,0,0,0,50,154,0,1,1,0,0
5,0,0,9,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,5,0,0,0,0,11,21,0,1,1,0,0
11,0,1,15,0,1,1,0,1,1,0,0,12,1,0,0,0,0,0,36,0,0,0,0,20,31,0,1,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,8,28,0,1,1,0,0
27,0,0,6,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,18,35,0,1,1,0,0
10,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,43,1,0,0,0,4,16,0,1,1,1,1
9,0,0,10,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,8,0,0,0,0,19,32,0,1,1,0,0
6,0,0,8,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,6,0,0,0,0,10,31,0,1,1,0,0
6,0,0,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,12,0,0,0,0,7,41,0,1,1,0,0
8,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,5,0,1,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,5,22,0,1,1,0,0
32,1,1,11,1,1,0,0,1,1,0,0,10,1,1,0,0,1,1,53,0,0,0,0,208,169,0,1,1,1,0
8,0,0,3,0,0,0,1,0,0,0,0,5,1,1,0,0,0,1,18,0,0,0,0,4,22,0,1,1,0,0
6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,18,0,0,0,0,9,21,0,1,1,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,1,1,0,0
5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,51,0,0,0,0,11,69,0,1,1,0,0
7,0,0,11,0,0,0,0,0,1,0,0,9,1,1,0,0,0,0,20,0,0,0,0,10,56,0,1,1,0,1
8,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,28,0,0,0,0,5,19,0,1,1,0,0
3,0,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,10,0,0,0,0,7,27,0,1,1,0,0
7,0,1,4,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,33,0,0,0,0,7,28,0,1,1,0,0
12,0,0,10,1,0,0,0,1,1,0,0,5,0,1,0,0,0,0,23,0,0,0,0,19,82,0,1,1,0,0
