perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_PHONE_STATE,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,suspicious_getSubscriberId,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,suspicious_sendTextMessage,intent_com_google_firebase_INSTANCE_ID_EVENT,n_api_calls,n_permissions,perm_android_permission_READ_LOGS,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_WRITE_SMS,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PHONE_STATE,intent_android_intent_action_PACKAGE_INSTALL,n_providers,n_services,n_activities,label
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,22,8,0,0,0,1,0,0,1,0,0,2,6,22,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,22,12,1,0,0,0,0,0,0,0,0,0,1,27,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,4,0,0,0,0,0,0,0,0,0,1,3,25,0
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,1,0,0,1,20,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32,9,0,0,0,1,0,0,1,0,0,2,0,15,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,20,0
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,21,11,0,0,0,0,0,0,0,0,0,1,2,15,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,23,13,0,0,0,1,0,0,1,0,0,3,6,19,0
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,17,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,23,9,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0,1,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0,1,14,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,2,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,1,0,0,1,0,0,1,0,0,0,2,10,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26,8,0,0,0,1,0,0,1,0,0,2,5,17,0
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,32,9,0,0,0,0,0,0,0,1,0,0,1,14,1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,32,9,0,0,0,0,0,0,0,1,0,0,1,14,1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,12,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,30,10,0,0,0,1,0,0,1,0,0,2,7,24,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,33,3,0,0,0,0,0,0,0,0,0,2,0,17,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,13,0,0,0,1,0,0,1,0,0,0,2,29,0
1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,5,29,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,13,0,0,0,1,0,0,1,0,0,0,2,29,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,31,8,0,0,0,1,0,0,1,0,0,1,3,12,0
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,27,15,0,0,0,1,0,0,1,0,0,0,2,14,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,0,1,12,0
0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,36,7,0,0,0,0,0,0,0,0,0,1,3,16,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,7,0,0,0,1,0,0,1,0,0,1,5,19,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,23,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,27,12,0,0,0,1,0,0,1,0,0,3,7,14,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,28,12,0,0,0,1,0,0,1,0,0,0,1,16,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,27,12,0,0,0,1,0,0,1,0,0,3,7,14,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22,10,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,25,13,0,0,0,1,0,0,1,0,0,2,5,29,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,28,9,0,0,0,1,0,0,0,0,0,1,3,13,0
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,31,11,0,0,0,1,0,0,1,0,0,2,9,23,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35,6,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24,9,0,0,0,1,0,0,1,0,0,2,8,27,0
0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,38,11,0,0,0,1,0,0,1,0,0,0,3,20,0
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22,9,0,0,0,1,0,0,1,0,0,3,7,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,33,7,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,2,1,17,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,1,1,10,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,17,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,33,16,1,1,0,0,0,1,0,0,0,0,1,28,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,1,1,18,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,1,2,16,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,2,11,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,32,13,0,0,0,1,0,0,1,0,0,0,3,14,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,2,11,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,25,15,0,0,0,1,0,0,1,0,0,2,8,19,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,27,8,0,0,0,1,0,0,1,0,0,2,7,21,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,2,16,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,1,0,15,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,28,14,0,0,0,1,0,0,1,0,0,0,6,15,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,13,0,0,0,0,0,0,0,0,0,2,1,17,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,5,0,0,0,1,0,0,1,0,0,2,7,19,0
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,35,15,0,1,0,0,0,1,0,0,0,1,2,24,1
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,28,9,0,0,0,1,0,0,1,0,0,4,8,18,0
0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,2,13,0
0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,2,13,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,23,9,0,1,0,1,0,1,1,0,0,3,9,17,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,32,9,0,0,0,1,0,0,1,0,0,2,5,11,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,1,14,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,3,19,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,27,11,0,0,0,1,0,0,1,0,0,1,5,12,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,1,0,26,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,3,2,14,0
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,29,9,0,0,0,1,0,0,1,0,0,1,5,11,0
0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,33,9,0,0,0,0,0,0,0,0,0,0,3,16,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,2,0,14,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,21,11,0,0,0,1,0,0,1,0,0,3,4,14,0
0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,22,12,0,0,0,1,1,0,1,0,0,1,7,24,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,21,11,0,0,0,1,0,0,1,0,0,1,7,16,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,27,11,0,0,0,0,0,0,0,0,0,0,0,12,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,1,1,16,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26,7,0,0,0,1,0,0,1,0,0,3,5,20,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,25,14,0,0,0,1,0,0,1,0,0,1,8,23,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,29,9,0,0,0,0,0,0,0,0,0,0,2,17,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,25,9,0,0,0,1,0,0,1,0,0,2,10,15,0
0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,25,13,0,0,0,1,0,0,1,0,1,2,4,15,0
1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,23,15,0,0,1,0,1,0,0,0,0,0,3,17,1
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,27,10,0,0,0,1,0,0,1,0,0,3,5,18,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,23,5,0,0,0,1,0,0,1,0,0,2,4,14,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,1,14,0
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,34,6,0,0,0,0,0,0,0,0,0,1,0,29,0
1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,29,12,0,0,0,0,0,0,0,0,0,1,2,18,1
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,25,12,0,0,0,1,0,0,1,0,0,5,4,12,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,2,12,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,2,1,12,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,27,14,0,0,0,1,1,0,1,0,0,1,9,22,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,16,0
1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,30,13,0,0,0,1,0,0,1,0,0,3,5,27,1
