n_api_calls,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,perm_android_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_Ldalvik_system_PathClassLoader_,n_providers,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,n_services,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_CHANGE_NETWORK_STATE,n_permissions,n_receivers,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,n_activities,perm_com_sec_android_provider_badge_permission_WRITE,label
38,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,16,3,0,0,0,16,0,1
43,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,16,1,0,0,0,28,0,1
47,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,7,1,0,0,0,25,7,0,0,0,26,0,1
47,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,1,0,0,0,17,5,0,0,0,17,0,1
49,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,3,1,0,0,1,23,5,0,0,0,27,0,1
42,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,5,1,0,0,1,19,1,0,0,0,28,0,1
36,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,18,0,0
48,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,7,1,0,0,0,19,6,0,0,0,27,0,1
39,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,9,1,0,0,0,20,3,0,0,0,14,0,1
50,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,5,1,0,0,1,25,4,0,0,0,29,0,1
41,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,4,1,0,0,0,17,2,0,0,0,13,0,1
41,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4,1,0,0,0,10,4,0,0,0,25,0,1
39,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,6,1,0,0,0,17,5,0,0,0,14,0,1
47,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,3,1,0,0,1,23,5,0,0,0,25,0,1
41,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,4,0,0,0,0,21,5,1,1,1,37,1,0
35,0,1,1,1,1,1,1,1,0,0,1,1,3,0,0,1,0,9,1,1,1,0,19,10,0,0,0,23,0,0
35,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,16,0,0,0,0,21,0,1
34,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,9,3,0,0,0,24,0,0
45,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,3,1,0,0,1,23,5,0,0,0,25,0,1
26,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,5,1,0,0,1,24,3,0,0,0,25,0,1
49,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,3,1,0,0,1,23,5,0,0,0,26,0,1
40,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,6,1,0,0,0,18,5,0,0,0,24,0,1
43,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,3,1,0,0,0,16,9,0,0,0,16,0,1
35,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,5,1,0,0,0,11,2,0,0,0,17,0,1
30,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,8,0,0,0,0,24,4,1,1,1,25,1,0
30,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,8,0,0,0,0,24,4,1,1,1,25,1,0
30,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,8,0,0,0,0,24,4,1,1,1,25,1,0
30,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,8,0,0,0,0,24,4,1,1,1,25,1,0
32,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9,1,0,0,0,24,0,0
47,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,4,1,0,0,0,16,1,0,0,0,17,0,1
31,0,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,1,6,1,1,1,0,27,6,1,1,1,32,1,0
40,0,1,1,1,0,1,1,1,1,1,1,1,6,1,0,1,0,13,1,1,1,0,20,6,0,0,0,21,0,0
39,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,19,2,0,0,0,34,0,0
51,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,4,1,0,0,0,16,1,0,0,0,23,0,1
43,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,12,1,0,0,0,17,0,1
40,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,9,0,0,0,0,18,8,1,1,1,16,1,0
34,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,4,1,0,0,1,20,6,0,0,0,30,0,1
44,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,3,1,0,0,0,9,1,0,0,0,24,0,1
35,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,2,1,0,0,1,25,4,0,0,0,11,0,1
30,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,11,4,0,0,0,21,0,0
41,0,0,0,1,0,1,1,1,1,1,1,1,5,0,0,1,0,9,1,1,1,1,15,4,0,0,0,30,0,0
33,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,8,1,0,0,0,25,8,1,1,1,18,1,0
31,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,9,1,0,1,0,28,6,1,1,1,19,1,0
43,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13,1,0,0,0,22,0,1
39,1,0,1,1,0,0,1,0,1,1,1,0,2,1,0,0,0,1,1,0,0,0,11,0,0,0,0,26,0,0
38,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,1,0,10,0,0,1,0,13,5,0,0,0,16,0,0
37,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,7,1,0,0,0,35,4,1,1,1,28,1,0
29,0,1,1,1,1,0,1,0,1,1,1,0,2,1,1,0,0,6,1,0,0,1,18,4,0,0,0,35,0,0
40,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,24,0,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,3,0,0,0,23,0,0
40,0,0,0,1,0,1,0,1,1,0,0,1,3,0,0,0,0,9,1,1,1,0,10,4,0,0,0,21,0,0
31,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,15,2,0,0,0,16,0,1
31,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,12,1,0,0,0,26,7,1,1,1,23,1,0
41,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,18,0,0,0,0,14,0,1
31,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,12,1,0,0,0,26,7,1,1,1,22,1,0
37,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,5,1,0,0,1,25,2,0,0,0,10,0,1
38,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,14,1,0,0,0,15,0,1
45,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,4,1,0,0,0,9,4,0,0,0,18,0,1
39,1,0,1,1,0,1,1,1,1,1,1,1,3,1,0,1,0,9,1,1,1,1,22,5,0,0,0,19,0,1
35,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,6,1,1,1,0,10,6,0,0,0,29,0,0
35,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,0,1,20,0,0,0,0,9,0,1
35,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,21,0,1
51,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,24,0,0
28,1,1,0,1,0,0,1,0,1,1,1,0,2,1,1,0,0,5,1,0,0,0,16,6,0,0,0,30,0,1
26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,3,0,0,0,28,0,0
39,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,1,0,14,0,0,1,0,12,7,0,0,0,25,0,0
31,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0,1,0,6,1,0,1,1,18,8,0,0,0,27,0,0
37,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,8,3,0,0,0,22,0,0
50,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,7,1,0,0,1,23,3,0,0,0,21,0,1
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,3,0,0,0,22,0,0
28,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,4,1,0,0,0,11,8,0,0,0,24,0,1
41,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,14,1,0,0,0,26,8,0,0,0,25,0,1
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,3,0,0,0,22,0,0
36,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,25,2,0,0,0,22,0,1
33,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,7,1,0,1,0,12,7,0,0,0,21,0,0
34,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,3,1,0,0,0,27,3,0,0,0,10,0,0
49,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,10,1,0,0,1,27,7,0,0,0,19,0,1
30,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,14,0,0,0,0,24,6,1,1,1,26,1,0
39,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,15,1,0,0,1,26,6,0,0,0,25,0,1
42,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,3,1,0,0,1,15,3,0,0,0,11,0,1
28,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,5,1,0,0,0,25,7,0,0,0,31,0,1
38,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,6,1,0,0,1,25,7,0,0,0,36,0,1
33,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,7,6,0,0,0,22,0,0
37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,14,0,1
37,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,6,1,0,0,0,16,6,0,0,0,17,0,1
29,1,1,1,1,1,0,1,0,1,1,1,1,6,1,1,0,0,13,1,0,0,1,19,5,0,0,0,30,0,1
44,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,10,1,0,0,0,20,3,0,0,0,17,0,1
31,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,2,1,0,0,1,23,5,0,0,0,14,0,0
39,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,19,1,0,0,0,8,0,1
36,0,0,0,0,0,1,0,1,0,1,1,1,5,0,0,0,0,9,0,1,1,0,18,7,0,0,0,24,0,0
34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,8,1,0,0,0,17,0,1
42,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,7,1,0,0,0,17,0,1
40,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,17,0,1
33,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,5,1,0,1,0,15,7,0,0,0,12,0,0
28,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,2,1,0,0,0,17,2,0,0,0,37,0,0
44,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,32,0,0,0,0,12,0,1
50,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,4,1,0,0,1,26,2,0,0,0,18,0,1
35,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,2,0,0,0,15,0,1
32,0,0,0,0,0,1,0,1,1,1,1,1,5,0,0,1,0,13,0,1,1,0,14,8,0,0,0,25,0,0
41,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,7,1,0,0,0,17,0,1
29,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,14,1,0,0,0,16,0,1
27,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,1,0,12,1,0,1,0,16,5,0,0,0,23,0,0
29,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,2,1,0,0,0,9,0,0,0,0,30,0,0
31,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,7,1,0,0,0,26,9,1,1,1,19,1,0
37,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,2,0,0,0,9,0,0
38,0,0,0,0,0,1,0,1,0,0,0,1,5,0,1,0,0,10,0,1,1,0,13,7,0,0,0,35,0,0
34,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,8,1,0,0,0,25,3,0,0,0,29,0,1
53,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,3,1,0,0,1,24,0,0,0,0,16,0,1
42,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,18,0,1
22,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,20,3,0,0,0,20,0,0
22,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,20,3,0,0,0,20,0,0
46,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,9,1,0,1,0,11,6,0,0,0,20,0,0
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,9,1,0,0,0,17,0,0
44,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,6,5,0,0,0,24,0,0
47,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,12,0,1
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,0,0,0,24,0,0
46,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,1,0,0,0,13,2,0,0,0,13,0,1
36,0,0,0,0,1,1,0,1,1,1,1,1,3,0,0,1,0,14,1,0,1,0,18,4,0,0,0,18,0,1
53,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,6,1,0,0,0,18,4,0,0,0,18,0,1
42,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,11,2,0,0,0,12,0,1
32,0,0,0,0,0,1,0,1,0,0,1,1,5,0,0,1,0,6,1,0,1,0,18,7,0,0,0,17,0,0
31,1,0,0,0,0,1,0,1,0,0,0,1,4,0,0,1,0,10,1,1,0,0,12,6,0,0,0,25,0,0
31,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,7,1,0,1,0,11,5,0,0,0,14,0,0
44,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,8,5,0,0,0,15,0,1
42,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,14,1,0,0,0,21,5,0,0,0,14,0,0
44,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,5,1,0,0,1,24,2,0,0,0,10,0,1
21,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,22,1,0,0,0,23,0,1
22,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,5,1,0,0,0,19,5,0,0,0,30,0,0
43,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,2,1,0,0,1,22,2,0,0,0,12,0,1
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,12,2,0,0,0,19,0,1
32,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,33,0,0,0,0,12,0,1
32,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,33,0,0,0,0,12,0,1
32,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,33,0,0,0,0,12,0,1
35,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,1,14,0,0,1,0,24,7,1,1,1,36,1,0
32,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,5,1,0,0,0,12,2,0,0,0,34,0,1
26,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,27,4,0,0,0,16,0,1
40,0,0,0,0,0,1,1,1,0,1,1,1,2,0,0,0,0,5,1,1,0,0,12,8,0,0,0,20,0,0
43,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,7,1,0,0,1,31,7,0,0,0,13,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
50,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,6,1,0,0,1,13,3,0,0,0,23,0,1
39,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,4,1,0,0,0,12,2,0,0,0,14,0,1
32,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,33,0,0,0,0,12,0,1
44,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,18,0,1
45,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,14,1,0,0,0,32,10,0,0,0,27,0,1
45,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,7,1,0,0,0,26,4,1,1,1,11,1,0
42,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,2,1,0,0,1,18,6,0,0,0,22,0,1
29,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8,3,0,0,0,24,0,0
49,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,10,2,0,0,0,15,0,1
38,1,1,1,1,1,0,1,0,1,1,1,0,4,1,1,0,0,7,1,0,0,1,21,2,0,0,0,20,0,1
43,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,7,1,0,0,0,9,5,0,0,0,13,0,1
43,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,7,1,0,0,0,9,5,0,0,0,13,0,1
37,0,0,0,1,0,1,1,1,0,0,0,1,3,0,1,1,0,7,1,1,0,0,10,10,0,0,0,32,0,0
32,0,0,0,0,0,1,0,1,0,0,0,1,5,1,0,0,0,5,1,1,0,0,12,6,0,0,0,16,0,0
36,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,14,0,0,0,0,8,0,1
30,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,13,3,0,0,0,22,0,0
48,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,10,1,0,0,0,21,11,0,0,0,15,0,0
33,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,8,1,1,1,1,24,11,0,1,0,33,1,1
53,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,4,1,0,0,1,15,4,0,0,0,16,0,1
26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9,3,0,0,0,23,0,0
42,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,0,12,6,0,0,0,20,0,0
34,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,4,0,0,0,20,0,0
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
42,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,5,1,0,0,0,10,3,0,0,0,11,0,1
44,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,9,1,0,1,0,17,5,0,0,0,23,0,0
50,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,13,3,0,0,0,13,0,1
29,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,6,1,0,1,0,17,10,0,0,0,18,0,0
35,0,0,0,0,1,1,0,1,0,1,0,1,4,1,0,1,0,11,1,1,1,1,17,7,0,0,0,28,0,0
36,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,1,1,9,1,0,1,0,20,7,1,1,1,11,1,0
47,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,6,1,0,0,1,27,6,0,0,0,12,0,1
32,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,8,1,0,0,1,12,3,0,0,0,26,0,1
26,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9,1,0,0,0,20,9,0,0,0,18,0,1
50,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4,1,0,0,0,10,8,0,0,0,20,0,1
43,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,4,1,0,0,0,17,1,0,0,0,40,0,0
45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,12,6,0,0,0,15,0,0
