n_api_calls,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,perm_android_permission_SYSTEM_ALERT_WINDOW,n_used_permissions,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SEND_SMS,n_permissions,suspicious_getSubscriberId,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_READ_SMS,perm_android_permission_WRITE_SMS,suspicious_getSystemService,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_LOGS,suspicious_Base64,perm_android_permission_RECEIVE_SMS,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getPackageInfo,intent_android_intent_action_PACKAGE_ADDED,n_providers,perm_com_baiqi_weather_permission_READ_SETTINGS,intent_com_excelliance_kxqp_action_swpmain,intent_show_encourage,intent_com_excelliance_kxqp_action_swpsrv,label
15,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
15,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
17,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,16,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,19,0,8,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,20,0,8,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
16,0,0,0,18,0,8,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,17,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,18,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,17,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,17,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
17,0,0,0,17,0,9,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,19,0,8,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
15,0,0,0,18,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,19,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
16,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
16,0,0,0,20,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
14,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
16,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,20,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
16,0,0,0,17,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
16,0,0,0,21,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
15,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
18,0,0,0,17,0,7,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,16,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,1,0,20,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
17,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,20,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,16,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,18,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,16,0,8,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,20,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,17,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,0,16,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
17,0,0,0,19,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
14,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,16,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,17,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
15,0,0,0,19,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,8,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,20,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,19,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,19,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,16,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16,0,0,0,20,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,18,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,20,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
16,0,0,0,17,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,18,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
18,0,0,0,18,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
15,0,0,0,15,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,18,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,16,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
18,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
17,0,0,0,17,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17,0,0,0,19,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
15,0,0,0,18,0,6,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,16,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,17,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
18,0,0,0,19,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
