suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,intent_android_intent_action_USER_PRESENT,suspicious_sendTextMessage,n_permissions,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_ADDED,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Landroid_telephony_SmsMessage___getMessageBody,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_MY_PACKAGE_REPLACED,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Base64,suspicious_getCellLocation,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_READ_EXTERNAL_STORAGE,n_api_calls,intent_pushy_me,suspicious_getDeviceId,n_urls,perm_android_permission_CAMERA,n_receivers,n_services,label
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,14,0,0,0,0
0,1,0,0,11,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,12,0,1,17,0,3,5,0
0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,17,0,1,22,0,5,3,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,11,0,0,0,0
0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,12,0,0,3,0,1,3,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,0,0,18,0,0,0,0
0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,20,0,1,5,0,0,1,0
0,1,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,28,0,1,4,1,0,0,0
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,1,34,0,0,0,0
0,0,0,0,8,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,1,1,19,0,1,10,1,7,5,0
0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,32,0,0,0,0
0,1,0,0,23,1,0,1,0,0,3,1,1,1,1,0,0,1,1,1,0,0,1,25,0,1,70,0,7,9,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,1,24,0,0,0,0
1,1,0,0,12,0,0,0,0,0,4,1,0,0,1,0,0,1,1,1,0,0,0,33,0,1,124,1,3,18,0
0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,18,0,1,1,0
0,0,0,0,26,1,0,0,0,0,3,1,0,0,1,1,1,1,1,0,1,0,0,31,0,1,35,0,9,10,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,16,0,1,43,0,0,0,0
0,0,0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,21,0,1,17,0,3,5,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,20,0,2,2,0
1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17,0,1,2,0,1,1,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,1,33,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,1,0,0,1,0
0,0,0,0,7,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,23,0,1,12,0,5,5,0
0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,17,0,1,57,0,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,1,11,0,0,0,0
0,1,0,0,14,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,22,0,1,10,0,2,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,13,0,0,0,0
0,0,0,0,17,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,23,0,1,44,0,5,4,0
0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,20,0,1,36,0,5,5,0
0,0,0,0,15,0,0,0,0,0,5,1,0,0,1,1,1,1,1,0,1,0,0,32,0,1,64,1,10,22,0
0,0,0,0,6,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,33,0,1,30,0,6,5,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27,0,1,35,0,0,0,0
0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,0,1,31,0,0,0,0
0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,12,0,0,11,0,5,7,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,1,43,0,0,0,0
0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,1,0,0,0,0
0,0,0,0,24,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,28,0,1,14,1,4,3,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,8,0,0,0,0
1,1,0,0,15,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,30,0,1,85,1,1,2,0
0,0,0,0,10,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,9,0,1,53,1,3,4,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1,10,0,0,0,0
0,1,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,31,0,1,70,0,0,0,0
1,0,0,0,10,1,1,1,0,0,2,1,0,0,1,0,0,0,1,1,0,0,1,26,0,1,40,0,4,8,0
0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,19,0,1,0,0
0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,20,0,1,8,1,0,0,0
0,0,0,0,7,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,20,0,1,37,0,3,5,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,1,33,0,0,0,0
0,0,0,0,19,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,28,0,1,21,0,6,7,0
0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,19,0,1,13,0,4,2,0
1,1,0,1,21,1,0,0,0,0,2,1,0,1,1,1,0,1,1,0,1,1,0,17,0,1,22,1,7,5,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,43,0,1,45,0,0,0,0
0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,16,0,1,24,0,6,6,0
0,0,0,0,11,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,18,0,1,74,0,3,1,0
1,0,0,0,10,1,0,0,0,0,5,1,0,0,1,1,0,1,1,1,1,0,0,36,0,1,122,0,8,24,0
0,0,0,0,9,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,43,0,1,71,0,5,7,0
0,0,0,0,9,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,0,0,0,36,0,1,113,0,6,13,0
0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,24,0,1,40,0,0,1,0
0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,21,0,1,36,0,1,0,0
0,1,0,0,10,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,30,0,1,36,0,2,2,0
0,1,0,0,10,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,29,0,1,44,0,4,4,0
0,0,0,1,16,0,0,0,0,0,5,1,0,0,1,0,0,1,1,1,0,1,1,38,0,1,96,0,9,7,1
0,0,0,0,29,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,15,0,0,34,1,9,5,0
0,0,0,0,7,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,21,0,1,17,1,4,6,0
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,19,0,0,0,0
0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,11,0,1,5,0,4,4,0
0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,19,0,1,6,0,0,0,1
0,0,0,0,12,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,20,0,1,21,1,5,3,0
1,1,0,1,23,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,46,0,1,9,1,0,1,0
0,1,0,0,11,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,19,0,1,27,1,5,8,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,30,0,1,38,0,1,1,0
1,1,1,0,12,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,17,0,1,41,0,3,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,1,32,0,0,0,0
0,1,0,0,20,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,32,0,1,83,1,6,4,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,0,1,19,0,0,0,0
0,0,0,0,24,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,19,0,1,21,0,4,3,0
0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,27,0,1,57,0,2,1,0
0,0,0,0,8,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,34,0,1,60,0,3,1,0
0,0,0,0,8,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,9,0,1,37,0,3,4,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,19,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30,0,1,58,0,0,1,0
0,0,0,0,24,1,0,0,0,0,3,1,0,0,1,1,1,0,1,0,1,0,1,21,0,1,12,0,5,7,0
0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,1,31,1,0,0,0
0,0,0,0,8,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,1,0,0,7,0,1,38,0,3,11,0
0,0,0,0,10,1,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,1,0,12,0,1,77,0,9,18,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,1,9,0,0,0,1
0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,12,1,1,0,0
0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,26,0,1,39,0,2,1,0
0,1,0,0,22,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,8,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,1,37,0,0,0,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,17,0,0,0,0
0,0,0,0,26,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,1,0,1,23,0,1,19,0,4,7,0
0,0,0,0,8,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,3,0,1,29,0,5,6,0
0,0,0,1,11,0,1,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,8,0,1,18,0,3,3,0
0,1,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0
0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,30,0,1,41,0,1,1,0
0,0,0,0,31,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,1,0,1,24,0,1,49,1,7,13,0
0,0,0,0,28,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,1,0,0,17,0,0,14,0,6,10,1
0,0,0,0,11,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,18,0,1,18,0,4,7,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0,0,19,0,0,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,0,0,20,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,1,24,0,0,0,0
0,0,0,0,6,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,32,0,1,98,0,3,3,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,38,0,1,0,1
0,0,0,0,27,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,17,0,1,8,0,7,5,0
1,1,0,1,10,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,33,0,1,16,1,2,5,0
0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,20,0,1,6,0,0,0,0
0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,29,0,1,38,0,0,0,0
0,0,0,0,28,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,10,0,1,24,1,4,3,0
1,1,1,1,46,1,1,1,1,0,3,0,1,1,1,1,0,1,1,0,1,0,1,48,0,1,200,1,7,17,0
0,1,1,0,20,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,60,0,1,131,0,15,9,1
0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,2,0,0,1,0
0,1,0,0,12,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,29,0,1,32,0,2,2,0
0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,13,0,1,15,0,3,7,0
0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,8,0,1,40,0,9,6,0
0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,12,0,1,22,0,1,1,1
0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,10,0,3,2,0
1,0,0,0,16,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,21,0,1,19,0,1,1,0
1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,1,37,0,0,0,0
0,1,1,0,9,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,8,0,1,44,0,4,2,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,0,22,0,0,0,0
0,0,0,0,8,1,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,30,0,1,52,1,7,8,0
0,0,0,0,9,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,19,0,1,16,0,5,7,0
0,1,0,0,14,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,10,0,1,94,0,3,3,0
0,1,0,0,20,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,42,0,1,67,0,2,3,0
0,0,0,0,26,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,17,0,0,22,0,5,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,0,1,0,0,1,4,0
0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,20,0,1,27,0,4,3,0
0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0,1,64,0,3,1,0
0,1,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,12,0,1,4,0,0,2,0
0,0,0,0,10,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,6,0,0,33,0,4,7,0
0,0,0,0,26,1,0,0,0,0,2,1,0,0,1,1,1,1,1,0,1,0,0,23,0,1,38,0,7,12,0
0,0,0,0,4,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,34,0,1,40,0,0,0,0
0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,16,0,1,29,0,0,0,0
0,1,0,0,9,0,0,0,0,0,5,1,0,0,1,0,0,0,1,1,0,0,1,19,0,1,41,0,10,12,0
0,1,0,0,12,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,0,1,1,23,0,1,88,0,5,8,1
0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20,0,0,19,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,16,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,32,0,1,37,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0
0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,16,0,1,19,0,0,1,0
0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,9,1,1,3,0
0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,17,0,0,0,1
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,35,0,0,0,0
0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,50,0,1,46,0,3,2,1
0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,10,0,3,2,0
0,1,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,36,0,1,19,0,1,2,0
0,1,0,0,18,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,31,0,1,23,1,3,3,0
0,1,1,0,17,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,15,0,1,19,0,3,3,0
1,1,0,0,20,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,44,0,1,133,0,4,3,0
1,1,0,0,35,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,66,0,1,157,0,24,12,0
0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,22,0,1,67,0,5,10,0
1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,30,0,1,13,0,0,0,0
1,1,1,0,16,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,54,0,1,227,1,3,4,0
0,1,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28,0,1,71,1,0,0,0
0,1,0,0,11,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,10,0,1,27,0,1,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,0,0,20,0,0,0,1
0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,19,0,1,25,0,4,3,0
0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,27,0,0,45,0,2,1,0
0,1,0,1,21,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,20,0,1,6,0,3,5,0
0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,2,0,1,0,0
0,0,0,0,18,1,0,0,0,0,5,1,0,0,1,1,0,1,1,1,1,1,0,44,0,1,234,0,5,8,0
0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,33,0,1,37,0,1,1,0
