intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_PACKAGE_ADDED,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSubscriberId,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_ACTION_POWER_CONNECTED,n_activities,perm_android_permission_READ_PHONE_STATE,perm_android_permission_RESTART_PACKAGES,perm_android_permission_READ_LOGS,intent_com_igexin_sdk_action_refreshls,intent_co_ronash_pushe_RECEIVE,intent_co_ronash_pushe_service_ScreenStateService,intent_com_evernote_android_job_ADD_JOB_CREATOR,perm_android_permission_RECORD_AUDIO,n_providers,n_urls,n_api_calls,suspicious_getCellLocation,perm_android_permission_WRITE_CALENDAR,suspicious_sendTextMessage,label
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0
0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,10,12,0,0,0,0
1,0,0,12,1,0,0,0,0,1,0,1,1,0,0,14,1,0,0,0,0,0,0,0,2,40,18,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,19,19,0,0,0,0
0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,7,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0
0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,2,26,7,0,0,0,0
1,1,0,16,1,0,0,0,1,0,0,1,1,0,0,26,1,0,0,0,0,0,0,0,0,93,26,1,0,0,0
0,0,0,8,1,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,32,19,0,0,0,0
0,0,0,30,0,0,0,1,1,0,0,1,0,0,0,13,1,0,0,0,0,0,0,1,2,78,25,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,4,50,11,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,7,46,28,0,0,0,0
1,0,0,9,0,0,0,0,1,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,3,35,8,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0,28,33,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,24,0,0,1,0
0,1,0,21,1,1,1,1,1,0,0,1,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,28,18,0,0,0,1
0,0,0,26,1,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,48,21,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0
1,1,0,33,1,0,1,1,1,0,0,1,0,1,1,47,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,47,34,0,0,0,0
1,0,0,15,1,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,28,25,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0
1,0,0,18,1,0,0,0,0,0,0,0,1,0,1,12,1,1,1,0,0,0,0,0,0,3,9,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,10,17,0,0,0,0
0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,3,37,22,0,0,1,1
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,50,7,0,0,0,1
0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,43,34,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,1,0,63,21,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,18,0,0,0,0
0,1,0,8,1,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21,21,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,33,5,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0
0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,1,24,10,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,17,0,0,0,0
0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,43,4,0,0,0,0
1,1,1,51,1,0,1,1,0,0,0,1,1,1,1,446,1,0,0,0,0,0,0,1,7,993,58,1,0,0,0
0,0,0,9,1,0,1,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,30,32,0,0,0,1
0,0,0,18,1,0,0,0,1,0,0,1,0,0,0,16,1,1,0,0,0,0,0,0,0,4,25,0,0,0,0
0,0,0,11,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,18,14,0,0,0,0
0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,1,34,19,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,80,21,0,0,0,0
1,1,0,23,1,0,1,1,1,1,0,1,0,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,6,1,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,58,27,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,86,17,0,0,0,0
0,0,0,30,1,0,0,0,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0,1,4,18,25,0,0,0,0
1,1,0,36,1,0,1,0,1,0,0,1,1,0,0,142,1,1,0,0,0,0,0,1,1,237,57,1,0,0,0
0,0,0,11,1,0,0,0,0,0,0,1,1,0,0,21,1,0,0,0,0,0,0,0,1,78,26,0,0,0,0
0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,27,21,0,0,0,0
0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,33,1,0,0,0,0,0,0,0,1,24,12,0,0,0,0
0,1,1,23,1,1,0,0,1,1,0,1,1,1,1,46,1,0,0,0,0,0,0,0,0,696,23,0,0,0,0
0,0,0,17,1,0,0,0,1,0,0,1,1,0,0,51,1,0,0,0,0,0,0,1,2,133,28,1,0,0,0
0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,42,24,0,0,0,0
0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,3,70,20,0,0,0,0
0,0,0,14,1,0,0,1,1,0,1,1,1,0,0,13,1,0,0,0,0,0,0,0,0,91,52,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,87,0,0,0,0,0,0,0,0,0,111,18,0,1,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0
0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,66,19,0,0,0,0
0,0,0,21,0,0,0,0,1,0,0,1,0,0,0,56,1,0,0,0,0,0,0,1,0,100,56,0,1,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0
0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,44,52,0,0,0,0
0,0,0,11,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,18,14,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,25,19,0,0,0,0
1,0,0,14,1,0,0,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,1,4,122,31,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0
1,0,0,8,1,0,0,0,0,0,0,1,0,1,0,42,0,0,0,0,0,0,0,0,1,105,47,0,0,0,0
0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,72,1,0,0,0,0,0,0,0,1,120,22,0,0,0,0
1,0,0,17,1,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,10,31,28,0,1,0,0
1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,2,65,32,0,0,0,0
1,0,0,18,1,0,0,0,1,0,0,1,0,0,0,57,1,0,0,0,0,0,0,0,1,156,24,0,0,0,0
0,0,0,27,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,17,19,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0
1,0,0,25,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,2,113,19,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0
0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,12,5,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,14,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,21,36,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,47,35,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0
0,0,0,13,1,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,2,32,21,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,3,16,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,1,14,1,0,0,1,0,1,0,1,1,0,0,30,1,1,1,0,0,0,0,0,0,216,44,1,0,0,1
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,27,18,0,0,0,0
0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,2,35,21,0,0,0,0
0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,72,19,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0
0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,46,21,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,30,21,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0
1,0,0,15,1,0,0,0,1,0,0,1,0,1,1,38,1,0,0,0,0,0,0,0,2,98,46,1,0,0,1
0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,49,29,0,0,0,0
1,1,0,66,1,0,1,1,1,1,0,1,1,0,0,193,1,1,1,0,0,0,0,0,5,21,7,0,0,0,0
0,0,0,15,1,0,0,0,1,0,0,1,0,0,0,27,0,0,0,0,0,0,0,1,2,32,23,0,0,0,0
1,1,1,34,1,0,1,1,1,1,0,1,1,0,0,146,1,1,1,1,0,0,0,1,2,440,66,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0
0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,35,1,0,0,0,0,0,0,0,2,34,25,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,19,22,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,10,0,0,0,0
0,1,1,17,1,0,0,1,0,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,1,22,31,1,0,0,0
0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,1,27,18,0,0,0,0
1,1,0,13,1,0,0,0,1,1,0,1,1,0,0,11,1,0,0,0,0,0,0,0,0,8,18,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,4,38,15,0,0,0,0
0,0,1,32,1,1,1,1,1,0,0,1,0,0,0,27,0,0,0,0,0,0,0,1,10,46,36,1,0,0,0
0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,33,0,0,0,0,0,0,0,0,1,67,38,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,1,121,40,0,0,0,0
0,0,0,27,0,0,0,0,1,0,0,0,0,1,1,7,1,0,0,0,0,0,0,0,4,34,14,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,1,41,28,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,32,28,0,0,0,0
0,0,0,20,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,28,14,0,0,0,0
0,0,0,12,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,8,40,0,0,1,1
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,30,19,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0
0,0,0,12,1,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,1,80,22,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,19,13,0,0,0,0
0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,17,19,0,0,0,0
0,0,0,11,0,0,0,1,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,1,42,25,0,0,0,0
0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,3,49,14,0,0,0,0
0,0,0,14,1,0,1,0,1,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,1,52,19,0,0,0,0
0,0,0,31,1,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,3,40,25,0,0,0,0
0,1,0,8,1,0,0,1,0,0,0,1,1,0,0,32,1,0,0,0,0,0,0,0,0,91,40,0,0,0,1
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0
0,0,0,28,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,8,12,0,0,0,0
1,0,0,8,1,0,0,0,0,0,0,1,0,1,0,42,0,0,0,0,0,0,0,0,1,105,47,0,0,0,0
1,1,0,29,1,0,1,1,1,0,0,1,1,0,0,38,1,0,1,0,0,0,0,1,3,65,28,1,0,0,0
0,1,1,34,1,0,1,0,1,1,0,1,1,0,0,258,1,0,0,0,0,0,0,1,0,210,58,1,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,24,20,0,0,0,0
0,0,0,18,1,0,0,0,1,0,0,1,0,0,0,30,1,0,0,0,0,0,0,0,3,35,26,0,1,0,0
0,0,0,33,1,0,0,0,1,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,3,41,25,0,0,0,0
0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,5,56,19,0,0,0,0
0,1,0,20,1,0,1,0,1,1,0,1,0,0,0,16,1,1,1,0,0,0,0,0,1,7,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
0,1,0,27,1,0,1,0,1,0,0,1,0,0,0,9,1,0,1,0,0,0,0,0,0,14,30,0,0,0,0
1,0,0,14,0,0,0,1,1,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,3,24,20,0,0,0,0
0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,10,17,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,40,27,0,0,0,0
1,0,0,12,1,0,0,0,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,1,2,123,52,0,0,0,0
1,0,0,8,1,0,0,0,0,1,0,1,1,0,0,47,0,0,0,0,0,0,0,0,2,186,48,1,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,10,4,0,0,0,0
0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,60,29,0,0,0,0
0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,34,8,0,0,0,1
0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,5,86,15,0,0,0,0
1,1,0,27,1,0,1,0,1,0,0,1,1,0,0,6,1,1,0,0,0,0,0,0,0,7,13,0,0,0,1
0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,1,31,17,0,0,0,0
0,1,0,13,1,0,1,0,0,0,0,1,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,19,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,76,0,0,0,0,0,0,0,0,4,33,9,0,1,0,0
0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,11,14,0,0,0,0
0,1,0,15,1,0,0,0,0,0,0,1,1,0,0,31,0,0,0,0,0,0,0,1,5,119,40,1,0,0,1
0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,9,16,0,0,0,0
0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,46,1,0,0,0,0,0,0,0,5,157,29,0,0,0,0
0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,250,28,0,0,0,0
0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,51,25,0,0,0,0
0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,61,1,0,0,0,0,0,0,0,4,35,30,0,0,0,1
0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,1,39,22,0,0,0,0
0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,176,23,1,0,0,0
0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,3,45,29,0,0,0,0
0,0,0,7,1,0,1,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,5,6,0,0,0,0
0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,27,22,0,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,13,0,0,0,0
0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,26,18,0,0,0,0
0,1,1,10,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,2,55,28,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,15,18,0,0,0,0
0,1,1,37,1,0,1,1,1,0,0,1,1,0,0,39,1,1,1,0,0,0,0,1,2,112,45,1,0,0,0
0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,25,17,0,1,0,0
0,0,0,12,1,0,0,0,1,0,0,1,1,0,0,54,0,0,0,0,0,0,0,0,1,104,24,0,0,0,0
0,0,0,7,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,33,12,0,0,0,1
0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,30,15,0,0,0,1
1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,31,21,0,0,0,0
1,1,1,145,1,1,1,1,1,0,1,1,1,0,0,331,1,1,1,0,0,0,0,1,9,124,59,1,1,0,0
0,1,0,12,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,19,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,8,1,0,0,0
0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0
0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,43,1,0,0,0,0,0,0,0,1,53,21,0,0,0,0
0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,49,29,1,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0
