n_api_calls,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,n_activities,suspicious_getExternalStorageDirectory,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_SCREEN_OFF,suspicious_getDeviceId,n_providers,suspicious_sendTextMessage,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,n_used_permissions,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_com_baoruan_launcher3_ACTION_THEME,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_System___load,perm_android_permission_VIBRATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,n_urls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_receivers,suspicious_Base64,perm_android_permission_RECEIVE_USER_PRESENT,intent_android_net_wifi_WIFI_STATE_CHANGED,label
17,0,0,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,33,0,2,0,1,0,0,0
34,1,0,0,0,0,35,1,1,0,0,0,0,0,9,0,0,0,0,1,1,0,0,8,1,18,4,1,0,1,0
56,0,0,1,1,1,94,1,1,0,1,2,0,0,16,1,0,0,0,1,1,0,0,203,1,35,4,1,1,0,0
5,0,0,0,0,0,4,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,17,0,3,0,1,0,0,0
31,0,0,0,0,0,87,1,0,0,1,4,0,0,11,0,0,0,0,1,0,0,0,69,0,12,1,1,0,0,0
20,0,0,0,0,0,8,1,0,0,1,4,0,0,10,0,0,0,1,1,0,1,1,43,0,9,4,1,0,0,0
12,0,0,0,0,0,9,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,0,5,0,1,0,0,0
26,1,1,1,1,0,25,1,1,0,1,1,0,0,9,1,0,0,0,1,1,0,0,76,1,24,3,1,1,0,0
22,0,0,0,1,0,32,1,0,0,1,8,0,0,9,0,0,0,1,0,0,1,1,47,0,9,4,1,0,0,0
29,0,0,1,0,0,6,1,0,0,1,0,0,0,9,0,0,0,1,1,1,1,0,45,0,7,2,1,0,0,0
9,0,0,0,1,0,8,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,8,0,1,0,0,0
23,0,0,0,0,0,9,1,0,0,1,2,0,0,8,0,0,0,1,1,1,1,1,27,0,27,7,1,0,0,0
26,0,0,0,0,0,22,1,0,0,1,6,0,0,12,1,0,0,1,1,0,1,1,58,0,13,11,1,0,0,0
18,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,7,0,5,0,1,0,0,0
16,1,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,1,0,1,1,0,14,0,9,1,1,0,0,0
45,0,0,0,0,0,6,1,0,0,1,0,1,0,13,0,0,0,1,1,1,1,0,11,0,21,1,1,0,0,0
15,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,18,0,2,0,1,0,0,0
4,0,0,0,0,0,5,0,0,0,1,1,0,0,4,0,0,0,1,1,0,1,0,7,0,7,4,1,0,0,0
20,0,0,0,0,0,9,1,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,41,0,7,0,1,0,0,1
14,0,0,0,0,0,8,1,0,0,1,0,0,0,6,0,0,0,0,1,1,1,0,24,0,5,0,1,0,0,0
15,0,0,0,0,0,8,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,29,0,4,0,1,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
12,0,0,0,0,0,5,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,19,0,2,0,1,0,0,0
18,0,0,0,0,0,6,1,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,12,0,2,0,1,0,0,0
38,0,0,0,0,0,12,1,0,0,1,0,0,0,12,0,0,0,1,0,1,1,0,58,0,12,2,1,0,0,0
17,0,0,0,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0,0,0,0,5,1,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,24,0,2,0,1,0,0,0
18,0,0,0,0,0,7,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,1,23,0,7,4,1,0,0,0
3,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
18,0,0,0,0,0,6,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,1,22,0,5,4,1,0,0,0
14,0,0,0,0,0,70,1,0,0,1,0,0,0,6,0,0,0,1,0,1,1,1,118,0,12,5,1,0,0,0
17,0,0,0,0,0,8,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,30,0,7,1,1,0,0,0
25,0,0,0,0,0,10,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,26,0,5,0,1,0,0,0
44,1,1,0,1,1,80,1,1,0,1,3,1,0,16,0,0,0,0,1,1,0,0,69,1,41,8,1,0,0,0
47,0,0,0,1,0,10,1,0,0,1,3,0,0,18,0,0,0,1,1,0,1,1,40,0,10,4,1,0,0,1
6,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,2,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0
27,0,0,0,0,0,16,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,45,0,8,2,1,0,0,0
22,0,0,0,0,0,3,1,0,0,1,0,0,0,10,0,0,0,0,1,0,0,1,36,0,4,1,1,0,0,0
8,0,0,0,0,0,9,1,0,0,1,2,0,0,6,0,0,0,1,0,0,1,1,26,0,9,3,1,0,0,0
34,0,0,0,0,0,2,1,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,40,0,6,0,1,0,0,0
14,0,0,0,0,0,9,1,0,0,1,4,0,0,8,0,0,0,1,0,1,1,1,176,0,12,10,1,0,0,0
9,0,0,0,0,0,17,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,52,0,4,0,1,0,0,0
19,0,0,0,0,0,8,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,22,0,2,0,1,0,0,0
48,1,1,0,1,1,24,1,1,0,1,1,0,0,13,1,0,0,0,1,1,1,0,63,1,44,12,1,1,0,0
31,0,0,0,0,0,14,1,1,0,1,6,0,0,14,0,0,0,1,1,1,1,1,103,0,9,13,1,0,0,0
45,0,0,0,0,1,13,1,0,0,1,5,0,0,16,0,0,0,1,1,1,1,1,124,0,14,5,1,0,0,0
20,1,0,0,0,1,2,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0
18,0,0,0,0,0,1,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
16,0,0,0,0,0,5,1,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,17,0,11,0,1,0,0,0
7,0,0,0,0,0,15,1,0,0,1,2,0,0,6,0,0,0,1,0,0,1,1,27,0,9,5,1,0,0,0
34,0,0,0,0,0,17,1,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,49,0,7,3,1,0,0,0
12,0,0,1,0,0,9,1,0,0,1,0,0,0,6,0,0,0,0,1,1,0,0,44,0,6,1,1,0,0,0
12,0,0,0,1,0,55,1,0,0,1,3,0,0,7,0,0,0,1,0,1,1,1,49,0,17,7,1,0,0,0
20,0,0,0,0,0,4,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,5,0,21,4,1,0,0,0
17,0,0,0,0,0,1,1,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,52,0,2,0,1,0,0,1
12,1,0,0,1,0,11,1,0,0,1,1,0,0,5,0,0,0,0,0,1,1,0,33,0,13,2,1,0,0,0
6,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,22,0,7,0,1,0,0,0
19,0,0,0,0,0,7,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,24,0,2,0,1,0,0,0
31,0,0,0,0,0,18,1,0,0,1,2,0,0,13,0,0,0,0,1,0,0,0,31,0,3,0,1,0,0,1
13,0,0,0,0,0,11,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,25,0,5,1,1,0,0,0
22,0,0,0,0,1,19,1,0,0,1,1,0,0,8,0,0,0,1,0,1,1,0,47,0,9,5,1,0,0,0
20,0,0,0,0,0,13,1,0,0,1,2,0,0,7,0,0,0,1,0,0,1,1,22,0,7,3,1,0,0,0
16,1,0,0,1,0,31,1,1,0,1,2,0,0,8,0,0,0,1,0,0,1,0,48,0,12,4,1,0,0,0
24,0,0,0,1,0,7,1,0,0,1,1,0,0,11,0,0,0,1,1,1,1,1,34,0,12,4,1,0,0,0
28,0,0,0,0,0,122,1,1,0,1,5,1,0,15,0,0,0,1,1,1,1,1,80,0,18,10,1,0,0,0
21,0,0,0,0,0,10,1,0,0,1,0,0,0,11,0,0,0,0,1,0,1,0,23,0,7,0,1,0,0,0
17,0,0,0,0,1,4,1,0,0,1,0,1,0,6,0,0,0,0,1,1,0,0,4,1,14,1,1,0,0,0
20,1,0,0,0,0,8,1,0,0,1,1,0,0,8,0,0,0,1,0,1,1,1,68,0,16,7,1,0,0,0
12,0,0,0,0,0,15,1,0,0,1,4,0,0,6,0,0,0,1,1,0,1,1,41,0,7,3,1,0,0,0
8,0,0,0,0,0,3,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,32,0,1,0,1,0,0,0
20,0,0,0,0,0,15,1,0,0,1,2,0,0,10,0,0,0,1,1,0,1,1,69,0,11,5,1,0,0,0
0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,1,0,0,0
7,0,0,0,0,0,4,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,31,0,5,1,1,0,0,0
46,0,0,0,0,0,38,1,1,0,1,2,0,0,14,0,0,0,1,1,0,1,1,96,0,14,4,1,0,0,1
30,0,0,0,0,0,13,1,0,0,1,2,0,0,12,0,0,0,1,1,1,1,1,61,0,25,9,1,0,0,0
15,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,19,0,4,0,1,0,0,0
28,0,0,0,0,1,34,1,0,0,1,2,1,0,11,0,0,0,0,1,1,0,0,5,0,15,0,1,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
18,0,0,0,0,0,12,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,29,0,8,0,1,0,0,0
34,0,0,0,0,0,11,1,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,22,0,10,0,1,0,0,0
17,0,0,0,0,0,21,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,17,0,10,0,1,0,0,0
16,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,2,0,1,0,0,0
20,0,0,0,0,0,10,1,0,0,1,3,0,0,11,0,0,0,1,1,0,1,1,40,0,9,3,1,0,0,1
36,0,0,0,0,0,16,1,0,0,0,1,1,0,12,0,0,0,1,0,1,1,1,40,0,13,4,1,0,0,1
21,0,0,0,0,1,1,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,1,10,1,1,0,0,0
21,0,0,0,0,0,16,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,0,48,0,13,5,1,0,0,1
6,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
58,0,0,0,0,0,58,1,0,0,1,0,0,0,17,0,0,0,1,1,0,1,1,121,0,21,6,1,0,0,0
0,1,0,0,1,0,45,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,38,8,0,0,0,0
44,0,0,0,0,0,2,1,0,0,1,1,0,0,15,0,0,0,0,1,0,0,1,45,0,6,1,1,0,0,0
8,0,0,0,0,0,3,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,32,0,6,0,1,0,0,0
11,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,3,0,1,0,0,1
16,0,0,0,0,0,4,1,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0
17,0,0,0,0,0,41,1,0,0,1,1,0,0,7,0,0,0,1,0,1,1,1,102,0,28,9,1,0,0,0
26,0,0,1,0,0,10,1,0,0,1,1,0,0,10,0,0,0,0,1,0,0,1,65,0,6,3,1,0,0,0
19,0,0,0,0,0,3,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,22,0,5,0,1,0,0,0
21,1,0,0,1,0,16,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,1,52,0,10,5,1,0,0,0
19,0,0,0,0,0,8,1,0,0,1,1,0,0,9,0,0,0,1,1,0,1,1,64,0,10,5,1,0,0,0
5,1,0,0,1,1,108,1,0,0,1,4,0,0,3,0,0,0,0,1,1,0,0,3,1,34,0,1,1,0,0
19,0,0,0,0,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,5,1,1,0,0,0
19,0,0,0,0,0,14,1,0,0,1,1,0,0,8,0,0,0,1,0,1,1,1,62,0,22,9,1,0,0,0
16,0,0,0,0,0,10,1,0,0,1,1,0,0,7,0,0,0,1,0,1,1,0,43,0,15,14,1,0,0,0
14,0,0,0,0,0,7,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,32,0,5,0,1,0,0,0
31,0,0,0,0,0,4,1,0,0,1,4,0,0,9,0,0,0,0,0,0,0,1,27,0,7,1,1,0,0,0
12,0,0,0,0,0,5,1,0,0,1,1,0,0,6,0,0,0,1,0,1,1,0,22,0,9,1,1,0,0,0
29,0,0,0,0,0,21,1,0,0,1,4,0,0,14,0,0,0,1,1,1,1,1,42,0,24,11,1,0,0,0
40,0,0,0,0,1,12,1,0,0,1,2,0,0,10,0,0,0,1,1,1,1,0,48,0,20,3,1,0,0,0
35,0,0,1,0,0,29,1,0,0,1,4,0,0,16,0,0,0,1,1,0,1,1,132,0,8,9,1,0,0,0
15,0,0,0,0,0,13,1,0,0,1,6,0,0,8,0,0,0,1,0,0,1,1,54,0,18,5,1,0,0,0
39,1,0,0,0,1,19,1,1,1,1,2,0,0,19,0,0,0,1,0,1,1,1,55,0,12,8,1,0,0,0
20,0,0,0,0,0,90,1,1,0,1,6,0,0,7,0,0,0,1,0,1,1,1,45,0,12,15,1,0,0,1
32,0,0,0,0,0,67,1,0,0,1,2,0,0,15,0,0,0,1,1,0,1,1,152,0,37,8,1,0,0,0
14,0,0,0,0,0,3,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,16,0,2,0,1,0,0,0
19,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,9,0,4,0,1,0,0,0
0,1,0,0,1,0,14,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,23,5,0,0,0,0
17,0,1,1,1,0,27,1,1,0,1,2,0,0,9,1,0,0,1,1,1,1,1,73,0,26,22,1,0,0,1
0,1,1,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,43,7,0,0,0,0
13,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,19,0,2,0,1,0,0,0
18,0,0,0,0,0,2,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,22,1,0,0,1,1,1,0,9,0,0,0,1,1,1,1,0,38,0,14,3,1,0,0,0
41,0,0,0,1,0,30,1,0,0,1,5,0,0,16,0,0,0,1,1,0,1,1,185,0,9,8,1,0,0,1
13,0,0,0,0,0,5,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,41,0,3,0,1,0,0,0
22,0,0,0,0,0,5,1,0,0,1,1,0,0,9,0,0,0,1,0,0,1,1,29,0,5,3,1,0,0,0
17,0,0,0,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
24,0,0,0,0,0,8,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,26,0,6,0,1,0,0,0
26,0,0,0,0,0,15,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,49,0,5,0,1,0,0,0
23,0,0,0,0,0,4,1,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,25,0,5,0,1,0,0,0
26,0,0,0,0,0,9,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,39,0,5,0,1,0,0,0
28,0,0,0,0,0,16,1,0,0,1,3,0,0,15,0,0,0,1,1,1,1,1,58,0,8,6,1,0,0,0
3,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
21,1,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,7,0,1,0,0,0
9,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,5,0,5,0,1,0,0,0
10,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,0,0,0,0,0,1,1,0,0,1,0,1,0,17,0,0,0,0,1,0,0,0,5,0,5,0,1,0,0,0
6,0,0,0,0,0,6,1,0,0,0,3,0,0,5,0,0,0,1,0,0,1,1,36,0,5,3,1,0,0,0
17,0,0,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
27,0,0,0,0,0,7,1,1,0,1,7,0,0,10,0,0,0,1,0,0,1,1,42,0,14,14,1,0,0,0
26,0,0,0,0,0,21,1,0,0,1,3,0,0,14,0,0,0,1,0,1,1,1,57,0,28,9,1,0,0,0
42,0,0,0,0,0,44,1,0,0,1,0,0,0,11,0,0,0,1,0,1,1,0,246,1,22,3,1,0,0,0
18,0,0,0,0,0,4,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,1,22,0,8,4,1,0,0,0
15,0,0,1,0,0,6,1,0,0,1,1,0,0,7,0,0,0,1,1,1,1,0,8,0,17,3,1,0,0,0
22,0,0,0,0,0,13,1,0,0,1,1,0,0,12,0,0,0,1,0,0,1,1,36,0,7,3,1,0,0,0
1,1,0,1,1,0,304,0,1,1,0,12,0,0,1,1,0,0,0,1,1,1,0,1,1,58,17,0,1,1,0
14,0,0,0,0,0,47,1,0,0,1,3,0,0,5,0,0,0,1,1,0,1,0,45,0,8,7,1,0,0,0
25,0,0,0,0,0,9,1,0,0,0,3,0,0,12,0,0,0,1,0,1,1,1,40,0,31,12,1,0,0,0
29,1,1,0,1,1,11,1,0,0,1,1,0,0,10,0,0,0,0,1,0,0,0,39,1,20,0,1,0,0,0
21,1,1,0,1,0,40,1,1,0,1,5,0,0,11,0,0,0,1,1,1,1,1,81,1,28,9,1,0,1,0
19,0,0,0,0,0,10,1,0,0,1,1,0,0,8,0,0,0,1,0,0,1,1,36,0,15,4,1,0,0,0
27,0,0,0,1,0,58,1,1,0,1,4,0,0,12,0,0,0,1,0,0,1,1,102,0,18,8,1,0,0,0
12,0,0,0,0,0,3,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,0,0,0,0,0,3,1,0,0,1,1,0,0,6,0,0,0,1,0,0,1,0,17,0,8,2,1,0,0,0
16,0,0,0,0,0,5,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,15,0,4,0,1,0,0,0
36,0,0,0,0,0,22,1,0,0,1,0,0,0,10,0,0,0,0,1,1,0,0,16,1,21,0,0,0,0,0
20,0,0,0,0,0,4,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,12,0,6,0,1,0,0,0
19,0,0,0,0,0,10,1,0,0,1,0,0,0,9,0,0,0,0,1,1,0,1,29,0,9,4,1,1,0,0
21,0,0,0,0,0,9,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,30,0,5,0,1,0,0,0
27,0,0,0,0,0,1,1,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,39,0,11,1,1,0,0,0
15,0,0,0,0,0,81,1,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,10,0,17,1,1,0,0,0
43,1,1,1,1,1,45,1,0,0,1,0,0,0,12,1,0,0,0,1,1,0,0,81,1,25,3,1,0,0,0
19,0,0,0,0,0,10,1,0,0,1,2,0,0,9,0,0,0,1,0,0,1,1,28,0,10,6,1,0,0,1
25,0,0,0,0,0,7,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,20,0,3,0,1,0,0,0
4,0,0,0,0,0,43,0,0,0,1,1,0,0,3,0,0,0,1,0,0,1,1,19,0,11,3,1,0,0,0
18,0,0,0,0,0,7,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,15,0,8,0,1,0,0,0
