perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_READ_PHONE_STATE,suspicious_system_bin_su,n_providers,intent_com_google_vr_vrcore_ACTION_NONE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,n_api_calls,suspicious_getDeviceId,n_used_permissions,n_urls,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_SET_WALLPAPER,n_receivers,perm_android_permission_CAMERA,n_services,perm_android_permission_VIBRATE,perm_android_permission_SET_WALLPAPER_HINTS,suspicious_adb_enabled,n_permissions,n_activities,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_RECEIVE_BOOT_COMPLETED,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Cipher,perm_android_permission_DIAGNOSTIC,label
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,11,23,0,0,1,0,0,0,0,1,0,7,10,1,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0,21,1,10,23,1,0,1,0,1,0,0,1,0,7,9,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,19,1,10,23,1,0,1,0,1,0,0,0,0,7,10,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,24,1,0,0,0,0,0,0,0,0,6,10,1,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,19,1,10,24,1,0,1,0,1,0,0,0,0,7,10,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,24,1,0,0,0,0,0,0,0,0,6,10,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,23,1,10,24,0,0,1,0,0,0,0,1,0,6,8,0,0,1,1,0,1
1,0,1,0,0,1,1,1,1,1,21,1,11,21,0,0,0,0,0,0,0,0,0,7,9,0,0,1,1,0,1
0,0,0,2,0,1,1,1,1,1,21,1,10,24,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,22,0,10,24,1,0,0,0,0,0,1,0,0,6,11,0,0,1,1,0,0
0,0,0,2,0,0,1,1,1,1,20,1,11,22,1,0,0,0,1,0,0,0,0,6,10,0,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,20,1,10,24,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,22,0,10,24,1,0,0,0,0,0,1,0,0,6,11,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,22,1,9,23,1,0,0,0,1,0,0,0,0,6,10,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,19,1,10,25,1,0,1,0,1,0,0,0,0,7,10,0,0,1,1,0,0
0,1,0,1,0,1,1,1,1,1,20,1,10,24,1,0,0,1,1,1,0,0,0,7,9,0,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,20,1,10,23,1,0,1,0,0,0,0,0,0,7,8,0,0,1,1,0,0
0,1,0,1,0,1,1,1,1,1,20,1,10,24,1,0,0,1,1,1,0,0,0,7,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,21,1,11,21,1,0,1,0,0,0,0,1,0,9,8,1,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,21,1,11,25,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,0,1,0,1,1,1,1,1,22,1,11,24,1,0,0,0,0,1,0,0,0,8,9,0,0,0,1,0,0
0,0,0,2,0,1,1,1,1,1,21,1,11,25,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,21,1,11,25,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,21,1,11,25,1,0,1,0,1,0,0,0,0,8,11,0,0,1,1,0,0
0,0,0,0,0,1,0,0,0,1,20,1,11,23,0,0,1,0,0,2,0,1,0,5,11,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,22,1,9,24,1,0,0,0,1,0,0,0,0,6,11,0,0,1,1,0,0
0,0,1,0,1,1,1,1,1,1,20,0,9,22,0,1,0,0,0,0,1,0,0,7,11,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,11,24,1,0,0,1,1,0,1,0,0,6,9,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,21,1,10,23,1,0,1,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,19,1,9,23,1,0,1,0,1,0,0,1,0,7,11,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,21,1,9,22,1,0,0,0,0,0,0,0,0,7,12,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,20,1,11,24,0,0,1,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,24,1,0,0,0,1,0,0,0,0,5,9,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,21,1,9,22,0,0,0,0,0,0,0,0,1,5,11,0,0,1,1,0,0
0,1,0,0,0,0,1,1,1,1,23,0,10,23,1,0,0,0,0,1,0,0,0,6,9,0,0,1,1,0,0
0,0,0,1,0,1,0,0,0,1,21,1,12,24,0,0,0,0,0,0,0,0,0,6,12,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,21,1,10,25,1,0,0,1,0,1,0,0,0,6,10,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,21,1,8,24,1,0,1,0,0,0,0,1,0,6,11,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,25,1,0,0,0,1,0,1,0,0,6,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,22,1,9,24,1,0,0,1,0,0,0,0,0,6,9,0,0,1,1,0,0
1,0,0,1,0,0,0,0,0,1,20,1,10,23,0,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,9,23,0,0,0,0,0,0,0,0,0,5,10,0,0,1,1,0,1
0,0,0,0,0,1,0,0,1,1,20,1,10,23,0,0,1,0,0,0,0,1,0,8,7,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,22,1,9,24,0,0,0,0,0,0,1,0,1,6,8,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,22,0,10,21,1,0,0,0,0,0,0,0,0,6,8,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,21,1,8,24,0,0,1,0,0,0,0,1,0,8,8,1,1,1,1,0,0
0,0,0,1,0,0,1,1,1,1,21,1,12,21,1,0,1,0,0,0,0,0,0,5,12,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,9,23,0,0,1,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,22,1,13,25,1,0,1,0,1,0,0,0,0,8,10,0,0,1,1,0,0
0,0,0,0,0,1,0,0,0,1,22,1,9,21,0,0,1,0,0,0,0,1,0,5,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,20,1,10,26,1,0,1,0,1,0,0,0,0,7,11,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,0,22,1,9,24,1,1,0,0,0,0,0,0,0,6,11,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,21,0,10,23,0,0,0,0,0,0,1,0,0,6,7,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,19,1,9,23,1,1,0,0,0,0,0,0,0,7,9,0,0,1,1,0,0
0,0,0,2,0,1,0,0,0,1,20,1,11,25,0,0,0,0,0,1,0,0,0,6,10,0,0,1,1,0,0
0,0,0,0,1,0,1,1,1,1,23,1,12,22,0,1,0,1,0,1,0,0,0,6,11,1,0,0,1,0,0
0,0,0,0,0,1,1,1,0,1,22,1,10,24,0,1,0,0,0,0,0,0,1,4,9,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,20,1,9,24,1,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,1
0,0,0,1,0,0,0,0,1,1,22,1,13,24,1,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,21,1,8,23,0,1,0,0,0,0,0,0,0,6,8,0,0,1,1,0,0
0,1,0,1,0,0,1,1,1,1,23,1,12,22,1,1,0,0,0,0,0,0,0,7,8,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,22,1,10,24,0,0,0,0,0,0,1,0,1,4,9,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,21,1,8,23,0,1,0,0,0,0,0,0,0,6,8,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,21,1,8,22,0,0,1,0,0,0,1,1,0,9,9,0,1,1,1,0,0
1,0,0,0,1,1,1,1,1,1,19,0,10,25,0,1,0,0,0,0,0,0,0,8,9,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,19,1,10,24,0,0,0,1,0,0,1,0,0,8,10,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,22,1,9,22,1,0,0,0,1,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,19,1,10,24,1,0,0,0,1,0,0,0,0,6,8,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,22,1,9,24,0,0,0,0,0,0,0,0,1,5,8,0,0,1,1,0,0
0,0,0,1,0,1,0,0,1,1,19,1,9,23,1,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,21,0,10,23,0,0,0,0,0,0,0,0,0,5,7,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,22,1,0,0,0,0,1,1,0,0,5,8,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,22,1,9,24,0,0,0,0,0,0,0,0,1,5,8,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,21,1,12,22,0,0,0,0,0,0,0,0,0,4,8,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,25,1,0,0,0,0,0,0,0,0,6,10,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,22,1,9,24,0,0,0,0,0,0,0,0,1,5,8,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,20,1,11,22,1,1,0,0,0,0,0,0,0,6,7,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,1,23,1,10,24,1,0,0,1,0,0,0,0,0,9,9,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,0,19,1,9,23,1,0,0,0,0,1,0,0,0,5,9,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,1,19,1,10,24,1,0,0,0,1,0,0,0,0,5,12,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,21,1,9,26,0,0,0,0,0,1,0,0,0,6,11,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,0,9,21,0,0,0,0,0,0,0,0,0,4,10,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,21,1,9,26,0,0,0,0,0,1,0,0,0,6,11,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,20,1,9,24,0,0,0,0,0,0,0,0,1,4,9,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,0,9,21,0,0,0,0,0,0,0,0,0,4,10,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,21,1,9,26,0,0,0,0,0,1,0,0,0,6,11,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,20,1,12,24,1,0,0,0,0,1,1,0,0,8,12,0,0,1,1,0,0
1,1,0,0,0,1,0,0,1,1,19,1,9,24,1,0,0,0,0,0,0,0,0,8,8,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,22,0,9,25,0,0,0,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,13,22,1,1,0,0,0,1,1,0,0,7,8,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,21,0,10,22,0,1,0,1,0,0,1,0,0,4,9,0,0,1,1,0,0
0,0,0,2,0,0,0,0,1,1,22,1,9,23,1,0,0,0,1,0,0,0,0,5,9,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,21,1,12,26,1,0,0,0,1,0,0,0,0,5,9,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,22,1,9,24,1,0,0,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,8,24,0,0,0,0,0,0,0,0,0,7,9,0,0,1,1,0,0
0,1,0,0,0,0,1,1,1,1,24,1,10,22,1,0,0,1,0,0,1,0,0,6,9,0,0,0,1,0,0
0,0,0,1,0,1,1,1,1,1,19,1,9,24,1,0,0,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,19,1,9,22,1,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,19,1,9,25,1,0,1,0,0,0,0,0,0,6,8,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,1,19,1,9,21,1,0,0,0,1,0,0,0,0,5,10,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,21,1,11,24,1,0,1,2,0,0,0,1,0,8,7,0,1,1,1,0,0
0,0,0,0,0,0,1,1,1,1,24,1,11,23,1,0,1,0,0,0,0,1,0,6,7,0,0,1,1,0,0
0,0,0,2,0,0,0,0,1,1,20,1,11,26,1,0,1,0,1,0,0,0,0,7,11,0,0,1,1,0,0
0,0,0,1,1,1,1,1,0,0,19,1,11,21,0,1,0,0,0,0,0,0,0,5,9,0,0,1,1,0,0
0,0,0,2,0,1,1,1,1,1,20,1,11,26,1,0,1,1,1,0,0,0,0,8,11,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1,1,20,0,11,21,0,0,0,0,0,0,1,0,0,6,7,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,22,1,10,25,0,0,0,1,0,0,1,0,0,9,10,0,0,1,1,0,1
0,0,1,0,0,1,1,1,1,1,20,1,8,21,0,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,22,1,10,25,0,0,0,1,0,0,1,0,0,9,10,0,0,1,1,0,0
0,0,0,2,0,0,1,1,1,1,22,1,13,25,1,0,0,0,0,0,0,0,0,5,11,0,0,1,1,0,0
0,0,0,2,0,0,0,0,1,1,20,1,11,24,0,0,0,0,1,0,0,0,0,4,9,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,26,0,0,1,0,0,0,0,0,0,7,8,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,21,0,9,22,0,1,0,0,0,0,1,0,0,4,10,0,0,1,1,0,1
0,0,1,0,0,1,1,1,1,1,20,1,8,21,0,0,0,0,0,0,0,0,0,5,9,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,1,19,1,9,24,1,0,0,0,0,0,0,0,0,7,12,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,22,1,10,24,0,1,0,0,0,1,1,0,0,4,10,0,0,1,1,0,0
1,1,0,0,1,1,1,1,1,1,19,0,10,23,0,1,0,0,0,0,0,0,0,9,8,0,0,1,1,0,0
0,0,0,0,0,0,1,1,0,1,23,1,10,26,1,0,1,0,0,0,0,1,0,5,9,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,1,19,1,10,24,0,0,0,0,0,0,0,0,0,4,10,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,1,19,1,9,23,0,0,0,1,0,0,0,0,0,8,10,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,22,0,0,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,18,1,8,22,1,0,1,0,1,0,0,0,0,7,9,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,1,21,1,11,23,0,0,0,1,0,0,0,0,0,4,8,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,22,1,9,24,0,0,0,0,1,0,0,0,0,5,7,0,0,1,1,0,0
0,0,0,2,0,0,0,0,1,1,19,1,10,23,1,0,0,0,0,0,0,0,0,5,12,0,0,1,1,0,0
0,0,0,1,0,1,1,1,1,1,21,1,9,25,1,0,0,0,1,0,0,0,0,6,7,0,0,1,1,0,1
0,0,0,1,0,0,1,1,1,1,21,1,9,21,1,0,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,19,1,9,25,1,1,0,0,1,1,0,0,0,7,9,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,22,1,9,21,1,0,0,1,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,22,0,10,24,0,0,0,0,0,0,0,0,0,3,9,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,22,1,10,22,0,1,0,0,0,0,1,0,1,4,8,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,19,1,9,21,1,0,0,0,0,1,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,9,25,0,0,0,1,0,0,0,0,0,5,12,0,1,1,1,0,0
0,0,1,0,0,1,1,1,1,1,20,1,8,22,0,0,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,23,1,9,22,1,0,0,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,1,0,1,1,1,0,1,20,1,11,25,0,0,0,0,0,0,1,0,0,5,13,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,19,1,9,23,1,0,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0
0,0,0,0,1,1,1,1,1,1,20,0,11,22,0,1,0,1,0,2,0,0,0,6,13,0,1,1,1,0,0
0,0,0,0,0,1,0,0,0,1,22,1,9,25,0,0,0,0,1,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,22,1,11,25,0,0,0,0,0,0,0,0,1,5,13,0,0,1,1,0,1
0,0,0,0,1,0,1,1,0,1,21,0,12,22,0,1,0,1,0,0,1,0,0,4,8,0,0,1,1,0,0
0,1,0,1,0,1,1,1,1,1,19,1,9,20,1,0,0,0,1,0,0,0,0,7,11,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,19,1,8,23,1,0,1,0,1,0,0,0,0,7,8,0,0,1,1,0,0
0,0,0,2,0,0,0,0,1,1,22,1,13,24,1,0,0,0,0,0,0,0,0,5,12,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,9,25,1,0,0,0,1,0,0,0,0,5,8,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,20,1,9,23,1,0,0,1,0,2,0,0,0,8,11,0,1,0,1,0,0
0,0,0,2,0,0,0,0,1,1,19,1,10,22,1,0,0,0,0,0,0,0,0,5,8,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,22,1,10,25,0,0,0,0,0,2,1,0,0,6,13,0,0,1,1,0,1
0,1,1,0,0,1,1,1,1,1,22,1,9,20,0,0,0,0,0,0,0,0,1,5,9,0,0,1,1,0,0
0,1,0,0,0,0,1,1,0,1,22,1,9,26,0,0,0,0,0,0,0,0,0,5,10,0,0,1,1,0,1
0,0,0,1,0,0,0,0,1,1,23,1,14,23,1,0,1,0,0,0,0,0,0,6,12,0,0,1,1,0,0
0,0,0,1,1,0,1,1,1,1,23,0,12,25,0,1,0,1,0,0,1,0,0,6,8,0,1,1,1,0,0
0,1,0,0,0,0,0,0,0,1,20,1,10,22,0,0,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,22,1,9,21,0,0,0,0,1,0,0,0,0,5,8,0,0,1,1,0,0
0,1,1,0,1,1,1,1,1,1,21,0,9,21,0,1,0,0,0,0,0,0,0,6,7,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,1,23,1,10,20,0,0,0,0,1,0,0,0,0,7,9,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,20,1,10,20,0,0,1,0,0,0,0,0,0,4,9,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,21,1,0,0,0,1,0,0,0,0,8,12,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,10,24,0,1,1,3,0,1,0,0,0,7,7,0,1,1,1,0,0
0,0,0,1,0,0,0,0,1,0,22,1,9,26,1,1,0,0,0,0,0,0,0,6,11,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,9,24,1,0,0,0,0,0,0,0,0,4,8,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1,21,1,9,22,1,0,0,0,0,0,0,0,0,6,6,0,0,1,1,0,0
0,1,1,0,1,1,1,1,1,1,21,0,9,21,0,1,0,0,0,0,0,0,0,6,7,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,21,1,9,24,1,0,0,0,0,0,0,0,0,8,7,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,21,1,0,0,0,1,0,0,0,0,8,12,0,0,1,1,0,0
0,0,1,0,1,1,1,1,1,1,20,0,11,19,0,1,0,0,0,0,1,0,0,7,9,0,0,1,1,0,0
0,1,0,0,0,1,0,0,1,1,24,1,11,23,0,0,1,0,0,0,0,0,0,9,8,0,0,1,1,0,0
0,0,1,0,1,1,1,1,1,1,20,0,11,19,0,1,0,0,0,0,1,0,0,7,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,0,1,20,1,11,26,0,1,0,2,0,2,0,0,1,7,10,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,21,1,0,0,0,1,0,0,0,0,8,12,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,19,1,9,24,1,0,0,0,0,0,0,0,0,6,7,0,0,1,1,0,1
0,0,0,1,0,0,0,0,1,1,22,1,9,24,1,1,0,1,1,0,0,0,0,6,7,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,22,1,10,21,0,0,0,0,1,0,1,0,0,5,13,0,0,1,1,0,0
0,0,0,1,0,0,1,1,1,1,24,0,11,24,0,0,0,0,0,0,1,0,0,4,9,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,23,1,10,26,1,0,0,0,0,0,0,0,0,9,10,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,23,1,10,25,0,0,1,0,0,0,0,0,0,4,8,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,1,19,1,9,22,1,0,0,0,0,0,0,0,0,4,8,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,1,20,1,11,24,0,0,0,0,0,0,0,0,0,3,9,0,0,1,1,0,1
0,0,0,1,0,0,0,0,0,1,22,1,12,23,0,0,0,0,0,0,0,0,0,3,9,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,23,1,10,25,0,0,0,0,1,0,1,0,1,5,8,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,20,1,11,25,0,1,0,0,0,0,1,0,1,4,8,0,0,1,1,0,0
0,0,1,0,0,1,1,1,1,1,23,1,12,25,0,0,0,0,0,0,1,0,0,5,13,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,20,1,10,22,0,1,0,0,0,0,0,0,0,3,9,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,18,1,10,23,1,0,0,0,0,1,0,0,0,6,12,0,0,1,1,0,1
0,0,0,1,0,0,0,0,0,1,23,1,11,24,0,1,0,0,0,0,0,0,0,4,8,0,0,1,1,0,0
0,0,0,1,0,1,1,1,1,1,20,1,10,27,1,0,0,0,0,0,0,0,0,5,10,0,0,1,1,0,0
0,0,0,1,0,0,0,0,1,1,20,1,11,23,0,0,1,0,0,0,0,0,0,5,6,0,0,1,1,0,1
