n_api_calls,suspicious_getExternalStorageDirectory,n_urls,n_activities,suspicious_getDeviceId,n_permissions,suspicious_Ldalvik_system_PathClassLoader_,n_providers,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_System___load,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_VIBRATE,n_used_permissions,n_services,n_receivers,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_SET_WALLPAPER,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,intent_com_google_android_c2dm_intent_REGISTRATION,intent_com_yuetu_shentu_Intent_WECHAT_AUTH,perm_android_permission_INTERACT_ACROSS_USERS_FULL,intent_com_taobao_accs_intent_action_START_FROM_AGOO,perm_android_permission_SEND_SMS,label
30,1,61,13,1,25,1,2,0,1,1,1,12,12,9,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
20,1,41,9,1,7,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,96,38,1,14,0,2,0,1,1,0,14,6,4,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
28,1,5,34,1,15,0,2,0,1,0,1,11,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8,1,32,3,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,69,15,1,11,1,2,0,1,1,0,10,8,5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
19,1,62,14,1,22,1,1,0,0,1,1,8,7,9,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
22,1,47,32,1,9,1,8,0,0,1,0,9,7,4,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
12,1,27,6,0,4,1,1,0,1,0,0,8,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,3,3,1,7,0,2,0,1,0,0,7,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
73,1,132,74,1,45,0,0,1,1,0,1,19,6,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,1,26,2,1,4,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,35,7,1,11,1,1,0,0,0,0,14,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
27,1,37,3,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,31,6,1,9,1,1,0,0,1,1,10,7,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
12,1,36,6,1,12,0,0,0,0,1,0,6,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
26,1,39,9,1,5,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
32,1,40,6,1,3,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1,47,19,1,9,1,1,0,0,1,1,8,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,47,19,1,9,1,1,0,0,1,1,8,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,15,10,1,9,1,0,0,1,0,0,8,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,1,32,10,1,6,1,0,0,0,0,0,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,1,13,7,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,220,125,1,37,0,0,1,1,0,1,17,15,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
17,0,33,5,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,43,8,1,9,1,4,0,1,1,0,10,4,4,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
38,1,58,12,1,12,0,0,0,0,1,1,12,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
56,1,203,94,1,35,0,2,0,1,0,1,16,7,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
31,1,69,87,1,12,1,4,0,1,0,0,11,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
46,1,18,5,1,10,1,1,0,1,1,1,13,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,1,35,12,1,17,1,2,0,1,1,0,10,4,11,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0
12,1,11,9,1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
47,1,49,12,1,16,0,0,0,1,1,0,12,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
34,1,8,35,0,18,0,0,1,1,0,1,9,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1,72,65,1,29,1,2,0,1,0,1,11,9,6,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
28,1,104,17,1,13,1,5,0,1,1,1,14,10,12,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1
27,1,155,72,1,12,1,2,0,1,1,1,10,10,6,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
17,1,41,2,1,5,1,1,0,0,1,0,6,6,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
5,1,17,4,1,3,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,9,4,1,6,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
26,1,15,7,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,65,20,1,9,1,4,0,1,1,0,13,20,7,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
2,0,12,3,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,33,18,1,7,1,1,0,0,1,0,7,3,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
23,1,22,3,0,4,1,0,0,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,6,6,1,11,1,1,1,1,1,0,8,4,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
25,1,8,6,1,10,1,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,1,2,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,12,10,1,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,25,20,1,6,0,1,0,1,0,0,7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19,1,17,6,0,5,0,0,0,0,0,0,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,1,8,2,1,5,1,1,0,0,1,0,8,6,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
15,1,18,4,0,3,1,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,49,17,1,28,1,5,0,1,1,1,11,10,6,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
42,1,35,6,1,5,1,1,0,1,0,0,14,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,1,3,6,1,2,0,1,0,1,0,0,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1,0,17,0,16,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27,1,0,4,1,7,0,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1,8,3,0,2,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,45,7,1,8,1,1,0,0,1,0,7,6,6,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
20,1,8,2,0,9,1,2,0,1,1,1,9,5,5,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
42,1,58,8,1,17,0,1,0,1,1,1,12,7,5,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
44,1,116,43,1,11,0,0,0,1,0,1,16,1,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
22,1,60,23,1,24,0,1,1,1,0,1,11,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,1,41,5,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,1,1,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,29,5,1,5,1,1,0,0,1,0,9,6,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
24,1,26,8,1,6,1,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,1,38,22,1,14,0,1,0,1,1,1,9,9,3,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
17,1,38,14,1,30,0,1,0,1,0,1,8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,1,41,6,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1,21,23,1,7,1,2,0,0,1,0,9,5,3,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
16,1,23,5,1,9,0,1,0,0,1,1,8,1,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
22,1,25,18,1,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,23,4,1,5,1,1,0,0,1,0,9,6,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
18,1,14,38,0,4,0,0,0,0,0,0,6,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,36,13,1,7,1,1,0,0,1,0,12,5,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
8,1,59,22,1,8,1,0,0,1,1,0,5,4,6,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
15,1,52,35,1,13,1,3,0,0,1,1,8,9,3,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
27,1,41,29,1,16,0,4,0,0,0,0,11,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1,6,2,1,2,0,0,0,1,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,65,37,1,38,1,8,1,1,1,1,12,17,8,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
24,1,4,1,1,5,0,0,0,0,0,1,11,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,1,32,11,1,7,1,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,17,7,0,19,0,0,0,1,1,1,6,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
18,1,15,7,1,8,0,1,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
49,1,23,4,1,3,1,0,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,104,20,1,28,0,3,0,1,0,1,16,8,4,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
17,1,17,8,1,3,0,1,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,1,276,124,1,20,1,9,1,1,1,1,16,13,9,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
27,1,1,4,1,3,0,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,1,8,1,1,5,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1,167,53,1,17,1,2,0,1,1,1,10,13,9,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
32,1,79,16,1,12,1,5,0,1,1,0,16,5,6,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
25,1,20,6,0,3,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,36,13,1,4,1,0,0,1,0,0,8,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17,1,23,6,1,5,1,0,0,1,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
16,1,18,3,0,6,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,65,12,1,8,1,1,0,0,1,0,9,10,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
15,1,21,2,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,2,1,2,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,21,17,1,5,0,0,0,0,0,0,7,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,1,49,15,1,5,1,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6,1,4,1,1,8,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,1,22,7,1,11,0,1,0,0,1,1,10,6,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
13,1,1,1,1,7,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,1,98,38,1,15,0,2,0,1,1,0,14,6,4,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
22,1,23,4,0,5,1,0,0,0,0,0,10,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,1,39,18,1,8,0,0,0,0,1,0,7,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,4,7,1,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,54,1,1,23,0,0,1,1,0,1,17,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1,66,14,1,18,1,5,0,0,1,1,14,9,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19,1,29,5,1,8,1,2,0,1,1,1,8,4,5,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
16,1,9,2,0,4,1,0,0,0,0,0,6,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
58,1,121,58,1,21,0,0,0,1,1,0,17,10,6,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
27,1,36,7,1,7,1,2,0,0,1,0,14,5,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19,1,25,2,0,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1,77,27,1,17,1,1,0,0,1,0,10,10,10,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
12,1,25,7,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,6,1,1,5,0,0,0,1,0,1,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,18,2,1,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,12,4,1,6,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1,11,31,1,17,1,3,0,1,0,1,9,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1,48,7,1,7,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,1,9,3,1,2,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,18,7,0,10,0,0,0,1,1,1,4,1,4,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
4,1,14,6,1,4,0,0,1,1,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,9,3,0,25,1,1,0,0,1,1,7,10,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,1,25,4,1,5,1,0,0,0,0,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10,1,2,1,0,3,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,54,17,1,9,0,0,0,0,1,1,4,2,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
21,1,16,13,0,4,0,0,0,1,0,0,9,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
23,1,67,17,1,14,1,7,0,1,1,0,12,14,11,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
96,1,174,11,1,31,0,0,1,1,0,1,21,9,6,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
19,1,22,4,0,5,1,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2,1,1,14,0,0,1,0,0,1,6,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
5,0,10,3,1,8,0,0,0,1,0,1,3,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
18,1,17,27,0,4,0,0,0,0,0,0,6,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,47,34,1,9,0,0,0,0,0,1,7,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,1,3,49,0,90,1,5,1,1,0,1,3,26,12,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0
27,1,83,19,1,19,0,3,0,0,1,1,11,10,9,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
17,1,1,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,16,5,0,5,0,0,0,0,0,0,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,3,3,1,8,0,1,0,0,1,0,3,5,3,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
33,1,34,42,1,18,0,1,0,1,0,1,11,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,0,17,2,1,6,1,2,0,0,1,0,2,7,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
20,1,27,42,1,4,1,2,0,1,0,0,8,9,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,10,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
19,1,10,6,1,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,19,6,0,2,1,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,31,80,1,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,75,18,1,8,1,3,0,0,1,0,8,10,8,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
14,1,176,9,1,12,1,4,0,0,1,1,8,14,10,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
35,1,41,2,1,28,0,1,1,1,0,0,12,12,6,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
29,1,45,5,1,26,1,1,0,1,1,0,12,9,4,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
29,1,35,2,1,16,0,0,0,0,1,1,11,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,1,151,38,1,21,1,1,0,1,1,0,9,3,5,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
28,1,15,4,1,5,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,1,21,13,1,43,1,1,1,0,0,1,10,18,6,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
21,1,27,3,0,4,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,41,3,1,7,1,1,0,1,1,1,10,7,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
33,1,29,6,1,26,0,0,1,1,0,1,9,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,1,29,4,1,11,1,1,0,0,1,0,7,6,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
17,1,23,2,0,4,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,1,77,32,1,14,1,6,0,0,1,0,8,13,15,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
17,1,92,47,1,6,1,3,0,0,1,0,8,11,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
20,1,25,6,1,8,1,1,0,0,1,0,8,4,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
39,1,51,1,1,11,0,0,0,1,0,0,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1,48,11,1,12,0,1,0,1,1,1,10,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
14,1,44,44,1,15,0,3,0,1,1,0,5,6,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,1,32,5,1,6,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1,48,16,1,13,0,1,0,0,1,0,7,10,5,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
18,1,23,34,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1,25,11,1,5,1,0,0,0,0,0,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1,17,8,1,14,0,1,1,1,1,1,13,6,3,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
24,1,460,6,1,12,1,0,1,1,0,1,10,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,1,38,1,1,22,0,0,0,1,0,0,11,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
22,1,109,53,1,8,1,5,0,1,1,0,8,18,7,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
12,1,41,4,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,31,10,1,4,1,1,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,1,31,4,1,11,1,2,0,0,0,0,13,2,7,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
40,1,124,42,1,6,0,1,0,0,1,0,11,9,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
12,1,0,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,1,19,7,1,26,1,0,0,0,1,1,5,3,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
8,1,32,3,1,6,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
