suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellLocation,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_USER_PRESENT,suspicious_adb_enabled,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,suspicious_getWifiState,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,n_urls,perm_android_permission_RECEIVE_SMS,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Landroid_telephony_SmsMessage___getMessageBody,intent_android_intent_action_PACKAGE_REMOVED,n_used_permissions,n_api_calls,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_majeur_launcher_permission_UPDATE_BADGE,intent_com_google_android_gms_iid_InstanceID,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_android_permission_BLUETOOTH,label
1,1,13,1,1,1,0,0,0,1,0,1,0,0,0,0,17,0,1,1,0,0,1,12,52,0,0,0,0,0,1
1,1,13,1,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,14,51,0,0,0,0,0,1
0,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,7,41,0,0,0,0,0,1
0,1,10,0,0,0,0,1,0,1,1,0,0,0,0,0,19,0,0,0,0,0,0,12,49,0,0,0,0,0,0
1,1,10,1,1,0,0,0,0,1,0,0,1,0,0,0,16,1,1,0,0,0,0,12,43,0,0,0,0,0,1
1,1,8,0,1,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,0,0,0,11,38,0,0,0,0,0,1
1,1,6,0,1,0,0,0,0,1,0,0,1,0,0,0,22,0,0,0,0,0,0,15,56,0,0,0,0,0,1
0,0,10,0,0,0,0,1,0,1,1,0,0,0,1,1,18,0,0,0,1,1,0,13,46,0,0,1,0,0,0
0,0,10,0,0,0,0,1,0,1,1,0,0,0,1,1,18,0,0,0,1,1,0,13,46,0,0,1,0,0,0
0,0,10,0,0,0,0,1,0,1,1,0,0,0,1,1,18,0,0,0,1,1,0,13,46,0,0,1,0,0,0
1,1,10,0,1,1,0,0,1,1,0,1,0,0,0,0,12,1,1,0,0,0,1,12,40,0,0,0,0,0,1
1,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,11,44,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,0,15,0,0,0,0,1,0,1,1,0,0,0,1,1,7,0,0,0,1,1,0,12,41,1,1,1,1,0,0
1,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,1,0,13,43,0,0,0,0,0,0
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,1,0,13,43,0,0,0,0,0,0
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,38,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,38,0,0,0,0,0,1
1,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,13,49,0,0,0,0,0,0
1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,7,42,0,0,0,0,1,0
1,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,8,37,0,0,0,0,0,0
1,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,38,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,9,37,0,0,0,0,0,0
0,0,16,0,0,0,0,1,0,1,0,0,0,0,1,0,15,0,0,0,1,0,0,13,46,1,1,0,1,0,0
0,1,18,0,0,0,0,1,0,1,1,0,0,0,1,0,9,0,0,0,1,0,0,12,49,0,0,0,0,1,0
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,13,1,0,1,1,0,1,1,0,1,0,1,0,0,17,0,0,0,0,0,1,14,44,0,0,0,0,0,1
0,1,5,0,0,0,0,1,0,1,1,0,0,0,0,0,22,0,0,0,0,1,0,14,44,0,0,0,0,0,0
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,11,42,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,39,0,0,0,0,0,1
0,1,8,0,1,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,10,40,0,0,0,0,0,1
1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,37,0,0,0,0,0,1
1,1,10,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,9,38,0,0,0,0,0,1
1,1,17,1,1,1,1,0,0,1,0,1,0,0,0,0,10,0,1,0,0,0,1,12,43,0,0,0,0,0,1
0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,3,17,0,0,0,0,0,0,14,42,0,0,0,0,1,0
1,1,10,0,1,0,0,0,1,1,0,0,1,0,0,0,15,0,0,0,0,0,0,10,40,0,0,0,0,0,1
0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,23,0,0,0,0,1,0,13,45,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,11,42,0,0,0,0,0,1
1,1,18,1,1,0,0,0,1,1,0,0,0,1,0,0,17,1,1,1,0,1,0,12,49,0,0,0,0,0,1
1,1,11,0,1,0,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0,0,12,46,0,0,0,0,0,1
1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,11,34,0,0,0,0,1,0
1,1,15,0,0,0,0,0,1,1,0,0,0,1,0,0,11,1,0,1,0,0,0,14,38,0,0,0,0,0,1
1,1,12,0,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,1,0,0,0,13,41,0,0,0,0,0,1
1,1,14,1,1,1,1,0,0,1,0,1,0,0,0,0,12,0,1,0,0,0,1,11,39,0,0,0,0,0,1
0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,1,23,0,0,0,0,1,0,13,43,0,0,0,0,0,0
1,1,11,1,1,0,0,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,0,12,39,0,0,0,0,0,1
1,1,21,1,1,1,1,0,1,1,0,1,0,1,0,0,13,1,1,0,0,0,1,12,52,0,0,0,0,0,1
0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,10,37,0,0,0,0,1,0
1,1,13,0,1,0,0,0,0,1,0,0,0,1,0,0,7,1,1,0,0,0,0,9,36,0,0,0,0,0,1
0,0,6,0,1,0,0,0,1,1,0,0,0,1,0,0,15,0,0,0,0,0,0,12,36,0,0,0,0,0,0
0,1,21,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,1,0,1,1,0,13,45,0,0,1,0,0,0
0,1,21,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,1,0,1,1,0,13,45,0,0,1,0,0,0
0,1,10,0,1,1,1,0,0,0,1,1,0,0,0,0,14,0,0,0,0,0,0,11,41,0,0,0,0,1,1
0,1,21,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,1,0,1,1,0,13,45,0,0,1,0,0,0
0,1,21,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,1,0,1,1,0,13,45,0,0,1,0,0,0
0,1,21,0,0,0,0,1,0,1,1,0,0,0,1,0,11,0,1,0,1,1,0,13,45,0,0,1,0,0,0
1,1,21,1,1,1,1,0,1,1,1,1,1,0,0,2,12,0,0,1,0,0,1,14,47,0,0,0,0,0,1
1,1,9,1,0,1,0,0,1,1,0,1,0,0,0,0,9,0,0,0,0,0,1,10,34,0,0,0,0,0,1
1,1,14,1,1,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,0,0,10,36,0,0,0,0,0,1
1,1,22,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,0,1,0,0,0,11,45,0,0,0,0,0,1
1,1,22,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,0,1,0,0,0,11,45,0,0,0,0,0,1
1,1,22,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,0,1,0,0,0,11,45,0,0,0,0,0,1
1,1,22,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,0,1,0,0,0,11,45,0,0,0,0,0,1
1,1,14,1,1,1,0,0,1,1,0,1,1,0,0,0,19,0,1,0,0,0,1,12,42,0,0,0,0,0,1
1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,1,0,13,36,0,0,0,0,1,0
1,1,11,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,9,36,0,0,0,0,0,1
1,1,14,1,1,0,0,0,0,1,0,0,0,0,0,0,11,1,1,0,0,0,0,10,36,0,0,0,0,0,1
0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,8,33,0,0,0,0,0,0
1,1,8,0,1,0,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,8,34,0,0,0,0,0,1
1,1,23,0,1,1,1,0,1,1,0,0,0,1,0,0,6,1,1,1,0,1,0,12,45,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,23,1,1,0,0,0,0,1,0,0,1,0,0,0,9,1,1,1,0,0,0,12,46,0,0,0,0,0,1
1,1,22,1,1,1,1,0,1,1,0,1,0,1,0,0,8,0,1,0,0,0,1,12,48,0,0,0,0,0,1
1,1,16,0,0,1,1,0,0,1,0,0,0,0,0,0,18,0,1,1,0,0,0,12,42,0,0,0,0,1,1
1,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,35,0,0,0,0,1,0
0,0,5,0,0,0,0,0,0,1,1,0,0,0,1,2,14,0,0,0,0,0,0,15,33,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,1,1,0,1,0,1,0,9,0,0,1,0,0,0,13,35,0,0,0,0,1,0
1,1,18,1,1,0,1,0,1,1,0,0,1,0,0,0,12,0,0,1,0,0,0,14,38,0,0,0,0,0,1
0,1,10,0,0,1,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,8,37,0,0,0,0,1,1
1,1,16,1,1,0,0,0,1,1,1,0,0,1,0,1,22,1,1,0,0,0,0,16,50,0,0,0,0,0,1
1,1,14,1,1,0,0,0,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,14,37,0,0,0,0,1,0
1,1,17,1,1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,1,0,0,0,13,37,0,0,0,0,0,1
0,0,22,0,0,0,0,1,0,0,1,0,0,0,1,0,15,0,0,0,1,0,0,15,50,1,1,1,1,0,0
1,1,7,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,31,0,0,0,0,0,1
1,1,10,1,0,1,1,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,0,12,36,0,0,0,0,0,1
0,1,10,0,1,0,0,0,1,1,0,0,0,1,0,0,13,0,0,0,0,0,0,12,35,0,0,0,0,0,1
0,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,21,0,0,0,1,0,0,12,42,0,0,1,0,0,0
1,1,11,0,1,0,0,0,0,1,0,0,0,0,0,0,23,1,1,0,0,1,0,10,43,0,0,0,0,0,1
0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,11,32,0,0,0,0,0,0
1,1,14,1,1,0,0,0,1,1,0,0,0,1,0,0,10,0,1,1,0,0,0,11,34,0,0,0,0,0,1
1,1,10,0,1,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,12,42,0,0,0,0,0,1
0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,0,0,10,32,0,0,0,0,0,0
1,1,19,1,0,1,1,0,1,1,0,1,0,1,0,0,16,0,0,1,0,0,0,15,42,0,0,0,0,0,1
1,1,16,0,0,0,0,0,1,1,0,0,0,1,0,0,11,0,1,0,0,0,0,10,36,0,0,0,0,0,1
1,1,9,0,1,0,1,0,1,1,0,1,0,1,0,0,10,0,0,0,0,0,0,11,32,0,0,0,0,0,1
1,1,9,1,1,0,1,0,1,1,0,0,0,1,0,0,21,0,0,0,0,0,0,13,38,0,0,0,0,0,1
0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,10,34,0,0,0,0,1,0
0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,9,36,0,0,0,0,0,0
1,1,9,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,10,31,0,0,0,0,0,1
0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,29,0,0,0,0,1,0,18,57,0,0,0,0,0,0
1,1,24,1,1,0,0,0,1,1,0,0,0,1,0,0,16,0,0,1,0,0,0,14,55,0,0,0,0,0,1
1,1,11,0,0,1,0,0,1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,13,31,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,1,0,13,36,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,1,0,13,36,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,1,0,13,36,0,0,0,0,0,1
1,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,14,33,0,0,0,0,1,0
1,1,9,0,0,1,1,0,1,1,0,1,0,1,0,0,15,0,0,0,0,0,1,12,34,0,0,0,0,0,1
1,1,11,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,1,1,0,0,0,11,33,0,0,0,0,0,1
1,1,9,1,1,0,0,0,0,1,0,0,0,0,0,0,25,0,0,1,0,0,0,13,41,0,0,0,0,0,1
1,1,19,1,1,0,0,0,0,1,0,0,0,1,0,0,19,0,1,0,0,0,0,11,44,0,0,0,0,1,1
0,0,23,0,0,0,0,1,0,0,1,0,0,0,1,0,13,0,0,0,1,0,0,12,49,1,1,0,1,0,0
1,1,22,1,1,1,1,0,1,1,0,0,0,0,0,0,17,1,1,1,0,0,0,12,47,0,0,0,0,0,1
1,1,12,0,1,0,0,1,1,1,0,1,0,1,0,0,24,0,0,0,0,0,1,11,44,0,0,0,0,0,1
1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,31,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,9,33,0,0,0,0,0,0
0,1,14,0,0,0,0,0,1,1,0,0,0,1,1,1,17,0,0,0,1,0,0,13,38,0,0,0,0,0,1
0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,28,0,0,0,1,0,0,14,45,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,28,0,0,0,1,0,0,14,45,0,0,0,0,0,0
1,1,14,0,0,0,0,0,0,1,0,0,0,0,1,0,19,1,1,0,1,1,0,10,40,0,0,0,0,0,1
1,1,14,0,0,0,0,0,0,1,0,0,0,0,1,0,19,1,1,0,1,1,0,10,40,0,0,0,0,0,1
1,1,14,0,0,0,0,0,0,1,0,0,0,0,1,0,19,1,1,0,1,1,0,10,40,0,0,0,0,0,1
