cluster_id,n_samples,n_rules,n_label1_rules,n_label0_rules,accuracy,recall,precision,f1,tp,fp,tn,fn
37,500,32,32,0,0.476,0.675,0.09782608695652174,0.17088607594936708,27,249,211,13
38,500,51,51,0,0.344,0.5454545454545454,0.07228915662650602,0.1276595744680851,24,308,148,20
39,500,62,8,54,0.9,0.03333333333333333,0.045454545454545456,0.038461538461538464,1,21,449,29
40,500,0,0,0,0.918,0.0,0.0,0.0,0,0,459,41
41,500,140,140,0,0.184,0.9111111111111111,0.09213483146067415,0.1673469387755102,41,404,51,4
42,500,24,24,0,0.318,0.6666666666666666,0.0625,0.11428571428571428,22,330,137,11
43,500,42,0,42,0.914,0.0,0.0,0.0,0,0,457,43
44,500,0,0,0,0.932,0.0,0.0,0.0,0,0,466,34
45,500,22,22,0,0.496,0.5675675675675675,0.08171206225680934,0.14285714285714285,21,236,227,16
46,500,38,0,38,0.884,0.0,0.0,0.0,0,0,442,58
47,500,0,0,0,0.91,0.0,0.0,0.0,0,0,455,45
48,500,87,87,0,0.078,1.0,0.078,0.14471243042671614,39,461,0,0
49,500,118,29,89,0.398,0.4166666666666667,0.05084745762711865,0.09063444108761329,15,280,184,21
50,500,108,108,0,0.088,1.0,0.07505070993914807,0.13962264150943396,37,456,7,0
51,500,0,0,0,0.926,0.0,0.0,0.0,0,0,463,37
52,500,28,8,20,0.33,0.5428571428571428,0.05621301775147929,0.10187667560321716,19,319,146,16
53,500,26,0,26,0.914,0.0,0.0,0.0,0,0,457,43
54,500,10,0,10,0.934,0.0,0.0,0.0,0,0,467,33
55,500,123,120,3,0.078,1.0,0.078,0.14471243042671614,39,461,0,0
56,500,67,44,23,0.102,0.95,0.07835051546391752,0.14476190476190476,38,447,13,2
57,500,64,64,0,0.094,0.9777777777777777,0.08870967741935484,0.16266173752310537,44,452,3,1
58,500,263,263,0,0.13,0.8636363636363636,0.08137044967880086,0.1487279843444227,38,429,27,6
59,500,0,0,0,0.9,0.0,0.0,0.0,0,0,450,50
60,500,148,73,75,0.542,0.38,0.08755760368663594,0.14232209737827714,19,198,252,31
61,500,88,88,0,0.088,0.9487179487179487,0.07535641547861507,0.13962264150943396,37,454,7,2
62,500,27,0,27,0.902,0.0,0.0,0.0,0,0,451,49
63,500,91,88,3,0.182,0.9411764705882353,0.10572687224669604,0.1900990099009901,48,406,43,3
64,500,66,61,5,0.148,0.8387096774193549,0.058165548098434,0.1087866108786611,26,421,48,5
65,500,83,64,19,0.074,0.9696969696969697,0.06477732793522267,0.12144212523719165,32,462,5,1
66,500,17,0,17,0.916,0.0,0.0,0.0,0,0,458,42
67,500,128,76,52,0.232,0.8222222222222222,0.08958837772397095,0.1615720524017467,37,376,79,8
68,500,86,86,0,0.188,0.8888888888888888,0.07373271889400922,0.13617021276595745,32,402,62,4
69,500,29,0,29,0.906,0.0,0.0,0.0,0,0,453,47
70,500,28,28,0,0.164,0.95,0.08370044052863436,0.15384615384615385,38,416,44,2
71,500,4,0,4,0.928,0.0,0.0,0.0,0,0,464,36
72,500,5,5,0,0.446,0.5,0.061371841155234655,0.10932475884244373,17,260,206,17
73,500,37,0,37,0.918,0.0,0.0,0.0,0,0,459,41
74,500,51,25,26,0.078,0.8571428571428571,0.0498960498960499,0.09430255402750491,24,457,15,4
75,500,0,0,0,0.91,0.0,0.0,0.0,0,0,455,45
76,500,76,76,0,0.148,0.8775510204081632,0.09287257019438445,0.16796875,43,420,31,6
77,500,60,60,0,0.08,1.0,0.08,0.14814814814814814,40,460,0,0
78,500,21,21,0,0.304,0.7209302325581395,0.08446866485013624,0.15121951219512195,31,336,121,12
79,500,16,0,16,0.932,0.0,0.0,0.0,0,0,466,34
80,500,0,0,0,0.898,0.0,0.0,0.0,0,0,449,51
81,500,61,61,0,0.404,0.6458333333333334,0.09935897435897435,0.17222222222222222,31,281,171,17
82,500,8,5,3,0.886,0.07692307692307693,0.125,0.09523809523809523,3,21,440,36
83,500,51,29,22,0.18,0.8611111111111112,0.07110091743119266,0.13135593220338984,31,405,59,5
84,500,35,0,35,0.914,0.0,0.0,0.0,0,0,457,43
85,500,39,0,39,0.906,0.0,0.0,0.0,0,0,453,47
86,500,42,0,42,0.906,0.0,0.0,0.0,0,0,453,47
87,500,0,0,0,0.918,0.0,0.0,0.0,0,0,459,41
88,500,79,79,0,0.138,0.9574468085106383,0.0949367088607595,0.1727447216890595,45,429,24,2
89,500,47,32,15,0.31,0.8125,0.07123287671232877,0.1309823677581864,26,339,129,6
90,500,10,10,0,0.656,0.4,0.0975609756097561,0.1568627450980392,16,148,312,24
91,500,95,23,72,0.548,0.25,0.065,0.10317460317460317,13,187,261,39
92,500,35,5,30,0.814,0.06,0.061224489795918366,0.06060606060606061,3,46,404,47
93,500,147,143,4,0.082,1.0,0.082,0.15157116451016636,41,459,0,0
94,500,48,0,48,0.928,0.0,0.0,0.0,0,0,464,36
95,500,30,30,0,0.182,0.8,0.06511627906976744,0.12043010752688173,28,402,63,7
96,500,4,0,4,0.93,0.0,0.0,0.0,0,0,465,35
97,500,26,26,0,0.078,1.0,0.07056451612903226,0.1318267419962335,35,461,4,0
98,500,31,28,3,0.396,0.46938775510204084,0.07692307692307693,0.13218390804597702,23,276,175,26
99,500,1,1,0,0.898,0.058823529411764705,0.09523809523809523,0.07272727272727272,2,19,447,32
