perm_android_permission_READ_PHONE_STATE,n_permissions,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SEND_SMS,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSimCountryIso,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_USER_PRESENT,suspicious_sendTextMessage,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_LOGS,intent_android_intent_action_PACKAGE_REMOVED,suspicious_getWifiState,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getCellLocation,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_System___loadLibrary,suspicious_adb_enabled,n_activities,n_urls,n_used_permissions,intent_safiap_framework_ACTION_CANCEL_NOTIFICATION,perm_android_permission_READ_CONTACTS,label
0,6,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,29,15,0,0,0
0,3,0,0,0,1,0,43,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,4,20,13,0,0,0
0,3,0,0,0,1,0,43,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,4,20,13,0,0,0
0,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,32,12,0,0,0
0,3,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,23,13,0,0,0
0,8,0,0,1,1,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,26,11,0,0,0
0,7,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,11,0,0,1
0,6,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,34,12,0,0,0
0,6,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,34,12,0,0,0
1,10,0,0,1,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,27,11,0,0,1
1,9,1,0,1,1,0,37,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,2,24,12,0,0,1
1,8,0,1,1,1,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,30,13,0,0,1
1,11,1,0,1,1,0,38,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,4,29,12,0,0,1
0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,22,10,0,0,0
0,0,1,0,0,0,0,36,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,22,13,0,0,1
0,4,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,28,10,0,0,0
0,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,29,10,0,0,0
0,0,1,0,0,0,0,36,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,22,13,0,0,1
0,0,1,0,0,0,0,36,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,22,13,0,0,1
1,12,1,0,1,1,0,40,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,4,25,11,0,0,1
1,10,1,0,1,1,0,37,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,2,24,12,0,0,1
1,6,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,33,11,0,0,1
0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,13,0,0,0
0,6,0,0,1,1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,26,11,0,0,1
0,5,0,0,1,1,0,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,36,13,0,0,0
1,9,0,1,1,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,28,11,0,0,1
0,0,1,0,0,0,0,35,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,22,13,0,0,1
1,8,1,1,1,1,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,24,12,0,0,1
1,11,1,0,1,1,0,46,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,22,12,0,0,1
1,10,1,1,1,1,0,39,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,7,33,11,0,0,1
0,7,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,32,15,0,0,0
0,3,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,26,15,0,0,0
1,11,1,0,1,1,1,43,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,23,10,0,0,1
1,5,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,22,9,0,0,0
1,9,1,1,1,1,0,38,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,6,35,11,0,0,1
0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,35,14,0,0,0
0,5,1,0,1,1,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,33,14,0,0,0
1,6,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,26,11,0,0,0
1,10,0,1,1,1,0,37,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,34,11,0,0,1
1,8,1,0,1,1,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,34,9,0,0,1
1,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,9,0,0,1
1,9,1,1,1,1,0,38,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,7,21,13,0,0,1
1,7,1,0,0,1,0,33,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,26,11,0,0,1
0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,25,9,0,0,0
0,2,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,38,12,0,0,0
1,12,1,1,1,1,0,44,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,7,24,11,0,0,1
0,4,0,0,1,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,28,13,0,0,0
1,9,1,1,1,1,0,41,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,10,26,11,0,0,1
1,8,1,0,1,1,0,44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,18,11,0,0,1
1,8,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,34,11,0,0,0
1,11,0,1,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,31,13,0,0,1
1,6,1,0,1,1,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,19,11,0,0,1
1,5,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,36,9,0,0,0
1,8,0,1,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,25,8,0,0,1
1,11,1,1,1,1,1,51,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,3,29,12,0,1,1
1,12,1,0,1,1,0,41,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,19,13,0,0,1
1,6,0,1,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,24,10,0,0,1
0,2,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,29,7,0,0,0
0,4,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,35,13,0,0,0
0,5,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,35,11,0,0,0
0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,24,9,0,0,1
1,13,1,1,1,1,0,42,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,9,25,13,0,0,1
1,13,1,1,1,1,0,42,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,9,25,13,0,0,1
1,5,1,0,1,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,18,11,0,0,1
0,6,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,35,11,0,0,0
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,32,12,0,0,1
1,10,1,1,1,1,0,34,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,31,10,0,0,1
1,7,1,0,1,1,1,31,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,28,11,1,0,1
1,8,1,0,1,1,1,48,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,18,12,0,0,1
0,7,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,36,11,0,0,1
1,7,1,1,1,1,0,33,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,34,9,0,0,1
1,11,0,0,1,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,9,0,0,1
1,10,0,0,0,1,0,39,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,26,11,0,0,1
1,7,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,28,8,0,0,0
0,6,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,29,13,0,0,0
1,7,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,30,8,0,0,0
1,10,1,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,32,8,0,0,1
1,10,1,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,32,8,0,0,1
1,10,1,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,32,8,0,0,1
0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,23,7,0,0,0
0,8,0,0,1,1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,25,9,0,0,0
0,12,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,21,12,0,0,0
0,4,1,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,30,15,0,0,0
0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,21,9,0,0,0
0,6,0,0,1,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,35,11,0,0,0
0,3,0,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,37,14,0,0,0
0,4,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,12,27,15,0,0,0
1,13,0,1,1,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,31,10,0,0,1
1,7,1,1,1,1,0,30,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,28,9,0,0,1
0,10,0,0,1,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,34,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,34,12,0,0,1
1,7,1,0,1,1,0,31,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,5,34,12,0,0,1
1,11,0,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,11,0,0,0
0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,40,13,0,0,0
0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,40,13,0,0,0
0,10,0,0,1,1,0,46,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,18,13,0,0,0
0,6,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,34,14,0,0,0
0,10,0,0,1,1,0,46,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,18,13,0,0,0
0,2,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,41,13,0,0,0
0,10,0,0,1,1,0,46,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,18,13,0,0,0
0,6,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,34,14,0,0,0
0,6,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,34,14,0,0,0
0,4,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,33,8,0,0,0
1,10,1,1,1,1,1,35,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,19,10,0,0,1
0,5,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,25,11,0,0,0
1,10,0,0,1,1,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,19,12,0,0,0
0,3,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,36,12,0,0,1
0,3,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,36,12,0,0,1
0,11,1,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,37,12,0,0,0
1,8,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,32,12,0,0,0
0,3,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,36,12,0,0,1
0,5,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,10,0,0,1
0,6,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,28,8,0,0,0
0,8,0,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,40,14,0,0,0
0,5,0,0,1,1,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,32,16,0,0,0
0,4,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,30,9,0,0,0
0,4,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,30,9,0,0,0
1,10,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,30,11,0,0,0
1,6,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,35,9,0,0,0
1,11,1,0,1,0,0,35,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,27,9,0,1,1
0,7,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,10,0,0,1
1,10,1,0,1,1,1,43,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4,16,12,0,0,1
1,9,0,0,1,1,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,9,0,0,1
0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,7,0,0,0
1,9,1,0,1,1,1,32,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,6,23,11,1,0,1
1,16,1,1,1,1,0,44,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7,31,14,0,0,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,9,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,18,9,0,0,0
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,0,1,1
1,8,1,0,1,1,0,29,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,29,10,0,0,1
0,8,0,0,1,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,25,11,0,0,0
1,16,1,1,1,1,0,45,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,5,25,9,0,0,1
0,6,1,0,1,1,0,36,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,11,37,15,0,0,0
1,8,0,1,1,1,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,35,13,0,0,1
0,5,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,10,0,0,1
1,14,0,0,1,1,0,40,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,32,12,0,0,1
1,4,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,14,0,0,0
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,10,0,1,1
1,15,0,1,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,10,0,1,1
1,7,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,22,10,0,0,0
1,10,0,0,1,0,0,33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,26,8,0,0,1
1,16,1,0,1,1,0,37,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,4,24,12,0,0,1
0,5,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,0,0,1
0,5,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,0,0,1
0,4,0,0,1,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,10,0,0,0
1,7,0,0,1,1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,11,0,0,0
1,7,0,1,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,21,7,0,0,1
1,5,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,23,9,0,0,0
0,8,1,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,8,35,15,0,0,0
1,14,1,1,1,1,1,42,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,4,19,12,0,0,1
1,10,0,0,1,0,0,33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,25,8,0,0,1
1,7,1,0,1,1,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,33,8,1,0,1
1,9,0,0,1,1,0,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,37,12,0,0,1
1,17,1,0,1,1,1,40,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,26,11,0,0,1
1,8,0,0,1,1,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,21,10,0,0,1
0,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,9,0,0,0
1,10,0,1,1,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,24,7,0,0,1
1,16,1,1,1,1,0,39,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,5,34,10,0,0,1
1,17,0,1,1,1,0,42,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,24,10,0,0,1
0,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,29,16,0,0,0
0,9,1,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,28,15,0,0,0
1,14,1,0,1,1,1,41,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,7,35,11,0,0,1
0,6,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,7,0,0,0
1,15,1,1,1,1,0,36,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,6,27,12,1,0,1
0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,33,9,0,0,0
1,11,1,1,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11,22,12,0,0,1
0,6,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,29,10,0,0,0
1,12,0,0,1,1,0,35,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,32,10,0,0,1
0,5,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,8,0,0,0
