n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,perm_android_permission_GET_TASKS,suspicious_Base64,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getPackageInfo,suspicious_Cipher,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,suspicious_getExternalStorageDirectory,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getSystemService,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_USER_PRESENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_system_bin_su,perm_android_permission_CHANGE_WIFI_STATE,n_services,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MANAGE_ACCOUNTS,label
13,0,0,6,18,0,1,6,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,21,17,0,0,6,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,33,28,0,0,10,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,1,0,97,24,1,0,10,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,1,0,0,0
3,0,0,25,10,0,0,5,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0
8,0,0,34,12,0,0,5,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2,0,0,24,22,0,0,13,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,45,24,1,1,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,15,1,0,0,0
11,0,0,26,7,0,0,5,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,8,1,0,1,0
3,0,0,39,20,0,0,8,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,8,5,0,0,4,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,3,0,1,0,0
27,0,0,20,18,0,1,8,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,8,0,0,0,0
2,0,0,16,12,0,0,5,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,47,10,0,0,6,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,1,0,120,24,0,1,11,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,1,0,0,0
27,0,0,32,21,0,0,12,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,13,1,0,0,1
6,0,0,30,33,0,0,9,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,5,0,0,0,0
30,0,0,23,19,0,0,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,9,1,0,0,0
19,0,0,106,36,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,1,0,1
25,0,0,57,27,0,1,11,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,13,1,0,0,0
4,0,0,45,24,0,0,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,0,0,12,29,0,1,13,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,0,0,32,19,0,1,9,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,0,0,15,31,0,1,14,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3,0,0,0,0
3,0,0,41,39,0,0,11,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,45,24,0,1,11,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1,0,0,2,17,0,0,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,215,44,0,1,17,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,19,1,0,0,0
6,0,0,30,24,0,0,10,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,4,0,0,0,1
20,0,0,246,51,1,1,15,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,35,1,1,0,0
5,0,0,7,17,0,0,6,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0
3,0,0,1,5,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,2,7,0,0,5,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,21,0,1,7,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
13,1,0,65,42,0,0,12,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,4,0,0,0,0
24,0,0,62,30,0,0,12,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,0,0,0,0
12,0,0,33,12,0,0,6,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,1,1,0,0
11,1,0,84,37,0,1,14,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,32,1,1,0,0
4,0,0,34,19,0,0,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,14,19,0,1,7,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,1
13,0,0,130,66,0,0,29,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,17,1,1,0,0
15,0,0,72,11,0,1,6,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,9,1,0,0,0
12,0,0,17,26,0,0,10,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,1,0
4,0,0,34,21,0,0,8,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
7,0,0,14,3,0,0,3,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,5,1,0,0,0
20,0,0,36,44,1,1,14,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,2,0,0,0,0
8,0,0,44,24,1,0,10,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,18,17,0,0,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,63,21,0,0,9,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
5,0,0,5,13,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,0,0,49,43,1,0,10,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,6,0,0,0,1
18,1,0,0,15,1,1,6,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,8,0,0,0,0
18,0,0,142,20,1,1,9,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,8,1,0,0,1
7,0,0,127,34,0,1,12,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,23,1,0,0,0
10,0,0,45,21,0,1,9,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,1,0,0,0
7,0,0,3,11,1,1,6,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
9,0,0,19,17,1,0,6,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,3,0,0,0,0
14,1,0,39,27,1,1,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,11,0,0,0,0
13,0,0,127,22,0,1,10,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,6,1,0,0,0
8,0,0,15,18,0,1,7,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
9,0,0,65,26,1,1,11,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
10,0,0,16,25,0,1,10,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0
15,0,0,30,29,1,1,8,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0
10,0,0,92,35,1,1,13,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
11,1,0,56,23,0,1,10,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,8,1,0,0,0
3,0,0,44,28,0,0,11,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
124,1,1,202,69,1,1,21,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,56,0,1,1,0
9,0,0,52,22,0,1,10,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,7,1,0,0,0
6,0,0,4,5,0,1,4,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
11,0,0,72,16,0,1,9,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,14,1,0,0,0
5,0,0,39,13,1,0,6,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,0,0,166,26,1,1,9,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,10,1,0,0,0
35,1,0,59,37,1,1,14,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,4,0,0,1,0
9,0,0,15,13,1,0,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
24,1,1,23,31,1,1,11,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
14,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,8,0,1,0,0
